"Отметка времени","Самое значимое для вас событие года?","Посещали ли вы крупные IT-конференции в 2017 году?","Лучшее профильное мероприятие года в Украине (800+ посетителей)?","Лучшее профильное мероприятие года в Украине (400+ посетителей)?","Как вы оцениваете этот год лично для себя?","Какие у вас ожидания от 2018?","Кто вы?"
"2017/12/11 3:03:11 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Да","HackIT-2017","PyCon Ukraine 2017","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:03:39 PM GMT+2","Bitcoin по $18K","Нет","","","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Мега-синьор (10+ лет опыта)"
"2017/12/11 3:03:43 PM GMT+2","Начал действовать безвизовый режим","Да","GDG DevFest Ukraine 2017","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:03:48 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Трудный год, но в целом все хорошо","Все будет плохо, но вы держитесь","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:04:03 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:04:30 PM GMT+2","Кибератака в Украине (вирус Petya)","Нет","","","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:04:42 PM GMT+2","Запрет «маски-шоу» и изъятие серверов при обыске","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:04:55 PM GMT+2","Кибератака в Украине (вирус Petya)","Да","iForum-2017","RubyC-2017","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:05:11 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Мега-синьор (10+ лет опыта)"
"2017/12/11 3:05:19 PM GMT+2","Завел Трактор","Да","KharkivJS",".NET Fest","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:05:28 PM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:05:40 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:06:35 PM GMT+2","Bitcoin по $18K","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:07:28 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Мега-синьор (10+ лет опыта)"
"2017/12/11 3:07:32 PM GMT+2","Bitcoin по $18K","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:07:40 PM GMT+2","Начал действовать безвизовый режим","Да","iForum-2017","Highload fwdays","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:07:53 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Да","","PyCon Ukraine 2017","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:08:06 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:08:28 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:08:29 PM GMT+2","Начал действовать безвизовый режим","Да","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:08:43 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:08:48 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:09:22 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:09:48 PM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:10:24 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:10:29 PM GMT+2","Начал действовать безвизовый режим","Да","IT Weekend Ukraine","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:10:46 PM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:11:01 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:11:13 PM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:11:22 PM GMT+2","Начал действовать безвизовый режим","Да","SE2017 Conference",".NET Fest","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:11:38 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:12:36 PM GMT+2","Bitcoin по $18K","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:12:37 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Мега-синьор (10+ лет опыта)"
"2017/12/11 3:12:41 PM GMT+2","Начал действовать безвизовый режим","Да","Games Gathering 2017",".NET Fest","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:12:45 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Да","Lviv IT Arena 2017","ITEM-2017","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:12:54 PM GMT+2","Запрет «маски-шоу» и изъятие серверов при обыске","Да","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:12:55 PM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:12:56 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:13:16 PM GMT+2","Bitcoin по $18K","Нет","","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:13:27 PM GMT+2","Bitcoin по $18K","Да","JavaDay UA 2017: The Art of Java","XP Days Ukraine 2017","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:13:27 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:13:59 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:14:09 PM GMT+2","Bitcoin по $18K","Да","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:14:55 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:15:31 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Неудачный год, все плохо","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:15:36 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:15:36 PM GMT+2","Начал действовать безвизовый режим","Да","","","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:15:40 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:15:53 PM GMT+2","Начал действовать безвизовый режим","Да","Lviv IT Arena 2017","JavaScript fwdays","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:16:02 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:16:10 PM GMT+2","Запрет «маски-шоу» и изъятие серверов при обыске","Да","Olerom Forum 1","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:16:11 PM GMT+2","Bitcoin по $18K","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:16:18 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Да","Lviv IT Arena 2017","ITEM-2017","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:17:06 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:17:06 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:17:09 PM GMT+2","Bitcoin по $18K","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:17:09 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:17:13 PM GMT+2","Начал действовать безвизовый режим","Да","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:17:26 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Да","","PHP fwdays","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:17:31 PM GMT+2","Кибератака в Украине (вирус Petya)","Да","Agile Eastern Europe: Season 8","Lviv Project Management Day","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:18:12 PM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:18:27 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:19:06 PM GMT+2","Bitcoin по $18K","Да","","Web Standard Days 2017","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:19:20 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:19:37 PM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:19:53 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:19:54 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:20:04 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:20:17 PM GMT+2","Bitcoin по $18K","Да","IT Weekend Ukraine",".NET Fest","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:20:18 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:20:22 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:20:28 PM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:20:33 PM GMT+2","Кибератака в Украине (вирус Petya)","Нет","","","Один из лучших в моей жизни","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:20:35 PM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","iForum-2017","LvivJS 2017","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:21:09 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Неудачный год, все плохо","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:21:14 PM GMT+2","Bitcoin по $18K","Да","",".NET Fest","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:21:23 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Не жду чуда. Главное, чтобы не хуже 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:21:51 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:21:54 PM GMT+2","Bitcoin по $18K","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:22:03 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:22:11 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Да","JavaDay UA 2017: The Art of Java","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:22:12 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:22:16 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:22:21 PM GMT+2","проход сборной Швеции на ЧМ по футболу","Да","IT Weekend Ukraine","ITEM-2017","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:22:32 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Трудный год, но в целом все хорошо","Жду чуда","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:22:44 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:22:45 PM GMT+2","Начал действовать безвизовый режим","Да","JEEConf","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:23:14 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:23:34 PM GMT+2","Начал действовать безвизовый режим","Да","","ITEM-2017","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:23:49 PM GMT+2","Начал действовать безвизовый режим","Да","Kyiv Outsourcing Forum 2017","Lviv Outsourcing Forum","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:23:55 PM GMT+2","Начал действовать безвизовый режим","Да","Lviv IT Arena 2017",".NET Fest","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:24:16 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Мега-синьор (10+ лет опыта)"
"2017/12/11 3:24:26 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Неудачный год, все плохо","Все будет плохо, но вы держитесь","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:24:40 PM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","JEEConf","PyCon Ukraine 2017","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:25:10 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:25:14 PM GMT+2","Начал действовать безвизовый режим","Да","Games Gathering 2017","GameDev Conference 2017","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:25:17 PM GMT+2","Bitcoin по $18K","Нет","","","Нормальный год, все как обычно","Все будет плохо, но вы держитесь","Миддл (2-5 лет опыта)"
"2017/12/11 3:26:04 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:26:24 PM GMT+2","Bitcoin по $18K","Да","iForum-2017","JavaScript fwdays","Неудачный год, все плохо","Все будет плохо, но вы держитесь","Миддл (2-5 лет опыта)"
"2017/12/11 3:27:44 PM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:27:53 PM GMT+2","Начал действовать безвизовый режим","Да","Lviv IT Arena 2017","","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Мега-синьор (10+ лет опыта)"
"2017/12/11 3:27:58 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:27:58 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:28:04 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:28:29 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:28:34 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:28:49 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Мега-синьор (10+ лет опыта)"
"2017/12/11 3:28:53 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:28:54 PM GMT+2","Bitcoin по $18K","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:29:10 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:29:20 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:29:32 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:30:33 PM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Один из лучших в моей жизни","Не жду чуда. Главное, чтобы не хуже 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:31:42 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Да","KharkivJS","PyCon Ukraine 2017","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:32:00 PM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:32:19 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:32:25 PM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Мега-синьор (10+ лет опыта)"
"2017/12/11 3:32:38 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:32:42 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:33:02 PM GMT+2","Кибератака в Украине (вирус Petya)","Да","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:33:08 PM GMT+2","Bitcoin по $18K","Да","Lviv IT Arena 2017","RubyC-2017","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:33:27 PM GMT+2","Bitcoin по $18K","Нет","","","Нормальный год, все как обычно","Все будет плохо, но вы держитесь","Мега-синьор (10+ лет опыта)"
"2017/12/11 3:33:39 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Да","","","Неудачный год, все плохо","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:35:02 PM GMT+2","Bitcoin по $18K","Да","","Highload fwdays","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Мега-синьор (10+ лет опыта)"
"2017/12/11 3:35:15 PM GMT+2","Начал действовать безвизовый режим","Да","JEEConf","XP Days Ukraine 2017","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:35:29 PM GMT+2","Кибератака в Украине (вирус Petya)","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:35:38 PM GMT+2","Bitcoin по $18K","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:35:40 PM GMT+2","Bitcoin по $18K","Да","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:35:44 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:36:00 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:36:05 PM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","","PHP fwdays","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:36:13 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:36:16 PM GMT+2","Начал действовать безвизовый режим","Да","","AI Ukraine ’17","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:36:19 PM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
