"Отметка времени","Самое значимое для вас событие года?","Посещали ли вы IT-конференции в 2016 году?","Лучшее профильное мероприятие года в Украине (800+ посетителей)?","Лучшее профильное мероприятие года в Украине (400+ посетителей)?","Как вы оцениваете этот год лично для себя?","Какие у вас ожидания от 2017?","Кто вы?"
"2016/12/09 12:06:23 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","","","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/09 12:08:20 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/09 12:09:01 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","Lviv IT Arena 2016","","Нормальный год, все как обычно","Все плохо, пора валить",""
"2016/12/09 12:09:18 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","","PHP Frameworks Day","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/09 12:09:19 ДП GMT+2","Появление ""Неприличное.ит""","Да","iForum2016","WebCamp 2016","Нормальный год, все как обычно","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/09 12:09:33 ДП GMT+2","Отмена седьмой волны мобилизации","Да","IT Weekend Ukraine","uaMobiTech 2016","Трудный год, но в целом все хорошо","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/09 12:13:14 ДП GMT+2","Появление ""Неприличное.ит""","Да","JavaDay Kyiv 2016","AI Ukraine’16","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/09 12:14:52 ДП GMT+2","Продолжение обысков в IT-компаниях","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/09 12:15:44 ДП GMT+2","Появление ""Неприличное.ит""","Да","","","Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/09 12:21:46 ДП GMT+2","Продолжение обысков в IT-компаниях","Да","Media HackWeekend 2016","GDG DevFest","Нормальный год, все как обычно","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/09 12:22:06 ДП GMT+2","Появление ""Неприличное.ит""","Да","Games Gathering 2016","Web Standarts Days Kyiv","Один из лучших в моей жизни","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/09 12:25:23 ДП GMT+2","Продолжение обысков в IT-компаниях","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/09 12:25:35 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Мега-синьор (10+ лет опыта)"
"2016/12/09 12:27:24 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","","GDG DevFest","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/09 12:28:09 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","JavaDay Kyiv 2016","","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/09 12:29:36 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","Games Gathering 2016","uaMobiTech 2016","Нормальный год, все как обычно","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/09 12:31:14 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","IT Weekend Ukraine","KharkivCSS","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/09 12:31:54 ДП GMT+2","Появление ""Неприличное.ит""","Да","Lviv IT Arena 2016","GDG DevFest","Нормальный год, все как обычно","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/09 12:32:31 ДП GMT+2","Продолжение обысков в IT-компаниях","Да","Software Engineering 2016","PyCon Ukraine 2016","Один из лучших в моей жизни","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/09 12:33:51 ДП GMT+2","Продолжение обысков в IT-компаниях","Да","","","Один из лучших в моей жизни","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/09 12:37:23 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/09 12:39:40 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","Lviv IT Arena 2016","UISGCON12","Трудный год, но в целом все хорошо","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/09 12:41:08 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/09 12:41:16 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/09 12:44:03 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","","PHP Frameworks Day","Нормальный год, все как обычно","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/09 12:46:12 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/09 12:46:50 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/09 12:46:54 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Неудачный год, все плохо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/09 12:48:19 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","","","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/09 12:48:25 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","","","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/09 12:51:03 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","","GDG DevFest","Один из лучших в моей жизни","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/09 12:54:02 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","JavaDay Kyiv 2016","","Трудный год, но в целом все хорошо","Все будет хорошо","Мега-синьор (10+ лет опыта)"
"2016/12/09 1:02:28 ДП GMT+2","Отмена седьмой волны мобилизации","Да","IT Weekend Ukraine","KharkivCSS","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/09 1:02:53 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","Lviv IT Arena 2016","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/09 1:04:37 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/09 1:08:07 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/09 1:09:46 ДП GMT+2","Появление ""Неприличное.ит""","Да","JEEConf","IoT Conf UA","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/09 1:11:32 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/09 1:12:20 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","","","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/09 1:13:00 ДП GMT+2","Появление ""Неприличное.ит""","Да","","","Трудный год, но в целом все хорошо","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/09 1:14:02 ДП GMT+2","Продолжение обысков в IT-компаниях","Нет","","","Один из лучших в моей жизни","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/09 1:14:13 ДП GMT+2","Появление ""Неприличное.ит""","Да","Lviv IT Arena 2016","AI Ukraine’16","Трудный год, но в целом все хорошо","Все будет хорошо",""
"2016/12/09 1:15:21 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","JavaDay Kyiv 2016","Web Standarts Days Kyiv","Нормальный год, все как обычно","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/09 1:17:32 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","JEEConf","","Один из лучших в моей жизни","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/09 1:26:50 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/09 1:27:14 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","IT Форум (Киев, 3.12)","KharkivCSS","Неудачный год, все плохо","Все плохо, пора валить","Синьор (5-10 лет опыта)"
"2016/12/09 1:27:41 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/09 1:31:08 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","JEEConf","PyCon Ukraine 2016","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/09 1:31:46 ДП GMT+2","Продолжение обысков в IT-компаниях","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/09 1:32:47 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Нормальный год, все как обычно","Все будет хорошо",""
"2016/12/09 1:33:43 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Неудачный год, все плохо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/09 1:42:23 ДП GMT+2","Появление ""Неприличное.ит""","Да","JavaDay Kyiv 2016","","Один из лучших в моей жизни","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/09 1:43:39 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Нормальный год, все как обычно","Все плохо, пора валить","Мега-синьор (10+ лет опыта)"
"2016/12/09 1:48:17 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Один из лучших в моей жизни","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/09 1:54:29 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Один из лучших в моей жизни","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/09 1:55:26 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Один из лучших в моей жизни","Все будет хорошо","Мега-синьор (10+ лет опыта)"
"2016/12/09 2:00:18 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/09 2:07:22 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/09 2:12:29 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/09 2:17:09 ДП GMT+2","Отмена седьмой волны мобилизации","Да","Lviv IT Arena 2016","KharkivCSS","Трудный год, но в целом все хорошо","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/09 2:23:56 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","JEEConf","IoT Conf UA","Нормальный год, все как обычно","Все будет хорошо",""
"2016/12/09 2:27:25 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","","SQLSaturday 2016","Нормальный год, все как обычно","Все будет хорошо","Мега-синьор (10+ лет опыта)"
"2016/12/09 2:30:30 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/09 2:31:12 ДП GMT+2","Продолжение обысков в IT-компаниях","Нет","","","Трудный год, но в целом все хорошо","Все плохо, пора валить","Синьор (5-10 лет опыта)"
"2016/12/09 2:32:32 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","Lviv IT Arena 2016","HackIT Ukraine 2016","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/09 2:33:15 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Мега-синьор (10+ лет опыта)"
"2016/12/09 2:35:38 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",""
"2016/12/09 2:41:13 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","QA Fest 2016","","Трудный год, но в целом все хорошо","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/09 2:42:59 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","","PHP Frameworks Day","Неудачный год, все плохо","Все плохо, пора валить","Синьор (5-10 лет опыта)"
"2016/12/09 2:45:50 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","IT Weekend Ukraine","PHP Frameworks Day","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/09 2:46:01 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Один из лучших в моей жизни","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/09 3:08:04 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","","","Нормальный год, все как обычно","Все будет хорошо",""
"2016/12/09 3:08:08 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Один из лучших в моей жизни","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/09 3:08:53 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","","PHP Frameworks Day","Нормальный год, все как обычно","Все будет хорошо",""
"2016/12/09 3:12:42 ДП GMT+2","Появление ""Неприличное.ит""","Да","","","Один из лучших в моей жизни","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/09 3:13:35 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Мега-синьор (10+ лет опыта)"
"2016/12/09 3:29:47 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","","","Один из лучших в моей жизни","Все плохо, пора валить","Мега-синьор (10+ лет опыта)"
"2016/12/09 3:30:50 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Мега-синьор (10+ лет опыта)"
"2016/12/09 3:38:42 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/09 3:50:43 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","","","Нормальный год, все как обычно","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/09 4:43:13 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Один из лучших в моей жизни","Надеюсь на лучшее, но есть сомнения","Мега-синьор (10+ лет опыта)"
"2016/12/09 4:55:11 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/09 5:25:33 ДП GMT+2","Появление ""Неприличное.ит""","Да","Lviv IT Arena 2016","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/09 5:42:56 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Один из лучших в моей жизни","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/09 6:20:12 ДП GMT+2","Появление ""Неприличное.ит""","Да","","GDG DevFest","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",""
"2016/12/09 6:42:19 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","JavaDay Kyiv 2016","UISGCON12","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/09 6:52:34 ДП GMT+2","Появление ""Неприличное.ит""","Да","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",""
"2016/12/09 7:06:43 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Один из лучших в моей жизни","Надеюсь на лучшее, но есть сомнения","Мега-синьор (10+ лет опыта)"
"2016/12/09 7:14:49 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/09 7:29:53 ДП GMT+2","Отмена седьмой волны мобилизации","Да","Outsource People 2016 Kyiv","ITEM-2016","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",""
"2016/12/09 7:35:32 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Трудный год, но в целом все хорошо","Все плохо, пора валить","Джуниор (меньше двух лет опыта)"
"2016/12/09 7:35:37 ДП GMT+2","Продолжение обысков в IT-компаниях","Да","Games Gathering 2016","Web Standarts Days Kyiv","Трудный год, но в целом все хорошо","Все плохо, пора валить","Миддл (2-5 лет опыта)"
"2016/12/09 7:38:29 ДП GMT+2","Отмена седьмой волны мобилизации","Да","IT Weekend Ukraine","PHP Frameworks Day","Нормальный год, все как обычно","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/09 7:39:07 ДП GMT+2","Продолжение обысков в IT-компаниях","Нет","","","Один из лучших в моей жизни","Все будет хорошо",""
"2016/12/09 7:39:30 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/09 7:45:38 ДП GMT+2","Продолжение обысков в IT-компаниях","Да","Lviv IT Arena 2016","GDG DevFest","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/09 7:47:56 ДП GMT+2","Появление ""Неприличное.ит""","Да","","","Один из лучших в моей жизни","Все плохо, пора валить",""
"2016/12/09 7:48:12 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","Lviv IT Arena 2016","KharkivJS#7","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/09 7:50:27 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Нормальный год, все как обычно","Все плохо, пора валить","Миддл (2-5 лет опыта)"
"2016/12/09 7:56:30 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Один из лучших в моей жизни","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/09 7:58:32 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","Outsource People 2016 Kyiv","uaMobiTech 2016","Нормальный год, все как обычно","Все будет хорошо",""
"2016/12/09 8:02:26 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/09 8:06:42 ДП GMT+2","Появление ""Неприличное.ит""","Да","Lviv IT Arena 2016","SQLSaturday 2016","Один из лучших в моей жизни","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/09 8:07:45 ДП GMT+2","Отмена седьмой волны мобилизации","Да","IT Weekend Ukraine","ITEM-2016","Трудный год, но в целом все хорошо","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/09 8:12:24 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","JavaDay Kyiv 2016","GDG DevFest","Один из лучших в моей жизни","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/09 8:13:10 ДП GMT+2","Отмена седьмой волны мобилизации","Да","","","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/09 8:14:22 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Один из лучших в моей жизни","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/09 8:14:27 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","QA Fest 2016","Web Standarts Days Kyiv","Трудный год, но в целом все хорошо","Все плохо, пора валить",""
"2016/12/09 8:17:03 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Один из лучших в моей жизни","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/09 8:17:12 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/09 8:18:59 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","JavaDay Kyiv 2016","GDG DevFest","Нормальный год, все как обычно","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/09 8:22:08 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/09 8:24:56 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо",""
"2016/12/09 8:25:58 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/09 8:28:23 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","","","Трудный год, но в целом все хорошо","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/09 8:32:22 ДП GMT+2","Отмена седьмой волны мобилизации","Да","iForum2016","SQLSaturday 2016","Один из лучших в моей жизни","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/09 8:34:19 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","Lviv IT Arena 2016","GDG DevFest","Трудный год, но в целом все хорошо","Все будет хорошо","Мега-синьор (10+ лет опыта)"
"2016/12/09 8:36:04 ДП GMT+2","Появление ""Неприличное.ит""","Да","JEEConf","JavaScript Frameworks Day","Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения",""
"2016/12/09 8:40:01 ДП GMT+2","Появление ""Неприличное.ит""","Да","iForum2016","AI Ukraine’16","Нормальный год, все как обычно","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/09 8:41:08 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения","Мега-синьор (10+ лет опыта)"
"2016/12/09 8:43:23 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Нормальный год, все как обычно","Все плохо, пора валить",""
"2016/12/09 8:43:47 ДП GMT+2","Продолжение обысков в IT-компаниях","Нет","","","Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/09 8:44:57 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","Lviv IT Arena 2016","GDG DevFest","Один из лучших в моей жизни","Все будет хорошо",""
"2016/12/09 8:46:00 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Мега-синьор (10+ лет опыта)"
"2016/12/09 8:46:01 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/09 8:47:23 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/09 8:47:27 ДП GMT+2","Продолжение обысков в IT-компаниях","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/09 8:48:34 ДП GMT+2","Продолжение обысков в IT-компаниях","Да","iForum2016","KharkivJS#7","Трудный год, но в целом все хорошо","Все плохо, пора валить","Джуниор (меньше двух лет опыта)"
"2016/12/09 8:49:56 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","Dev Challenge 10","KharkivCSS","Один из лучших в моей жизни","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/09 8:51:28 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/09 8:54:45 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/09 8:56:39 ДП GMT+2","Отмена седьмой волны мобилизации","Да","","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/09 8:58:24 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/09 8:59:36 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","","SQLSaturday 2016","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/09 9:00:06 ДП GMT+2","Отмена седьмой волны мобилизации","Да","","GDG DevFest","Нормальный год, все как обычно","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/09 9:01:26 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/09 9:02:30 ДП GMT+2","Продолжение обысков в IT-компаниях","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/09 9:02:40 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/09 9:04:01 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/09 9:04:02 ДП GMT+2","Продолжение обысков в IT-компаниях","Нет","","","Один из лучших в моей жизни","Все плохо, пора валить","Джуниор (меньше двух лет опыта)"
"2016/12/09 9:04:32 ДП GMT+2","Продолжение обысков в IT-компаниях","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/09 9:08:02 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","Lviv IT Arena 2016","GDG DevFest","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
