Timestamp,Лучший сайт для поиска работы?,Лучшее профильное мероприятие года в Украине?,Самое значимое событие года?,Лучший проект в сфере ИТ-образования?,Как вы оцениваете этот год лично для себя?,Какие у вас ожидания от 2016?,Кто вы?
11/23/2015 11:29:58,DOU.ua,Не слежу за мероприятиями,Обыски в офисах ИТ-компаний,Prometheus,"Трудный год, но в целом все хорошо","Все плохо, пора валить",Джуниор (меньше двух лет опыта)
11/23/2015 11:30:05,,,Девальвация гривны,,Один из лучших в моей жизни,"Надеюсь на лучшее, но есть сомнения",
11/23/2015 11:30:18,LinkedIn,Не слежу за мероприятиями,Запуск 3G в Украине,BrainAcademy / Coding for Future,Один из лучших в моей жизни,Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 11:30:19,Джинн,Frameworks day,Шестая волна мобилизации в ВСУ,Не слежу,Один из лучших в моей жизни,Все будет хорошо,Синьор (5-10 лет опыта)
11/23/2015 11:30:34,Джинн,Не слежу за мероприятиями,Шестая волна мобилизации в ВСУ,Компьютерная Академия ШАГ,Один из лучших в моей жизни,Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 11:30:56,Work.ua,Outsource People Kyiv,Шестая волна мобилизации в ВСУ,Компьютерная Академия ШАГ,Один из лучших в моей жизни,Все будет хорошо,
11/23/2015 11:31:01,LinkedIn,JavaDay Kyiv,Шестая волна мобилизации в ВСУ,Bionic University,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 11:31:31,Джинн,DevDay Kyiv от Microsoft,Прекращение активных боевых действий на Донбассе,Prometheus,"Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения",Синьор (5-10 лет опыта)
11/23/2015 11:31:44,DOU.ua,Lviv IT Arena,Запуск 3G в Украине,QA Factory,Один из лучших в моей жизни,"Надеюсь на лучшее, но есть сомнения",Джуниор (меньше двух лет опыта)
11/23/2015 11:32:27,Work.ua,Не слежу за мероприятиями,Прекращение активных боевых действий на Донбассе,SoftServe IT Academy,"Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения",Джуниор (меньше двух лет опыта)
11/23/2015 11:32:42,Джинн,UA Web Challenge,Покупка Looksery за $150M,GoIT,"Трудный год, но в целом все хорошо",Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 11:32:54,LinkedIn,Не слежу за мероприятиями,Шестая волна мобилизации в ВСУ,Bionic University,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 11:33:07,DOU.ua,ни один,"Волонтерский десант в органах власти (МО, Одесса и пр)",ни один,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 11:33:11,DOU.ua,Lviv IT Arena,Запуск 3G в Украине,Lviv IT school (LITS),Один из лучших в моей жизни,Все будет хорошо,Синьор (5-10 лет опыта)
11/23/2015 11:33:17,GitHub,Не слежу за мероприятиями,Запуск 3G в Украине,https://www.facebook.com/groups/python.apvt/,"Трудный год, но в целом все хорошо",Все будет хорошо,Синьор (5-10 лет опыта)
11/23/2015 11:33:28,HH.ua,Lviv IT Arena,Девальвация гривны,Не слежу ,"Неудачный год, все плохо","Все плохо, пора валить",Джуниор (меньше двух лет опыта)
11/23/2015 11:33:57,DOU.ua,Не слежу за мероприятиями,"Личное (новая работа, повышение, свадьба, ...)",не слідкую,"Трудный год, но в целом все хорошо","Все плохо, пора валить",Синьор (5-10 лет опыта)
11/23/2015 11:34:01,,GDG DevFest,"Создание городских ИТ-кластеров (Харьков, Одесса, Днепр, ...)",,"Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения",Синьор (5-10 лет опыта)
11/23/2015 11:34:24,Work.ua,ITEM-2015 (Днепропетровск),"Личное (новая работа, повышение, свадьба, ...)",GoIT,"Трудный год, но в целом все хорошо",Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 11:34:30,DOU.ua,iForum,Запуск 3G в Украине,GoIT,Один из лучших в моей жизни,Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 11:34:31,DOU.ua,UA Web Challenge,"Личное (новая работа, повышение, свадьба, ...)",IT Labs,Один из лучших в моей жизни,Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 11:34:57,LinkedIn,OdessaJS/LvivJS/KharkivJS/KyivJS,Прекращение активных боевых действий на Донбассе,CyberBionic Systematics,"Трудный год, но в целом все хорошо",Все будет хорошо,Синьор (5-10 лет опыта)
11/23/2015 11:35:12,DOU.ua,Не слежу за мероприятиями,Прекращение активных боевых действий на Донбассе,Prometheus,"Трудный год, но в целом все хорошо",Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 11:35:43,Джинн,Не слежу за мероприятиями,Девальвация гривны,Bionic University,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 11:35:44,DOU.ua,OdessaJS/LvivJS/KharkivJS/KyivJS,Девальвация гривны,Bionic University,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 11:36:02,,,Выход Fallout 4,,Один из лучших в моей жизни,"Надеюсь на лучшее, но есть сомнения",Джуниор (меньше двух лет опыта)
11/23/2015 11:36:08,DOU.ua,OdessaJS/LvivJS/KharkivJS/KyivJS,"Личное (новая работа, повышение, свадьба, ...)",CyberBionic Systematics,Один из лучших в моей жизни,Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 11:36:19,Джинн,JavaDay Kyiv,"Личное (новая работа, повышение, свадьба, ...)",JavaRush,Один из лучших в моей жизни,Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 11:37:07,Work.ua,Lviv IT Arena,Девальвация гривны,PROG kiev ua,"Трудный год, но в целом все хорошо",Все будет хорошо,Синьор (5-10 лет опыта)
11/23/2015 11:37:15,DOU.ua,Не слежу за мероприятиями,Девальвация гривны,Bionic University,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Джуниор (меньше двух лет опыта)
11/23/2015 11:37:17,Джинн,ITEM-2015 (Днепропетровск),"Создание городских ИТ-кластеров (Харьков, Одесса, Днепр, ...)",levelup.dp.ua,"Нормальный год, все как обычно",Все будет хорошо,Синьор (5-10 лет опыта)
11/23/2015 11:37:19,Джинн,DevDay Kyiv от Microsoft,Запуск 3G в Украине,skillUp,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Синьор (5-10 лет опыта)
11/23/2015 11:38:31,DOU.ua,Не слежу за мероприятиями,Девальвация гривны,Компьютерная Академия ШАГ,"Неудачный год, все плохо","Все плохо, пора валить",
11/23/2015 11:38:46,LinkedIn,Не слежу за мероприятиями,"Личное (новая работа, повышение, свадьба, ...)",https://www.coursera.org/browse/computer-science?languages=en,"Трудный год, но в целом все хорошо","Все плохо, пора валить",Синьор (5-10 лет опыта)
11/23/2015 11:38:50,,,Прекращение активных боевых действий на Донбассе,,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",
11/23/2015 11:38:54,LinkedIn,Lviv IT Arena,Прекращение активных боевых действий на Донбассе,Lviv IT school (LITS),"Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения",
11/23/2015 11:39:17,Work.ua,IT Jam 2015 (Киев),"Личное (новая работа, повышение, свадьба, ...)",Prometheus,"Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 11:39:22,DOU.ua,Не слежу за мероприятиями,"Личное (новая работа, повышение, свадьба, ...)",Bionic University,"Трудный год, но в целом все хорошо",Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 11:40:09,LinkedIn,UA Web Challenge,Обыски в офисах ИТ-компаний,Java курсы Ивана Головача,"Трудный год, но в целом все хорошо",Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 11:40:14,Джинн,Не слежу за мероприятиями,"Личное (новая работа, повышение, свадьба, ...)",Udacity,"Трудный год, но в целом все хорошо",Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 11:40:17,LinkedIn,Не слежу за мероприятиями,Прекращение активных боевых действий на Донбассе,Prometheus,"Нормальный год, все как обычно",Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 11:40:27,DOU.ua,,"Личное (новая работа, повышение, свадьба, ...)",Prometheus,"Трудный год, но в целом все хорошо",Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 11:40:44,DOU.ua,IT Weekend от SoftServe,Девальвация гривны,Lviv IT school (LITS),"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Синьор (5-10 лет опыта)
11/23/2015 11:40:54,Джинн,Не слежу за мероприятиями,Девальвация гривны,,"Нормальный год, все как обычно",Все будет хорошо,Синьор (5-10 лет опыта)
11/23/2015 11:41:00,Джинн,OdessaJS/LvivJS/KharkivJS/KyivJS,Девальвация гривны,Компьютерная Академия ШАГ,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Джуниор (меньше двух лет опыта)
11/23/2015 11:41:44,HH.ua,,Прекращение активных боевых действий на Донбассе,,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Синьор (5-10 лет опыта)
11/23/2015 11:41:50,LinkedIn,Не слежу за мероприятиями,Покупка Looksery за $150M,,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Мега-синьор (10+ лет опыта)
11/23/2015 11:41:51,DOU.ua,IT Fest (Киев),Обыски в офисах ИТ-компаний,Prometheus,"Трудный год, но в целом все хорошо",Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 11:42:04,Джинн,UA Web Challenge,Покупка Looksery за $150M,Lviv IT school (LITS),"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Джуниор (меньше двух лет опыта)
11/23/2015 11:42:06,DOU.ua,,Прекращение активных боевых действий на Донбассе,,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 11:42:44,Work.ua,Не слежу за мероприятиями,"Личное (новая работа, повышение, свадьба, ...)",PythonLab Light-IT,Один из лучших в моей жизни,"Надеюсь на лучшее, но есть сомнения",Джуниор (меньше двух лет опыта)
11/23/2015 11:43:02,Habrahabr,OdessaJS/LvivJS/KharkivJS/KyivJS,Девальвация гривны,BrainAcademy / Coding for Future,"Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения",Джуниор (меньше двух лет опыта)
11/23/2015 11:43:09,Джинн,JavaDay Kyiv,Запуск 3G в Украине,JavaRush,Один из лучших в моей жизни,Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 11:43:12,Rabota.ua,Не слежу за мероприятиями,"Личное (новая работа, повышение, свадьба, ...)",,Один из лучших в моей жизни,"Надеюсь на лучшее, но есть сомнения",Джуниор (меньше двух лет опыта)
11/23/2015 11:43:40,,Не слежу за мероприятиями,Девальвация гривны,,"Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения",Мега-синьор (10+ лет опыта)
11/23/2015 11:43:58,LinkedIn,Не слежу за мероприятиями,Девальвация гривны,Компьютерная Академия ШАГ,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",
11/23/2015 11:44:57,Джинн,Не слежу за мероприятиями,Прекращение активных боевых действий на Донбассе,IDAP College (iOS),"Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения",Синьор (5-10 лет опыта)
11/23/2015 11:45:10,LinkedIn,Не слежу за мероприятиями,"Личное (новая работа, повышение, свадьба, ...)",,Один из лучших в моей жизни,"Надеюсь на лучшее, но есть сомнения",Синьор (5-10 лет опыта)
11/23/2015 11:45:13,Work.ua,Outsource People Kyiv,Обыски в офисах ИТ-компаний,ItBursa,Один из лучших в моей жизни,Все будет хорошо,Мега-синьор (10+ лет опыта)
11/23/2015 11:45:14,Джинн,Lviv IT Arena,Запуск 3G в Украине,,Один из лучших в моей жизни,Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 11:45:25,DOU.ua,Lviv IT Arena,Запуск 3G в Украине,Lviv IT school (LITS),"Нормальный год, все как обычно",Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 11:45:28,DOU.ua,Node 2015 (Харків),Прекращение активных боевых действий на Донбассе,skillUp,"Трудный год, но в целом все хорошо",Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 11:45:29,DOU.ua,Lviv IT Arena,"Личное (новая работа, повышение, свадьба, ...)",JavaRush,Один из лучших в моей жизни,Все будет хорошо,Синьор (5-10 лет опыта)
11/23/2015 11:45:36,LinkedIn,JavaScript Frameworks Day,Прекращение активных боевых действий на Донбассе,Lviv IT school (LITS),Один из лучших в моей жизни,Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 11:46:09,Джинн,iForum,Запуск 3G в Украине,JavaRush,Один из лучших в моей жизни,Все будет хорошо,Синьор (5-10 лет опыта)
11/23/2015 11:46:16,Rabota.ua,JavaDay Lviv,Запуск 3G в Украине,Prometheus,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Джуниор (меньше двух лет опыта)
11/23/2015 11:46:40,LinkedIn,JEEConf (Киев),Прекращение активных боевых действий на Донбассе,,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 11:46:58,DOU.ua,Не слежу за мероприятиями,Прекращение активных боевых действий на Донбассе,Prometheus,"Нормальный год, все как обычно",Все будет хорошо,Синьор (5-10 лет опыта)
11/23/2015 11:46:58,DOU.ua,Не слежу за мероприятиями,Покупка Looksery за $150M,IDAP College (iOS),"Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 11:46:59,DOU.ua,DevDay Kyiv от Microsoft,Обыски в офисах ИТ-компаний,skillUp,"Неудачный год, все плохо",Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 11:46:59,Джинн,Не слежу за мероприятиями,"Личное (новая работа, повышение, свадьба, ...)",BrainAcademy / Coding for Future,"Нормальный год, все как обычно",Все будет хорошо,Синьор (5-10 лет опыта)
11/23/2015 11:47:16,DOU.ua,Не слежу за мероприятиями,Запуск 3G в Украине,Prometheus,"Нормальный год, все как обычно",Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 11:47:47,DOU.ua,Не слежу за мероприятиями,Шестая волна мобилизации в ВСУ,,Один из лучших в моей жизни,"Все плохо, пора валить",Миддл (2-5 лет опыта)
11/23/2015 11:47:57,LinkedIn,Lviv IT Arena,Запуск 3G в Украине,Lviv IT school (LITS),Один из лучших в моей жизни,Все будет хорошо,Мега-синьор (10+ лет опыта)
11/23/2015 11:48:24,DOU.ua,JavaDay Kyiv,"Личное (новая работа, повышение, свадьба, ...)",Bionic University,Один из лучших в моей жизни,Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 11:49:05,LinkedIn,OdessaJS/LvivJS/KharkivJS/KyivJS,Запуск 3G в Украине,codeschool.com,"Трудный год, но в целом все хорошо",Все будет хорошо,Синьор (5-10 лет опыта)
11/23/2015 11:49:21,DOU.ua,Не слежу за мероприятиями,"Создание городских ИТ-кластеров (Харьков, Одесса, Днепр, ...)",,"Трудный год, но в целом все хорошо","Все плохо, пора валить",Джуниор (меньше двух лет опыта)
11/23/2015 11:49:51,Work.ua,IT Jam 2015 (Киев),Девальвация гривны,Prometheus,"Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения",Джуниор (меньше двух лет опыта)
11/23/2015 11:50:31,Джинн,Lviv IT Arena,Прекращение активных боевых действий на Донбассе,CyberBionic Systematics,Один из лучших в моей жизни,Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 11:50:36,Work.ua,UA Web Challenge,Девальвация гривны,CyberBionic Systematics,"Трудный год, но в целом все хорошо",Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 11:50:40,Work.ua,Не слежу за мероприятиями,"Личное (новая работа, повышение, свадьба, ...)",IT Labs,"Трудный год, но в целом все хорошо","Все плохо, пора валить",Миддл (2-5 лет опыта)
11/23/2015 11:51:37,DOU.ua,DevDay Kyiv от Microsoft,Шестая волна мобилизации в ВСУ,IT Labs,"Трудный год, но в целом все хорошо","Все плохо, пора валить",Синьор (5-10 лет опыта)
11/23/2015 11:52:06,Rabota.ua,JEEConf (Киев),"Личное (новая работа, повышение, свадьба, ...)",JavaRush,"Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 11:52:38,DOU.ua,Не слежу за мероприятиями,Шестая волна мобилизации в ВСУ,CyberBionic Systematics,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 11:52:43,HH.ua,Не слежу за мероприятиями,"Личное (новая работа, повышение, свадьба, ...)",QA Factory,Один из лучших в моей жизни,Все будет хорошо,Синьор (5-10 лет опыта)
11/23/2015 11:52:54,LinkedIn,JEEConf (Киев),Девальвация гривны,JuJa com ua,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 11:53:27,DOU.ua,Black Sea SummIT (Одесса),Покупка Looksery за $150M,CyberBionic Systematics,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Джуниор (меньше двух лет опыта)
11/23/2015 11:53:32,Work.ua,JEEConf (Киев),Запуск 3G в Украине,GoIT,"Трудный год, но в целом все хорошо",Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 11:53:42,Джинн,Не слежу за мероприятиями,Девальвация гривны,,"Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения",Синьор (5-10 лет опыта)
11/23/2015 11:53:48,DOU.ua,AI Ukraine (Харьков),"Волонтерский десант в органах власти (МО, Одесса и пр)",Компьютерная Академия ШАГ,"Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 11:54:22,LinkedIn,iForum,Запуск 3G в Украине,GoIT,"Трудный год, но в целом все хорошо","Все плохо, пора валить",
11/23/2015 11:54:29,LinkedIn,OdessaJS/LvivJS/KharkivJS/KyivJS,Прекращение активных боевых действий на Донбассе,Lviv IT school (LITS),"Трудный год, но в целом все хорошо",Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 11:54:30,,Lviv IT Arena,Обыски в офисах ИТ-компаний,Lviv IT school (LITS),"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Мега-синьор (10+ лет опыта)
11/23/2015 11:54:34,Джинн,OdessaJS/LvivJS/KharkivJS/KyivJS,Обыски в офисах ИТ-компаний,Lviv IT school (LITS),"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Синьор (5-10 лет опыта)
11/23/2015 11:54:45,HH.ua,JavaDay Kyiv,Девальвация гривны,JavaRush,"Трудный год, но в целом все хорошо",Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 11:55:23,Rabota.ua,,Девальвация гривны,Lviv IT school (LITS),"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 11:55:32,DOU.ua,IT Jam 2015 (Киев),Запуск 3G в Украине,IT-Centre,Один из лучших в моей жизни,"Надеюсь на лучшее, но есть сомнения",Джуниор (меньше двух лет опыта)
11/23/2015 11:55:45,DOU.ua,UA Web Challenge,Девальвация гривны,Bionic University,"Трудный год, но в целом все хорошо",Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 11:55:45,DOU.ua,Lviv IT Arena,Покупка Looksery за $150M,Lviv IT school (LITS),"Трудный год, но в целом все хорошо",Все будет хорошо,
11/23/2015 11:55:51,Rabota.ua,Lviv IT Arena,Запуск 3G в Украине,Lviv IT school (LITS),"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Мега-синьор (10+ лет опыта)
11/23/2015 11:56:14,LinkedIn,iForum,Запуск 3G в Украине,BrainAcademy / Coding for Future,"Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения",
11/23/2015 11:56:44,Rabota.ua,Не слежу за мероприятиями,Девальвация гривны,,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 11:56:49,LinkedIn,,Запуск 3G в Украине,,"Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения",Синьор (5-10 лет опыта)
11/23/2015 11:57:11,Rabota.ua,Не слежу за мероприятиями,"Личное (новая работа, повышение, свадьба, ...)",JavaRush,Один из лучших в моей жизни,"Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 11:57:25,DOU.ua,AI&BigData Lab (Одесса),Девальвация гривны,Web Academy,Один из лучших в моей жизни,"Надеюсь на лучшее, но есть сомнения",Синьор (5-10 лет опыта)
11/23/2015 11:57:54,,OdessaJS/LvivJS/KharkivJS/KyivJS,"Личное (новая работа, повышение, свадьба, ...)",,Один из лучших в моей жизни,Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 11:58:05,Джинн,Не слежу за мероприятиями,Запуск 3G в Украине,GoIT,"Нормальный год, все как обычно",Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 11:58:21,LinkedIn,,Обыски в офисах ИТ-компаний,,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Синьор (5-10 лет опыта)
11/23/2015 11:58:55,LinkedIn,,Девальвация гривны,,"Нормальный год, все как обычно",Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 12:00:29,DOU.ua,,Запуск 3G в Украине,,"Трудный год, но в целом все хорошо",Все будет хорошо,Синьор (5-10 лет опыта)
11/23/2015 12:00:38,Джинн,OdessaJS/LvivJS/KharkivJS/KyivJS,"Создание городских ИТ-кластеров (Харьков, Одесса, Днепр, ...)",Prometheus,"Неудачный год, все плохо","Все плохо, пора валить",
11/23/2015 12:00:50,LinkedIn,Outsource People Kyiv,Обыски в офисах ИТ-компаний,Prometheus,"Трудный год, но в целом все хорошо","Все плохо, пора валить",Миддл (2-5 лет опыта)
11/23/2015 12:01:40,GitHub,Не слежу за мероприятиями,Ничего из вышеперечисленного,JavaRush,"Нормальный год, все как обычно",Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 12:02:37,DOU.ua,Не слежу за мероприятиями,Девальвация гривны,хз,"Трудный год, но в целом все хорошо","Все плохо, пора валить",Синьор (5-10 лет опыта)
11/23/2015 12:02:46,,,Выход Fallout 4,,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",
11/23/2015 12:04:17,DOU.ua,Outsource People Kyiv,Прекращение активных боевых действий на Донбассе,ItBursa,"Нормальный год, все как обычно",Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 12:04:29,DOU.ua,Не слежу за мероприятиями,Прекращение активных боевых действий на Донбассе,,"Трудный год, но в целом все хорошо",Все будет хорошо,Синьор (5-10 лет опыта)
11/23/2015 12:04:44,DOU.ua,Lviv IT Arena,Выход Fallout 4,Lviv IT school (LITS),Один из лучших в моей жизни,Все будет хорошо,Мега-синьор (10+ лет опыта)
11/23/2015 12:04:55,Джинн,Lviv IT Arena,"Личное (новая работа, повышение, свадьба, ...)",Prometheus,"Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 12:05:00,,,Девальвация гривны,Prometheus,"Нормальный год, все как обычно",Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 12:05:07,DOU.ua,Не слежу за мероприятиями,Запуск 3G в Украине,Prometheus,Один из лучших в моей жизни,Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 12:05:15,DOU.ua,JavaDay Kyiv,Запуск 3G в Украине,Bionic University,"Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения",
11/23/2015 12:05:18,DOU.ua,IT Jam 2015 (Киев),Прекращение активных боевых действий на Донбассе,IT Labs,"Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения",Джуниор (меньше двух лет опыта)
11/23/2015 12:05:18,DOU.ua,ITEM-2015 (Днепропетровск),Прекращение активных боевых действий на Донбассе,Softengi Training Center,"Трудный год, но в целом все хорошо",Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 12:06:21,LinkedIn,IT Jam 2015 (Киев),"Личное (новая работа, повышение, свадьба, ...)",IDAP College (iOS),"Трудный год, но в целом все хорошо","Все плохо, пора валить",Миддл (2-5 лет опыта)
11/23/2015 12:06:47,Work.ua,Не слежу за мероприятиями,Рождение сына,Нет нормальных заведений,Один из лучших в моей жизни,"Все плохо, пора валить",Миддл (2-5 лет опыта)
11/23/2015 12:07:37,DOU.ua,Не слежу за мероприятиями,"Личное (новая работа, повышение, свадьба, ...)",не слежу,Один из лучших в моей жизни,Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 12:07:46,Джинн,JEEConf (Киев),Обыски в офисах ИТ-компаний,Java курсы Ивана Головача,"Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения",Синьор (5-10 лет опыта)
11/23/2015 12:08:08,Джинн,Lviv IT Arena,"Личное (новая работа, повышение, свадьба, ...)",Lviv IT school (LITS),"Нормальный год, все как обычно",Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 12:08:33,Rabota.ua,IT Jam 2015 (Киев),Запуск 3G в Украине,BrainAcademy / Coding for Future,"Трудный год, но в целом все хорошо",Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 12:09:52,HH.ua,Конференция JavaScript от JS Lab (Одесса),"Личное (новая работа, повышение, свадьба, ...)",BrainAcademy / Coding for Future,"Нормальный год, все как обычно",Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 12:11:23,LinkedIn,Не слежу за мероприятиями,Прекращение активных боевых действий на Донбассе,не пользуюсь,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 12:11:43,HH.ua,IT Jam 2015 (Киев),Прекращение активных боевых действий на Донбассе,Bionic University,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Джуниор (меньше двух лет опыта)
11/23/2015 12:12:17,Work.ua,IT Jam 2015 (Киев),Девальвация гривны,IT Labs,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 12:12:19,,,Запуск 3G в Украине,Bionic University,"Трудный год, но в целом все хорошо",Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 12:12:22,Джинн,Не слежу за мероприятиями,Запуск 3G в Украине,,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 12:12:41,DOU.ua,,"Личное (новая работа, повышение, свадьба, ...)",Java курсы Ивана Головача,"Трудный год, но в целом все хорошо","Все плохо, пора валить",Миддл (2-5 лет опыта)
11/23/2015 12:12:56,LinkedIn,IT Weekend от SoftServe,Прекращение активных боевых действий на Донбассе,Bionic University,Один из лучших в моей жизни,Все будет хорошо,Синьор (5-10 лет опыта)
11/23/2015 12:13:10,Rabota.ua,IT Fest (Киев),Запуск 3G в Украине,Bionic University,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Синьор (5-10 лет опыта)
11/23/2015 12:13:37,HH.ua,,Выход Fallout 4,Prometheus,"Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения",Джуниор (меньше двух лет опыта)
