"Timestamp","В каком вузе учились?","На каком факультете?","По какой специальности?","В каком году закончили вуз?","Как вы оцениваете полученное образование?","Что полезного для себя приобрели за время учебы?","Сталкивались ли вы с коррупцией в вашем вузе?","Сильные стороны вашего вуза:","Слабые стороны вашего вуза:","Если бы была возможность выбрать другой вуз/специальность, что бы вы выбрали?","Если бы была возможность, вы:","Пригодился ли вам диплом?","Учились очно или заочно?","Ваш пол:","Кем работаете?","Ваш доход:"
"2015/06/02 3:28:20 PM GMT+3","ТНТУ","Электронных аппаратов и компьютерный систем","Компьютерные науки","2000-2009","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Научились учиться, работать с информацией;Нашли друзей и единомышленников","Да, иногда","Уровень студентов","Устаревшая программа обучения;Нет сотрудничества с работодателями;Вуз не мотивирует учиться","","Учился в вузе более качественно","Нет, не пригодился","Очно","Женщина","Разработчик","Ниже среднего по отрасли"
"2015/06/02 3:29:13 PM GMT+3","ВНТУ","","Программная инженерия","2016 и позже","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Подучили английский язык","Нет","Уровень студентов","Устаревшая программа обучения;Слабые преподаватели;Нет современного оборудования","","Поступил на заочку и шел работать","Да, у меня диплом бакалавра","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/02 3:29:16 PM GMT+3","НТУУ «КПИ»","ИПСА","Компьютерные науки","2000-2009","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Научились учиться, работать с информацией;Научились преодолевать проблемы;Получили полезные знания по специальности;Научились эффективно планировать свое время","Нет","Изучаемые предметы, программа обучения;Сильные преподаватели;Престижность и котируемость диплома","Устаревшая программа обучения","","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Женщина","Другое","Выше среднего по отрасли"
"2015/06/02 3:29:46 PM GMT+3","ХНУРЭ","ПММ","Прикладная математика","2013-2015","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Повысили общую эрудицию;Научились преодолевать проблемы;Получили полезные знания по специальности","Только по непрофильным предметам","Изучаемые предметы, программа обучения;Сильные преподаватели","Слабые студенты;Нет современного оборудования;Диплом вуза не котируется работодателями","","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Другое","Средний по отрасли"
"2015/06/02 3:30:19 PM GMT+3","НТУУ «КПИ»","ФТІ","Другое - инженерная специальность","2013-2015","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Повысили общую эрудицию;Научились преодолевать проблемы;Подучили английский язык","Только по непрофильным предметам","Сильные преподаватели;Престижность и котируемость диплома","Устаревшая программа обучения;Нет сотрудничества с работодателями;Нет современного оборудования","","","Нет, не пригодился","Очно","Мужчина","Тестировщик","Средний по отрасли"
"2015/06/02 3:30:28 PM GMT+3","ХНТУСХ им. Петра Василенко","Электрофикации и компьютерно-интегрированных технологий","Другое - инженерная специальность","2010-2012","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Повысили общую эрудицию;Получили полезные знания по специальности","Да, иногда","Изучаемые предметы, программа обучения;Культурная жизнь в вузе","Слабые преподаватели;Нет сотрудничества с работодателями;Диплом вуза не котируется работодателями","КПИ","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Разработчик","Ниже среднего по отрасли"
"2015/06/02 3:31:45 PM GMT+3","ХНУ им. Каразина","Мехмат","прикладная и теоретическая информатика","2010-2012","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Повысили общую эрудицию;Получили полезные знания по специальности","Только по непрофильным предметам","Изучаемые предметы, программа обучения;Уровень студентов;Престижность и котируемость диплома","Нет современного оборудования","MIT","Вообще бы не поступал в вуз, шел бы сразу работать","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Разработчик","Выше среднего по отрасли"
"2015/06/02 3:32:05 PM GMT+3","ДНУ им. Гончара","Прикладная математика","Прикладная математика","2000-2009","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Ничего","Да, часто","Престижность и котируемость диплома","Устаревшая программа обучения;Слабые студенты;Нет сотрудничества с работодателями","","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Разработчик","Выше среднего по отрасли"
"2015/06/02 3:32:09 PM GMT+3","НАУ","","Прикладная математика","2010-2012","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Повысили общую эрудицию;Нашли друзей и единомышленников;Научились общаться и работать в команд","Да, часто","Культурная жизнь в вузе","Устаревшая программа обучения;Слабые преподаватели;Вуз не мотивирует учиться","","Учился в вузе более качественно","Нет, не пригодился","Очно","Женщина","Тестировщик","Средний по отрасли"
"2015/06/02 3:32:12 PM GMT+3","НТУ «ХПИ»","КИТ","Компьютерные науки","2013-2015","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Повысили общую эрудицию;Научились преодолевать проблемы;Нашли друзей и единомышленников","Только по непрофильным предметам","Сотрудничество с работодателями;Престижность и котируемость диплома","Устаревшая программа обучения;Слабые преподаватели;Нет современного оборудования","Тот же","Поступил на заочку и шел работать","Нет, не пригодился","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/02 3:32:36 PM GMT+3","ДонНТУ","","Компьютерная инженерия","2010-2012","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Научились учиться, работать с информацией;Повысили общую эрудицию;Научились преодолевать проблемы;Нашли друзей и единомышленников","Да, иногда","Уровень студентов;Престижность и котируемость диплома","Устаревшая программа обучения;Нет сотрудничества с работодателями;Нет современного оборудования","","Поступил на заочку и шел работать","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Разработчик","Ниже среднего по отрасли"
"2015/06/02 3:32:48 PM GMT+3","ОНУ им. Мечникова","ИМЭМ","Прикладная математика","2016 и позже","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Повысили общую эрудицию;Научились преодолевать проблемы;Получили полезные знания по специальности","Только по непрофильным предметам","Изучаемые предметы, программа обучения;Сильные преподаватели;Престижность и котируемость диплома","Нет современного оборудования;Вуз не мотивирует учиться","MIT","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/02 3:34:29 PM GMT+3","ЧГУ им. Петра Могилы","","Компьютерная инженерия","2013-2015","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Повысили общую эрудицию;Научились преодолевать проблемы;Получили полезные знания по специальности","Нет","Сильные преподаватели;Сотрудничество с работодателями;Современное техническое оборудование","Устаревшая программа обучения;Слабые студенты;Вуз не мотивирует учиться","","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Тестировщик","Выше среднего по отрасли"
"2015/06/02 3:35:05 PM GMT+3","Львовская Политехника","","Компьютерная инженерия","2000-2009","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Научились учиться, работать с информацией;Повысили общую эрудицию","Да, иногда","Сильные преподаватели","Слабые студенты;Вуз не мотивирует учиться","","Учился в вузе более качественно","Нет, не пригодился","Очно","Мужчина","Тестировщик","Средний по отрасли"
"2015/06/02 3:35:10 PM GMT+3","Львовская Политехника","3","Компьютерные науки","2016 и позже","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились преодолевать проблемы;Научились общаться и работать в команд","Нет","Изучаемые предметы, программа обучения","Вуз не мотивирует учиться","","Поступил на заочку и шел работать","Нет, не пригодился","Очно","Мужчина","Разработчик","Выше среднего по отрасли"
"2015/06/02 3:35:34 PM GMT+3","ЛНУ им. Франка","","Прикладная математика","2013-2015","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Повысили общую эрудицию;Нашли друзей и единомышленников;Подучили английский язык","Да, иногда","Сильные преподаватели","Устаревшая программа обучения;Слабые преподаватели;Нет сотрудничества с работодателями","","Поступил на заочку и шел работать","Нет, не пригодился","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/02 3:35:54 PM GMT+3","СТХТ НУХТ","ПСК","Компьютерные науки","2016 и позже","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Научились преодолевать проблемы;Научились эффективно планировать свое время","Нет","Культурная жизнь в вузе","Устаревшая программа обучения;Слабые преподаватели;Слабые студенты","","Вообще бы не поступал в вуз, шел бы сразу работать","Нет, не пригодился","Очно","Мужчина","Разработчик","Ниже среднего по отрасли"
"2015/06/02 3:36:51 PM GMT+3","ХНУ им. Каразина","ФКН","Компьютерные науки","2013-2015","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Научились преодолевать проблемы;Нашли друзей и единомышленников;Получили полезные знания по специальности","Да, иногда","Уровень студентов;Престижность и котируемость диплома","Устаревшая программа обучения;Нет современного оборудования","","Учился в вузе более качественно","Нет, не пригодился","Очно","Мужчина","Разработчик","Выше среднего по отрасли"
"2015/06/02 3:37:04 PM GMT+3","ХНУРЭ","ТКВТ","Другое - инженерная специальность","2000-2009","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Научились преодолевать проблемы;Научились общаться и работать в команд;Научились эффективно планировать свое время","Только по непрофильным предметам","Сильные преподаватели","Вуз не мотивирует учиться","программирование","Поступил на заочку и шел работать","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Другое","Средний по отрасли"
"2015/06/02 3:37:12 PM GMT+3","НаУКМА","Информатики","Программная инженерия","2013-2015","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Повысили общую эрудицию;Получили полезные знания по специальности;Подучили английский язык","Нет","Сильные преподаватели;Уровень студентов;Культурная жизнь в вузе","Устаревшая программа обучения;Вуз не мотивирует учиться","","Учился в вузе более качественно","Да, у меня диплом бакалавра","Очно","Женщина","Разработчик","Ниже среднего по отрасли"
"2015/06/02 3:37:36 PM GMT+3","СумГУ","ЕЛиТ","Компьютерные науки","2010-2012","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Повысили общую эрудицию;Научились преодолевать проблемы;Нашли друзей и единомышленников","Да, иногда","Изучаемые предметы, программа обучения","Слабые преподаватели","-","Учился в вузе более качественно","Нет, не пригодился","Очно","Мужчина","Тестировщик","Средний по отрасли"
"2015/06/02 3:37:57 PM GMT+3","КНУ им. Шевченко","Радиофизический","Другое - инженерная специальность","2013-2015","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Научились общаться и работать в команд","Нет","Сильные преподаватели;Престижность и котируемость диплома","Нет сотрудничества с работодателями;Нет современного оборудования","Компьютерные науки","","Нет, не пригодился","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/02 3:39:57 PM GMT+3","ХНУРЭ","ТКВТ","Безопасность информационных и коммуникационных систем","2000-2009","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились преодолевать проблемы","Да, иногда","Уровень студентов","Устаревшая программа обучения;Нет сотрудничества с работодателями;Нет современного оборудования","","","Да, у меня диплом специалиста/магистра","Очно","Женщина","Тестировщик","Средний по отрасли"
"2015/06/02 3:40:16 PM GMT+3","ЛНУ им. Франка","Приклданої математики та інформатики","Прикладная математика","2013-2015","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Научились учиться, работать с информацией;Повысили общую эрудицию;Нашли друзей и единомышленников;Получили полезные знания по специальности","Нет","Изучаемые предметы, программа обучения;Сильные преподаватели;Уровень студентов","Нет сотрудничества с работодателями;Нет современного оборудования","","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/02 3:41:07 PM GMT+3","КА ""Шаг""","вэб разработка","Компьютерные науки","2013-2015","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Научились учиться, работать с информацией;Повысили общую эрудицию;Нашли друзей и единомышленников;Получили полезные знания по специальности","Нет","Изучаемые предметы, программа обучения;Сотрудничество с работодателями;Престижность и котируемость диплома","Слабые преподаватели;Слабые студенты;Нет современного оборудования","нту хпи","Учился в вузе более качественно","Да, у меня диплом бакалавра","Очно","Женщина","Разработчик","Выше среднего по отрасли"
"2015/06/02 3:41:12 PM GMT+3","ПолтНТУ","","Компьютерные науки","2010-2012","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Повысили общую эрудицию;Научились преодолевать проблемы;Нашли друзей и единомышленников;Завели полезные знакомства среди преподавателей","Только по непрофильным предметам","Сильные преподаватели;Сотрудничество с работодателями;Культурная жизнь в вузе","Устаревшая программа обучения;Слабые студенты;Нет современного оборудования","","Вообще бы не поступал в вуз, шел бы сразу работать","Нет, не пригодился","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/02 3:41:39 PM GMT+3","НГУ (Днепропетровск)","","Компьютерные науки","2013-2015","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Повысили общую эрудицию;Нашли друзей и единомышленников;Завели полезные знакомства среди преподавателей","Да, иногда","Сильные преподаватели;Престижность и котируемость диплома;Культурная жизнь в вузе","Нет сотрудничества с работодателями;Нет современного оборудования;Вуз не мотивирует учиться","","Учился в вузе более качественно","Нет, не пригодился","Очно","Мужчина","Тестировщик","Ниже среднего по отрасли"
"2015/06/02 3:42:10 PM GMT+3","НТУУ «КПИ»","ФИВТ","Компьютерная инженерия","2010-2012","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Научились преодолевать проблемы;Подучили английский язык","Да, иногда","Изучаемые предметы, программа обучения;Престижность и котируемость диплома;Культурная жизнь в вузе","Устаревшая программа обучения;Слабые преподаватели;Нет сотрудничества с работодателями","","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Заочно","Мужчина","Сисадмин","Средний по отрасли"
"2015/06/02 3:42:16 PM GMT+3","НАУ","КИТ","Компьютерные науки","2013-2015","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Научились преодолевать проблемы","Да, часто","Уровень студентов","Устаревшая программа обучения;Слабые преподаватели;Нет современного оборудования","НТУУ «КПИ»","Поступил на заочку и шел работать","Нет, не пригодился","Очно","Мужчина","Тестировщик","Средний по отрасли"
"2015/06/02 3:42:30 PM GMT+3","НМетАУ","Компьютерных систем, энергетики и автоматизации","Экономическая кибернетика","2013-2015","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Повысили общую эрудицию;Научились преодолевать проблемы;Нашли друзей и единомышленников","Да, часто","Сотрудничество с работодателями;Современное техническое оборудование","Слабые студенты;Диплом вуза не котируется работодателями;Вуз не мотивирует учиться","Уехал за границу","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Другое","Ниже среднего по отрасли"
"2015/06/02 3:43:37 PM GMT+3","ВНТУ","","Компьютерные науки","2000-2009","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Научились учиться, работать с информацией;Научились преодолевать проблемы;Нашли друзей и единомышленников;Подучили английский язык","Да, иногда","Современное техническое оборудование","Устаревшая программа обучения;Слабые преподаватели;Слабые студенты","","Поступил на заочку и шел работать","Да, у меня диплом бакалавра","Очно","Мужчина","Разработчик","Выше среднего по отрасли"
"2015/06/02 3:44:48 PM GMT+3","НТУУ «КПИ»","","Компьютерные науки","2010-2012","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Повысили общую эрудицию;Научились преодолевать проблемы;Нашли друзей и единомышленников","Нет","Уровень студентов","Устаревшая программа обучения;Слабые преподаватели;Нет сотрудничества с работодателями","","Учился в вузе более качественно","Да, у меня диплом бакалавра","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/02 3:45:29 PM GMT+3","НТУУ «КПИ»","Электроники","Другое - инженерная специальность","2013-2015","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Научились преодолевать проблемы","Нет","Престижность и котируемость диплома;Культурная жизнь в вузе","Устаревшая программа обучения;Нет современного оборудования","Программную инженерию или Компьютерные науки","Поступил на заочку и шел работать","Нет, не пригодился","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/02 3:45:53 PM GMT+3","ХНУ им. Каразина","","медицинский факультет","2000-2009","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Повысили общую эрудицию;Нашли друзей и единомышленников;Получили полезные знания по специальности","Да, иногда","Изучаемые предметы, программа обучения;Сильные преподаватели","Слабые студенты;Нет сотрудничества с работодателями;Нет современного оборудования","","Поступил на заочку и шел работать","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/02 3:46:13 PM GMT+3","НТУУ «КПИ»","","Программная инженерия","2016 и позже","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Повысили общую эрудицию;Нашли друзей и единомышленников;Получили полезные знания по специальности","Нет","Уровень студентов","Устаревшая программа обучения;Слабые преподаватели;Нет сотрудничества с работодателями","","Вообще бы не поступал в вуз, шел бы сразу работать","Да, у меня диплом бакалавра","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/02 3:46:55 PM GMT+3","НТУУ «КПИ»","ФЕЛ","Другое - инженерная специальность","2010-2012","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Повысили общую эрудицию;Научились преодолевать проблемы;Ничего","Да, иногда","Престижность и котируемость диплома","Устаревшая программа обучения;Слабые преподаватели;Слабые студенты","КПИ (ФИВТ, ФПМ), КНУ (Кибернетика)","Вообще бы не поступал в вуз, шел бы сразу работать","Нет, не пригодился","Очно","Мужчина","Тестировщик","Средний по отрасли"
"2015/06/02 3:47:00 PM GMT+3","КНУ им. Шевченко","кибернетики","Прикладная математика","2010-2012","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Повысили общую эрудицию;Нашли друзей и единомышленников","Нет","Сильные преподаватели;Уровень студентов;Престижность и котируемость диплома","Устаревшая программа обучения;Нет сотрудничества с работодателями;Нет современного оборудования","","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Разработчик","Выше среднего по отрасли"
"2015/06/02 3:47:39 PM GMT+3","КНУ им. Шевченко","ФРЕКС","Компьютерная инженерия","2013-2015","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Повысили общую эрудицию;Подучили английский язык","Нет","Престижность и котируемость диплома;Культурная жизнь в вузе","Устаревшая программа обучения;Нет сотрудничества с работодателями;Вуз не мотивирует учиться","Самообучение","Поступил на заочку и шел работать","Нет, не пригодился","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/02 3:47:39 PM GMT+3","Львовская Политехника","","Компьютерные науки","2016 и позже","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Нашли друзей и единомышленников;Научились общаться и работать в команд;Завели полезные знакомства среди преподавателей","Да, иногда","Уровень студентов;Сотрудничество с работодателями","Устаревшая программа обучения;Слабые преподаватели;Вуз не мотивирует учиться","","Поступил на заочку и шел работать","Нет, не пригодился","Очно","Мужчина","Дизайнер","Средний по отрасли"
"2015/06/02 3:48:00 PM GMT+3","ДНУ им. Гончара","прикладной математики","Программная инженерия","2013-2015","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Повысили общую эрудицию;Ничего","Да, иногда","Культурная жизнь в вузе","Устаревшая программа обучения;Слабые студенты;Нет современного оборудования","иностранный вуз, с правильной ит программой обучения","Вообще бы не поступал в вуз, шел бы сразу работать","Нет, не пригодился","Очно","Мужчина","Разработчик","Выше среднего по отрасли"
"2015/06/02 3:48:00 PM GMT+3","ДНУ им. Гончара","прикладной математики","Программная инженерия","2013-2015","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Повысили общую эрудицию;Ничего","Да, иногда","Культурная жизнь в вузе","Устаревшая программа обучения;Слабые студенты;Нет современного оборудования","иностранный вуз, с правильной ит программой обучения","Вообще бы не поступал в вуз, шел бы сразу работать","Нет, не пригодился","Очно","Мужчина","Разработчик","Выше среднего по отрасли"
"2015/06/02 3:48:11 PM GMT+3","НАУ","","Компьютерная инженерия","2010-2012","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Повысили общую эрудицию;Научились преодолевать проблемы;Получили полезные знания по специальности","Да, иногда","Изучаемые предметы, программа обучения;Сильные преподаватели","Слабые студенты;Нет сотрудничества с работодателями;Нет современного оборудования","net","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Женщина","Разработчик","Выше среднего по отрасли"
"2015/06/02 3:48:44 PM GMT+3","Львовская Политехника","","Другое - инженерная специальность","2016 и позже","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Научились преодолевать проблемы;Нашли друзей и единомышленников;Получили полезные знания по специальности;Научились эффективно планировать свое время","Нет","Сильные преподаватели","Устаревшая программа обучения","","","Нет, не пригодился","Очно","Мужчина","Сисадмин","Ниже среднего по отрасли"
"2015/06/02 3:48:57 PM GMT+3","ХНУ им. Каразина","Иностранных языков","английский и испанский языки","2000-2009","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Научились преодолевать проблемы;Получили полезные знания по специальности;Научились эффективно планировать свое время;Подучили английский язык","Только по непрофильным предметам","Сильные преподаватели","Устаревшая программа обучения;Нет сотрудничества с работодателями;Нет современного оборудования","мехмат в том же вузе","Учился в вузе более качественно","Нет, не пригодился","Очно","Женщина","Разработчик","Средний по отрасли"
"2015/06/02 3:49:06 PM GMT+3","НАУ","","Программная инженерия","2013-2015","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Научились преодолевать проблемы;Нашли друзей и единомышленников;Получили полезные знания по специальности","Нет","Сильные преподаватели;Уровень студентов","Устаревшая программа обучения","","Поступил на заочку и шел работать","Нет, не пригодился","Часть курсов очно, часть заочно","Мужчина","Тестировщик","Средний по отрасли"
"2015/06/02 3:49:55 PM GMT+3","ВНТУ","ИнИТКИ","Компьютерные науки","2016 и позже","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Научились преодолевать проблемы;Ничего","Да, иногда","Уровень студентов;Сотрудничество с работодателями;Культурная жизнь в вузе","Устаревшая программа обучения;Нет современного оборудования;Вуз не мотивирует учиться","","Вообще бы не поступал в вуз, шел бы сразу работать","Нет, не пригодился","Очно","Мужчина","Разработчик","Средний по отрасли"
