Timestamp,FirstLanguage ,e1,NowLanguage,AdditionalLanguages,NextLanguage,PetProjectsLanguages,Choosing,Change,otherFirst,otherNow,Experience,inUA,Comment,n
,(другой),,Scala,"Java, C/C++, PHP, JavaScript, groovy, ",Scala,"Java, C/C++, Scala, m4",заказчиком,Нет,,,10 и больше
11/15/2010 12:12:17,PHP,,Java,Java,Java,,заказчиком,Нет,,,5,да
11/15/2010 12:12:21,Pascal/Delphi,,PHP,"C/C++, JavaScript, Pascal/Delphi",C/C++,"PHP, JavaScript, Pascal/Delphi",зависит от проекта,Да,,,7,да
11/15/2010 12:12:24,Asm,,C/C++,"Python, Pascal/Delphi",C/C++,C/C++,исполнителем,Нет,,,10 и больше,да
11/15/2010 12:12:31,Java,,Java,JavaScript,Java,Java,исполнителем,Нет,,,4,да
11/15/2010 12:12:41,PHP,,PHP,"C#, Python, JavaScript",Python,"PHP, C#, Python",зависит от проекта,Да,,,4,да
11/15/2010 12:12:51,C#,,C#,"C#, JavaScript",JavaScript,,моя организация разрабатывает только на этом языке,Да,,,4,нет
11/15/2010 12:13:00,Java,,C/C++,"Java, C/C++, Objective-C, JavaScript, DBase-подобные",Java,"Java, C/C++",заказчиком,Да,,,4,да
11/15/2010 12:13:09,Asm,,C/C++,"Python, Pascal/Delphi",C/C++,C/C++,исполнителем,Нет,,,10 и больше,да
11/15/2010 12:13:31,Python,,Python,"PHP, JavaScript, Google Go",Python,"Python, Google Go",совместным решением,Нет,,,3,да
11/15/2010 12:13:39,C/C++,,C/C++,"C/C++, Ruby",C/C++,"C/C++, Ruby",исполнителем,Нет,,,4,нет
11/15/2010 12:14:28,другой,,Java,"C/C++, C#, JavaScript",Scala,"Java, C#",совместным решением,Нет,,,5,да
11/15/2010 12:14:44,Java,,Ruby,"Java, C/C++, Python, Ruby, JavaScript",Python,,зависит от проекта,Да,,,5,да
11/15/2010 12:14:45,C/C++,,PHP,"Java, JavaScript",Java,"Java, PHP, C#",зависит от проекта,Да,,,10 и больше,да
11/15/2010 12:14:59,Pascal/Delphi,,Java,"C/C++, Python, Scala",Scala,Java,совместным решением,Нет,,,7,да
11/15/2010 12:15:36,Pascal/Delphi,,PHP,,PHP,PHP,моя организация разрабатывает только на этом языке,Нет,,,3,нет
11/15/2010 12:15:43,PHP,,PHP,"PHP, Python, JavaScript",Python,,моя организация разрабатывает только на этом языке,Да,,,1,да
11/15/2010 12:15:48,Pascal/Delphi,,C#,"PHP, C#, Python, Ruby, Pascal/Delphi",C#,"PHP, C#, Python, Ruby, Pascal/Delphi",совместным решением,Нет,,,5,да
11/15/2010 12:16:43,Pascal/Delphi,,PHP,JavaScript,Python,,зависит от проекта,Да,,,2,да
11/15/2010 12:16:45,другой,,Python,"C/C++, Python, Perl, Lua, Erlang",C/C++,"C/C++, Python, Lua",заказчиком,Да,,,9,нет
11/15/2010 12:16:49,Pascal/Delphi,,Java,JavaScript,Java,,заказчиком,Нет,,,1,да
11/15/2010 12:17:13,PHP,,PHP,"JavaScript, ActionScript",PHP,PHP,совместным решением,Нет,,,5,да
11/15/2010 12:17:26,Pascal/Delphi,,1С,"Ruby, 1C",Ruby,,совместным решением,Нет,,,10 и больше,да
11/15/2010 12:17:27,(выберите из списка),,(выберите из списка),,(выберите из списка),,заказчиком,Да,,,0,да,"Не хватает пункта ""ECMAscript подобные языки"", к которому можно было бы отнести ActionScript, например.
Интересно, а как из этого опроса можно будет узнать приниципы, по которым эти языки выбираются для работы или для хобби?"
11/15/2010 12:17:35,Basic,,PHP,"C#, JavaScript",C#,"PHP, C#",исполнителем,Нет,,,10 и больше,да
11/15/2010 12:18:44,PHP,,Objective-C,"C/C++, C#, JavaScript",Objective-C,Objective-C,зависит от проекта,Нет,,,7,нет
11/15/2010 12:19:03,C/C++,,C/C++,"Java, C/C++",Java,"Java, C/C++",заказчиком,Нет,,,9,да
11/15/2010 12:19:34,C/C++,,C/C++,C/C++,C#,Java,моя организация разрабатывает только на этом языке,Нет,,,1,да
11/15/2010 12:20:04,Java,,Objective-C,C/C++,Objective-C,,зависит от проекта,Нет,,,0,да
11/15/2010 12:20:26,PHP,,PHP,PHP,PHP,PHP,заказчиком,Нет,,,3,да
11/15/2010 12:20:34,C/C++,,C/C++,"Java, PHP, Perl",Java,,заказчиком,Нет,,,10 и больше,да
11/15/2010 12:21:24,C/C++,,C/C++,"PHP, C#",C/C++,"C/C++, C#",заказчиком,Нет,,,10 и больше,да
11/15/2010 12:21:34,C/C++,,Python,"C/C++, Python",Python,Python,совместным решением,Нет,,,2,нет
11/15/2010 12:21:57,PHP,,PHP,JavaScript,PHP,,исполнителем,Нет,,,4,да
11/15/2010 12:22:01,Java,,Java,"Java, JavaScript",Java,,зависит от проекта,Нет,,,0,да
11/15/2010 12:22:43,Pascal/Delphi,,Pascal/Delphi,Python,Pascal/Delphi,,исполнителем,Да,,,10 и больше,нет
11/15/2010 12:22:50,Pascal/Delphi,,C#,"JavaScript, DBase-подобные",C#,C#,исполнителем,Нет,,,1,да
11/15/2010 12:24:05,C/C++,,C#,,C#,,моя организация разрабатывает только на этом языке,Нет,,,10 и больше,да
11/15/2010 12:24:07,PHP,,PHP,"Java, PHP, C#, Python",C#,"PHP, C#, Python",зависит от проекта,Да,,,4,нет
11/15/2010 12:25:30,C/C++,,Python,"C/C++, Python",Python,,заказчиком,Нет,,,2,да
11/15/2010 12:25:33,C#,,C#,C#,C#,C#,заказчиком,Нет,,,9,да
11/15/2010 12:26:31,Pascal/Delphi,,C#,"PHP, Python, JavaScript",C#,"PHP, C#",зависит от проекта,Нет,,,7,да
11/15/2010 12:26:42,другой,,Ruby,"C/C++, Tcl",Scala,"C/C++, Ruby, Tcl",зависит от проекта,Нет,,,4,да
11/15/2010 12:28:00,Pascal/Delphi,,Java,"C/C++, Pascal/Delphi",C/C++,"C/C++, Basic, Pascal/Delphi",совместным решением,Нет,,,3,нет
11/15/2010 12:28:18,C/C++,,C#,DBase-подобные,C#,,заказчиком,Нет,,,4,да
11/15/2010 12:29:24,C/C++,,Java,"PHP, Python, JavaScript",Java,Java,исполнителем,Нет,,,10 и больше,да
11/15/2010 12:29:36,Basic,,C#,"C#, Basic , VBScript",C#,,заказчиком,Нет,,,8,да
11/15/2010 12:29:52,C/C++,,C#,C/C++,C#,"C/C++, C#",совместным решением,Нет,,,10 и больше,да
11/15/2010 12:29:58,Perl,,Perl,"C/C++, Python",C/C++,"Python, Perl",заказчиком,Да,,,3,да
11/15/2010 12:31:30,Basic,,Ruby,"Perl, Ruby, JavaScript, SQL, Shell",Ruby,"PHP, Ruby, JavaScript",исполнителем,Нет,,,10 и больше,да
11/15/2010 12:31:45,C#,,C#,"C/C++, PHP, JavaScript",C#,"PHP, C#, Ruby",зависит от проекта,Нет,,,3,да
11/15/2010 12:32:32,Basic,,C/C++,"C#, Objective-C",Java,C/C++,зависит от проекта,Нет,,,7,да
11/15/2010 12:32:46,C/C++,,Java,"C/C++, Python",Java,C/C++,зависит от проекта,Нет,,,5,да
11/15/2010 12:32:52,Pascal/Delphi,,PHP,"Java, PHP, Python",Java,,зависит от проекта,Да,,,2,нет
11/15/2010 12:34:47,C#,,C#,"Java, PHP, JavaScript, Lua, DBase-подобные",PHP,"Java, PHP",исполнителем,Нет,,,5,нет
11/15/2010 12:34:48,C/C++,,C/C++,C/C++,C/C++,C/C++,моя организация разрабатывает только на этом языке,Нет,,,3,да
11/15/2010 12:36:07,JavaScript,,JavaScript,PHP,PHP,JavaScript,зависит от проекта,Нет,,,9,да
11/15/2010 12:36:09,Pascal/Delphi,,C#,Java,C#,C#,совместным решением,Да,,,7,да
11/15/2010 12:36:28,C/C++,,Java,,Java,,совместным решением,Нет,,,7,да
11/15/2010 12:36:29,Basic,,PHP,"Java, PHP, Python, JavaScript",Python,,моя организация разрабатывает только на этом языке,Нет,,,10 и больше,да,ура )
11/15/2010 12:36:34,другой,,C#,"C#, JavaScript",Asm,,совместным решением,Нет,,,2,да
11/15/2010 12:37:01,другой,,C#,"Java, PHP, C#",C#,,совместным решением,Нет,,,2,да
11/15/2010 12:37:52,C/C++,,C#,"C#, JavaScript",C#,,зависит от проекта,Нет,,,3,да
11/15/2010 12:38:01,C/C++,,Python,"Java, C/C++, C#, Asm",Python,"C/C++, Python",исполнителем,Нет,,,10 и больше,да
11/15/2010 12:38:33,PHP,,Java,PHP,Java,"Java, PHP",заказчиком,Нет,,,3,да
11/15/2010 12:39:20,Java,,Java,"Java, Objective-C",Java,,совместным решением,Нет,,,6,да
11/15/2010 12:39:52,Basic,,Ruby,"C#, Ruby, JavaScript",C#,C#,зависит от проекта,Нет,,,10 и больше,да
11/15/2010 12:40:01,(выберите из списка),,(выберите из списка),"Java, Python",Java,,совместным решением,Да,,,2,да
11/15/2010 12:40:11,C/C++,,Objective-C,"C/C++, C#, Objective-C",C#,"C/C++, C#",зависит от проекта,Нет,,,3,да
11/15/2010 12:40:19,(выберите из списка),,(выберите из списка),"Java, PHP, JavaScript, Lua",PHP,PHP,исполнителем,Да,,,5,нет
11/15/2010 12:40:47,C/C++,,C/C++,Haskell,Haskell,"C/C++, Haskell",зависит от проекта,Да,,,5,да
11/15/2010 12:41:10,C/C++,,PHP,"Perl, Ruby, JavaScript",Ruby,"PHP, Ruby, JavaScript",зависит от проекта,Да,,,8,да
11/15/2010 12:41:21,C/C++,,другой,"C/C++, Python, erlang",(выберите из списка),"Python, erlang",моя организация разрабатывает только на этом языке,Нет,,,9,да
11/15/2010 12:41:48,C/C++,,C#,Python,C#,,совместным решением,Нет,,,2,да
11/15/2010 12:42:16,PHP,,PHP,JavaScript,PHP,,исполнителем,Да,,,5,да
11/15/2010 12:42:19,C/C++,,C/C++,"C/C++, Objective-C",C/C++,"C/C++, Objective-C",моя организация разрабатывает только на этом языке,Нет,,,2,да
11/15/2010 12:42:31,C#,,C#,JavaScript,C#,,зависит от проекта,Нет,,,4,да
11/15/2010 12:43:09,PHP,,PHP,"C/C++, Python, JavaScript",Python,"C/C++, Python",совместным решением,Да,,,6,да
11/15/2010 12:44:38,Pascal/Delphi,,C#,"Java, JavaScript, 1C",C#,,исполнителем,Нет,,,6,да
11/15/2010 12:44:50,C/C++,,C/C++,,C/C++,C/C++,моя организация разрабатывает только на этом языке,Нет,,,10 и больше,да
11/15/2010 12:45:02,C/C++,,C/C++,"Java, Perl, Lua",Haskell,"C/C++, Python, Lisp, Haskell",заказчиком,Нет,,,3,да
11/15/2010 12:45:05,Basic,,C/C++,,C/C++,"C/C++, C#",заказчиком,Нет,,,10 и больше,да
11/15/2010 12:45:42,Pascal/Delphi,,C/C++,,C#,,заказчиком,Да,,,0,да
11/15/2010 12:46:19,C#,,C#,C/C++,C#,,совместным решением,Нет,,,2,да
11/15/2010 12:47:24,C/C++,,PHP,"Java, C/C++, PHP, Basic , Ruby",(выберите из списка),,совместным решением,Да,,,5,да
11/15/2010 12:47:37,PHP,,PHP,C#,C#,,заказчиком,Да,,,1,да
11/15/2010 12:48:05,C/C++,,другой,"Python, erlang",другой,"Python, erlang",исполнителем,Нет,,,9,да
11/15/2010 12:48:09,C/C++,,C/C++,Python,C#,,заказчиком,Да,,,10 и больше,да
11/15/2010 12:48:21,Java,,PHP,"Java, PHP, Python, JavaScript",PHP,"PHP, JavaScript",исполнителем,Нет,,,3,да
11/15/2010 12:49:26,Pascal/Delphi,,C#,"Java, C/C++, JavaScript",C#,,совместным решением,Нет,,,10 и больше,да
11/15/2010 12:49:58,Pascal/Delphi,,другой,"Java, PHP, Basic , Action Script 3, MXML",другой,"PHP, AS 3",зависит от проекта,Нет,,,3,да
11/15/2010 12:50:27,C/C++,,C/C++,"C/C++, Python, Perl, DBase-подобные",Java,,совместным решением,Да,,,3,да
11/15/2010 12:51:01,Pascal/Delphi,,C#,"C#, JavaScript",Ruby,"PHP, C#, Ruby, JavaScript, Pascal/Delphi",зависит от проекта,Нет,,,3,да
11/15/2010 12:51:32,PHP,,PHP,"PHP, JavaScript",PHP,"Python, Objective-C, Ruby",исполнителем,Нет,,,7,да
11/15/2010 12:52:09,PHP,,PHP,"Perl, Ruby, JavaScript",PHP,"PHP, Ruby",зависит от проекта,Нет,,,5,да
11/15/2010 12:52:26,Basic,,C/C++,"Java, C/C++, C#",C/C++,C/C++,заказчиком,Нет,,,10 и больше,да
11/15/2010 12:52:51,JavaScript,,JavaScript,,JavaScript,,зависит от проекта,Нет,,,4,да
11/15/2010 12:53:54,C/C++,,Java,,Java,Java,зависит от проекта,Нет,,,2,да
11/15/2010 12:54:10,C/C++,,PHP,"Python, Ruby",Ruby,PHP,моя организация разрабатывает только на этом языке,Да,,,7,да
11/15/2010 12:55:28,C/C++,,Ruby,Java,Ruby,"Ruby, erlang",совместным решением,Нет,,,5,да
11/15/2010 12:55:33,PHP,,Ruby,"C/C++, PHP, Ruby, JavaScript, Pascal/Delphi, 1C",PHP,"PHP, Pascal/Delphi",совместным решением,Нет,,,6,да
11/15/2010 12:56:46,Java,,Java,"Python, Lisp",Python,"Java, Python, Lisp",зависит от проекта,Нет,,,4,да
11/15/2010 12:58:09,C/C++,,C/C++,,C/C++,,зависит от проекта,Нет,,,3,да
11/15/2010 12:58:19,Pascal/Delphi,,C#,C/C++,C#,C#,совместным решением,Нет,,,10 и больше,да
11/15/2010 12:59:07,PHP,,PHP,,(выберите из списка),"C/C++, PHP",исполнителем,Да,,,2,нет
11/15/2010 12:59:41,Asm,,C/C++,"Java, PHP, JavaScript, Asm, haxe,neko",другой,"C/C++, PHP, Asm",зависит от проекта,Нет,,,10 и больше,да
11/15/2010 12:59:52,другой,,другой,Action Script 3,C#,C#,исполнителем,Да,,,5,да,as3/2 в опале ?
11/15/2010 13:00:10,C/C++,,C/C++,"C/C++, C#, Perl",C#,Java,зависит от проекта,Нет,,,1,да
11/15/2010 13:00:36,C/C++,,C/C++,"C/C++, C#",C#,C/C++,заказчиком,Нет,,,6,да
11/15/2010 13:01:03,1C,,1С,"C/C++, Pascal/Delphi",1C,,зависит от проекта,Нет,,,4,да
11/15/2010 13:01:17,Asm,,Python,"Java, C/C++, PHP, Python, Perl, JavaScript",Java,"C/C++, Python",зависит от проекта,Да,,,10 и больше,да
11/15/2010 13:01:22,Java,,Haskell,"Java, Python, Perl, Ruby, Shell, ksh",Haskell,"PHP, Perl, Ruby, Lisp, Haskell",зависит от проекта,Нет,,,10 и больше,да
11/15/2010 13:01:49,JavaScript,,Java,Java,Java,Java,заказчиком,Нет,,,4,да
11/15/2010 13:02:57,Pascal/Delphi,,C#,JavaScript,C#,,заказчиком,Нет,,,10 и больше,да
11/15/2010 13:04:32,Python,,Python,"C/C++, Python",Java,,зависит от проекта,Да,,,2,да
11/15/2010 13:04:40,PHP,,Ruby,"Ruby, JavaScript",Ruby,Ruby,совместным решением,Нет,,,7,да
11/15/2010 13:05:08,Basic,,C#,"C/C++, Python",C#,,заказчиком,Нет,,,7,да
11/15/2010 13:05:28,C/C++,,C/C++,"Java, C#, JavaScript, Lua, Asm",C/C++,"Java, C/C++, JavaScript",исполнителем,Нет,,,10 и больше,нет
11/15/2010 13:06:12,Java,,Java,"Java, Python, Ruby, JavaScript",Ruby,,зависит от проекта,Нет,,,4,да
11/15/2010 13:06:20,PHP,,PHP,"Java, PHP, Python, Basic , Perl, JavaScript",Java,,зависит от проекта,Да,,,5,да
11/15/2010 13:07:23,Ruby,,Ruby,"Ruby, JavaScript",Ruby,,совместным решением,Нет,,,1,да
11/15/2010 13:08:01,Python,,Python,"C/C++, Ocaml",другой,"C/C++, Python, Ocaml",зависит от проекта,Да,,,5,нет
11/15/2010 13:09:11,PHP,,Ruby,"PHP, C#, Perl, Ruby",Ruby,Ruby,совместным решением,Нет,,,4,да,Но хотелось бы уехать в силиконовую долину :) 
11/15/2010 13:09:23,Perl,,Java,,Java,Scala,зависит от проекта,Нет,,,5,да
11/15/2010 13:10:36,Java,,Scala,"Java, PHP, Scala",Scala,,заказчиком,Да,,,3,да
11/15/2010 13:11:21,PHP,,PHP,"Java, C/C++, PHP, Python, Perl, JavaScript, DBase-подобные",PHP,PHP,исполнителем,Нет,,,2,да
11/15/2010 13:11:59,PHP,,другой,"PHP, JavaScript, ColdFusion",PHP,,заказчиком,Нет,,,5,да
11/15/2010 13:12:05,Java,,Java,"C/C++, PHP, Ruby",Java,Java,совместным решением,Нет,,,5,да
11/15/2010 13:12:52,1C,,C#,JavaScript,C#,,моя организация разрабатывает только на этом языке,Нет,,,5,да
11/15/2010 13:14:09,Pascal/Delphi,,PHP,"Python, JavaScript",Python,Python,совместным решением,Да,,,5,да
11/15/2010 13:14:26,PHP,,Pascal/Delphi,"PHP, JavaScript, Pascal/Delphi",C#,PHP,моя организация разрабатывает только на этом языке,Да,,,5,нет
11/15/2010 13:14:27,Basic,,Pascal/Delphi,"1C, DBase-подобные",1C,Pascal/Delphi,зависит от проекта,Да,,,7,нет
11/15/2010 13:14:47,C/C++,,C#,C#,Lisp,C#,заказчиком,Да,,,3,да
11/15/2010 13:16:05,C#,,C#,Action Script 3,Python,C#,совместным решением,Да,,,0,нет
11/15/2010 13:16:05,Pascal/Delphi,,PHP,"Ruby, JavaScript",PHP,PHP,заказчиком,Да,,,8,да
11/15/2010 13:16:45,C#,,C#,"Objective-C, JavaScript, erlang",C#,,зависит от проекта,Нет,,,4,да
11/15/2010 13:16:47,C#,,C#,JavaScript,C#,,зависит от проекта,Нет,,,2,да
11/15/2010 13:17:26,Java,,Java,Java,Java,,зависит от проекта,Нет,,,3,да,Java forever
11/15/2010 13:18:54,PHP,,Ruby,"PHP, C#, Ruby, JavaScript",Ruby,"Ruby, JavaScript",совместным решением,Нет,,,5,да
11/15/2010 13:20:02,Pascal/Delphi,,Python,JavaScript,Python,,совместным решением,Да,,,7,да
11/15/2010 13:20:52,Perl,,другой,"PHP, Qt",другой,Qt,совместным решением,Нет,,,10 и больше,да
11/15/2010 13:21:05,(выберите из списка),,(выберите из списка),"PHP, JavaScript",PHP,"PHP, JavaScript",исполнителем,Да,,,0,да
11/15/2010 13:21:10,DBase-подобные ,,C#,C#,C#,C#,заказчиком,Нет,,,10 и больше,да
11/15/2010 13:21:19,C/C++,,Python,"C/C++, Python, JavaScript, Haskell",Haskell,,зависит от проекта,Да,,,3,да
11/15/2010 13:21:36,другой,,C/C++,"C#, Lua, Asm",C/C++,"C/C++, Lua",исполнителем,Нет,,,10 и больше,да
11/15/2010 13:21:37,Pascal/Delphi,,Python,"C/C++, Python, Shell",Python,Python,зависит от проекта,Да,,,5,нет
11/15/2010 13:22:20,C/C++,,Python,C/C++,Python,Python,зависит от проекта,Нет,,,7,да
11/15/2010 13:22:34,PHP,,PHP,"Java, Python, JavaScript",Java,PHP,заказчиком,Нет,,,5,да
11/15/2010 13:22:37,C/C++,,C#,,C#,,совместным решением,Нет,,,8,да
11/15/2010 13:22:37,другой,,C#,"C/C++, Basic ",C#,,зависит от проекта,Нет,,,5,да
11/15/2010 13:22:38,C/C++,,C#,"C/C++, C#, JavaScript",C#,"C#, Python",совместным решением,Нет,,,4,да
11/15/2010 13:22:52,Pascal/Delphi,,Java,JavaScript,Ruby,,заказчиком,Нет,,,6,да
11/15/2010 13:24:05,C/C++,,C#,JavaScript,C#,"C/C++, C#, JavaScript, Pascal/Delphi, Asm",заказчиком,Нет,,,7,да
11/15/2010 13:24:09,C#,,1С,"Java, PHP, C#, Basic , JavaScript, 1C, ABAP",Java,"PHP, JavaScript",заказчиком,Да,,,10 и больше,да
11/15/2010 13:24:12,C#,,C#,,C#,Java,зависит от проекта,Нет,,,2,да
11/15/2010 13:26:18,Basic,,PHP,"PHP, JavaScript, 1C",PHP,,исполнителем,Нет,,,7,да
11/15/2010 13:26:20,C/C++,,C/C++,"C#, Objective-C, Perl, JavaScript, Lua",Ruby,"C/C++, Objective-C, Ruby, Lua",зависит от проекта,Нет,,,3,да
11/15/2010 13:26:52,Java,,Java,"Python, JavaScript",Java,Java,заказчиком,Да,,,5,да
11/15/2010 13:27:03,C/C++,,C/C++,Python,Python,,заказчиком,Нет,,,4,да
11/15/2010 13:27:36,JavaScript,,JavaScript,"PHP, Ruby, JavaScript",Ruby,"Ruby, JavaScript",зависит от проекта,Да,,,6,да
11/15/2010 13:28:59,Java,,Java,Python,Java,"Java, Python",моя организация разрабатывает только на этом языке,Нет,,,1,нет
11/15/2010 13:29:04,PHP,,PHP,"PHP, Python, Perl, JavaScript",PHP,,зависит от проекта,Нет,,,5,нет
11/15/2010 13:29:48,C#,,JavaScript,"C/C++, Python, Objective-C, Perl, Ruby, Lua",JavaScript,JavaScript,зависит от проекта,Нет,,,4,да
11/15/2010 13:30:59,Pascal/Delphi,,C/C++,"C/C++, Python, Perl, JavaScript, Fortran, Asm",C/C++,"C/C++, Python, Lisp",зависит от проекта,Нет,,,10 и больше,нет
11/15/2010 13:32:29,Basic,,C#,JavaScript,C#,JavaScript,заказчиком,Да,,,6,да
11/15/2010 13:33:40,PHP,,Ruby,"C/C++, JavaScript",Ruby,Ruby,исполнителем,Нет,,,5,нет
11/15/2010 13:33:53,Java,,Java,"Java, JavaScript",Java,Java,исполнителем,Да,,,3,да
11/15/2010 13:34:15,1C,,PHP,"Java, JavaScript",PHP,,зависит от проекта,Нет,,,7,нет
11/15/2010 13:34:56,PHP,,JavaScript,"html, css",(выберите из списка),,совместным решением,Нет,,,4,да
11/15/2010 13:35:35,Fortran,,PHP,"JavaScript, Action  Script",PHP,PHP,исполнителем,Нет,,,10 и больше,нет
11/15/2010 13:36:14,Basic,,Java,"C/C++, Objective-C, Fortran",Java,"Java, Objective-C",зависит от проекта,Нет,,,10 и больше,да
11/15/2010 13:36:37,Pascal/Delphi,,Python,"Python, Haskell",Haskell,"Python, Haskell",исполнителем,Нет,,,4,нет
11/15/2010 13:38:17,Pascal/Delphi,,Pascal/Delphi,,Ruby,PHP,исполнителем,Да,,,3,нет
11/15/2010 13:38:45,Pascal/Delphi,,Pascal/Delphi,,C#,,моя организация разрабатывает только на этом языке,Да,,,5,нет
11/15/2010 13:38:53,Pascal/Delphi,,Pascal/Delphi,"PHP, Perl, Ruby, JavaScript, 1C",Java,Pascal/Delphi,совместным решением,Да,,,8,да
11/15/2010 13:38:54,C/C++,,C#,"C/C++, Python, Lua",C#,,исполнителем,Да,,,2,да
11/15/2010 13:39:00,Asm,,C#,Objective-C,Objective-C,"C/C++, C#, Objective-C",заказчиком,Нет,,,10 и больше,да
11/15/2010 13:39:38,Java,,Java,JavaScript,Java,,совместным решением,Нет,,,3,да
11/15/2010 13:40:25,JavaScript,,PHP,"PHP, JavaScript",(выберите из списка),,заказчиком,Нет,,,2,да
11/15/2010 13:40:32,Java,,Java,"Java, PHP, 1C",Java,,зависит от проекта,Нет,,,1,да
11/15/2010 13:40:48,Java,,Java,"Java, Objective-C, JavaScript",Java,Java,совместным решением,Нет,,,4,да
11/15/2010 13:40:53,C/C++,,JavaScript,,C/C++,"C/C++, JavaScript",моя организация разрабатывает только на этом языке,Нет,,,3,нет
11/15/2010 13:41:18,Basic,,C#,"C#, JavaScript",C#,"C#, JavaScript",моя организация разрабатывает только на этом языке,Нет,,,4,да
11/15/2010 13:41:19,C#,,C#,JavaScript,C#,"C#, JavaScript",моя организация разрабатывает только на этом языке,Нет,,,3,да
11/15/2010 13:42:55,Pascal/Delphi,,Java,"Java, C#, Python, Objective-C, JavaScript",JavaScript,"Java, Python, JavaScript",зависит от проекта,Да,,,5,нет
11/15/2010 13:43:24,C#,,C#,"C#, JavaScript",C#,,заказчиком,Нет,,,4,да
11/15/2010 13:44:15,Java,,Java,"Java, Scala",Java,Java,исполнителем,Нет,,,6,нет
11/15/2010 13:44:35,другой,,другой,"Java, Progress 4GL",Java,,заказчиком,Нет,,,10 и больше,да
11/15/2010 13:45:02,C/C++,,Pascal/Delphi,,Pascal/Delphi,Pascal/Delphi,моя организация разрабатывает только на этом языке,Нет,,,10 и больше,нет
11/15/2010 13:45:09,C#,,Java,Perl,Python,"Java, Python",исполнителем,Нет,,,3,да
11/15/2010 13:45:22,Pascal/Delphi,,Java,"C/C++, C#, Pascal/Delphi",C#,,зависит от проекта,Нет,,,7,да
11/15/2010 13:45:22,(выберите из списка),,C#,JavaScript,C#,,совместным решением,Нет,,,10 и больше,да
11/15/2010 13:45:47,C/C++,,Java,Python,Java,"Java, C/C++",исполнителем,Нет,,,5,нет
11/15/2010 13:46:40,Java,,Java,Ruby,Java,Java,заказчиком,Нет,,,1,да
11/15/2010 13:46:58,Java,,C#,"Java, C/C++, JavaScript",Java,,зависит от проекта,Да,,,10 и больше,да
11/15/2010 13:47:05,C/C++,,Ruby,"C/C++, PHP, Python, Ruby, Shell",Ruby,"C/C++, Ruby",совместным решением,Да,,,10 и больше,да
11/15/2010 13:48:16,PHP,,JavaScript,"Python, Perl",Python,,зависит от проекта,Нет,,,5,да
11/15/2010 13:48:45,C#,,C#,,Python,"C/C++, PHP, C#, Python",моя организация разрабатывает только на этом языке,Да,,,5,да
11/15/2010 13:49:31,Basic,,Java,Perl,Java,"Java, Asm",моя организация разрабатывает только на этом языке,Нет,,,10 и больше,да
11/15/2010 13:49:45,C/C++,,C#,"C#, JavaScript",C#,C#,моя организация разрабатывает только на этом языке,Нет,,,10 и больше,да
11/15/2010 13:49:59,C#,,C#,,C#,,заказчиком,Нет,,,3,да
11/15/2010 13:50:24,Java,,Java,,Java,"C#, Lisp",моя организация разрабатывает только на этом языке,Нет,,,2,да
11/15/2010 13:50:53,C/C++,,Java,Python,Ruby,Ruby,моя организация разрабатывает только на этом языке,Нет,,,10 и больше,нет
11/15/2010 13:51:20,Pascal/Delphi,,Java,"Perl, JavaScript, Shell, awk",Java,,зависит от проекта,Да,,,5,да
11/15/2010 13:51:21,Pascal/Delphi,,PHP,JavaScript,PHP,"PHP, JavaScript",моя организация разрабатывает только на этом языке,Нет,,,7,да
11/15/2010 13:52:16,Pascal/Delphi,,C/C++,"C#, Python",Python,C/C++,зависит от проекта,Да,,,6,да
11/15/2010 13:52:54,Java,,Java,"Java, C/C++, JavaScript, Lua, Scala",Java,Java,совместным решением,Нет,,,2,да
11/15/2010 13:53:00,Pascal/Delphi,,C#,"C#, JavaScript",C#,"C#, JavaScript",заказчиком,Нет,,,4,да
11/15/2010 13:53:53,C/C++,,Java,"Java, C/C++, C#, Objective-C, JavaScript, Cobol, Haskell, Asm",Java,"Java, Asm",зависит от проекта,Нет,,,5,да
11/15/2010 13:54:03,Java,,Java,"Python, Groovy",Java,Java,зависит от проекта,Да,,,6,да
11/15/2010 13:54:10,C/C++,,Java,"Java, C/C++, PHP, Perl, JavaScript",Java,,зависит от проекта,Нет,,,8,да
11/15/2010 13:55:31,PHP,,Python,"Java, C/C++, JavaScript",Python,"Python, JavaScript",зависит от проекта,Нет,,,8,да
11/15/2010 13:55:37,Java,,Java,JavaScript,Java,JavaScript,исполнителем,Нет,,,3,нет
11/15/2010 13:55:53,C/C++,,C/C++,"C#, JavaScript",C/C++,,зависит от проекта,Нет,,,5,нет
11/15/2010 13:56:04,PHP,,PHP,JavaScript,PHP,,зависит от проекта,Нет,,,3,да
11/15/2010 13:57:14,Basic,,C#,Basic ,C#,Basic,зависит от проекта,Нет,,,10 и больше,да
11/15/2010 13:57:53,C/C++,,Java,"C/C++, C#, Objective-C",C#,"Java, C/C++, PHP, C#, Objective-C",совместным решением,Да,,,6,да
11/15/2010 13:58:27,Java,,Java,JavaScript,Java,C/C++,зависит от проекта,Нет,,,6,да
11/15/2010 13:58:36,C/C++,,другой,Lisp,другой,"D (client side), Erlang (server side)",зависит от проекта,Нет,,,7,да
11/15/2010 13:59:27,C/C++,,C/C++,Python,Python,Python,моя организация разрабатывает только на этом языке,Да,,,2,да
