"X","Должность","Язык.программирования","Специализация","Общий.опыт.работы","Опыт.работы.на.текущем.месте","Зарплата.в.месяц","Изменение.зарплаты","Город","Размер.компании","Пол","Возраст","Образование","Уровень.английского","Дата.заполнения","User.Agent","exp","current_job_exp","loc","salary","Валюта","cls"
"457",NA,"Senior Software Engineer","C++","","3.5","3.5",850,100,"Житомир","до 50 человек","мужской",24,"Высшее","средний","18/12/2012 14:04:43","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0",3.5,3.5,"other",850,NA,"DEV"
"458",NA,"Технический писатель","","","3","1.5",1200,200,"Днепр.","до 1000 человек","женский",24,"Высшее","продвинутый","18/12/2012 14:04:58","Opera/9.80 (Windows NT 6.1; WOW64; Edition Campaign 09) Presto/2.12.388 Version/12.12",3,1.5,"Днепр.",1200,NA,""
"459",NA,"Software Engineer","Java","","3","3",2000,200,"Львов","свыше 1000 человек","мужской",25,"Высшее","средний","18/12/2012 14:05:15","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",3,3,"Львов",2000,NA,"DEV"
"460",NA,"Senior Software Engineer","PHP","","5","3",1500,300,"Николаев","до 200 человек","мужской",27,"Высшее","средний","18/12/2012 14:05:16","Mozilla/5.0 (X11; Linux x86_64; rv:12.0) Gecko/20100101 Firefox/12.0",5,3,"other",1500,NA,"DEV"
"461",NA,"Team lead","","","7","2",2150,400,"Львов","свыше 1000 человек","мужской",27,"Незаконченное высшее","выше среднего","18/12/2012 14:05:20","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",7,2,"Львов",2150,NA,"PM"
"462",NA,"Junior Software Engineer","Objective-C","","1.5","1",1300,100,"Одесса","до 10 человек","женский",20,"Незаконченное высшее","средний","18/12/2012 14:05:29","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.101 Safari/537.11",1.5,1,"other",1300,NA,"DEV"
"463",NA,"QA engineer","","Manual QA","1.5","1.5",896,300,"Днепр.","до 50 человек","женский",27,"Высшее","средний","18/12/2012 14:06:11","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",1.5,1.5,"Днепр.",896,NA,"QA"
"464",NA,"Дизайнер","","","4","1.5",1250,250,"Харьков","до 200 человек","мужской",32,"Высшее","средний","18/12/2012 14:06:25","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",4,1.5,"Харьков",1250,NA,""
"465",NA,"Дизайнер","","","3","1",1500,500,"Киев","до 10 человек","мужской",23,"Незаконченное высшее","выше среднего","18/12/2012 14:07:10","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",3,1,"Киев",1500,NA,""
"466",NA,"Junior Software Engineer","Java","","3","0.75",740,0,"Днепр.","до 50 человек","мужской",21,"Незаконченное высшее","ниже среднего","18/12/2012 14:07:16","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4",3,0.75,"Днепр.",740,NA,"DEV"
"467",NA,"Junior Software Engineer","PHP","","1.75","0.5",1234,250,"Днепр.","свыше 1000 человек","мужской",26,"Высшее","выше среднего","18/12/2012 14:08:03","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.4 (KHTML, like Gecko) Ubuntu/12.10 Chromium/22.0.1229.94 Chrome/22.0.1229.94 Safari/537.4",1.75,0.5,"Днепр.",1234,NA,"DEV"
"468",NA,"Senior Software Engineer","PHP","","4.5","2",1120,130,"Киев","до 200 человек","мужской",23,"Высшее","продвинутый","18/12/2012 14:08:19","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",4.5,2,"Киев",1120,NA,"DEV"
"469",NA,"Junior Software Engineer","Java","","0.5","0.5",600,600,"Харьков","до 200 человек","мужской",19,"Незаконченное высшее","средний","18/12/2012 14:08:24","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.4 (KHTML, like Gecko) Ubuntu/12.10 Chromium/22.0.1229.94 Chrome/22.0.1229.94 Safari/537.4",0.5,0.5,"Харьков",600,NA,"DEV"
"470",NA,"Software Engineer","PHP","","4","2",800,100,"Донецк","до 200 человек","мужской",27,"Незаконченное высшее","элементарный","18/12/2012 14:08:30","Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",4,2,"other",800,NA,"DEV"
"471",NA,"Software Engineer","PHP","","3.5","2.5",3000,1500,"Киев","до 50 человек","мужской",27,"Высшее","продвинутый","18/12/2012 14:08:43","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",3.5,2.5,"Киев",3000,NA,"DEV"
"472",NA,"Senior QA engineer","","General QA","2","1.5",1200,600,"Днепр.","до 50 человек","женский",24,"Высшее","выше среднего","18/12/2012 14:09:01","Mozilla/5.0 (Windows NT 5.1; rv:17.0) Gecko/20100101 (605E84B0-7AB8-E37A-BC16-5B630A5B920D) Firefox/17.0",2,1.5,"Днепр.",1200,NA,"QA"
"473",NA,"Software Engineer","PHP","","2","1.75",550,200,"Винница","до 10 человек","мужской",22,"Высшее","ниже среднего","18/12/2012 14:09:18","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",2,1.75,"other",550,NA,"DEV"
"474",NA,"Technical Lead","C#/.NET","","6","меньше 3 месяцев",3400,0,"Киев","свыше 1000 человек","мужской",26,"Незаконченное высшее","выше среднего","18/12/2012 14:09:29","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:18.0) Gecko/20100101 Firefox/18.0",6,0,"Киев",3400,NA,"SDEV"
"475",NA,"Senior QA engineer","","Automation QA","9","2.5",2200,300,"Киев","свыше 1000 человек","мужской",31,"Высшее","средний","18/12/2012 14:09:32","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0",9,2.5,"Киев",2200,NA,"QA"
"476",NA,"Junior Software Engineer","JavaScript","","1","1",1200,1200,"Одесса","до 50 человек","мужской",30,"Среднее","элементарный","18/12/2012 14:09:40","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",1,1,"other",1200,NA,"DEV"
"477",NA,"Software Engineer","C#/.NET","","1.75","0.75",1500,1000,"Харьков","до 200 человек","мужской",22,"Незаконченное высшее","средний","18/12/2012 14:10:14","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",1.75,0.75,"Харьков",1500,NA,"DEV"
"478",NA,"Project manager","","","10 и более лет","9",3200,400,"Киев","до 200 человек","мужской",34,"Высшее","средний","18/12/2012 14:10:14","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0",10,9,"Киев",3200,NA,"PM"
"479",NA,"Software Engineer","C#/.NET","","4.5","4.5",1750,550,"Харьков","до 1000 человек","мужской",24,"Высшее","средний","18/12/2012 14:10:16","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:16.0) Gecko/20100101 Firefox/16.0",4.5,4.5,"Харьков",1750,NA,"DEV"
"480",NA,"Senior Software Engineer","PHP","","10 и более лет","1.25",4250,2250,"Ивано-Франковск","до 200 человек","мужской",30,"Высшее","выше среднего","18/12/2012 14:10:17","Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11",10,1.25,"other",4250,NA,"DEV"
"481",NA,"Senior Software Engineer","Java","","5","1.5",2900,200,"Киев","свыше 1000 человек","мужской",26,"Высшее","продвинутый","18/12/2012 14:10:27","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0",5,1.5,"Киев",2900,NA,"DEV"
"482",NA,"Senior Software Engineer","Ruby/Rails","","6","1",2400,900,"Киев","до 200 человек","мужской",28,"Высшее","ниже среднего","18/12/2012 14:11:03","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/536.26.17 (KHTML, like Gecko) Version/6.0.2 Safari/536.26.17",6,1,"Киев",2400,NA,"DEV"
"483",NA,"Дизайнер","","","2.5","1.5",800,100,"Харьков","до 50 человек","женский",22,"Высшее","ниже среднего","18/12/2012 14:11:06","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",2.5,1.5,"Харьков",800,NA,""
"484",NA,"Software Engineer","PHP","","7","0.75",1575,1100,"Киев","до 1000 человек","мужской",30,"Высшее","выше среднего","18/12/2012 14:11:27","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0",7,0.75,"Киев",1575,NA,"DEV"
"485",NA,"QA Tech Lead","","General QA","4","1.25",3610,810,"Киев","свыше 1000 человек","мужской",26,"Два высших","продвинутый","18/12/2012 14:12:05","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",4,1.25,"Киев",3610,NA,"QA"
"486",NA,"Senior Software Engineer","Perl","","10 и более лет","0.75",3000,200,"Киев","до 1000 человек","мужской",31,"Высшее","ниже среднего","18/12/2012 14:12:27","Mozilla/5.0 (X11; Linux x86_64; rv:10.0.11) Gecko/20100101 Firefox/10.0.11",10,0.75,"Киев",3000,NA,"DEV"
"487",NA,"Senior Software Engineer","PHP","","8","0.5",2450,500,"Харьков","до 50 человек","мужской",25,"Высшее","выше среднего","18/12/2012 14:12:32","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",8,0.5,"Харьков",2450,NA,"DEV"
"488",NA,"Junior Software Engineer","C++","","1.5","1",500,0,"Житомир","до 10 человек","мужской",22,"Высшее","средний","18/12/2012 14:13:06","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",1.5,1,"other",500,NA,"DEV"
"489",NA,"Software Engineer","Perl","","5.5","1.5",1000,300,"Севастополь","до 200 человек","мужской",30,"Высшее","ниже среднего","18/12/2012 14:13:08","Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:17.0) Gecko/20100101 Firefox/17.0",5.5,1.5,"other",1000,NA,"DEV"
"490",NA,"Senior Software Engineer","C#/.NET","","3.5","1.5",2700,1200,"Киев","до 200 человек","мужской",23,"Высшее","ниже среднего","18/12/2012 14:13:22","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",3.5,1.5,"Киев",2700,NA,"DEV"
"491",NA,"QA Tech Lead","","Automation QA","6.5","2.5",2800,100,"Харьков","свыше 1000 человек","мужской",26,"Высшее","продвинутый","18/12/2012 14:13:24","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0",6.5,2.5,"Харьков",2800,NA,"QA"
"492",NA,"Junior Software Engineer","PHP","","2","1.5",700,300,"Запорожье","до 50 человек","мужской",24,"Высшее","элементарный","18/12/2012 14:13:30","Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",2,1.5,"other",700,NA,"DEV"
"493",NA,"Project manager","","","2","0.25",1800,1100,"Одесса","до 200 человек","мужской",27,"Высшее","выше среднего","18/12/2012 14:13:49","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0",2,0.25,"other",1800,NA,"PM"
"494",NA,"Junior Software Engineer","Java","","1","1",400,0,"Симферополь","до 10 человек","мужской",26,"Среднее","элементарный","18/12/2012 14:13:51","Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",1,1,"other",400,NA,"DEV"
"495",NA,"Senior Software Engineer","JavaScript","","4","1",2400,100,"Днепр.","до 50 человек","мужской",27,"Высшее","выше среднего","18/12/2012 14:13:54","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0",4,1,"Днепр.",2400,NA,"DEV"
"496",NA,"Верстальщик","","","5","0.5",1500,300,"Харьков","до 50 человек","мужской",27,"Высшее","средний","18/12/2012 14:13:57","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0",5,0.5,"Харьков",1500,NA,""
"497",NA,"Junior Software Engineer","Java","","1","0.5",1000,120,"Киев","до 50 человек","мужской",23,"Высшее","продвинутый","18/12/2012 14:14:10","Mozilla/5.0 (X11; Linux i686; rv:17.0) Gecko/17.0 Firefox/17.0",1,0.5,"Киев",1000,NA,"DEV"
"498",NA,"Software Engineer","PHP","","3.5","меньше 3 месяцев",1650,600,"Харьков","до 10 человек","мужской",28,"Высшее","ниже среднего","18/12/2012 14:14:11","Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11",3.5,0,"Харьков",1650,NA,"DEV"
"499",NA,"Junior QA engineer","","Manual QA","1.5","1.5",300,100,"Харьков","до 10 человек","женский",23,"Высшее","элементарный","18/12/2012 14:14:17","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",1.5,1.5,"Харьков",300,NA,"QA"
"500",NA,"Junior Software Engineer","Objective-C","","1","1",250,0,"Ивано-Франковск","до 10 человек","мужской",25,"Высшее","ниже среднего","18/12/2012 14:14:42","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",1,1,"other",250,NA,"DEV"
"501",NA,"Software Engineer","Python","","4","1",1600,400,"Харьков","до 50 человек","мужской",23,"Высшее","средний","18/12/2012 14:14:43","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:17.0) Gecko/20100101 Firefox/17.0",4,1,"Харьков",1600,NA,"DEV"
"502",NA,"Senior Software Engineer","C#/.NET","","5","1.5",2500,0,"Киев","до 200 человек","мужской",29,"Незаконченное высшее","средний","18/12/2012 14:14:45","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.91 Safari/537.11",5,1.5,"Киев",2500,NA,"DEV"
"503",NA,"Software Engineer","PHP","","5","1",1876,250,"Киев","до 10 человек","мужской",27,"Высшее","выше среднего","18/12/2012 14:14:46","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/17.0 Firefox/17.0",5,1,"Киев",1876,NA,"DEV"
"504",NA,"Senior Software Engineer","PHP","","7","3.5",2900,100,"Днепр.","до 50 человек","мужской",30,"Высшее","выше среднего","18/12/2012 14:14:55","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0",7,3.5,"Днепр.",2900,NA,"DEV"
"505",NA,"Junior QA engineer","","Manual QA","1","1",500,150,"Днепр.","свыше 1000 человек","мужской",28,"Незаконченное высшее","ниже среднего","18/12/2012 14:15:46","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0",1,1,"Днепр.",500,NA,"QA"
"507",NA,"QA Tech Lead","","General QA","6.5","6.5",2600,100,"Киев","до 50 человек","мужской",27,"Высшее","выше среднего","18/12/2012 14:16:28","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",6.5,6.5,"Киев",2600,NA,"QA"
"508",NA,"Senior Software Engineer","C#/.NET","","6","меньше 3 месяцев",3300,0,"Киев","до 200 человек","мужской",23,"Высшее","средний","18/12/2012 14:16:57","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11",6,0,"Киев",3300,NA,"DEV"
"510",NA,"Software Engineer","PHP","","3","0.5",500,0,"Донецк","до 10 человек","мужской",27,"Два высших","ниже среднего","18/12/2012 14:17:21","Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",3,0.5,"other",500,NA,"DEV"
"511",NA,"Senior Software Engineer","PHP","","6","0.25",1300,300,"Запорожье","до 10 человек","мужской",28,"Два высших","средний","18/12/2012 14:17:30","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:17.0) Gecko/20100101 Firefox/17.0",6,0.25,"other",1300,NA,"DEV"
"512",NA,"Software Engineer","Python","","5","0.5",1800,300,"Киев","до 1000 человек","мужской",26,"Высшее","средний","18/12/2012 14:17:38","Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/25.0.1359.3 Safari/537.21",5,0.5,"Киев",1800,NA,"DEV"
"513",NA,"Junior Software Engineer","C","","1.5","1.5",683,183,"Харьков","до 1000 человек","мужской",25,"Высшее","выше среднего","18/12/2012 14:17:51","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",1.5,1.5,"Харьков",683,NA,"DEV"
"514",NA,"Senior QA engineer","","Automation QA","6.5","6",2975,800,"Киев","свыше 1000 человек","мужской",29,"Высшее","средний","18/12/2012 14:18:03","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:16.0) Gecko/20100101 Firefox/16.0",6.5,6,"Киев",2975,NA,"QA"
"515",NA,"Software Engineer","PHP","","3","меньше 3 месяцев",1500,200,"Киев","до 50 человек","мужской",22,"Незаконченное высшее","ниже среднего","18/12/2012 14:18:13","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.64 Safari/537.11",3,0,"Киев",1500,NA,"DEV"
"516",NA,"QA engineer","","General QA","3","меньше 3 месяцев",1800,500,"Киев","до 1000 человек","мужской",30,"Высшее","выше среднего","18/12/2012 14:18:22","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11",3,0,"Киев",1800,NA,"QA"
"517",NA,"Technical Lead","PHP","","5","0.25",2500,1000,"Харьков","до 200 человек","мужской",30,"Высшее","ниже среднего","18/12/2012 14:18:39","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.81 Safari/537.1",5,0.25,"Харьков",2500,NA,"SDEV"
"518",NA,"Technical Lead","JavaScript","","5.5","1.25",4000,0,"Киев","до 10 человек","мужской",26,"Высшее","продвинутый","18/12/2012 14:19:06","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",5.5,1.25,"Киев",4000,NA,"SDEV"
"519",NA,"Senior Software Engineer","C#/.NET","","5.5","5",1600,400,"Житомир","до 200 человек","мужской",23,"Высшее","средний","18/12/2012 14:19:59","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:16.0) Gecko/20100101 Firefox/16.0",5.5,5,"other",1600,NA,"DEV"
"520",NA,"Senior Software Engineer","Java","","7","меньше 3 месяцев",3000,700,"Одесса","до 200 человек","мужской",28,"Высшее","выше среднего","18/12/2012 14:20:07","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",7,0,"other",3000,NA,"DEV"
"521",NA,"Software Engineer","Java","","2","2",1200,200,"Черновцы","до 50 человек","мужской",23,"Высшее","ниже среднего","18/12/2012 14:20:44","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.2.0.0 Safari/537.11",2,2,"other",1200,NA,"DEV"
"522",NA,"Software Engineer","JavaScript","","3","1.5",1000,0,"Днепр.","до 10 человек","мужской",36,"Высшее","ниже среднего","18/12/2012 14:20:58","Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:17.0) Gecko/20100101 Firefox/17.0",3,1.5,"Днепр.",1000,NA,"DEV"
"523",NA,"Senior Software Engineer","JavaScript","","4.5","1.25",1550,100,"Харьков","до 1000 человек","мужской",26,"Высшее","средний","18/12/2012 14:21:08","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",4.5,1.25,"Харьков",1550,NA,"DEV"
"524",NA,"Support","","","1.25","0.5",400,200,"Киев","до 10 человек","мужской",21,"Незаконченное высшее","выше среднего","18/12/2012 14:21:22","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0",1.25,0.5,"Киев",400,NA,""
"525",NA,"Software Engineer","PHP","","2","0.5",1500,0,"Харьков","до 1000 человек","мужской",25,"Высшее","средний","18/12/2012 14:21:23","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",2,0.5,"Харьков",1500,NA,"DEV"
"526",NA,"Technical Lead","Ruby/Rails","","3.5","2.5",3000,500,"Киев","до 10 человек","мужской",32,"Высшее","выше среднего","18/12/2012 14:21:36","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",3.5,2.5,"Киев",3000,NA,"SDEV"
"527",NA,"Junior Software Engineer","PHP","","1","0.5",1000,0,"Киев","до 50 человек","мужской",22,"Незаконченное высшее","ниже среднего","18/12/2012 14:22:08","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:15.0) Gecko/20100101 Firefox/15.0.1",1,0.5,"Киев",1000,NA,"DEV"
"528",NA,"Software Engineer","C#/.NET","","5.5","1.5",2500,1,"Киев","свыше 1000 человек","мужской",26,"Высшее","выше среднего","18/12/2012 14:22:17","Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0; XBLWP7; ZuneWP7)",5.5,1.5,"Киев",2500,NA,"DEV"
"529",NA,"Technical Lead","C#/.NET","","8","меньше 3 месяцев",2800,1000,"Днепр.","до 50 человек","мужской",33,"Высшее","выше среднего","18/12/2012 14:22:29","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0",8,0,"Днепр.",2800,NA,"SDEV"
"530",NA,"Senior Software Engineer","Objective-C","","3","0.5",2500,400,"Киев","до 50 человек","мужской",28,"Высшее","средний","18/12/2012 14:22:36","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/536.26.17 (KHTML, like Gecko) Version/6.0.2 Safari/536.26.17",3,0.5,"Киев",2500,NA,"DEV"
"531",NA,"Senior Project Manager / Program Manager","","","7","5",3800,0,"Львов","до 200 человек","мужской",29,"Высшее","выше среднего","18/12/2012 14:22:52","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11",7,5,"Львов",3800,NA,"SPM"
"532",NA,"Junior Software Engineer","C#/.NET","","0.5","0.5",1450,0,"Харьков","до 10 человек","мужской",23,"Высшее","средний","18/12/2012 14:22:57","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",0.5,0.5,"Харьков",1450,NA,"DEV"
"533",NA,"Senior Software Engineer","Java","","5","0.5",2700,300,"Киев","свыше 1000 человек","мужской",28,"Высшее","выше среднего","18/12/2012 14:23:36","Mozilla/5.0 (Windows NT 5.1; rv:17.0) Gecko/20100101 Firefox/17.0",5,0.5,"Киев",2700,NA,"DEV"
"534",NA,"Software Engineer","C#/.NET","","2","2",1000,500,"Харьков","до 200 человек","мужской",25,"Высшее","ниже среднего","18/12/2012 14:23:55","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0",2,2,"Харьков",1000,NA,"DEV"
"535",NA,"Junior QA engineer","","General QA","1","1",625,0,"Киев","до 1000 человек","мужской",31,"Высшее","продвинутый","18/12/2012 14:24:01","Mozilla/5.0 (Windows NT 5.1; rv:17.0) Gecko/20100101 Firefox/17.0",1,1,"Киев",625,NA,"QA"
"536",NA,"QA Tech Lead","","General QA","5","2",2800,600,"Киев","до 1000 человек","мужской",26,"Высшее","выше среднего","18/12/2012 14:24:25","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11",5,2,"Киев",2800,NA,"QA"
"537",NA,"Senior Software Engineer","PHP","","8","6.5",4500,1300,"Киев","до 50 человек","мужской",28,"Высшее","средний","18/12/2012 14:24:49","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0",8,6.5,"Киев",4500,NA,"DEV"
"538",NA,"Senior Software Engineer","C#/.NET","","3","1",2300,300,"Одесса","свыше 1000 человек","мужской",23,"Высшее","выше среднего","18/12/2012 14:24:49","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",3,1,"other",2300,NA,"DEV"
"540",NA,"Software Engineer","C#/.NET","","2","0.5",1700,0,"Харьков","до 50 человек","мужской",27,"Высшее","ниже среднего","18/12/2012 14:25:44","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4",2,0.5,"Харьков",1700,NA,"DEV"
"541",NA,"Software Engineer","PHP","","1.5","1",500,100,"Харьков","до 50 человек","мужской",24,"Высшее","средний","18/12/2012 14:26:22","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:17.0) Gecko/20100101 Firefox/17.0",1.5,1,"Харьков",500,NA,"DEV"
"542",NA,"Senior Software Engineer","C#/.NET","","10 и более лет","1.75",2600,300,"Киев","до 200 человек","мужской",32,"Высшее","выше среднего","18/12/2012 14:26:34","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",10,1.75,"Киев",2600,NA,"DEV"
"543",NA,"Software Engineer","C#/.NET","","1.25","1.25",700,500,"Харьков","до 50 человек","мужской",21,"Высшее","средний","18/12/2012 14:26:37","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",1.25,1.25,"Харьков",700,NA,"DEV"
