Отметка времени,Ви працюєте зараз в ІТ?,Де ви мешкаєте?,Де ви працюєте?,Ваша стать,Ваш вік,Яка у вас освіта?,Вкажіть заклад вищої освіти,Знання англійської мови,Оберіть вашу посаду,Ваш тайтл,Вкажіть вашу спеціалізацію,Основна мова програмування,Інші мови програмування,"Фреймворки, бібліотеки та платформи","Платформи, для яких розробляєте на поточному місці роботи?",Ваш тайтл_1,Вкажіть вашу спеціалізацію_2,Яку мову програмування використовуєте у роботі?,Оберіть вашу посаду_3,Ваш тайтл_4,Ваша посада,Ваш тайтл_5,Оберіть вашу посаду_6,Ваш тайтл_7,Ваша посада_8,Ваш тайтл_9,Ваша посада_10,Ваш тайтл_11,Ваша посада_12,Ваш тайтл_13,Ваша посада_14,Ваш тайтл_15,Ваша посада_16,В якій сфері працюєте?,Тип компанії,Кількість спеціалістів у вашій компанії (в Україні),Загальний стаж роботи за спеціальністю,Стаж на поточному місці роботи,У скількох компаніях встигли попрацювати за час ІТ-кар'єри?,"Зарплата у $$$ за місяць, лише ставка після сплати податків",Наскільки змінилась ваша зарплата за останні 12 місяців?,Чи отримуєте ви грошові бонуси до зарплати?,Вкажіть суму цього бонуса у $$$ після податків
08/12/2020 13:27,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,34,Середня,,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",,Back-end,Java,"JavaScript, Python","Flask, Spring",Web,,,,,,,,,,,,,,,,,,,Fintech,Аутсорсингова,до 50,1 рік,1 рік,1,1500,500,"Ні, не отримую",
29/12/2020 18:17,"Так, працюю full-time",Львів,"Частково віддалено, частково в офісі",Чоловік,30,Вища,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,PHP,Не використовую,"Laravel, Symfony",Web,,,,,,,,,,,,,,,,,,,E-commerce,Аутстафінгова,до 200,9 років,Менше як 3 місяці,5-7,4200,700,Отримую бонус щороку,
07/12/2020 14:05,"Так, працюю full-time",Запоріжжя,"Частково віддалено, частково в офісі",Чоловік,34,Вища,Інший виш,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Full-stack,C#/.NET,"JavaScript, SQL, TypeScript",".NET, Angular/Angular.js, Cordova","Web, Mobile cross-platform",,,,,,,,,,,,,,,,,,,"Legal, Security",Аутстафінгова,до 200,9 років,1 рік,3-4,1710,570,"Ні, не отримую",
29/12/2020 10:22,"Так, працюю full-time",Суми,Віддалено,Чоловік,21,Вища,СумДУ,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Front-end,TypeScript,"JavaScript, TypeScript",Angular/Angular.js,Web,,,,,,,,,,,,,,,,,,,Інша,Стартап,Лише я,2 роки,1 рік,2,600,0,"Ні, не отримую",0
29/12/2020 15:20,"Так, працюю full-time",Одеса,Віддалено,Чоловік,26,Вища,Інший виш,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Front-end,JavaScript,Не використовую,React.js,Web,,,,,,,,,,,,,,,,,,,Інша,Аутсорсингова,до 1000,Пів року,Пів року,1,600,300,"Ні, не отримую",
08/12/2020 16:21,"Так, працюю full-time",Львів,Віддалено,Жінка,24,Вища,ДонНУ ім. Василя Стуса,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,C#/.NET,Не використовую,".NET Core, ASP.NET",Web,,,,,,,,,,,,,,,,,,,Fintech,Аутсорсингова,до 200,2 роки,Менше як 3 місяці,3-4,1710,700,"Ні, не отримую",
30/12/2020 19:36,"Так, працюю full-time",Київ,Віддалено,Чоловік,36,Дві вищих,ЖДТУ,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,JavaScript,TypeScript,"Express, Node.js",Web,,,,,,,,,,,,,,,,,,,E-commerce,Аутстафінгова,до 50,7 років,Пів року,3-4,4200,800,"Ні, не отримую",
12/12/2020 09:41,"Так, працюю full-time",Вінниця,В офісі,Чоловік,23,Вища,ВНТУ,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,C#/.NET,"JavaScript, SQL",".NET, .NET Core, ASP.NET",Web,,,,,,,,,,,,,,,,,,,Fintech,Аутстафінгова,до 1000,3 роки,3 роки,1,1710,570,"Ні, не отримую",
21/12/2020 18:02,"Так, працюю full-time",Київ,Віддалено,Чоловік,37,Середня,,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Full-stack,C#/.NET,"C#/.NET, JavaScript, SQL",,Web,,,,,,,,,,,,,,,,,,,Інша,Аутстафінгова,до 200,10 і більше років,3 місяці,5-7,1710,500,"Ні, не отримую",
10/12/2020 22:42,"Так, працюю full-time",Харків,Віддалено,Чоловік,25,Вища,НТУ «ХПІ»,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,Java,"Groovy, JavaScript, Swift","Hibernate, jQuery, Spring",Web,,,,,,,,,,,,,,,,,,,E-commerce,Аутсорсингова,понад 1000,2 роки,2 роки,1,1720,400,Отримую бонус щороку,700
14/12/2020 12:19,"Так, працюю full-time",Київ,Віддалено,Чоловік,23,Вища,НТУУ «КПІ»,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Front-end,TypeScript,JavaScript,"React.js, React Native",Mobile iOS,,,,,,,,,,,,,,,,,,,E-commerce,Продуктова,понад 1000,3 роки,1 рік,2,1720,400,Отримую бонус щороку,5850
16/12/2020 10:04,"Так, працюю full-time",Київ,Віддалено,Чоловік,40,Вища,ХАІ,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Team Lead,Back-end,C++,"Assembler, C, Python",,"Desktop, Mobile cross-platform",,,,,,,,,,,,,,,,,,,"Automotive, Embedded, Hardware",Продуктова,до 200,10 і більше років,3 роки,5-7,3700,0,"Ні, не отримую",
31/12/2020 01:02,"Так, працюю full-time",Харків,Віддалено,Чоловік,22,Вища,НТУ «ХПІ»,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,Java,Groovy,"Hibernate, Spring",Web,,,,,,,,,,,,,,,,,,,Telecom,Продуктова,до 200,3 роки,Менше як 3 місяці,3-4,4200,1500,"Ні, не отримую",
29/12/2020 15:21,"Так, працюю full-time",Харків,Віддалено,Жінка,19,Ще студент,ХНУРЕ,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Back-end,C#/.NET,"JavaScript, SQL, TypeScript",".NET Core, Angular/Angular.js, ASP.NET",Web,,,,,,,,,,,,,,,,,,,Medtech,Аутстафінгова,понад 1000,Пів року,3 місяці,2,600,100,"Ні, не отримую",
25/12/2020 06:49,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,28,Вища,ДонНУ ім. Василя Стуса,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Mobile,Swift,Objective-C,,Mobile iOS,,,,,,,,,,,,,,,,,,,Інша,Аутсорсингова,понад 1000,7 років,4 роки,3-4,4190,0,"Ні, не отримую",0
28/12/2020 14:29,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,26,Вища,ВНТУ,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Front-end,JavaScript,TypeScript,"Node.js, React.js",Web,,,,,,,,,,,,,,,,,,,Інша,Аутстафінгова,понад 1000,7 років,3 роки,3-4,4180,0,"Ні, не отримую",0
07/12/2020 17:25,"Так, працюю full-time",Херсон,Віддалено,Чоловік,27,Вища,,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Mobile,Swift,Objective-C,,Mobile iOS,,,,,,,,,,,,,,,,,,,Gambling,Аутсорсингова,понад 1000,5 років,3 роки,2,1740,400,Отримую бонус щороку,150
22/12/2020 10:59,"Так, працюю full-time",Житомир,Віддалено,Чоловік,33,Вища,Інший виш,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Team Lead,Back-end,PHP,Не використовую,Laravel,"Web, Інша",,,,,,,,,,,,,,,,,,,"Big Data, Cloud Computing, ERP",Продуктова,до 1000,8 років,3 роки,5-7,3700,-100,"Отримую бонус за гарні показники роботи, але нерегулярно",200
22/12/2020 19:54,"Так, працюю full-time",Не Україна,В офісі,Чоловік,34,Вища,НТУУ «КПІ»,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Embedded,Python,"C, C++",,Microcontrollers/Embedded/IoT,,,,,,,,,,,,,,,,,,,Telecom,Продуктова,Лише я,6 років,Пів року,3-4,4156,-200,Отримую бонус щороку,2771
13/12/2020 16:22,"Так, працюю full-time",Одеса,Віддалено,Чоловік,34,Вища,ОНПУ,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Mobile,Kotlin,Java,Android SDK,Mobile Android,,,,,,,,,,,,,,,,,,,"Agriculture, Automotive, Logistics",Аутсорсингова,до 1000,8 років,3 місяці,8 і більше,4150,+150,"Ні, не отримую",
07/12/2020 10:22,"Так, працюю full-time",Харків,Віддалено,Чоловік,27,Вища,ДонНУ ім. Василя Стуса,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Full-stack,Ruby,"JavaScript, PHP","jQuery, Ruby on Rails, WordPress",Web,,,,,,,,,,,,,,,,,,,"Cloud Computing, Інша",Аутсорсингова,до 50,4 роки,2 роки,3-4,1750,150,"Ні, не отримую",
02/01/2021 11:54,"Так, працюю full-time",Львів,"Частково віддалено, частково в офісі",Чоловік,25,Вища,НУ «Львівська політехніка»,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,JavaScript,TypeScript,"Angular/Angular.js, Node.js",Web,,,,,,,,,,,,,,,,,,,"Internet of Things, Medtech",Продуктова,до 50,7 років,7 років,1,4150,600,"Ні, не отримую",
22/12/2020 21:43,"Так, працюю full-time",Львів,Віддалено,Чоловік,28,Вища,НУ «Львівська політехніка»,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Team Lead,Back-end,C#/.NET,Не використовую,".NET Core, ASP.NET, Vue.js",Web,,,,,,,,,,,,,,,,,,,"Automotive, Cloud Computing",Аутсорсингова,понад 1000,9 років,2 роки,3-4,3700,200,"Отримую бонус за гарні показники роботи, але нерегулярно",300
13/12/2020 21:03,"Так, працюю full-time",Київ,Віддалено,Чоловік,35,Вища,ОНАЗ ім. Попова,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,PHP,JavaScript,"jQuery, WordPress",Web,,,,,,,,,,,,,,,,,,,Fintech,Продуктова,до 50,10 і більше років,1 рік,3-4,4110,0,"Ні, не отримую",
07/12/2020 10:16,"Так, працюю full-time",Львів,Віддалено,Чоловік,33,Вища,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,Ruby,"Elixir, JavaScript","jQuery, React.js, Ruby on Rails",Web,,,,,,,,,,,,,,,,,,,E-commerce,Аутстафінгова,понад 1000,7 років,Пів року,3-4,4100,300,Отримую бонус щокварталу,300
07/12/2020 11:09,"Так, працюю full-time",Київ,Віддалено,Чоловік,32,Вища,Інший виш,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,C#/.NET,"JavaScript, SQL",".NET, .NET Core, ASP.NET",Web,,,,,,,,,,,,,,,,,,,Edtech,Інша,до 200,9 років,4 роки,2,1750,0,"Ні, не отримую",
08/12/2020 15:19,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,26,Вища,НАУ,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Tech Lead,Back-end,Java,"SQL, TypeScript","Angular/Angular.js, Spring",Web,,,,,,,,,,,,,,,,,,,Telecom,Продуктова,понад 1000,6 років,6 років,1,3950,215,"Отримую бонус за гарні показники роботи, але нерегулярно",400
07/12/2020 11:34,"Так, працюю full-time",Дніпро,Віддалено,Чоловік,24,Вища,ДНУ ім. Гончара,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Full-stack,JavaScript,"C#/.NET, JavaScript, TypeScript",".NET Core, Node.js, React.js",Web,,,,,,,,,,,,,,,,,,,"Telecom, Інша",Аутстафінгова,понад 1000,3 роки,1 рік,3-4,1750,750,"Ні, не отримую",
07/12/2020 10:35,"Так, працюю full-time",Львів,В офісі,Чоловік,29,Вища,НУ «Львівська політехніка»,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Front-end,JavaScript,"JavaScript, TypeScript","React.js, React Native","Web, Mobile cross-platform",,,,,,,,,,,,,,,,,,,Mobile,Аутстафінгова,до 200,5 років,3 роки,2,4100,500,"Ні, не отримую",
07/12/2020 13:56,"Так, працюю full-time",Івано-Франківськ,"Частково віддалено, частково в офісі",Чоловік,33,Вища,Інший виш,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,PHP,"JavaScript, Інше","Laravel, Vue.js",Web,,,,,,,,,,,,,,,,,,,Інша,Інша,понад 1000,6 років,2 роки,3-4,1750,+200,"Ні, не отримую",
07/12/2020 14:06,"Так, працюю full-time",Львів,Віддалено,Чоловік,26,Вища,НУ «Львівська політехніка»,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,Python,"Java, SQL","Flask, Torch/PyTorch","Web, Mobile Android, Mobile iOS, Mobile cross-platform",,,,,,,,,,,,,,,,,,,"Media, Mobile",Аутсорсингова,понад 1000,4 роки,3 роки,2,1750,250,"Ні, не отримую",0
28/12/2020 15:58,"Так, працюю full-time",Львів,"Частково віддалено, частково в офісі",Чоловік,30,Вища,НУ «Львівська політехніка»,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Team Lead,Back-end,Ruby,JavaScript,"React.js, Ruby on Rails",Web,,,,,,,,,,,,,,,,,,,Fintech,Аутсорсингова,до 1000,8 років,3 роки,3-4,3700,200,"Ні, не отримую",
07/12/2020 11:35,"Так, працюю full-time",Київ,Віддалено,Чоловік,32,Вища,ВНУ ім. Даля,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,Java,"JavaScript, Kotlin, PHP",Spring,Web,,,,,,,,,,,,,,,,,,,Інша,Аутстафінгова,понад 1000,10 і більше років,2 роки,3-4,4100,100,"Ні, не отримую",0
29/12/2020 15:24,"Так, працюю full-time",Харків,Віддалено,Чоловік,20,Ще студент,ХНУРЕ,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Full-stack,C#/.NET,Не використовую,".NET Core, ASP.NET, React.js",Web,,,,,,,,,,,,,,,,,,,"Logistics, Manufacturing, Medtech",Аутсорсингова,до 1000,Менше як 3 місяці,Менше як 3 місяці,1,600,0,"Ні, не отримую",
29/12/2020 15:25,"Так, працюю full-time",Київ,Віддалено,Чоловік,22,Вища,НТУУ «КПІ»,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Embedded Linux,C,"Python, Інше",,SoC,,,,,,,,,,,,,,,,,,,"Embedded, Інша",Аутстафінгова,до 200,Пів року,Пів року,1,600,0,Отримую бонус щомісяця,100
29/12/2020 15:56,"Так, працюю full-time",Чернівці,Віддалено,Чоловік,22,Вища,Інший виш,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Full-stack,JavaScript,SQL,"Express, Node.js, React.js",Web,,,,,,,,,,,,,,,,,,,Інша,Аутсорсингова,до 200,1 рік,1 рік,1,600,300,Отримую бонус щороку,120
09/12/2020 23:49,"Так, працюю full-time",Львів,Віддалено,Чоловік,23,Вища,НУ «Львівська політехніка»,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Mobile,Kotlin,Java,,Mobile Android,,,,,,,,,,,,,,,,,,,Mobile,Аутсорсингова,понад 1000,2 роки,2 роки,1,1750,1000,"Ні, не отримую",
29/12/2020 15:56,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,23,Вища,Інший виш,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Front-end,JavaScript,Не використовую,React.js,Web,,,,,,,,,,,,,,,,,,,Інша,Продуктова,до 50,Пів року,Пів року,1,600,0,"Отримую бонус за гарні показники роботи, але нерегулярно",100
10/12/2020 10:44,"Так, працюю full-time",Харків,"Частково віддалено, частково в офісі",Чоловік,32,Вища,НТУ «ХПІ»,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,Java,JavaScript,"React.js, Spring",Web,,,,,,,,,,,,,,,,,,,Інша,Аутстафінгова,понад 1000,3 роки,3 роки,1,1750,650,"Ні, не отримую",
07/12/2020 13:42,"Так, працюю full-time",Київ,Віддалено,Чоловік,29,Вища,КНУ ім. Шевченка,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,Java,Не використовую,Spring,Web,,,,,,,,,,,,,,,,,,,Gambling,Продуктова,до 1000,7 років,4 роки,3-4,4100,300,Отримую бонус щороку,8200
07/12/2020 14:13,"Так, працюю full-time",Одеса,Віддалено,Чоловік,29,Вища,,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Front-end,TypeScript,Не використовую,"React.js, Electron, rx.js",Desktop,,,,,,,,,,,,,,,,,,,Інша,Продуктова,до 200,6 років,1 рік,3-4,4100,400,"Ні, не отримую",
27/12/2020 23:29,"Так, працюю full-time",Київ,Віддалено,Чоловік,40,Кандидат наук,НТУУ «КПІ»,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Mobile,C#/.NET,Не використовую,,,,,,,,,,,,,,,,,,,,,GameDev,Аутсорсингова,до 1000,4 роки,1 рік,3-4,1750,+300,"Ні, не отримую",
29/12/2020 15:58,"Так, працюю full-time",Харків,В офісі,Чоловік,26,Вища,ХНУ ім. Каразіна,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Back-end,SQL,"C#/.NET, C++",".NET, .NET Core, ASP.NET","Web, Desktop",,,,,,,,,,,,,,,,,,,Medtech,Аутсорсингова,до 50,1 рік,3 місяці,3-4,600,300,"Ні, не отримую",
29/12/2020 16:29,"Так, працюю full-time",Київ,Віддалено,Жінка,21,Ще студент,ДУТ,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Mobile,Swift,Objective-C,,Mobile iOS,,,,,,,,,,,,,,,,,,,"E-commerce, Mobile",Аутсорсингова,до 200,1 рік,Пів року,2,600,0,"Ні, не отримую",
28/12/2020 16:25,"Так, працюю full-time",Харків,Віддалено,Чоловік,32,Вища,,Elementary,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Mobile,Objective-C,Swift,,"Desktop, Mobile iOS",,,,,,,,,,,,,,,,,,,Media,Аутсорсингова,до 200,3 роки,3 роки,1,1750,850,"Ні, не отримую",
28/12/2020 22:29,"Так, працюю full-time",Харків,"Частково віддалено, частково в офісі",Жінка,28,Вища,НТУ «ХПІ»,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,JavaScript,Python,"Express, Node.js",Web,,,,,,,,,,,,,,,,,,,"E-commerce, High Load Systems",Аутсорсингова,до 1000,4 роки,3 роки,2,1750,300,"Ні, не отримую",
29/12/2020 17:08,"Так, працюю full-time",Одеса,Віддалено,Чоловік,20,Середня,,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Back-end,C#/.NET,"TypeScript, Інше",.NET Core,Web,,,,,,,,,,,,,,,,,,,Fintech,Аутсорсингова,до 200,1 рік,1 рік,1,600,200,"Ні, не отримую",
28/12/2020 23:26,"Так, працюю full-time",Київ,Віддалено,Чоловік,32,Вища,Інший виш,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,C#/.NET,"JavaScript, SQL",".NET, .NET Core",Web,,,,,,,,,,,,,,,,,,,E-commerce,Інша,до 200,8 років,4 роки,2,1750,0,"Ні, не отримую",0
07/12/2020 14:49,"Так, працюю full-time",Київ,Віддалено,Чоловік,32,Вища,КНЕУ,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Mobile,Kotlin,"Java, SQL, Swift",,Mobile Android,,,,,,,,,,,,,,,,,,,"ERP, Mobile",Аутсорсингова,до 1000,8 років,5 років,3-4,4100,0,"Ні, не отримую",
30/12/2020 13:05,"Так, працюю full-time",Київ,Віддалено,Жінка,33,Вища,Інший виш,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Full-stack,JavaScript,Не використовую,"Node.js, React.js, React Native","Web, Mobile Android, Mobile cross-platform",,,,,,,,,,,,,,,,,,,Travel,Продуктова,до 50,Пів року,Пів року,1,600,+200,"Ні, не отримую",
30/12/2020 15:03,"Так, працюю full-time",Харків,В офісі,Чоловік,22,Вища,ХНЕУ,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Full-stack,JavaScript,Не використовую,"Express, Node.js, React.js",Web,,,,,,,,,,,,,,,,,,,Інша,Аутсорсингова,до 10 спеціалістів,Пів року,Пів року,1,600,300,"Ні, не отримую",
07/12/2020 21:22,"Так, працюю full-time",Київ,Віддалено,Чоловік,34,Вища,ВНУ ім. Даля,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Front-end,JavaScript,"Java, TypeScript",React.js,"Web, Mobile other",,,,,,,,,,,,,,,,,,,Gambling,Продуктова,до 1000,10 і більше років,4 роки,5-7,4100,350,Отримую бонус щороку,3500
29/12/2020 16:16,"Так, працюю full-time",Харків,Віддалено,Чоловік,27,Вища,ХНУ ім. Каразіна,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Desktop,Java,"C++, Kotlin, Python",,"Web, Desktop",,,,,,,,,,,,,,,,,,,"Embedded, Legal, Security",Продуктова,до 200,2 роки,2 роки,2,1750,+700,Отримую бонус щомісяця,300
07/12/2020 23:14,"Так, працюю full-time",Київ,Віддалено,Чоловік,42,Вища,НАУ,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,C#/.NET,"JavaScript, SQL",".NET, .NET Core, ASP.NET","Web, Desktop",,,,,,,,,,,,,,,,,,,ERP,Аутсорсингова,до 1000,10 і більше років,4 роки,5-7,4100,500,"Ні, не отримую",
30/12/2020 01:48,"Так, працюю full-time",Вінниця,Віддалено,Чоловік,27,Вища,ВНТУ,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,Java,SQL,"Hibernate, Spring",Web,,,,,,,,,,,,,,,,,,,"Big Data, Fintech, High Load Systems",Аутстафінгова,понад 1000,2 роки,1 рік,2,1750,1000,"Отримую бонус за гарні показники роботи, але нерегулярно",250
30/12/2020 11:24,"Так, працюю full-time",Харків,"Частково віддалено, частково в офісі",Чоловік,25,Вища,ХНЕУ,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Full-stack,PHP,JavaScript,,"Web, Desktop",,,,,,,,,,,,,,,,,,,E-commerce,Аутстафінгова,до 50,4 роки,2 роки,2,1750,350,"Ні, не отримую",
08/12/2020 14:43,"Так, працюю full-time",Харків,Віддалено,Чоловік,32,Вища,ХНУ ім. Каразіна,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,PHP,JavaScript,"Drupal, React.js, WordPress",Web,,,,,,,,,,,,,,,,,,,"High Load Systems, Media, Medtech",Аутсорсингова,понад 1000,10 і більше років,3 роки,8 і більше,4100,300,"Отримую бонус за гарні показники роботи, але нерегулярно",200
31/12/2020 11:05,"Так, працюю full-time",Івано-Франківськ,Віддалено,Чоловік,23,Вища,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Front-end,TypeScript,JavaScript,Angular/Angular.js,Web,,,,,,,,,,,,,,,,,,,Інша,Аутсорсингова,понад 1000,2 роки,Пів року,2,1750,900,Отримую бонус щороку,
07/12/2020 11:44,"Так, працюю full-time",Київ,Віддалено,Чоловік,23,Вища,НТУУ «КПІ»,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,Python,TypeScript,"Flask, jQuery",Інша,,,,,,,,,,,,,,,,,,,Інша,Аутсорсингова,понад 1000,1 рік,Менше як 3 місяці,2,1755,1300,"Ні, не отримую",
07/12/2020 23:53,"Так, працюю full-time",Київ,Віддалено,Чоловік,31,Вища,ДонНУ ім. Василя Стуса,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Full-stack,1С,Не використовую,,Desktop,,,,,,,,,,,,,,,,,,,"E-commerce, ERP",Продуктова,Лише я,8 років,2 роки,2,1760,300,"Ні, не отримую",
30/12/2020 18:21,"Так, працюю full-time",Харків,В офісі,Чоловік,24,Вища,ХНУРЕ,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Full-stack,JavaScript,Не використовую,React.js,Web,,,,,,,,,,,,,,,,,,,"Manufacturing, Media",Продуктова,до 200,1 рік,Пів року,3-4,600,200,"Ні, не отримую",
08/12/2020 16:11,"Так, працюю full-time",Київ,Віддалено,Чоловік,45,Дві вищих,НТУУ «КПІ»,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,Java,"Groovy, JavaScript, SQL","Hibernate, React.js, Spring","Web, Інша",,,,,,,,,,,,,,,,,,,"E-commerce, ERP, Robotics",Аутсорсингова,понад 1000,10 і більше років,3 роки,3-4,4100,0,Отримую бонус щороку,3700
07/12/2020 11:43,"Так, працюю full-time",Київ,Віддалено,Чоловік,28,Вища,НТУУ «КПІ»,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Team Lead,Full-stack,JavaScript,"R, SQL","jQuery, Node.js, React.js","Web, Mobile Android, Mobile iOS",,,,,,,,,,,,,,,,,,,"ERP, High Load Systems, Інша",Продуктова,до 50,7 років,3 роки,2,3750,250,Отримую бонус щороку,11000
09/12/2020 15:00,"Так, працюю full-time",Івано-Франківськ,"Частково віддалено, частково в офісі",Чоловік,30,Вища,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,C#/.NET,SQL,".NET, .NET Core, ASP.NET",Web,,,,,,,,,,,,,,,,,,,Інша,Аутсорсингова,понад 1000,8 років,Менше як 3 місяці,2,4100,600,"Ні, не отримую",
