,Должность,Язык программирования,Специализация,Общий опыт работы,Опыт работы на текущем месте,Зарплата в месяц,Изменение зарплаты,Город,Размер компании,Пол,Возраст,Образование,Уровень английского,Дата заполнения,User-Agent
,Junior Software Engineer,Java,,1,1,600,300,Черновцы,свыше 1000 человек,m,20,Незаконченное высшее,выше среднего,21/05/2013 10:09:59,"Mozilla/5.0 (Linux; U; Android 4.0.4; ru-ru; SGH-I897 Build/IMM76L; CyanogenMod-9) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
,Junior Software Engineer,PHP,,1,1,400,300,Сумы,до 200 человек,m,22,Незаконченное высшее,ниже среднего,21/05/2013 10:10:12,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.63 Safari/537.31"
,Software Engineer,Delphi,,4,3,1300,300,Киев,до 10 человек,m,25,Высшее,средний,21/05/2013 10:10:17,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,C++,,2,2,400,0,Запорожье,до 50 человек,m,25,Высшее,средний,21/05/2013 10:11:27,Opera/9.80 (Windows NT 5.1) Presto/2.12.388 Version/12.15
,Junior Software Engineer,Java (Android),,меньше 3 месяцев,меньше 3 месяцев,600,0,Полтава,до 10 человек,m,25,Незаконченное высшее,ниже среднего,21/05/2013 10:11:30,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15
,Junior Software Engineer,C++,,2,1,320,63,Харьков,до 200 человек,m,19,Незаконченное высшее,ниже среднего,21/05/2013 10:12:05,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Junior Software Engineer,Java (Android),,0.5,0.5,500,0,Харьков,до 50 человек,m,23,Два высших,средний,21/05/2013 10:12:27,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15
,Senior Software Engineer,PHP,,10 и более лет,10 и более лет,1900,0,Симферополь,до 10 человек,m,30,Высшее,выше среднего,21/05/2013 10:12:39,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0
,Senior Software Engineer,SQL,,10 и более лет,1.5,3400,300,Киев,свыше 1000 человек,m,51,Высшее,средний,21/05/2013 10:12:46,Mozilla/5.0 (Windows NT 5.1; rv:21.0) Gecko/20100101 Firefox/21.0
,Software Engineer,Java,,5,5,1700,200,Днепропетровск,до 50 человек,m,27,Высшее,средний,21/05/2013 10:13:11,Mozilla/5.0 (X11; Linux i686 on x86_64; rv:12.0) Gecko/20100101 Firefox/12.0
,Junior QA engineer,,Manual QA,меньше 3 месяцев,меньше 3 месяцев,250,0,Львов,до 10 человек,m,31,Среднее,элементарный,21/05/2013 10:13:35,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.21 (KHTML, like Gecko) QuiteRss Safari/537.21"
,Software Engineer,C#/.NET,,2,5,1200,200,Киев,до 200 человек,m,23,Высшее,средний,21/05/2013 10:13:40,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Junior Software Engineer,C#/.NET,,0.25,0.25,330,0,Киев,до 10 человек,m,21,Высшее,средний,21/05/2013 10:14:04,Opera/9.80 (Windows NT 6.2; MRA 8.0 (build 5745)) Presto/2.12.388 Version/12.15
,Junior Software Engineer,JavaScript,,1.5,0.75,1200,400,Киев,до 10 человек,f,25,Высшее,ниже среднего,21/05/2013 10:14:09,Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:21.0) Gecko/20100101 Firefox/21.0
,Системный администратор,,,5,1,750,0,Киев,до 10 человек,m,25,Высшее,ниже среднего,21/05/2013 10:14:41,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Junior Software Engineer,PHP,,1.5,0.75,1000,600,Одесса,до 10 человек,m,23,Высшее,средний,21/05/2013 10:14:47,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Ubuntu Chromium/25.0.1364.160 Chrome/25.0.1364.160 Safari/537.22"
,Software Engineer,Java,,3.5,1,2150,0,Киев,свыше 1000 человек,m,24,Высшее,средний,21/05/2013 10:14:57,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Junior Software Engineer,PHP,,0.5,0.5,400,0,Донецк,до 50 человек,m,27,Высшее,продвинутый,21/05/2013 10:14:59,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.63 Safari/537.31"
,Senior Software Engineer,Ruby/Rails,,5,3,2300,0,Одесса,до 10 человек,m,26,Высшее,средний,21/05/2013 10:15:39,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:20.0) Gecko/20100101 Firefox/20.0
,Software Engineer,C#/.NET,,3,3,1800,400,Севастополь,до 50 человек,m,27,Незаконченное высшее,ниже среднего,21/05/2013 10:16:22,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,C#/.NET,,3,1.5,750,300,Харьков,до 10 человек,m,25,Высшее,средний,21/05/2013 10:16:25,Mozilla/5.0 (Windows NT 6.1; rv:20.0) Gecko/20100101 Firefox/20.0
,Senior QA engineer,,Automation QA,5,1.5,2100,300,Харьков,до 200 человек,m,34,Два высших,продвинутый,21/05/2013 10:16:54,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Senior Software Engineer,C++,,5.5,5.5,800,0,Житомир,до 10 человек,m,28,Высшее,средний,21/05/2013 10:16:55,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,C#/.NET,,3,4,1000,200,Киев,до 1000 человек,m,25,Высшее,выше среднего,21/05/2013 10:16:59,Mozilla/5.0 (Windows NT 6.2; WOW64; rv:20.0) Gecko/20100101 Firefox/20.0
,Senior Software Engineer,Java (Android),,3.5,меньше 3 месяцев,3500,0,Киев,до 200 человек,m,45,Высшее,ниже среднего,21/05/2013 10:17:07,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Senior Software Engineer,Flex/Flash/AIR,,5,меньше 3 месяцев,2500,700,Одесса,до 200 человек,m,22,Высшее,средний,21/05/2013 10:17:21,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Junior Software Engineer,Objective-C,,1,0.5,400,100,Киев,до 50 человек,m,24,Высшее,ниже среднего,21/05/2013 10:17:30,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:21.0) Gecko/20100101 Firefox/21.0
,Software Engineer,JavaScript,,2,2,1000,250,Симферополь,до 10 человек,m,24,Высшее,средний,21/05/2013 10:17:51,Opera/9.80 (Windows NT 6.2; Win64; x64) Presto/2.12.388 Version/12.15
,Senior Software Engineer,PHP,,6.5,0.5,2000,1000,Киев,до 50 человек,m,24,Высшее,средний,21/05/2013 10:17:59,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.63 Safari/537.31"
,Системный администратор,,,1,1,500,0,Тернополь,до 10 человек,m,24,Высшее,средний,21/05/2013 10:18:43,Opera/9.80 (Windows NT 5.1) Presto/2.12.388 Version/12.15
,Software Engineer,PHP,,3.5,1,1260,100,Харьков,до 10 человек,f,25,Высшее,ниже среднего,21/05/2013 10:19:08,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:21.0) Gecko/20100101 Firefox/21.0
,Senior Software Engineer,C#/.NET,,7,2,2500,300,Киев,до 50 человек,m,31,Высшее,средний,21/05/2013 10:19:17,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,Objective-C,,4,3,1000,0,Запорожье,до 10 человек,m,25,Высшее,элементарный,21/05/2013 10:19:25,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/536.29.13 (KHTML, like Gecko) Version/6.0.4 Safari/536.29.13"
,Software Engineer,C++,,5,2,1000,100,Харьков,свыше 1000 человек,m,23,Высшее,ниже среднего,21/05/2013 10:19:34,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Senior Software Engineer,C#/.NET,,6,1.5,2500,300,Киев,до 200 человек,m,29,Высшее,средний,21/05/2013 10:19:52,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Senior Software Engineer,PHP,,4.5,4.5,1500,100,Винница,до 50 человек,m,25,Высшее,средний,21/05/2013 10:20:07,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.63 Safari/537.31"
,Software Engineer,JavaScript,,3.5,0.5,800,300,Симферополь,до 50 человек,m,27,Высшее,средний,21/05/2013 10:21:54,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.63 Safari/537.31"
,Junior Software Engineer,C++,,3,0.25,1350,0,Киев,свыше 1000 человек,m,24,Высшее,выше среднего,21/05/2013 10:22:21,Mozilla/5.0 (Windows NT 6.2; WOW64; rv:20.0) Gecko/20100101 Firefox/20.0
,Software Engineer,Java,,4,2,1700,400,Харьков,до 50 человек,m,23,Высшее,выше среднего,21/05/2013 10:23:02,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Ubuntu Chromium/25.0.1364.160 Chrome/25.0.1364.160 Safari/537.22"
,Software Engineer,PHP,,3,2.5,900,90,Киев,до 200 человек,m,24,Высшее,средний,21/05/2013 10:23:05,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Senior Software Engineer,PHP,,3.5,2,2750,950,Киев,до 10 человек,m,24,Высшее,средний,21/05/2013 10:23:05,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
,Junior Software Engineer,PHP,,2.5,2.5,700,150,Николаев,до 10 человек,m,23,Высшее,средний,21/05/2013 10:23:12,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.43 Safari/537.31"
,Software Engineer,PHP,,4,1.5,1500,1000,Львов,до 200 человек,m,25,Высшее,ниже среднего,21/05/2013 10:23:14,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
,Junior Software Engineer,C++,,1,1,700,200,Харьков,до 200 человек,m,20,Незаконченное высшее,средний,21/05/2013 10:23:25,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Director of Engineering / Program Director,,,4,2,1500,1000,Днепропетровск,до 10 человек,m,25,Высшее,элементарный,21/05/2013 10:23:55,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15
,Junior Software Engineer,SQL,,меньше 3 месяцев,меньше 3 месяцев,300,0,Симферополь,до 200 человек,m,23,Высшее,средний,21/05/2013 10:23:59,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,Delphi,,10 и более лет,8,1500,0,Донецк,до 10 человек,m,33,Незаконченное высшее,ниже среднего,21/05/2013 10:24:01,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)
,Software Engineer,PHP,,5,5,2000,0,Запорожье,до 10 человек,m,26,Высшее,элементарный,21/05/2013 10:24:10,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:20.0) Gecko/20100101 Firefox/20.0
,Junior QA engineer,,Manual QA,1.25,0.25,570,230,Харьков,до 1000 человек,f,24,Высшее,средний,21/05/2013 10:25:08,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Системный администратор,,,1.5,0.75,700,200,Киев,до 10 человек,m,23,Высшее,ниже среднего,21/05/2013 10:25:22,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Ubuntu Chromium/25.0.1364.160 Chrome/25.0.1364.160 Safari/537.22"
,Junior Software Engineer,C#/.NET,,2,1,800,800,Винница,до 1000 человек,m,20,Незаконченное высшее,выше среднего,21/05/2013 10:25:24,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Technical Lead,Flex/Flash/AIR,,3,8,1250,200,Луганск,до 10 человек,m,37,Два высших,выше среднего,21/05/2013 10:25:31,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.29.13 (KHTML, like Gecko) Version/6.0.4 Safari/536.29.13"
,Senior Software Engineer,C#/.NET,,5,2.5,2565,500,Харьков,до 1000 человек,m,26,Высшее,выше среднего,21/05/2013 10:25:58,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.11 Safari/537.36"
,Junior Software Engineer,Objective-C,,1.25,1.25,600,350,Харьков,до 50 человек,m,21,Незаконченное высшее,средний,21/05/2013 10:26:02,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.28.10 (KHTML, like Gecko) Version/6.0.3 Safari/536.28.10"
,System Architect / Системный архитектор,C#/.NET,,9,3,2250,375,Киев,до 200 человек,m,30,Высшее,средний,21/05/2013 10:26:58,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,C#/.NET,,2,1,675,200,Донецк,до 200 человек,m,23,Высшее,продвинутый,21/05/2013 10:27:00,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Team lead,,,10 и более лет,5,3000,500,Николаев,до 10 человек,m,36,Среднее,элементарный,21/05/2013 10:27:11,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Системный администратор,,,10 и более лет,6,2000,0,Киев,до 10 человек,m,37,Высшее,элементарный,21/05/2013 10:27:35,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/16.0.912.77 Safari/535.7"
,Team lead,,,10 и более лет,5,2200,200,Харьков,до 200 человек,m,35,Высшее,средний,21/05/2013 10:27:49,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.63 Safari/537.31"
,Senior Software Engineer,Java,,10 и более лет,3,3000,300,Харьков,до 200 человек,f,34,Два высших,продвинутый,21/05/2013 10:27:59,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.63 Safari/537.31"
,Software Engineer,Java,,1.5,0.75,2000,1100,Киев,до 200 человек,m,22,Незаконченное высшее,выше среднего,21/05/2013 10:28:02,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Senior Software Engineer,PHP,,6,5,2000,150,Киев,до 50 человек,m,28,Высшее,средний,21/05/2013 10:28:45,Mozilla/5.0 (Windows NT 6.1; rv:20.0) Gecko/20100101 Firefox/20.0
,Software Engineer,PHP,,4,2,3500,1500,Киев,свыше 1000 человек,f,22,Незаконченное высшее,ниже среднего,21/05/2013 10:29:25,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
,Software Engineer,Python,,7,5,2500,150,Киев,до 200 человек,m,26,Высшее,средний,21/05/2013 10:29:51,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.67 Safari/537.31"
,Junior Software Engineer,Java,,1.5,1.5,1300,500,Киев,свыше 1000 человек,m,24,Высшее,средний,21/05/2013 10:29:52,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Junior QA engineer,PHP,Manual QA,1.25,1.25,550,200,Харьков,до 200 человек,m,23,Высшее,ниже среднего,21/05/2013 10:29:53,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Дизайнер,,,5,1.25,920,250,Харьков,до 1000 человек,m,25,Высшее,ниже среднего,21/05/2013 10:29:55,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,Ruby/Rails,,1.5,1.5,1000,0,Одесса,до 10 человек,m,27,Высшее,средний,21/05/2013 10:29:57,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.63 Safari/537.31"
,Software Engineer,Java,,2,2,1000,350,Днепропетровск,до 200 человек,m,21,Незаконченное высшее,выше среднего,21/05/2013 10:30:18,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,C#/.NET,,3.5,3.5,1700,400,Харьков,до 1000 человек,m,23,Высшее,средний,21/05/2013 10:30:43,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Senior Software Engineer,C#/.NET,,8,0.5,2500,100,Киев,до 50 человек,m,30,Незаконченное высшее,ниже среднего,21/05/2013 10:31:08,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Project manager,,,0.75,меньше 3 месяцев,1800,1000,Львов,до 1000 человек,m,22,Высшее,средний,21/05/2013 10:32:11,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,Objective-C,,1.25,1.25,700,200,Харьков,до 10 человек,m,20,Незаконченное высшее,средний,21/05/2013 10:32:16,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
,Junior QA engineer,,Manual QA,1,1,900,500,Киев,свыше 1000 человек,m,25,Высшее,ниже среднего,21/05/2013 10:32:59,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,JavaScript,,6,2,2300,0,Киев,до 10 человек,m,34,Незаконченное высшее,средний,21/05/2013 10:33:14,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
,Software Engineer,C#/.NET,,6,2,2000,200,Киев,свыше 1000 человек,m,30,Высшее,ниже среднего,21/05/2013 10:33:41,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Senior Software Engineer,Java,,2.5,2.5,1630,300,Николаев,до 200 человек,m,28,Высшее,средний,21/05/2013 10:34:09,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Senior Software Engineer,C#/.NET,,2.5,2,800,250,Харьков,до 50 человек,m,24,Высшее,средний,21/05/2013 10:34:33,Mozilla/5.0 (Windows NT 6.1; rv:21.0) Gecko/20100101 Firefox/21.0
,Senior Software Engineer,Java,,5,5,3000,300,Киев,до 1000 человек,m,29,Высшее,продвинутый,21/05/2013 10:34:41,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.63 Safari/537.31"
,Системный администратор,,,10 и более лет,1,670,670,Кировоград,до 10 человек,m,38,Высшее,средний,21/05/2013 10:35:32,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0
,Software Engineer,Java,,1.5,1.5,1100,100,Киев,свыше 1000 человек,m,23,Высшее,средний,21/05/2013 10:35:45,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Junior Software Engineer,PHP,,0.25,0.25,370,150,Днепропетровск,до 50 человек,m,21,Незаконченное высшее,ниже среднего,21/05/2013 10:36:20,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.63 Safari/537.31"
,Senior Software Engineer,C#/.NET,,7,0.75,3200,0,Киев,до 50 человек,m,30,Высшее,средний,21/05/2013 10:36:39,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Project manager,,,4,4,700,100,Харьков,до 10 человек,m,28,Незаконченное высшее,средний,21/05/2013 10:36:40,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,Java,,4,1,2200,0,Киев,до 200 человек,m,25,Высшее,средний,21/05/2013 10:36:58,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,QA engineer,,General QA,3,3,1250,250,Одесса,до 1000 человек,m,25,Высшее,выше среднего,21/05/2013 10:37:10,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,HR,,,2.5,1.25,800,200,Днепропетровск,до 50 человек,f,31,Высшее,выше среднего,21/05/2013 10:38:00,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Junior Software Engineer,PHP,,меньше 3 месяцев,1,1200,0,Киев,до 10 человек,m,24,Высшее,средний,21/05/2013 10:38:16,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Ubuntu Chromium/25.0.1364.160 Chrome/25.0.1364.160 Safari/537.22"
,Junior Software Engineer,Flex/Flash/AIR,,0.25,0.25,550,0,Хмельницкий,до 200 человек,m,22,Незаконченное высшее,средний,21/05/2013 10:38:18,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,C#/.NET,,1.5,1.5,800,0,Киев,до 10 человек,m,22,Незаконченное высшее,средний,21/05/2013 10:38:18,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
,Software Engineer,Java,,3,1.75,1100,300,Харьков,до 1000 человек,m,24,Высшее,средний,21/05/2013 10:38:43,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Системный администратор,,,5,1,1000,0,Киев,до 10 человек,m,27,Высшее,средний,21/05/2013 10:38:46,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:20.0) Gecko/20130409 Firefox/20.0 PaleMoon/20.0.1-x64
,Technical Lead,Ruby/Rails,,6,2.5,3000,500,Харьков,до 10 человек,m,28,Высшее,средний,21/05/2013 10:39:19,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/536.28.10 (KHTML, like Gecko)"
,Junior Software Engineer,C#/.NET,,2.5,1,900,100,Львов,свыше 1000 человек,m,26,Высшее,ниже среднего,21/05/2013 10:39:48,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Senior Software Engineer,Java,,7,0.5,3000,0,Харьков,до 1000 человек,m,27,Высшее,выше среднего,21/05/2013 10:40:10,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Team lead,,,10 и более лет,3,3000,0,Киев,свыше 1000 человек,m,31,Высшее,выше среднего,21/05/2013 10:40:35,"Mozilla/5.0 (Windows NT 5.1; chromeframe/15.0.874.121) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,Senior Software Engineer,Java,,3,3,2300,300,Львов,до 1000 человек,m,23,Высшее,выше среднего,21/05/2013 10:41:05,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:20.0) Gecko/20100101 Firefox/20.0
,Системный администратор,,,4.5,1,1600,700,Киев,до 50 человек,m,28,Высшее,средний,21/05/2013 10:41:39,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Technical Lead,JavaScript,,3,1,2500,0,Днепропетровск,до 200 человек,m,24,Незаконченное высшее,средний,21/05/2013 10:42:10,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.63 Safari/537.31"
,Junior Software Engineer,PHP,,4,2,700,0,Киев,до 10 человек,m,26,Высшее,ниже среднего,21/05/2013 10:43:28,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.81 Safari/537.36"
,System Architect / Системный архитектор,C#/.NET,,10 и более лет,7,5000,200,Одесса,до 200 человек,m,37,Высшее,продвинутый,21/05/2013 10:43:36,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.22 (KHTML, like Gecko) Chrome/25.0.1364.97 Safari/537.22"
,Project manager,,,2.5,2.5,2300,650,Киев,до 1000 человек,m,25,Высшее,выше среднего,21/05/2013 10:44:27,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,C,,3,3,1538,238,Харьков,до 1000 человек,m,22,Высшее,средний,21/05/2013 10:44:28,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.63 Safari/537.31"
