Должность,Язык программирования,Специализация,Общий опыт работы,Опыт работы на текущем месте,Зарплата в месяц,Изменение зарплаты за 12 месяцев,Город,Размер компании,Тип компании,Пол,Возраст,Образование,Университет,Еще студент,Уровень английского,Предметная область,Дата заполнения,User-Agent
Software Engineer,PHP,,1,меньше 3 месяцев,1000,500,Киев,до 200 человек,Продуктовая,m,24,Высшее,Другой вуз,False,средний,"Веб-разработка,eCommerce",13/06/2017 09:10:55,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,Python,,2,2,2000,500,Киев,до 50 человек,Аутсорсинговая,m,21,Незаконченное высшее,НАУ,True,выше среднего,Веб-разработка,13/06/2017 09:11:13,"Mozilla/5.0 (Linux; Android 5.1; m2 Build/LMY47D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36"
Junior Software Engineer,PHP,,3,меньше 3 месяцев,280,-220,Другой,до 200 человек,Аутсорсинговая,m,24,Высшее,Другой вуз,False,элементарный,"Веб-разработка,eCommerce",13/06/2017 09:11:33,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,C++,,2,меньше 3 месяцев,300,100,Полтава,до 50 человек,Аутсорсинговая,m,21,Незаконченное высшее,Другой вуз,False,ниже среднего,"Android,Desktop Applications",13/06/2017 09:14:35,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior QA engineer,,Automation QA,4,4,2700,1000,Киев,свыше 1000 человек,Аутсорсинговая,m,29,Высшее,НТУУ «КПИ»,False,выше среднего,Другое,13/06/2017 09:15:47,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,JavaScript,,5,меньше 3 месяцев,1900,200,Киев,до 50 человек,Аутсорсинговая,m,27,Высшее,НТУ «ХПИ»,False,средний,"Веб-разработка,eCommerce",13/06/2017 09:17:10,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,C#/.NET,,5,3,2700,200,Киев,до 50 человек,Аутсорсинговая,m,26,Высшее,ВНУ им. Даля,False,ниже среднего,"Веб-разработка,Корпоративные системы",13/06/2017 09:18:02,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4"
Software Engineer,JavaScript,,3,1,2800,800,Львов,свыше 1000 человек,Аутсорсинговая,m,34,Высшее,Львовская Политехника,False,выше среднего,Веб-разработка,13/06/2017 09:20:02,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior QA engineer,,General QA,5,меньше 3 месяцев,2700,550,Киев,до 1000 человек,Продуктовая,m,27,Высшее,НАУ,False,выше среднего,Gamedev,13/06/2017 09:20:22,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36"
Software Engineer,C#/.NET,,2,0.5,1400,900,Киев,до 200 человек,Продуктовая,m,29,Два высших,Другой вуз,False,выше среднего,"Desktop Applications,Веб-разработка",13/06/2017 09:21:44,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Junior Software Engineer,JavaScript,,0.5,0.5,700,350,Харьков,до 200 человек,Аутсорсинговая,f,25,Высшее,ХНУРЭ,False,средний,"iOS,Веб-разработка",13/06/2017 09:22:42,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Designer,,,3,1.5,1500,0,Киев,до 1000 человек,Аутсорсинговая,f,25,Высшее,Другой вуз,False,средний,"Веб-разработка,Финансы и банки",13/06/2017 09:23:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML, like Gecko) Mobile/14D27 [FBAN/FBIOS;FBAV/86.0.0.48.52;FBBV/53842252;FBDV/iPhone6,2;FBMD/iPhone;FBSN/iOS;FBSV/10.2.1;FBSS/2;FBCR/lifecell;FBID/phone;FBLC/en_US;FBOP/5;FBRV/0]"
Software Engineer,1С,,9,0.25,1250,0,Одесса,до 10 человек,Другая,m,31,Высшее,ОНПУ,False,средний,Desktop Applications,13/06/2017 09:23:19,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
HTML coder,,,1,1,800,300,Харьков,до 50 человек,Аутсорсинговая,m,28,Высшее,Другой вуз,False,выше среднего,Веб-разработка,13/06/2017 09:23:54,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36"
Junior Software Engineer,PHP,,1.5,0.5,1300,800,Киев,до 200 человек,Продуктовая,m,28,Высшее,НТУУ «КПИ»,False,ниже среднего,"Веб-разработка,Корпоративные системы",13/06/2017 09:24:19,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
Software Engineer,PHP,,2,0.5,1300,700,Днепр,до 1000 человек,Продуктовая,m,28,Высшее,ДонНТУ,False,выше среднего,Веб-разработка,13/06/2017 09:24:32,"Mozilla/5.0 (Linux; Android 5.0.2; Lenovo A5000 Build/LRX22G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36"
Project manager,,,1.5,1.5,700,300,Черкассы,до 200 человек,Аутсорсинговая,m,32,Высшее,Другой вуз,False,выше среднего,"Android,Веб-разработка",13/06/2017 09:24:36,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0
HR,,,0.5,0.5,420,0,Львов,свыше 1000 человек,Аутсорсинговая,f,26,Высшее,НаУКМА,False,средний,Другое,13/06/2017 09:26:07,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior QA engineer,,Automation QA,3,0.5,3000,1200,Киев,до 1000 человек,Аутсорсинговая,m,24,Высшее,КНУ им. Шевченко,False,выше среднего,Другое,13/06/2017 09:26:17,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36"
QA engineer,,Manual QA,3,1,1050,350,Киев,до 200 человек,Продуктовая,m,27,Высшее,НТУУ «КПИ»,False,ниже среднего,"Веб-разработка,eCommerce",13/06/2017 09:26:20,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
Junior QA engineer,,Manual QA,0.5,0.5,400,100,Днепр,до 50 человек,Аутсорсинговая,m,23,Высшее,ДНУ им. Гончара,False,выше среднего,"Android,Веб-разработка",13/06/2017 09:26:59,"Mozilla/5.0 (Linux; Android 5.1.1; C6903 Build/14.6.A.1.236) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36"
Software Engineer,C#/.NET,,1.5,1.5,1600,600,Хмельницкий,до 50 человек,Аутсорсинговая,m,32,Высшее,ХНУ [г. Хмельницкий],False,ниже среднего,"Веб-разработка,Корпоративные системы",13/06/2017 09:27:00,"Mozilla/5.0 (Linux; Android 6.0.1; SM-J510H Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36"
Junior Software Engineer,C++,,0.5,0.5,500,0,Днепр,до 1000 человек,Аутсорсинговая,m,22,Высшее,ДНУ им. Гончара,False,выше среднего,Desktop Applications,13/06/2017 09:28:06,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
HTML coder,,,1,меньше 3 месяцев,600,350,Киев,до 50 человек,Аутсорсинговая,m,22,Незаконченное высшее,НАУ,True,средний,Веб-разработка,13/06/2017 09:28:22,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36"
Senior Project Manager / Program Manager,,,5,2,4400,1000,Киев,свыше 1000 человек,Аутсорсинговая,m,31,Высшее,НТУУ «КПИ»,False,выше среднего,Корпоративные системы,13/06/2017 09:28:23,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36"
Business analyst,,,1.5,0.5,950,550,Киев,до 200 человек,Аутсорсинговая,m,24,Высшее,НАУ,False,выше среднего,"Веб-разработка,Финансы и банки",13/06/2017 09:28:28,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Marketing,,,2,0.5,500,200,Львов,до 10 человек,Аутсорсинговая,m,24,Высшее,КНУТД,False,средний,eCommerce,13/06/2017 09:30:17,"Mozilla/5.0 (Windows Phone 10.0; Android 6.0.1; Microsoft; Lumia 535 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Mobile Safari/537.36 Edge/15.15063"
Marketing,,,2,0.25,1500,1000,Киев,до 10 человек,Стартап,m,24,Высшее,Другой вуз,False,выше среднего,eCommerce,13/06/2017 09:30:39,"Mozilla/5.0 (Linux; Android 7.1.2; Nexus 5X Build/N2G47W) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.92 Mobile Safari/537.36"
HTML coder,,,1,1,400,150,Львов,до 50 человек,Аутсорсинговая,m,24,Высшее,ЖГТУ,False,средний,"Веб-разработка,eCommerce",13/06/2017 09:31:51,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
HTML coder,JavaScript,,1,0.5,400,200,Львов,до 50 человек,Аутсорсинговая,m,24,Высшее,Львовская Политехника,False,ниже среднего,Веб-разработка,13/06/2017 09:31:53,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior Software Engineer,C#/.NET,,10 и более лет,2,4770,0,Киев,до 50 человек,Аутстаффинговая,m,30,Высшее,ХНУРЭ,False,выше среднего,"Веб-разработка,Корпоративные системы",13/06/2017 09:33:24,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Project manager,,,5,4,3750,750,Львов,до 1000 человек,Аутсорсинговая,m,26,Высшее,НАУ,False,выше среднего,"Веб-разработка,eCommerce",13/06/2017 09:33:42,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Mobile/14E304 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPhone9,3;FBMD/iPhone;FBSN/iOS;FBSV/10.3.1;FBSS/2;FBCR/Carrier;FBID/phone;FBLC/en_US;FBOP/5;FBRV/0]"
Software Engineer,PHP,,1,6,600,350,Черновцы,до 50 человек,Аутсорсинговая,m,31,Высшее,Другой вуз,False,элементарный,Веб-разработка,13/06/2017 09:34:27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Team lead,,,5,2,2700,200,Киев,до 200 человек,Продуктовая,m,30,Два высших,НТУУ «КПИ»,False,средний,Телекоммуникации,13/06/2017 09:34:48,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,C#/.NET,,2,2,1500,300,Харьков,до 1000 человек,Аутсорсинговая,m,24,Высшее,НТУ «ХПИ»,False,выше среднего,"Веб-разработка,Мультимедиа",13/06/2017 09:34:50,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
QA engineer,,General QA,2,2,1400,300,Киев,до 200 человек,Аутсорсинговая,m,24,Высшее,НТУУ «КПИ»,False,средний,Веб-разработка,13/06/2017 09:35:23,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
Software Engineer,Java,,6,5,2400,300,Одесса,свыше 1000 человек,Аутсорсинговая,m,27,Высшее,ОНПУ,False,средний,Корпоративные системы,13/06/2017 09:35:39,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0
Software Engineer,C#/.NET,,4,1.5,1300,0,Харьков,свыше 1000 человек,Аутсорсинговая,m,27,Высшее,ХНУ им. Каразина,False,средний,"Desktop Applications,Веб-разработка",13/06/2017 09:36:19,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0
Junior Software Engineer,JavaScript,,1,1,1100,750,Харьков,до 1000 человек,Аутстаффинговая,m,22,Высшее,ХНЭУ,True,выше среднего,"Телекоммуникации,eCommerce",13/06/2017 09:36:40,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0
QA engineer,,Manual QA,3,1.5,1600,100,Киев,свыше 1000 человек,Аутстаффинговая,m,27,Высшее,КНУ им. Шевченко,False,выше среднего,Веб-разработка,13/06/2017 09:36:55,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior Software Engineer,C#/.NET,,10 и более лет,2,3800,300,Харьков,до 1000 человек,Аутстаффинговая,m,38,Высшее,ХНУРЭ,False,средний,"Веб-разработка,Корпоративные системы",13/06/2017 09:37:51,"Mozilla/5.0 (Linux; Android 5.1.1; SM-A310F Build/LMY47X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36"
Junior Software Engineer,C#/.NET,,1.5,2,580,100,Киев,до 10 человек,Стартап,m,29,Незаконченное высшее,КНУ им. Шевченко,True,ниже среднего,"Веб-разработка,eCommerce",13/06/2017 09:38:07,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,Objective-C,,5,меньше 3 месяцев,2000,600,Харьков,до 200 человек,Аутстаффинговая,m,27,Высшее,НТУ «ХПИ»,False,средний,iOS,13/06/2017 09:38:24,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1"
Software Engineer,C#/.NET,,1.5,меньше 3 месяцев,1200,900,Львов,до 200 человек,Аутсорсинговая,m,25,Высшее,ЛНУ им. Франко,False,средний,"Веб-разработка,eCommerce",13/06/2017 09:38:37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior Software Engineer,C#/.NET,,10 и более лет,7,3500,0,Киев,до 200 человек,Продуктовая,m,34,Два высших,Другой вуз,False,средний,"Desktop Applications,Корпоративные системы",13/06/2017 09:39:42,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,Swift,,3,1,3000,1000,Львов,до 50 человек,Аутсорсинговая,m,26,Высшее,ДНУЖТ,False,выше среднего,iOS,13/06/2017 09:39:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4"
Technical Lead,Java,,10 и более лет,7,4500,200,Киев,до 200 человек,Аутсорсинговая,m,40,Высшее,Другой вуз,False,выше среднего,"Android,Финансы и банки",13/06/2017 09:39:57,"Mozilla/5.0 (Linux; Android 7.1.2; Nexus 6P Build/N2G47W; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.3029.83 Mobile Safari/537.36"
Senior Software Engineer,Swift,,4,меньше 3 месяцев,2800,1800,Львов,до 50 человек,Аутстаффинговая,m,24,Высшее,ЛНУ им. Франко,False,выше среднего,iOS,13/06/2017 09:41:18,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888"
Support,,,меньше 3 месяцев,меньше 3 месяцев,200,0,Харьков,до 1000 человек,Аутсорсинговая,m,20,Незаконченное высшее,ХНУРЭ,True,выше среднего,Корпоративные системы,13/06/2017 09:41:35,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,Java,,2,1,1200,600,Винница,до 50 человек,Аутсорсинговая,m,23,Высшее,ВНТУ,False,ниже среднего,Android,13/06/2017 09:42:14,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
Project manager,,,1.5,1,500,300,Харьков,до 1000 человек,Аутстаффинговая,m,24,Высшее,НТУ «ХПИ»,True,выше среднего,Веб-разработка,13/06/2017 09:42:35,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Marketing,,,2,0.25,150,50,Запорожье,до 50 человек,Аутсорсинговая,m,25,Высшее,ЗНТУ,False,средний,"Веб-разработка,eCommerce",13/06/2017 09:43:33,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior Software Engineer,Swift,,4,1,3000,300,Львов,до 50 человек,Аутсорсинговая,m,26,Высшее,НГУ [Днепропетровск],False,продвинутый,iOS,13/06/2017 09:44:55,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Junior QA engineer,,Manual QA,0.25,0.25,300,150,Киев,до 1000 человек,Аутсорсинговая,m,27,Высшее,ДонНТУ,False,выше среднего,Gamedev,13/06/2017 09:45:03,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,Java,,3,1,1000,400,Львов,до 50 человек,Аутстаффинговая,m,26,Высшее,Другой вуз,False,ниже среднего,Веб-разработка,13/06/2017 09:45:13,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,Ruby/Rails,,3,3,1400,0,Днепр,до 50 человек,Аутстаффинговая,m,25,Высшее,ДНУ им. Гончара,False,средний,Веб-разработка,13/06/2017 09:47:05,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0
Software Engineer,JavaScript,,10 и более лет,0.25,1400,500,Житомир,до 200 человек,Аутсорсинговая,m,31,Высшее,ЖГТУ,False,средний,Веб-разработка,13/06/2017 09:47:45,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0
QA engineer,,Manual QA,2,2,1250,450,Житомир,до 50 человек,Продуктовая,m,26,Высшее,ЖГТУ,False,средний,"Веб-разработка,Gamedev",13/06/2017 09:48:01,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Junior Software Engineer,PHP,,1,1,1100,100,Днепр,до 200 человек,Продуктовая,m,30,Среднее,,False,элементарный,Веб-разработка,13/06/2017 09:48:32,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36"
Software Engineer,C,,6,1,1000,200,Днепр,до 200 человек,Продуктовая,m,29,Высшее,ДНУ им. Гончара,False,средний,"Embedded,Системное программирование",13/06/2017 09:49:05,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior Software Engineer,Java,,4,4,2061,400,Киев,свыше 1000 человек,Продуктовая,m,23,Высшее,НТУУ «КПИ»,False,средний,"Телекоммуникации,Корпоративные системы",13/06/2017 09:49:38,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0
Project manager,,,10 и более лет,10 и более лет,3000,0,Киев,до 200 человек,Продуктовая,m,33,Высшее,НТУУ «КПИ»,False,выше среднего,"Desktop Applications,Корпоративные системы",13/06/2017 09:50:10,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,C#/.NET,,1,1,1000,800,Днепр,до 1000 человек,Продуктовая,m,20,Высшее,ДНУ им. Гончара,True,выше среднего,Веб-разработка,13/06/2017 09:50:40,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/10.3.2;FBSS/2;FBCR/Carrier;FBID/phone;FBLC/ru_RU;FBOP/5;FBRV/0]"
Sales manager,,,1,меньше 3 месяцев,200,0,Житомир,до 50 человек,Аутсорсинговая,m,28,Высшее,ЖГТУ,False,выше среднего,,13/06/2017 09:50:50,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393"
Senior Software Engineer,JavaScript,,10 и более лет,2,2000,0,Киев,до 10 человек,Аутсорсинговая,m,42,Высшее,Другой вуз,False,выше среднего,"Веб-разработка,Мультимедиа",13/06/2017 09:51:17,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Support,,,9,6,470,100,Киев,до 200 человек,Аутсорсинговая,m,32,Высшее,Другой вуз,False,ниже среднего,Другое,13/06/2017 09:51:23,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888"
Sales manager,,,1.5,0.5,200,0,Житомир,до 200 человек,Аутсорсинговая,m,24,Высшее,Другой вуз,False,выше среднего,,13/06/2017 09:51:51,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36"
Software Engineer,Swift,,3,3,1800,500,Львов,до 50 человек,Аутсорсинговая,m,25,Высшее,Львовская Политехника,False,средний,iOS,13/06/2017 09:52:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Junior Software Engineer,Java,,1,1,750,750,Львов,до 50 человек,Продуктовая,m,22,Высшее,Львовская Политехника,False,выше среднего,Веб-разработка,13/06/2017 09:52:13,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Junior Software Engineer,Java,,5,2,1300,200,Одесса,свыше 1000 человек,Аутсорсинговая,m,28,Высшее,Другой вуз,False,выше среднего,Desktop Applications,13/06/2017 09:52:32,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Team lead,,,3,3,2100,100,Днепр,до 1000 человек,Продуктовая,m,27,Высшее,ДНУ им. Гончара,False,средний,Веб-разработка,13/06/2017 09:54:22,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Junior Software Engineer,PHP,,1.5,0.25,400,200,Полтава,до 200 человек,Аутсорсинговая,m,25,Незаконченное высшее,Другой вуз,True,ниже среднего,Веб-разработка,13/06/2017 09:55:51,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0
Project manager,,,1.5,1,230,80,Днепр,до 10 человек,Стартап,m,23,Высшее,ДНУЖТ,False,средний,Веб-разработка,13/06/2017 09:55:54,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,Java,,3,3,2000,500,Киев,до 1000 человек,Продуктовая,m,23,Высшее,НАУ,False,ниже среднего,"Телекоммуникации,Корпоративные системы",13/06/2017 09:56:01,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.71 Safari/537.36"
Software Engineer,Java,,1.5,0.5,1400,700,Харьков,до 200 человек,Аутсорсинговая,m,27,Высшее,ХНЭУ,False,средний,Веб-разработка,13/06/2017 09:58:30,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36"
Software Engineer,Swift,,5,0.5,2500,700,Другой,до 10 человек,Аутсорсинговая,m,28,Высшее,Другой вуз,True,выше среднего,"Android,iOS",13/06/2017 09:59:24,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4"
Software Engineer,PHP,,5,меньше 3 месяцев,2935,435,Киев,до 200 человек,Продуктовая,m,24,Высшее,Другой вуз,False,выше среднего,Веб-разработка,13/06/2017 09:59:29,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36"
Junior Software Engineer,SQL,,3,меньше 3 месяцев,1400,700,Киев,свыше 1000 человек,Аутсорсинговая,m,23,Высшее,КНЭУ,False,средний,Финансы и банки,13/06/2017 09:59:33,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Junior Software Engineer,Other,,2,0.5,600,380,Киев,до 10 человек,Другая,m,27,Высшее,НТУУ «КПИ»,False,средний,"Веб-разработка,Корпоративные системы",13/06/2017 10:01:55,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
