Submitted at,Ваша основна зайнятість в ІТ зараз...,"ЗАРПЛАТА / СУМАРНИЙ ДОХІД в IT у $$$ за місяць, лише ставка 
ЧИСТИМИ - після сплати податків",Всі бонуси (на місяць),Тайтл,Категорія,Почніть вводити і оберіть вашу ОСНОВНУ посаду зі списку,"У якій сфері проєкт, в якому ви зараз працюєте?",Вкажіть вашу основну спеціалізацію,Чи використовуєте ви у своїй роботі мови програмування (одну чи декілька)?,Основна мова програмування,"Основний напрям роботи компанії, в якій працюєте",Кількість спеціалістів у вашій компанії в Україні,Загальний стаж роботи за нинішньою ІТ-спеціальністю,Знання англійської мови,Де ви зараз живете?,За яким напрямом ви навчалися / навчаєтеся у виші?,Ваш вік
2025-05-26 16:30:16,Працюю в IT-компанії / ІТ-департаменті,4800,500,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","E-commerce, Retail / marketplace",Full Stack розробка,,C# / .NET,Сервісна (аутсорсингова),до 1000,6,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",25
2025-05-26 16:30:36,Працюю в IT-компанії / ІТ-департаменті,4600,1650,Head,Tech Leadership,IT Director,Enterprise,,"Ні, не використовую",,"ІТ-відділ в НЕ ІТ-компанії (банк, телеком, ритейл тощо)",до 1000,11,Advanced,В Україні,"Точні науки (математика, інформатика)",41
2025-05-26 16:30:56,Працюю в IT-компанії / ІТ-департаменті,1450,500,Junior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","Retail / marketplace, Home improvement",Full Stack розробка,,C# / .NET,Аутстафінгова,до 200,2,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",22
2025-05-26 16:32:19,Працюю в IT-компанії / ІТ-департаменті,4225,0,Manager,Product Mgmt,Product Owner (у продакт менеджменті),Legal,,"Ні, не використовую",,Аутстафінгова,до 200,11,Upper-Intermediate,В Україні,Інші гуманітарні та суспільні науки,36
2025-05-26 16:34:05,Працюю в IT-компанії / ІТ-департаменті,2350,0,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","Medtech / Healthcare, Enterprise",Full Stack розробка,,C# / .NET,Сервісна (аутсорсингова),до 200,3,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",22
2025-05-26 16:36:13,Працюю в IT-компанії / ІТ-департаменті,1200,0,Middle,Customer Success,Customer Success Manager,Adtech / Advertising / Marketing,,"Ні, не використовую",,Продуктова,до 50,2,Upper-Intermediate,В Україні,Інші гуманітарні та суспільні науки,29
2025-05-26 16:36:21,Працюю в IT-компанії / ІТ-департаменті,1720,0,Middle,QA,General QA,E-commerce,,"Так, використовую",JavaScript,Сервісна (аутсорсингова),до 200,4,Upper-Intermediate,В Україні,"Суспільно-економічні науки (економіка, соціологія)",37
2025-05-26 16:36:40,Працюю в IT-компанії / ІТ-департаменті,800,0,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",E-commerce,Back-end розробка,,PHP,Сервісна (аутсорсингова),до 50,6,Pre-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",42
2025-05-26 16:37:03,"Тимчасово не працюю і не шукаю роботу (sabbatical, декрет, волонтерство etc)",3500,0,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","SaaS, Media / Entertainment",Mobile розробка,,Kotlin,Сервісна (аутсорсингова),до 200,4,Intermediate,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",32
2025-05-26 16:37:18,Я контрактор(-ка) в IT (прямий контракт з іноземним замовником),5025,0,Senior,Analyst,Business Analyst (BA),"E-commerce, Fintech / Banking / Capital Management",,"Ні, не використовую",,Продуктова,до 1000,5,Advanced,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",29
2025-05-26 16:37:30,Працюю в IT-компанії / ІТ-департаменті,1500,0,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","AI / ML, Adtech / Advertising / Marketing",Front-end розробка,,TypeScript,Сервісна (аутсорсингова),до 50,4,Upper-Intermediate,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",30
2025-05-26 16:39:18,Працюю в IT-компанії / ІТ-департаменті,6000,0,Senior,Product Mgmt,Product Manager,"Logistics / Supply Chain, AI / ML",,"Ні, не використовую",,Аутстафінгова,до 50,8,Advanced,"За кордоном, але планую повернутися","Природничі науки (фізика, хімія, біологія)",40
2025-05-26 16:39:26,Працюю в IT-компанії / ІТ-департаменті,2000,0,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","Blockchain, AI / ML",Front-end розробка,,TypeScript,Сервісна (аутсорсингова),до 200,3,Upper-Intermediate,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",37
2025-05-26 16:39:34,Працюю в IT-компанії / ІТ-департаменті,4950,0,Tech Lead,QA,Automation QA / AQA,Adtech / Advertising / Marketing,,"Так, використовую",Kotlin,Сервісна (аутсорсингова),понад 1000,4,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",32
2025-05-26 16:39:58,Працюю в IT-компанії / ІТ-департаменті,5500,20,Lead / Team Lead,QA,QA Lead,Travel,,"Так, використовую",JavaScript,Аутстафінгова,до 200,1,Upper-Intermediate,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",39
2025-05-26 16:40:30,Працюю в IT-компанії / ІТ-департаменті,1170,0,Junior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","SaaS, Retail / marketplace, Logistics / Supply Chain",Desktop,,C# / .NET,Сервісна (аутсорсингова),понад 1000,1,Upper-Intermediate,В Україні,Не вступав у виш,27
2025-05-26 16:41:22,Працюю в IT-компанії / ІТ-департаменті,1200,0,Middle,QA,Manual QA,"Edtech / Education, Mobile, Різнопланові проєкти, немає одного основного (HR etc)",,"Ні, не використовую",,Продуктова,до 200,4,Intermediate,В Україні,Інші гуманітарні та суспільні науки,32
2025-05-26 16:41:45,Я контрактор(-ка) в IT (прямий контракт з іноземним замовником),7000,0,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","Mobile, Medtech / Healthcare",Mobile розробка,,C# / .NET,"ІТ-відділ в НЕ ІТ-компанії (банк, телеком, ритейл тощо)","працюю на іноземного роботодавця, в Україні він не має сформованої команди",8,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",35
2025-05-26 16:41:48,Працюю в IT-компанії / ІТ-департаменті,2100,0,Manager,Project Mgmt,Project Manager (PM),"AI / ML, Edtech / Education",,"Ні, не використовую",,Сервісна (аутсорсингова),до 200,10,Upper-Intermediate,В Україні,"Природничі науки (фізика, хімія, біологія)",35
2025-05-26 16:42:41,Працюю в IT-компанії / ІТ-департаменті,2000,0,Middle,DevOps,DevOps Engineer,Legal,,"Так, використовую",Bash / Shell,Продуктова,до 50,1.5,Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",32
2025-05-26 16:42:52,Працюю в IT-компанії / ІТ-департаменті,5800,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",-,Full Stack розробка,,TypeScript,Аутстафінгова,до 1000,10,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",37
2025-05-26 16:42:56,Втратив(-ла) роботу / звільнився(-лася) і шукаю нову,1350,0,Manager,Project Mgmt,Project Manager (PM),"AI / ML, E-commerce, Edtech / Education",,"Ні, не використовую",,Сервісна (аутсорсингова),до 50,4,Upper-Intermediate,В Україні,Інші гуманітарні та суспільні науки,33
2025-05-26 16:43:20,Я контрактор(-ка) в IT (прямий контракт з іноземним замовником),500,0,Junior,QA,Manual QA,Telecom,,"Ні, не використовую",,Продуктова,до 10 спеціалістів,1,Intermediate,В Україні,"Природничі науки (фізика, хімія, біологія)",38
2025-05-26 16:43:39,Працюю в IT-компанії / ІТ-департаменті,2000,0,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","Miltech, Robotics",Desktop,,Rust,Продуктова,до 50,2,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",21
2025-05-26 16:43:56,Працюю в IT-компанії / ІТ-департаменті,1200,0,Principal,Project Mgmt,Project Manager (PM),"Telecom, ERP, Business Intelligence / Data Warehouse",,"Так, використовую",Python,Продуктова,понад 1000,14,Advanced,В Україні,Інші гуманітарні та суспільні науки,36
2025-05-26 16:44:23,Працюю в IT-компанії / ІТ-департаменті,5200,500,Manager,Project Mgmt,Project Manager (PM),"Security, Fintech / Banking / Capital Management, Internet of Things",,"Ні, не використовую",,Сервісна (аутсорсингова),понад 1000,6,Upper-Intermediate,В Україні,Інші гуманітарні та суспільні науки,36
2025-05-26 16:45:23,Я контрактор(-ка) в IT (прямий контракт з іноземним замовником),5100,83.3333333333333,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","Business Intelligence / Data Warehouse, ERP",Back-end розробка,,TypeScript,Продуктова,до 1000,8,Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",45
2025-05-26 16:45:39,Працюю в IT-компанії / ІТ-департаменті,1000,0,Junior,DS,ML Engineer (Machine Learning),"Retail / marketplace, Logistics / Supply Chain, Business Intelligence / Data Warehouse",,"Так, використовую",Python,Сервісна (аутсорсингова),понад 1000,2,Upper-Intermediate,В Україні,"Природничі науки (фізика, хімія, біологія)",42
2025-05-26 16:45:55,Працюю в IT-компанії / ІТ-департаменті,2000,166.666666666667,Middle,Other mgmt,Risk manager,"Big Data, Security, Різнопланові проєкти, немає одного основного (HR etc)",,"Ні, не використовую",,"ІТ-відділ в НЕ ІТ-компанії (банк, телеком, ритейл тощо)",понад 1000,2,Intermediate,В Україні,Інші гуманітарні та суспільні науки,33
2025-05-26 16:46:02,Працюю в IT-компанії / ІТ-департаменті,6200,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Medtech / Healthcare,Back-end розробка,,Java,Аутстафінгова,до 1000,9,Upper-Intermediate,"За кордоном, але планую повернутися","Суспільно-економічні науки (економіка, соціологія)",35
2025-05-26 16:47:32,Працюю в IT-компанії / ІТ-департаменті,2900,208.333333333333,Manager,Project Mgmt,Delivery Manager,"E-commerce, Logistics / Supply Chain",,"Ні, не використовую",,Продуктова,до 1000,1,Upper-Intermediate,"За кордоном, але планую повернутися","Суспільно-економічні науки (економіка, соціологія)",36
2025-05-26 16:47:34,Працюю в IT-компанії / ІТ-департаменті,2000,0,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Edtech / Education,Full Stack розробка,,TypeScript,Продуктова,до 200,3,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",22
2025-05-26 16:50:56,Я контрактор(-ка) в IT (прямий контракт з іноземним замовником),7000,0,Tech Lead,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","AI / ML, Fintech / Banking / Capital Management",Back-end розробка,,Java,Стартап,до 10 спеціалістів,9,Advanced,В Україні,"Точні науки (математика, інформатика)",30
2025-05-26 16:51:21,Працюю в IT-компанії / ІТ-департаменті,3100,83.3333333333333,Senior,QA,Automation QA / AQA,Fintech / Banking / Capital Management,,"Так, використовую",Java,Сервісна (аутсорсингова),понад 1000,6,Intermediate,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",37
2025-05-26 16:51:31,Працюю в IT-компанії / ІТ-департаменті,5000,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","Mobile, Insurance, Real estate",Mobile розробка,,TypeScript,Аутстафінгова,до 200,7,Advanced,"За кордоном, але планую повернутися",Інші гуманітарні та суспільні науки,34
2025-05-26 16:51:45,Працюю в IT-компанії / ІТ-департаменті,2000,0,Middle,Customer Success,Customer Success Manager,ERP,,"Ні, не використовую",,Сервісна (аутсорсингова),до 50,3,Intermediate,В Україні,"Природничі науки (фізика, хімія, біологія)",37
2025-05-26 16:52:18,Працюю в IT-компанії / ІТ-департаменті,4700,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Fintech / Banking / Capital Management,Back-end розробка,,C# / .NET,Сервісна (аутсорсингова),понад 1000,5,Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",24
2025-05-26 16:53:51,Працюю в IT-компанії / ІТ-департаменті,5500,458.333333333333,Senior,Security,Security Engineer,Fintech / Banking / Capital Management,,"Так, використовую",HashiCorp configuration language,Продуктова,до 200,8,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",29
2025-05-26 16:54:15,Працюю в IT-компанії / ІТ-департаменті,3500,0,Lead / Team Lead,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Fintech / Banking / Capital Management,Front-end розробка,,JavaScript,Продуктова,до 1000,5,Upper-Intermediate,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",37
2025-05-26 16:55:11,Я контрактор(-ка) в IT (прямий контракт з іноземним замовником),6360,2083.33333333333,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Fintech / Banking / Capital Management,Back-end розробка,,Java,Продуктова,до 10 спеціалістів,12,Advanced,В Україні,"Точні науки (математика, інформатика)",36
2025-05-26 16:56:47,Я контрактор(-ка) в IT (прямий контракт з іноземним замовником),8500,800,Lead / Team Lead,DevOps,DevOps Engineer,Fintech / Banking / Capital Management,,"Ні, не використовую",,Продуктова,до 200,14,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",42
2025-05-26 16:57:20,Працюю в IT-компанії / ІТ-департаменті,10000,0,Staff,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Infrastructure,Back-end розробка,,Java,Аутстафінгова,понад 1000,18,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",41
2025-05-26 16:57:44,Працюю в IT-компанії / ІТ-департаменті,740,0,Junior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",E-commerce,Back-end розробка,,PHP,Сервісна (аутсорсингова),до 50,5,Upper-Intermediate,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",33
2025-05-26 16:57:59,Я контрактор(-ка) в IT (прямий контракт з іноземним замовником),750,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",E-commerce,Full Stack розробка,,PHP,Сервісна (аутсорсингова),"працюю на іноземного роботодавця, в Україні він не має сформованої команди",3,Pre-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",40
2025-05-26 16:59:31,Я контрактор(-ка) в IT (прямий контракт з іноземним замовником),1253,0,Немає тайтлу,DS,ML Engineer (Machine Learning),Real estate,,"Так, використовую",Python,Стартап,до 10 спеціалістів,1.5,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",22
2025-05-26 17:00:44,Працюю в IT-компанії / ІТ-департаменті,3900,0,Немає тайтлу,Product Mgmt,Product Manager,Security,,"Ні, не використовую",,Продуктова,до 200,4,Advanced,В Україні,Інші гуманітарні та суспільні науки,32
2025-05-26 17:01:10,Працюю в IT-компанії / ІТ-департаменті,500,0,Junior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","ERP, Home Industry",Back-end розробка,,C# / .NET,Аутстафінгова,до 200,0.25,Upper-Intermediate,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",19
2025-05-26 17:01:24,Працюю в IT-компанії / ІТ-департаменті,900,0,Middle,Support,Integrations Engineer / Integration Manager,Fintech / Banking / Capital Management,,"Так, використовую",Python,Продуктова,до 50,1.5,Intermediate,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",24
2025-05-26 17:02:47,Працюю в IT-компанії / ІТ-департаменті,500,0,Junior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Telecom,Back-end розробка,,Python,Продуктова,до 50,0.1,Intermediate,В Україні,Не вступав у виш,21
2025-05-26 17:03:16,Працюю в IT-компанії / ІТ-департаменті,5000,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Media / Entertainment,Back-end розробка,,JavaScript,Сервісна (аутсорсингова),до 1000,6,Advanced,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",32
2025-05-26 17:04:10,Працюю в IT-компанії / ІТ-департаменті,11000,250,Tech Lead,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","E-commerce, Retail / marketplace",Mobile розробка,,Dart,Сервісна (аутсорсингова),понад 1000,11,Intermediate,В Україні,Інші гуманітарні та суспільні науки,40
2025-05-26 17:05:29,Я контрактор(-ка) в IT (прямий контракт з іноземним замовником),2000,0,Head,HR,Employee Engagement Manager /Employee experience Manager,E-commerce,,"Ні, не використовую",,"ІТ-відділ в НЕ ІТ-компанії (банк, телеком, ритейл тощо)",до 1000,0.5,Pre-Intermediate,"За кордоном, але планую повернутися",Не вступав у виш,33
2025-05-26 17:05:39,Працюю в IT-компанії / ІТ-департаменті,2000,16.6666666666667,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","Mobile, Різнопланові проєкти, немає одного основного (HR etc)",Front-end розробка,,TypeScript,Аутстафінгова,до 50,6,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",27
2025-05-26 17:06:12,Працюю в IT-компанії / ІТ-департаменті,3000,0,Tech Lead,SE,Tech Lead / Engineering Lead,AI / ML,,"Так, використовую",TypeScript,Державне підприємство / установа,понад 1000,6,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",22
2025-05-26 17:09:25,Працюю в IT-компанії / ІТ-департаменті,600,0,Junior,Analyst,Data Analyst,Logistics / Supply Chain,,"Так, використовую",SQL,Стартап,до 50,0.5,Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",22
2025-05-26 17:13:22,Працюю в IT-компанії / ІТ-департаменті,5000,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Fintech / Banking / Capital Management,Mobile розробка,,Swift,Аутстафінгова,до 200,5,Advanced,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",24
2025-05-26 17:17:41,Працюю в IT-компанії / ІТ-департаменті,2000,0,Middle,QA,General QA,Embedded,,"Так, використовую",JavaScript,Сервісна (аутсорсингова),понад 1000,4,Upper-Intermediate,В Україні,Інші гуманітарні та суспільні науки,29
2025-05-26 17:19:06,Працюю в IT-компанії / ІТ-департаменті,2300,0,Middle,QA,General QA,Manufacturing,,"Так, використовую",Java,Сервісна (аутсорсингова),до 50,4,Upper-Intermediate,В Україні,"Суспільно-економічні науки (економіка, соціологія)",26
2025-05-26 17:20:12,Втратив(-ла) роботу / звільнився(-лася) і шукаю нову,5500,0,Manager,QA,QA Manager / QC Manager,Security,,"Ні, не використовую",,Продуктова,до 50,18,Advanced,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",36
2025-05-26 17:21:01,Працюю в IT-компанії / ІТ-департаменті,5450,0,Manager,Project Mgmt,Technical Project Manager,Telecom,,"Так, використовую",Java,Продуктова,до 1000,12,Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",34
2025-05-26 17:21:11,Працюю в IT-компанії / ІТ-департаменті,5000,66.6666666666667,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","Cloud Computing, GameDev, Travel",,,C# / .NET,Сервісна (аутсорсингова),до 1000,6,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",27
2025-05-26 17:21:40,Працюю в IT-компанії / ІТ-департаменті,15000,0,CEO / C-level (Chief) / Director / VP,General Leadership,CEO,"AI / ML, Embedded, Internet of Things",,"Так, використовую",Python,Сервісна (аутсорсингова),до 1000,5,Upper-Intermediate,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",35
2025-05-26 17:21:43,Працюю в IT-компанії / ІТ-департаменті,950,0,Junior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","Fintech / Banking / Capital Management, Business Intelligence / Data Warehouse",Back-end розробка,,C# / .NET,Сервісна (аутсорсингова),до 1000,1.5,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",22
2025-05-26 17:21:55,Я контрактор(-ка) в IT (прямий контракт з іноземним замовником),3500,0,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",E-commerce,Back-end розробка,,Java,"ІТ-відділ в НЕ ІТ-компанії (банк, телеком, ритейл тощо)",до 10 спеціалістів,4,Advanced,В Україні,"Природничі науки (фізика, хімія, біологія)",35
2025-05-26 17:22:25,Працюю в IT-компанії / ІТ-департаменті,1000,0,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",E-commerce,Front-end розробка,,TypeScript,Сервісна (аутсорсингова),понад 1000,3,Upper-Intermediate,В Україні,Інші гуманітарні та суспільні науки,33
2025-05-26 17:23:13,Працюю в IT-компанії / ІТ-департаменті,2200,0,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","Miltech, Embedded",Embedded,,C++,Продуктова,до 50,3,Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",22
2025-05-26 17:23:38,Втратив(-ла) роботу / звільнився(-лася) і шукаю нову,1200,0,Middle,Rcrt,Recruiter / Recruitment Specialist / Technical Recruiter,"SaaS, Edtech / Education",,"Ні, не використовую",,Сервісна (аутсорсингова),до 50,3,Advanced,В Україні,Інші гуманітарні та суспільні науки,25
2025-05-26 17:28:21,Працюю в IT-компанії / ІТ-департаменті,3000,208.333333333333,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","Різнопланові проєкти, немає одного основного (HR etc)",Full Stack розробка,,Python,"ІТ-відділ в НЕ ІТ-компанії (банк, телеком, ритейл тощо)",до 50,4,Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",26
2025-05-26 17:28:40,Працюю в IT-компанії / ІТ-департаменті,3760,276.5,Manager,Project Mgmt,Delivery Manager,Gambling,,"Ні, не використовую",,Продуктова,до 1000,3,Advanced,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",31
2025-05-26 17:30:13,Працюю в IT-компанії / ІТ-департаменті,1210,208.333333333333,Немає тайтлу,DS,Data administrator,"Mobile, Travel",,"Ні, не використовую",,Продуктова,до 1000,3,Upper-Intermediate,"За кордоном, але планую повернутися","Суспільно-економічні науки (економіка, соціологія)",44
2025-05-26 17:31:21,Втратив(-ла) роботу / звільнився(-лася) і шукаю нову,4500,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Telecom,Full Stack розробка,,C# / .NET,Аутстафінгова,до 1000,10,Upper-Intermediate,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",40
2025-05-26 17:32:19,Працюю в IT-компанії / ІТ-департаменті,5000,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Medtech / Healthcare,Back-end розробка,,Python,Аутстафінгова,до 50,6,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",28
2025-05-26 17:32:53,Працюю в IT-компанії / ІТ-департаменті,2000,0,Lead / Team Lead,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","Manufacturing, ERP, High Load Systems",Full Stack розробка,,C# / .NET,"ІТ-відділ в НЕ ІТ-компанії (банк, телеком, ритейл тощо)",до 10 спеціалістів,4,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",26
2025-05-26 17:33:16,Втратив(-ла) роботу / звільнився(-лася) і шукаю нову,0,0,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Other,Back-end розробка,,Java,Сервісна (аутсорсингова),до 50,4,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",27
2025-05-26 17:35:14,Працюю в IT-компанії / ІТ-департаменті,5816,150,Staff,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","Business Intelligence / Data Warehouse, SaaS",Full Stack розробка,,Java,Продуктова,до 50,7,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",33
2025-05-26 17:35:34,Працюю в IT-компанії / ІТ-департаменті,3800,0,Senior,HR,HR Generalist,"Різнопланові проєкти, немає одного основного (HR etc)",,"Ні, не використовую",,Продуктова,до 1000,10,Upper-Intermediate,В Україні,"Суспільно-економічні науки (економіка, соціологія)",33
2025-05-26 17:36:13,Я контрактор(-ка) в IT (прямий контракт з іноземним замовником),2500,0,Middle,QA,Manual QA,"Big Data, Fintech / Banking / Capital Management",,"Так, використовую",SQL,Продуктова,до 50,7,Upper-Intermediate,В Україні,Інші гуманітарні та суспільні науки,38
2025-05-26 17:36:27,Я контрактор(-ка) в IT (прямий контракт з іноземним замовником),2600,0,Middle,QA,General QA,Medtech / Healthcare,,"Так, використовую",JavaScript,Стартап,"працюю на іноземного роботодавця, в Україні він не має сформованої команди",4,Upper-Intermediate,В Україні,Інші гуманітарні та суспільні науки,27
2025-05-26 17:39:00,Працюю в IT-компанії / ІТ-департаменті,3200,0,Senior,QA,Data QA,"Big Data, Cloud Computing, Business Intelligence / Data Warehouse",,"Так, використовую","Мови розробки БД (PL/SQL, Transact-SQL)",Сервісна (аутсорсингова),"працюю на іноземного роботодавця, в Україні він не має сформованої команди",6,Intermediate,В Україні,"Точні науки (математика, інформатика)",36
2025-05-26 17:39:52,Працюю в IT-компанії / ІТ-департаменті,6250,875,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",GameDev,,,C++,Продуктова,до 1000,5,Advanced,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",23
2025-05-26 17:40:34,Працюю в IT-компанії / ІТ-департаменті,6000,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Fintech / Banking / Capital Management,Back-end розробка,,Kotlin,Продуктова,до 200,7,Pre-Intermediate,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",37
