,Должность,Язык программирования,Специализация,Общий опыт работы,Опыт работы на текущем месте,Зарплата в месяц,Изменение зарплаты,Город,Размер компании,Пол,Возраст,Образование,Уровень английского,Дата заполнения,User-Agent
,QA engineer,,Manual QA,1.5,1.5,700,500,Харьков,до 1000 человек,f,220,Высшее,средний,18/12/2012 13:23:26,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)
,Technical Lead,JavaScript,,5.5,0.5,5000,2300,Киев,до 50 человек,m,27,Два высших,продвинутый,18/12/2012 13:23:37,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.22 (KHTML, like Gecko) Chrome/25.0.1362.0 Safari/537.22"
,Software Engineer,JavaScript,,9,1.5,2650,150,Киев,до 1000 человек,m,28,Незаконченное высшее,выше среднего,18/12/2012 13:23:37,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Senior QA engineer,,General QA,7,0.5,1800,-200,Львов,до 200 человек,m,30,Высшее,средний,18/12/2012 13:23:39,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:16.0) Gecko/20100101 Firefox/16.0
,Software Engineer,Java,,5,1,2500,0,Киев,до 1000 человек,m,31,Высшее,средний,18/12/2012 13:23:57,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,QA engineer,,General QA,1.75,0.5,1000,500,Одесса,до 1000 человек,m,25,Высшее,выше среднего,18/12/2012 13:24:01,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0
,Junior QA engineer,,Manual QA,1.25,0.5,1100,1100,Харьков,до 200 человек,m,22,Высшее,средний,18/12/2012 13:24:03,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Team lead,,,4,0.5,2700,500,Одесса,до 1000 человек,m,26,Высшее,выше среднего,18/12/2012 13:24:05,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Junior Software Engineer,Other,,0.75,0.75,750,0,Харьков,до 50 человек,m,24,Высшее,средний,18/12/2012 13:24:18,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,QA engineer,,Manual QA,5,3,1600,200,Одесса,свыше 1000 человек,m,27,Среднее,средний,18/12/2012 13:24:24,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Team lead,,,7,3,2000,500,Симферополь,до 200 человек,m,35,Высшее,выше среднего,18/12/2012 13:25:24,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.17 (KHTML, like Gecko) Version/6.0.2 Safari/536.26.17"
,Software Engineer,PHP,,3,0.25,1800,800,Харьков,до 200 человек,m,23,Высшее,выше среднего,18/12/2012 13:25:47,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Technical Lead,Ruby/Rails,,8,2,2000,0,Киев,до 10 человек,m,25,Высшее,продвинутый,18/12/2012 13:26:05,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:17.0) Gecko/20100101 Firefox/17.0
,QA engineer,,Manual QA,1.75,1.75,1700,900,Киев,до 200 человек,m,26,Два высших,средний,18/12/2012 13:26:24,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
,Junior Software Engineer,Java,,4,2,1125,125,Львов,до 1000 человек,m,33,Высшее,ниже среднего,18/12/2012 13:26:45,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Software Engineer,Objective-C,,5,0.75,2800,1400,Киев,до 10 человек,m,25,Высшее,средний,18/12/2012 13:27:06,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:17.0) Gecko/20100101 Firefox/17.0
,Support,,,4.5,меньше 3 месяцев,1500,200,Киев,до 50 человек,m,26,Высшее,продвинутый,18/12/2012 13:28:29,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Senior Software Engineer,C#/.NET,,9,3.5,2700,300,Харьков,до 50 человек,m,27,Высшее,средний,18/12/2012 13:28:32,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Technical Lead,JavaScript,,3,0.75,2600,1600,Киев,до 50 человек,m,24,Высшее,выше среднего,18/12/2012 13:29:44,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/25.0.1359.3 Safari/537.21"
,Software Engineer,PHP,,5,2,1600,150,Киев,до 50 человек,m,32,Высшее,средний,18/12/2012 13:29:47,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Senior Software Engineer,C#/.NET,,5,1,2700,1000,Харьков,до 50 человек,m,28,Высшее,ниже среднего,18/12/2012 13:29:55,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.40 Safari/537.17"
,QA Tech Lead,,Automation QA,9,2,4000,1000,Киев,свыше 1000 человек,m,28,Высшее,продвинутый,18/12/2012 13:30:05,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11"
,Technical Lead,Java,,7.5,7.5,2700,0,Днепропетровск,до 200 человек,m,29,Высшее,средний,18/12/2012 13:30:06,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.11
,Junior Software Engineer,PHP,,2,1,600,100,Донецк,до 50 человек,m,24,Высшее,средний,18/12/2012 13:30:12,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4"
,Senior Software Engineer,Java,,3,0.25,2800,0,Одесса,до 200 человек,m,24,Высшее,выше среднего,18/12/2012 13:30:29,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Project manager,,,2,2,1800,200,Киев,до 1000 человек,m,34,Высшее,ниже среднего,18/12/2012 13:30:30,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
,QA engineer,,General QA,5,4,1600,200,Одесса,до 1000 человек,m,30,Высшее,средний,18/12/2012 13:30:37,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Senior Software Engineer,C#/.NET,,9,0.75,3000,600,Днепропетровск,до 200 человек,m,34,Высшее,средний,18/12/2012 13:30:53,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Software Engineer,PHP,,1,1,1000,0,Запорожье,до 50 человек,m,30,Высшее,ниже среднего,18/12/2012 13:30:58,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0
,Senior Software Engineer,C#/.NET,,5.5,5.5,2400,600,Харьков,до 10 человек,m,26,Высшее,средний,18/12/2012 13:31:04,Mozilla/5.0 (Windows NT 5.1; rv:16.0) Gecko/20100101 Firefox/16.0
,Software Engineer,Java,,2,2,2500,500,Одесса,до 200 человек,m,25,Высшее,средний,18/12/2012 13:31:09,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11"
,Senior Software Engineer,JavaScript,,4,0.5,3200,1000,Одесса,до 1000 человек,m,26,Высшее,средний,18/12/2012 13:31:10,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0
,Senior QA engineer,,Automation QA,3.5,3.5,2090,800,Одесса,до 1000 человек,m,26,Высшее,средний,18/12/2012 13:31:32,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0
,Senior Software Engineer,C++,,6,6,2500,300,Днепропетровск,до 200 человек,m,26,Высшее,продвинутый,18/12/2012 13:31:34,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Software Engineer,Objective-C,,5,2,2500,0,Львов,до 50 человек,m,26,Высшее,выше среднего,18/12/2012 13:31:46,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11"
,Software Engineer,Ruby/Rails,,3,0.5,2300,800,Киев,до 10 человек,m,25,Незаконченное высшее,ниже среднего,18/12/2012 13:32:42,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Senior Software Engineer,C#/.NET,,5,1,2500,65,Винница,до 50 человек,m,26,Высшее,средний,18/12/2012 13:33:10,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0
,Senior Software Engineer,JavaScript,,3,5,2500,500,Херсон,до 200 человек,m,31,Высшее,средний,18/12/2012 13:33:24,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/536.26.17 (KHTML, like Gecko) Version/6.0.2 Safari/536.26.17"
,Software Engineer,Python,,5,1,4000,1400,Киев,до 10 человек,m,24,Высшее,выше среднего,18/12/2012 13:33:48,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
,Senior Software Engineer,Java,,7,4,3000,300,Киев,до 1000 человек,m,27,Высшее,средний,18/12/2012 13:33:50,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11"
,Верстальщик,,,5.5,4.5,1700,200,Харьков,до 200 человек,m,27,Два высших,ниже среднего,18/12/2012 13:34:03,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0
,Director of Engineering / Program Director,,,10 и более лет,1.75,3200,200,Харьков,до 50 человек,m,50,Высшее,ниже среднего,18/12/2012 13:34:22,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; BOIE9;ENUS)
,Senior Software Engineer,C,,6,6,2300,300,Киев,до 10 человек,m,32,Высшее,ниже среднего,18/12/2012 13:34:29,Mozilla/5.0 (X11; Linux x86_64; rv:17.0) Gecko/20100101 Firefox/17.0
,QA engineer,,Automation QA,2.5,меньше 3 месяцев,2100,800,Киев,до 200 человек,m,22,Незаконченное высшее,выше среднего,18/12/2012 13:35:00,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:16.0) Gecko/20100101 Firefox/16.0
,Software Engineer,Python,,5.5,0.5,2500,1000,Харьков,до 200 человек,m,27,Высшее,продвинутый,18/12/2012 13:35:08,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:17.0) Gecko/20100101 Firefox/17.0
,Software Engineer,C#/.NET,,7.5,0.75,2660,0,Киев,свыше 1000 человек,m,31,Высшее,ниже среднего,18/12/2012 13:35:36,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Senior Software Engineer,Java,,2,2,2500,0,Киев,до 10 человек,m,26,Высшее,продвинутый,18/12/2012 13:35:38,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/25.0.1359.3 Safari/537.21"
,Senior Software Engineer,PHP,,4,0.5,2500,1000,Киев,свыше 1000 человек,m,25,Высшее,продвинутый,18/12/2012 13:35:44,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Junior Software Engineer,Java,,0.75,0.5,700,0,Киев,свыше 1000 человек,m,22,Высшее,средний,18/12/2012 13:35:55,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Software Engineer,Ruby/Rails,,2.5,0.5,3000,1200,Днепропетровск,до 10 человек,f,26,Высшее,выше среднего,18/12/2012 13:36:18,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Software Engineer,PHP,,4,1,1000,0,Запорожье,до 10 человек,m,34,Среднее,ниже среднего,18/12/2012 13:36:22,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.101 Safari/537.11"
,Junior Software Engineer,Java,,1,0.25,850,500,Львов,свыше 1000 человек,m,23,Высшее,выше среднего,18/12/2012 13:36:29,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Дизайнер,,,6,2.5,750,0,Киев,до 10 человек,f,28,Незаконченное высшее,продвинутый,18/12/2012 13:36:34,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,QA engineer,,Automation QA,2,0.5,1250,0,Днепропетровск,до 200 человек,m,23,Высшее,средний,18/12/2012 13:36:52,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0
,Software Engineer,PHP,,4.5,0.5,1700,500,Киев,до 10 человек,m,27,Высшее,средний,18/12/2012 13:37:54,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,QA engineer,,Automation QA,4,1.25,1650,150,Одесса,до 1000 человек,m,27,Высшее,ниже среднего,18/12/2012 13:38:16,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Team lead,,,1,1,2375,200,Киев,до 200 человек,m,29,Среднее,выше среднего,18/12/2012 13:39:19,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,QA engineer,,Manual QA,2,1.75,950,150,Киев,до 200 человек,f,24,Высшее,средний,18/12/2012 13:40:05,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) YaBrowser/1.1.1084.5409 Chrome/19.1.1084.5409 Safari/536.5"
,Software Engineer,PHP,,3,2,500,0,Харьков,до 1000 человек,m,24,Высшее,средний,18/12/2012 13:40:14,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.101 Safari/537.11"
,Senior QA engineer,,Manual QA,4.5,4,1950,350,Львов,свыше 1000 человек,m,25,Высшее,выше среднего,18/12/2012 13:40:31,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Senior QA engineer,,Automation QA,2,2,800,0,Киев,до 200 человек,m,26,Высшее,выше среднего,18/12/2012 13:40:40,Mozilla/5.0 (Windows NT 5.1; rv:15.0) Gecko/20100101 Firefox/15.0.1
,Project manager,,,7.5,0.25,2000,0,Днепропетровск,до 50 человек,m,36,Высшее,выше среднего,18/12/2012 13:40:44,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Software Engineer,PHP,,6,3,2300,0,Днепропетровск,до 200 человек,m,27,Высшее,выше среднего,18/12/2012 13:40:48,Opera/9.80 (Windows NT 6.1; WOW64; Edition Indonesian Local) Presto/2.12.388 Version/12.11
,Software Engineer,C#/.NET,,3,2.5,1500,500,Днепропетровск,до 10 человек,m,24,Высшее,ниже среднего,18/12/2012 13:40:49,Opera/9.80 (Windows NT 6.1; WOW64; Edition Ukraine Local) Presto/2.12.388 Version/12.11
,Junior Software Engineer,PHP,,3.5,0.75,475,475,Харьков,до 1000 человек,m,20,Незаконченное высшее,средний,18/12/2012 13:40:52,Mozilla/5.0 (Windows NT 6.1; rv:17.0) Gecko/20100101 Firefox/17.0
,Senior Software Engineer,Java,,6,0.5,3500,800,Киев,до 200 человек,m,29,Высшее,средний,18/12/2012 13:41:07,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Software Engineer,Java,,7.5,3.5,2500,600,Симферополь,до 10 человек,m,29,Высшее,средний,18/12/2012 13:41:19,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Senior Software Engineer,Flex/Flash/AIR,,4,1.5,3000,500,Киев,до 10 человек,m,24,Среднее,выше среднего,18/12/2012 13:41:22,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Верстальщик,,,2,1,600,0,Киев,до 1000 человек,m,24,Незаконченное высшее,средний,18/12/2012 13:41:34,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:13.0) Gecko/20100101 Firefox/13.0.1
,Junior Software Engineer,Java,,1,1,1500,200,Киев,до 50 человек,m,26,Незаконченное высшее,средний,18/12/2012 13:41:38,Opera/9.80 (Windows NT 5.1) Presto/2.12.388 Version/12.11
,Software Engineer,C#/.NET,,7.5,1.25,1500,0,Харьков,до 10 человек,m,24,Высшее,ниже среднего,18/12/2012 13:41:56,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0
,Software Engineer,JavaScript,,5,0.5,950,500,Киев,до 200 человек,m,27,Высшее,ниже среднего,18/12/2012 13:42:16,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Technical Lead,Java,,4,4,1850,350,Львов,свыше 1000 человек,m,29,Высшее,выше среднего,18/12/2012 13:42:19,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:17.0) Gecko/20100101 Firefox/17.0
,Верстальщик,,,1,0.25,760,560,Киев,до 1000 человек,f,22,Незаконченное высшее,ниже среднего,18/12/2012 13:42:30,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0
,Верстальщик,,,2,1,600,0,Киев,до 10 человек,m,23,Два высших,продвинутый,18/12/2012 13:43:01,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0
,Senior Software Engineer,PHP,,7,5,1800,-200,Николаев,до 10 человек,m,31,Высшее,ниже среднего,18/12/2012 13:43:03,Mozilla/5.0 (Windows NT 5.1; rv:17.0) Gecko/20100101 Firefox/17.0
,Верстальщик,,,4,1.25,680,0,Киев,до 10 человек,m,21,Незаконченное высшее,ниже среднего,18/12/2012 13:43:29,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.101 Safari/537.11"
,Senior Software Engineer,Flex/Flash/AIR,,6,меньше 3 месяцев,3300,1000,Киев,до 10 человек,m,26,Высшее,выше среднего,18/12/2012 13:43:46,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Software Engineer,PHP,,5,0.75,2500,0,Киев,до 200 человек,m,30,Высшее,средний,18/12/2012 13:43:46,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0
,Senior Software Engineer,Java,,6,1,2400,0,Харьков,до 1000 человек,m,31,Высшее,выше среднего,18/12/2012 13:44:12,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0
,Software Engineer,Perl,,6,6,2000,300,Николаев,до 1000 человек,m,28,Высшее,средний,18/12/2012 13:44:30,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:17.0) Gecko/20100101 Firefox/17.0
,Верстальщик,,,5.5,2,1550,350,Киев,до 200 человек,f,25,Высшее,средний,18/12/2012 13:44:37,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0
,Дизайнер,,,4,0.25,2850,1450,Киев,до 200 человек,m,23,Среднее,выше среднего,18/12/2012 13:44:47,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Software Engineer,Java,,4,4,1250,600,Харьков,до 200 человек,m,24,Незаконченное высшее,средний,18/12/2012 13:44:47,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0
,Senior Software Engineer,C,,4.5,4.5,1800,0,Харьков,до 50 человек,m,29,Высшее,ниже среднего,18/12/2012 13:45:19,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0
,Senior Software Engineer,Python,,3.5,1.5,2500,0,Днепропетровск,до 10 человек,m,23,Высшее,средний,18/12/2012 13:45:19,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.64 Safari/537.11"
,Software Engineer,Java,,2,1.5,2000,500,Киев,до 50 человек,m,25,Высшее,выше среднего,18/12/2012 13:45:27,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Senior QA engineer,,Automation QA,7,5.5,3100,400,Киев,до 1000 человек,m,27,Высшее,выше среднего,18/12/2012 13:45:42,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0
,Team lead,Ruby/Rails,,5,2,3000,500,Киев,до 10 человек,m,28,Высшее,средний,18/12/2012 13:45:43,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4"
,Системный администратор,,,5,2,1900,900,Киев,до 200 человек,m,24,Среднее,выше среднего,18/12/2012 13:45:47,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Senior Software Engineer,Java,,7,1.25,2700,900,Киев,свыше 1000 человек,m,26,Незаконченное высшее,средний,18/12/2012 13:45:51,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
,Senior Software Engineer,Java,,4,1.25,3500,1000,Киев,свыше 1000 человек,m,25,Высшее,выше среднего,18/12/2012 13:45:54,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Software Engineer,C++,,5,1.25,2000,100,Киев,до 1000 человек,m,26,Высшее,продвинутый,18/12/2012 13:46:10,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0
,Senior Software Engineer,C#/.NET,,6.5,0.75,3500,1000,Днепропетровск,до 1000 человек,m,28,Высшее,средний,18/12/2012 13:46:16,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.2.0.0 Safari/537.11"
,Software Engineer,Java,,2,0.5,1600,0,Львов,свыше 1000 человек,m,23,Высшее,средний,18/12/2012 13:46:38,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11"
,Software Engineer,PHP,,2,1.5,1500,0,Киев,до 10 человек,m,31,Высшее,выше среднего,18/12/2012 13:47:12,Mozilla/5.0 (Windows NT 5.1; rv:17.0) Gecko/20100101 Firefox/17.0
,Senior Software Engineer,Java,,6,0.5,3500,1500,Одесса,до 1000 человек,m,29,Высшее,средний,18/12/2012 13:47:21,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Software Engineer,Java,,6,4,2500,0,Киев,до 50 человек,m,26,Высшее,продвинутый,18/12/2012 13:47:38,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.101 Safari/537.11"
,Junior Software Engineer,C++,,меньше 3 месяцев,меньше 3 месяцев,800,0,Харьков,до 200 человек,m,21,Незаконченное высшее,выше среднего,18/12/2012 13:47:59,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.101 Safari/537.11"
,Software Engineer,Java,,4,1.5,1920,600,Киев,до 200 человек,m,24,Высшее,ниже среднего,18/12/2012 13:48:14,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Junior QA engineer,,Manual QA,0.5,0.5,350,100,Киев,до 10 человек,f,24,Высшее,средний,18/12/2012 13:48:21,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4"
,QA engineer,,Manual QA,2,2,990,200,Киев,до 10 человек,f,26,Высшее,средний,18/12/2012 13:48:56,Mozilla/5.0 (Windows NT 6.1; rv:17.0) Gecko/20100101 Firefox/17.0
,QA Tech Lead,,General QA,4.5,0.5,1400,300,Симферополь,до 50 человек,f,30,Два высших,выше среднего,18/12/2012 13:49:11,Mozilla/5.0 (Windows NT 6.1; rv:17.0) Gecko/20100101 Firefox/17.0
,QA Tech Lead,,General QA,7.5,7.5,2100,0,Львов,до 1000 человек,m,28,Высшее,продвинутый,18/12/2012 13:49:15,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.7 (KHTML, like Gecko) RockMelt/0.16.91.483 Chrome/16.0.912.77 Safari/535.7"
,Системный администратор,,,5,0.75,2500,1000,Киев,до 50 человек,m,29,Высшее,средний,18/12/2012 13:49:26,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Senior Project Manager / Program Manager,,,8,2,2945,100,Житомир,до 50 человек,m,29,Высшее,выше среднего,18/12/2012 13:49:42,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
