Должность,Язык программирования,Специализация,Общий опыт работы,Опыт работы на текущем месте,Зарплата в месяц,Изменение зарплаты,Город,Размер компании,Тип компании,Пол,Возраст,Образование,Еще студент,Уровень английского,Предметная область,Дата заполнения,User-Agent
Software Engineer,Java,,4,2,2000,500,Львов,до 200 человек,Аутсорсинговая,m,23,Высшее,False,выше среднего,"Веб-разработка,Корпоративные системы",19/05/2014 12:48:22,Mozilla/5.0 (X11; Linux x86_64; rv:32.0) Gecko/20100101 Firefox/32.0
Software Engineer,Other,,1.5,меньше 3 месяцев,2300,1300,Киев,до 10 человек,Продуктовая,m,23,Незаконченное высшее,False,средний,"Веб-разработка,Телекоммуникации",19/05/2014 12:48:27,Mozilla/5.0 (X11; Linux x86_64; rv:29.0) Gecko/20100101 Firefox/29.0
Software Engineer,C#/.NET,,9,0.25,2000,0,Киев,свыше 1000 человек,Аутсорсинговая,m,35,Высшее,False,элементарный,Финансы и банки,19/05/2014 12:48:35,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36"
QA Tech Lead,,Manual QA,10 и более лет,9,2650,0,Харьков,свыше 1000 человек,Аутсорсинговая,m,38,Кандидат,False,средний,Embedded,19/05/2014 12:48:43,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Junior QA engineer,,Manual QA,0.5,0.5,500,0,Черкассы,до 200 человек,Аутсорсинговая,m,25,Высшее,False,средний,"iOS,eCommerce",19/05/2014 12:48:43,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Senior Software Engineer,Objective-C,,5,1,3000,0,Харьков,до 10 человек,Стартап,m,28,Высшее,False,ниже среднего,"iOS,Gamedev",19/05/2014 12:48:47,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:28.0) Gecko/20100101 Firefox/28.0
Software Engineer,Java,,1.5,1.5,1425,700,Львов,свыше 1000 человек,Аутсорсинговая,m,25,Высшее,False,средний,Веб-разработка,19/05/2014 12:48:49,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36"
Системный администратор,,,5,4,1100,-500,Киев,до 10 человек,Другая,m,30,Высшее,False,выше среднего,Другое,19/05/2014 12:49:02,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
Senior QA engineer,,Automation QA,7,0.75,3200,300,Одесса,свыше 1000 человек,Аутстаффинговая,m,31,Высшее,False,выше среднего,Корпоративные системы,19/05/2014 12:49:13,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Software Engineer,Java,,3,0.5,3200,500,Киев,свыше 1000 человек,Аутсорсинговая,m,30,Незаконченное высшее,True,выше среднего,Финансы и банки,19/05/2014 12:49:23,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Системный администратор,,,5,0.25,2700,500,Киев,до 10 человек,Стартап,m,26,Незаконченное высшее,False,средний,Веб-разработка,19/05/2014 12:49:25,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/34.0.1847.116 Chrome/34.0.1847.116 Safari/537.36"
QA engineer,,Automation QA,2.5,3,1800,600,Харьков,свыше 1000 человек,Аутсорсинговая,m,28,Высшее,False,средний,Корпоративные системы,19/05/2014 12:49:31,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Senior Software Engineer,C++,,10 и более лет,1.75,3300,160,Киев,свыше 1000 человек,Продуктовая,m,33,Высшее,False,средний,"Embedded,Мультимедиа",19/05/2014 12:49:40,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:29.0) Gecko/20100101 Firefox/29.0
Senior QA engineer,,Automation QA,3.5,0.75,2500,500,Киев,до 200 человек,Аутсорсинговая,m,25,Высшее,False,средний,"Веб-разработка,Телекоммуникации",19/05/2014 12:49:43,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:24.0) Gecko/20100101 Firefox/24.0
HR,,,2,0.25,1100,300,Одесса,до 1000 человек,Аутсорсинговая,f,25,Два высших,False,продвинутый,Другое,19/05/2014 12:49:50,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36"
Бизнес-аналитик,,,2,меньше 3 месяцев,1600,900,Киев,свыше 1000 человек,Аутсорсинговая,m,25,Высшее,False,выше среднего,"Финансы и банки,Другое",19/05/2014 12:49:54,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36"
Junior Software Engineer,JavaScript,,0.5,0.5,1000,500,Днепропетровск,до 10 человек,Продуктовая,m,21,Незаконченное высшее,True,элементарный,Веб-разработка,19/05/2014 12:50:02,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Senior Software Engineer,Ruby/Rails,,3,меньше 3 месяцев,3500,1000,Харьков,до 50 человек,Стартап,m,26,Высшее,False,выше среднего,Веб-разработка,19/05/2014 12:50:03,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/34.0.1847.116 Chrome/34.0.1847.116 Safari/537.36"
Senior Software Engineer,C#/.NET,,7,7,2700,300,Харьков,до 10 человек,Аутсорсинговая,m,27,Высшее,False,выше среднего,"Desktop Applications,Корпоративные системы",19/05/2014 12:50:13,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
Системный администратор,,,6,4,2400,400,Одесса,до 50 человек,Продуктовая,m,28,Высшее,False,средний,"Android,iOS",19/05/2014 12:50:22,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Senior Software Engineer,JavaScript,,7,1,3800,0,Киев,до 1000 человек,Аутсорсинговая,m,30,Высшее,False,средний,Веб-разработка,19/05/2014 12:50:51,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Technical Lead,Java,,10 и более лет,меньше 3 месяцев,4400,100,Киев,свыше 1000 человек,Аутстаффинговая,m,35,Высшее,False,продвинутый,"Веб-разработка,Корпоративные системы",19/05/2014 12:50:52,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
Senior Software Engineer,JavaScript,,7,2.5,4000,1200,Харьков,до 1000 человек,Аутсорсинговая,m,27,Два высших,False,средний,"Веб-разработка,Корпоративные системы",19/05/2014 12:50:53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14"
Project manager,,,9.5,1.5,3760,700,Киев,до 200 человек,Продуктовая,m,28,Высшее,False,продвинутый,eCommerce,19/05/2014 12:51:20,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36"
Бизнес-аналитик,,,3.5,2.5,1800,-640,Киев,до 200 человек,Другая,m,27,Два высших,False,средний,"Телекоммуникации,Корпоративные системы",19/05/2014 12:51:32,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)
Technical Lead,Java,,9,0.5,3500,750,Киев,до 50 человек,Продуктовая,m,36,Высшее,False,выше среднего,"Веб-разработка,Другое",19/05/2014 12:51:39,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:29.0) Gecko/20100101 Firefox/29.0
Team lead,,,10 и более лет,2,2000,500,Житомир,свыше 1000 человек,Аутсорсинговая,m,33,Два высших,False,ниже среднего,"Веб-разработка,Корпоративные системы",19/05/2014 12:51:40,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Software Engineer,Ruby/Rails,,6.5,1.75,2500,0,Киев,до 200 человек,Аутсорсинговая,m,26,Высшее,False,средний,Веб-разработка,19/05/2014 12:52:07,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:29.0) Gecko/20100101 Firefox/29.0
Team lead,,,8.5,6,3600,300,Одесса,до 1000 человек,Аутсорсинговая,m,31,Два высших,False,выше среднего,"Корпоративные системы,Другое",19/05/2014 12:52:58,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
Junior Software Engineer,Java,,0.25,0.25,285,0,Севастополь,свыше 1000 человек,Аутсорсинговая,m,22,Незаконченное высшее,False,средний,Веб-разработка,19/05/2014 12:53:20,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Project manager,,,3,4.5,3100,400,Киев,до 50 человек,Продуктовая,m,27,Высшее,False,продвинутый,Desktop Applications,19/05/2014 12:53:29,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36"
Software Engineer,PHP,,6,3,600,0,Харьков,до 10 человек,Аутстаффинговая,m,28,Высшее,False,средний,"Веб-разработка,eCommerce",19/05/2014 12:53:32,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Software Engineer,Java,,2.5,1.25,2800,800,Харьков,до 200 человек,Аутсорсинговая,f,28,Два высших,False,средний,"Финансы и банки,Корпоративные системы",19/05/2014 12:53:40,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Junior QA engineer,,Manual QA,0.5,0.5,330,50,Днепропетровск,свыше 1000 человек,Аутсорсинговая,f,24,Высшее,False,средний,Desktop Applications,19/05/2014 12:53:41,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36"
Junior QA engineer,,General QA,1.25,0.5,900,500,Киев,до 200 человек,Аутсорсинговая,f,20,Незаконченное высшее,True,продвинутый,Веб-разработка,19/05/2014 12:54:20,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Software Engineer,Other,,2,0.25,1200,0,Киев,до 10 человек,Стартап,m,26,Высшее,False,выше среднего,"Мультимедиа,Другое",19/05/2014 12:54:21,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/34.0.1847.116 Chrome/34.0.1847.116 Safari/537.36"
QA engineer,,Manual QA,2.5,1,1600,100,Харьков,до 200 человек,Аутсорсинговая,m,26,Высшее,False,выше среднего,"Веб-разработка,Корпоративные системы",19/05/2014 12:54:23,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Junior QA engineer,,Manual QA,меньше 3 месяцев,меньше 3 месяцев,400,0,Харьков,до 1000 человек,Аутсорсинговая,m,27,Высшее,False,ниже среднего,Веб-разработка,19/05/2014 12:54:52,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Software Engineer,C#/.NET,,3,1,2500,0,Киев,до 50 человек,Аутстаффинговая,m,32,Высшее,False,средний,Gamedev,19/05/2014 12:54:56,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Technical Lead,C#/.NET,,10 и более лет,10 и более лет,2600,0,Харьков,свыше 1000 человек,Аутстаффинговая,m,33,Высшее,False,выше среднего,"Веб-разработка,eCommerce",19/05/2014 12:54:56,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1929.0 Safari/537.36"
Senior Software Engineer,PHP,,10 и более лет,0.75,3000,3300,Киев,до 50 человек,Продуктовая,m,31,Высшее,False,ниже среднего,"Desktop Applications,Веб-разработка",19/05/2014 12:55:07,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Software Engineer,PHP,,1.75,1.75,480,160,Другой,до 10 человек,Аутсорсинговая,m,23,Высшее,False,средний,Веб-разработка,19/05/2014 12:55:07,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Дизайнер,,,5,1.75,1600,2200,Киев,до 10 человек,Аутсорсинговая,f,23,Высшее,False,ниже среднего,"Android,iOS",19/05/2014 12:55:09,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36"
Junior QA engineer,,General QA,2,1,700,0,Харьков,до 200 человек,Аутсорсинговая,m,23,Высшее,False,средний,Веб-разработка,19/05/2014 12:55:13,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Senior QA engineer,,Automation QA,2.5,2.5,1045,300,Винница,до 1000 человек,Аутсорсинговая,m,24,Высшее,False,выше среднего,Desktop Applications,19/05/2014 12:55:23,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Senior Software Engineer,JavaScript,,5.5,0.5,3515,550,Киев,свыше 1000 человек,Аутстаффинговая,m,26,Высшее,False,выше среднего,Веб-разработка,19/05/2014 12:55:45,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Junior Software Engineer,Ruby/Rails,,0.75,0.25,820,300,Харьков,до 200 человек,Аутсорсинговая,m,23,Высшее,False,средний,"Веб-разработка,Корпоративные системы",19/05/2014 12:55:48,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Junior Software Engineer,Java,,1.5,1,1000,0,Одесса,до 1000 человек,Аутсорсинговая,m,22,Высшее,False,средний,"Телекоммуникации,Корпоративные системы",19/05/2014 12:56:05,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
Software Engineer,Other,,6,1,1000,1000,Киев,до 50 человек,Продуктовая,m,28,Высшее,False,ниже среднего,Телекоммуникации,19/05/2014 12:56:07,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
Team lead,,,4.5,2.5,2500,300,Киев,до 200 человек,Аутсорсинговая,f,26,Высшее,False,выше среднего,"Веб-разработка,Embedded",19/05/2014 12:56:08,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
Senior Software Engineer,Java,,3.5,0.5,2350,1250,Хмельницкий,до 200 человек,Аутстаффинговая,m,25,Высшее,False,средний,eCommerce,19/05/2014 12:56:11,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Software Engineer,Java,,8,0.75,1060,0,Севастополь,свыше 1000 человек,Аутстаффинговая,m,34,Высшее,False,выше среднего,Корпоративные системы,19/05/2014 12:56:24,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
Junior Software Engineer,Java,,меньше 3 месяцев,меньше 3 месяцев,350,0,Львов,свыше 1000 человек,Аутсорсинговая,m,22,Незаконченное высшее,True,средний,Другое,19/05/2014 12:56:25,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
Project manager,,,3.5,1.5,1300,300,Харьков,до 50 человек,Продуктовая,m,27,Высшее,False,продвинутый,"Веб-разработка,eCommerce",19/05/2014 12:56:28,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:29.0) Gecko/20100101 Firefox/29.0
Junior Software Engineer,PHP,,2,0.25,950,400,Львов,до 200 человек,Аутсорсинговая,m,20,Незаконченное высшее,True,выше среднего,Веб-разработка,19/05/2014 12:56:33,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
HR,,,3,1,1140,0,Киев,до 1000 человек,Аутсорсинговая,f,24,Незаконченное высшее,False,выше среднего,"Gamedev,Корпоративные системы",19/05/2014 12:56:35,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)
Senior Software Engineer,Java,,9,2,3000,400,Харьков,до 1000 человек,Аутсорсинговая,m,28,Высшее,False,средний,"Android,Телекоммуникации",19/05/2014 12:56:43,Mozilla/5.0 (Windows NT 6.1; rv:29.0) Gecko/20100101 Firefox/29.0
Support,,,3,1,1000,-400,Киев,до 50 человек,Продуктовая,m,26,Высшее,False,средний,Телекоммуникации,19/05/2014 12:56:52,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36"
Junior Software Engineer,Java,,1,0.5,820,300,Харьков,до 200 человек,Аутсорсинговая,m,23,Высшее,False,ниже среднего,"Веб-разработка,Корпоративные системы",19/05/2014 12:56:56,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Junior Software Engineer,Java,,1,1,825,25,Киев,до 200 человек,Продуктовая,m,24,Высшее,False,ниже среднего,"Веб-разработка,Корпоративные системы",19/05/2014 12:57:09,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36"
Software Engineer,Objective-C,,3,2,2500,900,Киев,до 200 человек,Аутсорсинговая,m,24,Высшее,False,выше среднего,iOS,19/05/2014 12:57:38,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14"
Software Engineer,Java,,1.75,меньше 3 месяцев,1000,400,Харьков,до 200 человек,Аутсорсинговая,m,23,Высшее,False,средний,Gamedev,19/05/2014 12:57:39,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
QA engineer,,Automation QA,1.5,0.25,1600,1000,Киев,до 1000 человек,Аутсорсинговая,f,23,Высшее,False,выше среднего,"Веб-разработка,Финансы и банки",19/05/2014 12:58:02,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
Junior Software Engineer,Java,,0.5,0.25,411,0,Львов,свыше 1000 человек,Аутсорсинговая,m,22,Незаконченное высшее,True,средний,Веб-разработка,19/05/2014 12:58:12,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/34.0.1847.116 Chrome/34.0.1847.116 Safari/537.36"
QA engineer,,Manual QA,4,меньше 3 месяцев,1550,300,Харьков,до 200 человек,Продуктовая,f,26,Высшее,False,продвинутый,Веб-разработка,19/05/2014 12:58:23,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.93 Safari/537.36"
Junior QA engineer,,Manual QA,1,0.25,600,0,Харьков,до 200 человек,Продуктовая,m,30,Два высших,False,средний,Gamedev,19/05/2014 12:58:57,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.142 Safari/535.19"
Software Engineer,Objective-C,,3.5,0.25,2000,600,Днепропетровск,свыше 1000 человек,Аутстаффинговая,m,24,Два высших,False,выше среднего,iOS,19/05/2014 12:58:58,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Senior Software Engineer,C#/.NET,,7,3,3500,500,Киев,свыше 1000 человек,Аутсорсинговая,m,26,Высшее,False,средний,Desktop Applications,19/05/2014 12:59:09,Mozilla/5.0 (Windows NT 6.2; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
Senior Software Engineer,PHP,,4,2,2500,1000,Львов,до 200 человек,Аутсорсинговая,m,26,Высшее,False,средний,"Веб-разработка,Корпоративные системы",19/05/2014 12:59:57,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Software Engineer,Delphi,,7,1,1000,100,Киев,до 50 человек,Другая,m,30,Незаконченное высшее,False,выше среднего,"Desktop Applications,Embedded",19/05/2014 13:00:07,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Senior QA engineer,,General QA,5.5,5,2100,600,Харьков,до 200 человек,Аутсорсинговая,m,28,Высшее,False,средний,Веб-разработка,19/05/2014 13:00:11,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36"
Software Engineer,C++,,10 и более лет,2,1600,400,Житомир,до 200 человек,Аутсорсинговая,m,35,Высшее,False,средний,"Android,iOS",19/05/2014 13:00:13,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14"
Системный администратор,,,2,0.75,1000,900,Другой,до 1000 человек,Другая,m,22,Высшее,True,элементарный,"Телекоммуникации,Корпоративные системы",19/05/2014 13:00:31,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/31.0.1650.63 Chrome/31.0.1650.63 Safari/537.36"
Senior Software Engineer,Java,,3.5,2.5,3000,1200,Харьков,до 10 человек,Продуктовая,m,27,Высшее,False,средний,"Android,iOS",19/05/2014 13:00:32,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Senior Software Engineer,C++,,7,2,2100,200,Днепропетровск,до 200 человек,Аутстаффинговая,m,28,Высшее,False,выше среднего,Финансы и банки,19/05/2014 13:01:07,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14"
Senior Software Engineer,C++,,10 и более лет,0.75,3850,0,Киев,до 1000 человек,Продуктовая,m,35,Среднее,False,средний,"Системное программирование,Gamedev",19/05/2014 13:01:54,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Software Engineer,JavaScript,,3,меньше 3 месяцев,1900,1100,Львов,свыше 1000 человек,Аутсорсинговая,m,26,Высшее,False,средний,Веб-разработка,19/05/2014 13:02:04,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36"
Junior QA engineer,,General QA,0.5,0.5,700,0,Киев,до 50 человек,Аутсорсинговая,f,29,Высшее,False,выше среднего,Веб-разработка,19/05/2014 13:02:05,Opera/9.80 (X11; Linux x86_64; YB/3.5.1) Presto/2.12.388 Version/12.16
Software Engineer,C#/.NET,,4,2,1900,400,Киев,до 200 человек,Аутстаффинговая,m,24,Высшее,False,средний,"Финансы и банки,eCommerce",19/05/2014 13:02:51,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Junior QA engineer,,Manual QA,1,1,400,100,Харьков,до 10 человек,Аутсорсинговая,f,22,Высшее,False,средний,Финансы и банки,19/05/2014 13:03:02,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.93 Safari/537.36"
Junior Software Engineer,JavaScript,,меньше 3 месяцев,меньше 3 месяцев,500,0,Одесса,до 10 человек,Аутсорсинговая,m,25,Высшее,False,средний,Веб-разработка,19/05/2014 13:03:06,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Team lead,,,9,2,3300,800,Киев,до 1000 человек,Аутсорсинговая,m,30,Два высших,False,средний,"Телекоммуникации,Корпоративные системы",19/05/2014 13:03:25,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36"
Senior Software Engineer,Scala,,10 и более лет,4,3900,1000,Киев,до 50 человек,Аутсорсинговая,m,38,Высшее,False,продвинутый,"Веб-разработка,eCommerce",19/05/2014 13:03:33,Mozilla/5.0 (Windows NT 6.2; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
Senior QA engineer,,Manual QA,2.5,2.5,1500,400,Днепропетровск,до 200 человек,Аутсорсинговая,f,26,Высшее,False,выше среднего,"Desktop Applications,Корпоративные системы",19/05/2014 13:03:35,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Technical Lead,C#/.NET,,9,5.5,3420,380,Харьков,свыше 1000 человек,Аутстаффинговая,m,29,Высшее,False,выше среднего,"Корпоративные системы,Другое",19/05/2014 13:03:40,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
Project manager,,,5,0.25,4000,0,Киев,свыше 1000 человек,Аутсорсинговая,f,25,Высшее,False,продвинутый,"Веб-разработка,eCommerce",19/05/2014 13:03:46,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.132 Safari/537.36 OPR/21.0.1432.67"
Senior Software Engineer,PHP,,2.5,2.5,2200,50,Запорожье,до 200 человек,Продуктовая,m,31,Высшее,False,средний,Веб-разработка,19/05/2014 13:03:47,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Technical Lead,C,,8,6.5,3200,800,Днепропетровск,до 200 человек,Аутсорсинговая,m,30,Высшее,False,выше среднего,Системное программирование,19/05/2014 13:03:55,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
