"N","Должность","Язык.программирования","Специализация","Общий.опыт.работы","Опыт.работы.на.текущем.месте","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Город","Размер.компании","Тип.компании","Пол","Возраст","Образование","Университет","Еще.студент","Уровень.английского","Предметная.область","Дата.заполнения","User.Agent","exp","current_job_exp","salary","Валюта","cls"
"1682","Junior Software Engineer","Python","","0.5","0.5",800,200,"Запорожье","до 50 человек","Аутсорсинговая","мужской",31,"Высшее","Другой вуз","False","средний","Веб-разработка","12/06/2017 22:33:08","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/56.0.2924.76 Chrome/56.0.2924.76 Safari/537.36",0.5,0.5,800,NA,"DEV"
"1683","Junior Software Engineer","Swift","","2","1.5",800,300,"Херсон","до 50 человек","Аутсорсинговая","мужской",23,"Высшее","Другой вуз","False","средний","iOS","12/06/2017 22:33:13","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2,1.5,800,NA,"DEV"
"1684","Senior Software Engineer","Java","","4","меньше 3 месяцев",3000,600,"Киев","до 50 человек","Продуктовая","мужской",25,"Незаконченное высшее","Другой вуз","False","выше среднего","Android","12/06/2017 22:33:34","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.75 Safari/537.36",4,0,3000,NA,"DEV"
"1685","QA engineer","","Manual QA","2","1",1100,200,"Харьков","до 200 человек","Аутсорсинговая","мужской",25,"Высшее","ХНУРЭ","False","выше среднего","Веб-разработка","12/06/2017 22:33:43","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2,1,1100,NA,"QA"
"1686","Senior Project Manager / Program Manager","","","9","3",3000,0,"Харьков","до 50 человек","Аутсорсинговая","мужской",33,"Высшее","Другой вуз","False","выше среднего","iOS,Веб-разработка","12/06/2017 22:34:36","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",9,3,3000,NA,"SPM"
"1687","Software Engineer","Java","","3","меньше 3 месяцев",2320,1200,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",26,"Высшее","Львовская Политехника","False","выше среднего","Веб-разработка,eCommerce","12/06/2017 22:35:09","Mozilla/5.0 (Linux; Android 6.0.1; SM-N910T Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",3,0,2320,NA,"DEV"
"1688","Designer","","","6","2",3000,300,"Другой","до 10 человек","Продуктовая","мужской",25,"Два высших","Другой вуз","False","выше среднего","iOS,Desktop Applications","12/06/2017 22:35:12","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.1 Safari/603.1.30",6,2,3000,NA,""
"1689","QA Tech Lead","","Manual QA","6","6",2000,0,"Киев","до 200 человек","Продуктовая","мужской",29,"Незаконченное высшее","Другой вуз","False","выше среднего","Desktop Applications,Gamedev","12/06/2017 22:35:28","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6,6,2000,NA,"QA"
"1690","Junior Software Engineer","JavaScript","","0.5","0.5",500,0,"Харьков","до 10 человек","Другая","мужской",37,"Высшее","Другой вуз","False","ниже среднего","Корпоративные системы","12/06/2017 22:36:24","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,500,NA,"DEV"
"1691","Junior Software Engineer","Ruby/Rails","","0.5","0.5",400,400,"Харьков","до 50 человек","Аутсорсинговая","мужской",26,"Высшее","ХНУРЭ","False","ниже среднего","Веб-разработка,eCommerce","12/06/2017 22:36:52","Mozilla/5.0 (iPad; CPU OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1",0.5,0.5,400,NA,"DEV"
"1692","Junior Software Engineer","Ruby/Rails","","0.5","0.5",1400,1400,"Киев","до 10 человек","Аутсорсинговая","мужской",19,"Незаконченное высшее","НТУУ «КПИ»","False","выше среднего","Веб-разработка","12/06/2017 22:37:45","Mozilla/5.0 (Linux; Android 4.4.2; K1_turbo Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",0.5,0.5,1400,NA,"DEV"
"1693","Senior Software Engineer","Ruby/Rails","","9","3",4100,0,"Удаленно","до 10 человек","Стартап","мужской",29,"Высшее","Другой вуз","False","продвинутый","Веб-разработка,eCommerce","12/06/2017 22:39:35","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",9,3,4100,NA,"DEV"
"1694","Senior Software Engineer","C#/.NET","","10 и более лет","2",2480,400,"Другой","свыше 1000 человек","Аутсорсинговая","мужской",30,"Высшее","ХНУ им. Каразина","False","средний","Финансы и банки","12/06/2017 22:40:37","Mozilla/5.0 (Linux; Android 6.0; HUAWEI CAN-L11 Build/HUAWEICAN-L11) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",10,2,2480,NA,"DEV"
"1695","Junior Software Engineer","Other","","5","1.5",550,200,"Львов","до 1000 человек","Продуктовая","мужской",37,"Два высших","Львовская Политехника","False","средний","Телекоммуникации","12/06/2017 22:40:54","Mozilla/5.0 (Linux; Android 6.0.1; Redmi Note 3 Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.3029.83 Mobile Safari/537.36",5,1.5,550,NA,"DEV"
"1696","Junior Software Engineer","Python","","0.5","0.5",600,600,"Киев","до 200 человек","Продуктовая","мужской",21,"Незаконченное высшее","НТУУ «КПИ»","True","выше среднего","Веб-разработка","12/06/2017 22:41:19","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",0.5,0.5,600,NA,"DEV"
"1697","Senior Software Engineer","JavaScript","","3","3",3500,1100,"Киев","до 200 человек","Продуктовая","мужской",27,"Высшее","НАУ","False","средний","Веб-разработка","12/06/2017 22:41:21","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3,3,3500,NA,"DEV"
"1698","Senior Software Engineer","Java","","8","3",4500,300,"Киев","до 1000 человек","Продуктовая","мужской",33,"Высшее","Другой вуз","False","ниже среднего","Gamedev","12/06/2017 22:41:27","Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5 Build/M4B30Z) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",8,3,4500,NA,"DEV"
"1699","Software Engineer","Java","","2","меньше 3 месяцев",1700,600,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",25,"Высшее","Другой вуз","False","выше среднего","Веб-разработка,Системное программирование","12/06/2017 22:41:33","Mozilla/5.0 (Linux; Android 5.0.2; Redmi Note 3 Build/LRX22G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",2,0,1700,NA,"DEV"
"1700","Junior Software Engineer","PHP","","1.5","1",880,500,"Киев","до 200 человек","Продуктовая","мужской",27,"Кандидат","НТУУ «КПИ»","False","средний","Веб-разработка","12/06/2017 22:41:42","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1.5,1,880,NA,"DEV"
"1701","Junior Software Engineer","PHP","","1.5","0.25",600,250,"Харьков","до 50 человек","Аутсорсинговая","мужской",33,"Высшее","ХАИ","False","элементарный","Веб-разработка,eCommerce","12/06/2017 22:41:47","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.110 Safari/537.36",1.5,0.25,600,NA,"DEV"
"1702","Junior QA engineer","","Manual QA","1","1",800,400,"Киев","до 200 человек","Аутсорсинговая","мужской",27,"Высшее","ВНУ им. Даля","False","средний","Веб-разработка,eCommerce","12/06/2017 22:43:02","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",1,1,800,NA,"QA"
"1703","Software Engineer","Java","","1","1",1400,900,"Киев","до 50 человек","Продуктовая","мужской",20,"Незаконченное высшее","НАУ","False","средний","Android","12/06/2017 22:43:26","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0",1,1,1400,NA,"DEV"
"1704","Product Manager","","","2","0.5",1500,300,"Киев","до 200 человек","Продуктовая","мужской",30,"Высшее","Другой вуз","False","продвинутый","eCommerce","12/06/2017 22:44:24","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2,0.5,1500,NA,""
"1705","Junior Software Engineer","JavaScript","","1","1",400,50,"Сумы","до 10 человек","Аутсорсинговая","мужской",21,"Высшее","СумГУ","True","ниже среднего","Веб-разработка","12/06/2017 22:46:22","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1,1,400,NA,"DEV"
"1706","QA engineer","","Manual QA","2","0.25",1520,800,"Киев","до 200 человек","Продуктовая","мужской",35,"Высшее","НУПТ","False","средний","Веб-разработка","12/06/2017 22:46:39","Mozilla/5.0 (Linux; Android 7.0; Moto G (4) Build/NPJS25.93-14-4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",2,0.25,1520,NA,"QA"
"1707","Data Scientist / Data Analyst","Java","","1.5","меньше 3 месяцев",2700,300,"Львов","до 50 человек","Стартап","мужской",35,"Высшее","ЛНУ им. Франко","False","выше среднего","Корпоративные системы,Другое","12/06/2017 22:47:41","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",1.5,0,2700,NA,""
"1708","Junior Software Engineer","C#/.NET","","1","меньше 3 месяцев",1200,1000,"Ивано-Франковск","свыше 1000 человек","Аутсорсинговая","мужской",21,"Высшее","Другой вуз","True","выше среднего","Веб-разработка","12/06/2017 22:48:44","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1,0,1200,NA,"DEV"
"1709","DevOps","","","5","1",2500,500,"Харьков","до 200 человек","Продуктовая","мужской",28,"Высшее","ХНУРЭ","False","выше среднего","Веб-разработка","12/06/2017 22:49:40","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",5,1,2500,NA,"ADM"
"1710","Software Engineer","Java","","4","2",2000,0,"Киев","до 50 человек","Продуктовая","мужской",32,"Высшее","ДонНТУ","False","выше среднего","Веб-разработка,Корпоративные системы","12/06/2017 22:51:19","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",4,2,2000,NA,"DEV"
"1711","Junior Software Engineer","Java","","1","1",1100,500,"Киев","до 50 человек","Продуктовая","мужской",34,"Высшее","НТУУ «КПИ»","False","средний","Веб-разработка,Корпоративные системы","12/06/2017 22:51:21","Mozilla/5.0 (iPad; CPU OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",1,1,1100,NA,"DEV"
"1712","Technical Lead","Java","","7","3",4350,200,"Киев","до 200 человек","Аутсорсинговая","мужской",28,"Высшее","Другой вуз","False","средний","Другое","12/06/2017 22:51:37","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",7,3,4350,NA,"SDEV"
"1713","Junior Software Engineer","JavaScript","","1.5","1.5",1600,400,"Днепр","до 200 человек","Продуктовая","женский",22,"Высшее","ДНУ им. Гончара","False","средний","iOS,Веб-разработка","12/06/2017 22:52:42","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,1.5,1600,NA,"DEV"
"1714","Project manager","","","6","3",4000,0,"Киев","до 1000 человек","Продуктовая","мужской",35,"Высшее","НТУУ «КПИ»","False","средний","Gamedev","12/06/2017 22:52:43","Mozilla/5.0 (Linux; Android 5.0.2; Redmi Note 2 Build/LRX22G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.132 Mobile Safari/537.36",6,3,4000,NA,"PM"
"1715","Junior QA engineer","","Manual QA","меньше 3 месяцев","0.25",250,0,"Львов","до 50 человек","Аутсорсинговая","женский",27,"Высшее","Другой вуз","False","выше среднего","Desktop Applications,Веб-разработка","12/06/2017 22:52:49","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0,0.25,250,NA,"QA"
"1716","Senior Software Engineer","C#/.NET","","5","меньше 3 месяцев",3800,1330,"Киев","до 50 человек","Продуктовая","мужской",28,"Высшее","НТУУ «КПИ»","False","выше среднего","Веб-разработка,Финансы и банки","12/06/2017 22:52:53","Mozilla/5.0 (iPad; CPU OS 10_2_1 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) CriOS/59.0.3071.84 Mobile/14D27 Safari/602.1",5,0,3800,NA,"DEV"
"1717","Senior QA engineer","","Automation QA","7","4",3500,0,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",28,"Высшее","Другой вуз","False","выше среднего","Финансы и банки","12/06/2017 22:53:03","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0",7,4,3500,NA,"QA"
"1718","Senior Software Engineer","C#/.NET","","6","5",1700,300,"Киев","до 10 человек","Аутсорсинговая","мужской",28,"Среднее","","False","продвинутый","Android,iOS","12/06/2017 22:53:23","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36 Edge/15.15063",6,5,1700,NA,"DEV"
"1719","Software Engineer","Java","","3","0.25",1800,600,"Киев","до 200 человек","Продуктовая","мужской",22,"Высшее","НТУУ «КПИ»","False","выше среднего","Android,eCommerce","12/06/2017 22:53:56","Mozilla/5.0 (Linux; Android 5.1; m2 Build/LMY47D) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/40.0.2214.114 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/127.0.0.22.69;]",3,0.25,1800,NA,"DEV"
"1720","QA engineer","","Manual QA","1.5","0.25",1000,200,"Одесса","свыше 1000 человек","Аутсорсинговая","мужской",32,"Высшее","ОНАС","False","средний","Embedded","12/06/2017 22:54:05","Mozilla/5.0 (Linux; Android 6.0; LG-D856 Build/MRA58K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.92 Mobile Safari/537.36",1.5,0.25,1000,NA,"QA"
"1721","DevOps","","","10 и более лет","10 и более лет",2400,50,"Днепр","до 1000 человек","Другая","мужской",39,"Высшее","Другой вуз","False","средний","Веб-разработка,Другое","12/06/2017 22:54:28","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10,10,2400,NA,"ADM"
"1722","QA engineer","","Manual QA","3","3",576,384,"Киев","до 1000 человек","Продуктовая","женский",29,"Высшее","КНЭУ","False","средний","Веб-разработка,Телекоммуникации","12/06/2017 22:55:25","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",3,3,576,NA,"QA"
"1723","Junior Software Engineer","PHP","","0.5","0.5",600,0,"Запорожье","до 50 человек","Аутсорсинговая","мужской",33,"Высшее","Другой вуз","False","продвинутый","eCommerce,Другое","12/06/2017 22:56:09","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,600,NA,"DEV"
"1724","Senior QA engineer","","Automation QA","7","0.25",4500,1200,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",29,"Высшее","НТУУ «КПИ»","False","выше среднего","Desktop Applications","12/06/2017 22:56:15","Mozilla/5.0 (iPad; CPU OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",7,0.25,4500,NA,"QA"
"1725","Software Engineer","JavaScript","","2","меньше 3 месяцев",1000,400,"Николаев","до 200 человек","Аутсорсинговая","мужской",25,"Высшее","ЧГУ им. Петра Могилы","False","средний","Веб-разработка","12/06/2017 22:56:15","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2,0,1000,NA,"DEV"
"1726","Software Engineer","Java","","5","0.25",2600,400,"Киев","до 50 человек","Аутсорсинговая","мужской",41,"Высшее","Другой вуз","False","ниже среднего","Android","12/06/2017 22:56:55","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5,0.25,2600,NA,"DEV"
"1727","Project manager","","","4","1.5",500,100,"Харьков","до 50 человек","Аутсорсинговая","женский",29,"Высшее","Другой вуз","False","выше среднего","Веб-разработка,eCommerce","12/06/2017 22:57:13","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36 OPR/36.0.2130.80",4,1.5,500,NA,"PM"
"1728","Junior Software Engineer","PHP","","1.5","меньше 3 месяцев",500,400,"Николаев","до 1000 человек","Аутсорсинговая","мужской",20,"Высшее","ЧГУ им. Петра Могилы","True","средний","Веб-разработка,Корпоративные системы","12/06/2017 22:57:35","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",1.5,0,500,NA,"DEV"
"1729","Junior Software Engineer","Objective-C","","1.5","меньше 3 месяцев",1000,700,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",20,"Незаконченное высшее","Львовская Политехника","True","ниже среднего","iOS","12/06/2017 22:57:36","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.1 Safari/603.1.30",1.5,0,1000,NA,"DEV"
"1730","HTML coder","","","0.5","0.25",200,0,"Киев","до 50 человек","Другая","мужской",30,"Высшее","КНЭУ","False","средний","Веб-разработка","12/06/2017 22:57:46","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",0.5,0.25,200,NA,""
"1731","Senior Project Manager / Program Manager","","","10 и более лет","меньше 3 месяцев",4550,950,"Киев","до 200 человек","Продуктовая","мужской",31,"Высшее","НАУ","False","продвинутый","eCommerce","12/06/2017 22:57:52","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10,0,4550,NA,"SPM"
"1732","Junior Software Engineer","JavaScript","","1","0.5",265,77,"Киев","до 10 человек","Продуктовая","мужской",19,"Незаконченное высшее","НТУУ «КПИ»","True","средний","Android,iOS","12/06/2017 22:58:03","Mozilla/5.0 (Linux; Android 5.0.2; LG-D802 Build/LRX22G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1,0.5,265,NA,"DEV"
"1733","Software Engineer","C#/.NET","","2","2",1500,500,"Харьков","свыше 1000 человек","Аутсорсинговая","мужской",29,"Высшее","ХНУРЭ","False","выше среднего","Веб-разработка,Корпоративные системы","12/06/2017 22:58:15","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2,2,1500,NA,"DEV"
"1734","Junior Software Engineer","Python","","1","1",400,400,"Харьков","до 10 человек","Аутсорсинговая","мужской",21,"Высшее","ХАИ","True","ниже среднего","Веб-разработка","12/06/2017 22:59:04","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",1,1,400,NA,"DEV"
"1735","Junior Software Engineer","PHP","","2","1",700,400,"Днепр","до 10 человек","Аутсорсинговая","мужской",36,"Два высших","Другой вуз","False","ниже среднего","Веб-разработка","12/06/2017 22:59:11","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2,1,700,NA,"DEV"
"1736","Junior Software Engineer","Swift","","меньше 3 месяцев","меньше 3 месяцев",500,0,"Одесса","до 200 человек","Продуктовая","мужской",20,"Незаконченное высшее","ОНПУ","True","средний","iOS","12/06/2017 22:59:32","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",0,0,500,NA,"DEV"
"1737","Software Engineer","PHP","","4","1.5",2500,800,"Одесса","до 200 человек","Аутсорсинговая","мужской",26,"Высшее","ОНАС","False","средний","Веб-разработка,eCommerce","12/06/2017 22:59:47","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",4,1.5,2500,NA,"DEV"
"1738","Senior QA engineer","","General QA","10 и более лет","3",2850,0,"Киев","до 200 человек","Аутсорсинговая","женский",32,"Высшее","КНЭУ","False","выше среднего","Корпоративные системы","12/06/2017 23:01:07","Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Mobile/14E304 [FBAN/FBIOS;FBAV/87.0.0.44.70;FBBV/54482584;FBDV/iPhone9,3;FBMD/iPhone;FBSN/iOS;FBSV/10.3.1;FBSS/2;FBCR/Kyivstar;FBID/phone;FBLC/ru_RU;FBOP/5;FBRV/0]",10,3,2850,NA,"QA"
"1739","Senior Software Engineer","PHP","","6","6",2900,0,"Луцк","до 200 человек","Аутсорсинговая","мужской",25,"Незаконченное высшее","Другой вуз","False","средний","Веб-разработка,eCommerce","12/06/2017 23:01:11","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6,6,2900,NA,"DEV"
"1740","Project manager","","","10 и более лет","7",2900,200,"Одесса","свыше 1000 человек","Аутсорсинговая","мужской",35,"Высшее","ОНПУ","False","выше среднего","Embedded","12/06/2017 23:01:25","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10,7,2900,NA,"PM"
"1741","QA engineer","","Manual QA","1.5","меньше 3 месяцев",550,200,"Львов","до 200 человек","Аутсорсинговая","женский",27,"Высшее","ЛНУ им. Франко","False","выше среднего","Веб-разработка,Корпоративные системы","12/06/2017 23:01:57","Mozilla/5.0 (Linux; Android 5.0.2; Lenovo S60-a Build/LRX22G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.85 Mobile Safari/537.36",1.5,0,550,NA,"QA"
"1742","Junior Software Engineer","C#/.NET","","1.5","1.5",800,200,"Харьков","до 50 человек","Аутсорсинговая","мужской",23,"Высшее","ХНУРЭ","False","средний","Веб-разработка","12/06/2017 23:02:17","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0",1.5,1.5,800,NA,"DEV"
"1743","Software Engineer","JavaScript","","1.5","2",1500,700,"Одесса","до 50 человек","Аутсорсинговая","мужской",24,"Высшее","Другой вуз","False","средний","Веб-разработка","12/06/2017 23:02:35","Mozilla/5.0 (Linux; Android 7.1.2; Nexus 5X Build/N2G47O) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1.5,2,1500,NA,"DEV"
"1744","Software Engineer","Java","","1.5","1.5",1500,1000,"Одесса","до 50 человек","Аутсорсинговая","мужской",24,"Высшее","Другой вуз","False","средний","Android","12/06/2017 23:02:44","Mozilla/5.0 (Linux; Android 7.1.2; Nexus 5X Build/N2G47W) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1.5,1.5,1500,NA,"DEV"
"1745","Senior Software Engineer","Swift","","5","0.25",3500,500,"Киев","до 200 человек","Продуктовая","мужской",27,"Высшее","НТУУ «КПИ»","False","выше среднего","iOS","12/06/2017 23:03:45","Mozilla/5.0 (iPad; CPU OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPad5,4;FBMD/iPad;FBSN/iOS;FBSV/10.3.2;FBSS/2;FBCR/Carrier;FBID/tablet;FBLC/en_US;FBOP/5;FBRV/0]",5,0.25,3500,NA,"DEV"
"1746","QA engineer","","Automation QA","1.5","1.5",230,45,"Сумы","свыше 1000 человек","Продуктовая","мужской",27,"Высшее","СумГУ","False","средний","Телекоммуникации,Корпоративные системы","12/06/2017 23:04:15","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,1.5,230,NA,"QA"
"1747","System Architect","Java","","10 и более лет","1.5",5500,0,"Киев","до 1000 человек","Аутсорсинговая","мужской",35,"Высшее","Другой вуз","False","продвинутый","Веб-разработка,eCommerce","12/06/2017 23:04:22","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",10,1.5,5500,NA,"SDEV"
"1748","Junior Software Engineer","JavaScript","","1","1",715,400,"Харьков","до 200 человек","Аутсорсинговая","мужской",20,"Высшее","ХНУРЭ","True","средний","Веб-разработка","12/06/2017 23:04:49","Mozilla/5.0 (Linux; Android 5.1; m3 note Build/LMY47I) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1,1,715,NA,"DEV"
"1749","Software Engineer","Python","","1.5","1.5",700,200,"Киев","до 10 человек","Стартап","женский",23,"Высшее","КНЭУ","False","средний","Финансы и банки","12/06/2017 23:05:15","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36",1.5,1.5,700,NA,"DEV"
