,Должность,Язык программирования,Специализация,Общий опыт работы,Опыт работы на текущем месте,Зарплата в месяц,Изменение зарплаты за 12 месяцев,Город,Размер компании,Тип компании,Пол,Возраст,Образование,Университет,Еще студент,Уровень английского,Предметная область,Дата заполнения,User-Agent
,Senior QA engineer,,General QA,5,5,1000,250,Житомир,до 200 человек,Продуктовая,m,31,Два высших,ЖГТУ,False,средний,"Android,iOS",20/12/2016 12:17:25,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0
,QA engineer,,Manual QA,1.5,1.5,500,200,Полтава,до 50 человек,Аутсорсинговая,m,25,Высшее,ХНУРЭ,False,средний,,20/12/2016 12:17:25,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Project manager,,,10 и более лет,1,3500,0,Киев,до 1000 человек,Аутсорсинговая,m,38,Два высших,НТУУ «КПИ»,False,продвинутый,Корпоративные системы,20/12/2016 12:17:25,Mozilla/5.0 (Android 5.1.1; Mobile; rv:50.0) Gecko/50.0 Firefox/50.0
,Senior Software Engineer,C++,,10 и более лет,5,2300,670,Киев,до 50 человек,Другая,m,38,Высшее,НТУУ «КПИ»,False,выше среднего,"Embedded,Финансы и банки",20/12/2016 12:17:26,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.98 Safari/537.36 Vivaldi/1.6.689.40"
,QA engineer,,Manual QA,3,3,850,85,Харьков,до 50 человек,Другая,f,24,Высшее,Другой вуз,False,средний,Финансы и банки,20/12/2016 12:17:30,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
,Senior Software Engineer,C,,9,6,2600,750,Днепр,свыше 1000 человек,Аутстаффинговая,m,34,Высшее,ДНУ им. Гончара,False,продвинутый,Embedded,20/12/2016 12:17:32,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:50.0) Gecko/20100101 Firefox/50.0
,Software Engineer,JavaScript,,3,0.5,1500,700,Киев,до 200 человек,Продуктовая,m,24,Высшее,НУПТ,False,средний,Веб-разработка,20/12/2016 12:17:33,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2956.0 Safari/537.36"
,Senior Software Engineer,Python,,5,меньше 3 месяцев,3800,1300,Киев,до 1000 человек,Аутсорсинговая,m,26,Высшее,ГУТ,False,выше среднего,"Веб-разработка,Другое",20/12/2016 12:17:35,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,PHP,,1.5,1.5,1000,500,Киев,до 10 человек,Продуктовая,m,26,Техникум / Колледж,,False,ниже среднего,Веб-разработка,20/12/2016 12:17:35,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36"
,QA engineer,,Manual QA,1,1,600,100,Киев,до 200 человек,Аутсорсинговая,f,29,Два высших,ДонНУ,False,выше среднего,Gamedev,20/12/2016 12:17:36,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,System Architect,SQL,,10 и более лет,10 и более лет,4000,0,Киев,свыше 1000 человек,Аутсорсинговая,m,35,Высшее,ДНУ им. Гончара,False,выше среднего,"eCommerce,Корпоративные системы",20/12/2016 12:17:36,"Mozilla/5.0 (Linux; Android 5.0.2; SAMSUNG SM-A300H Build/LRX22G) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/3.3 Chrome/38.0.2125.102 Mobile Safari/537.36"
,Senior Software Engineer,PHP,,10 и более лет,10 и более лет,2075,75,Одесса,до 10 человек,Аутсорсинговая,m,32,Высшее,Другой вуз,False,средний,Корпоративные системы,20/12/2016 12:17:38,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0
,DevOps,,,10 и более лет,меньше 3 месяцев,2200,2000,Киев,до 200 человек,Продуктовая,m,35,Высшее,Другой вуз,False,выше среднего,"Веб-разработка,Другое",20/12/2016 12:17:39,"Mozilla/5.0 (Linux; Android 5.0.2; LG-LS980 Build/LRX22G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36"
,QA engineer,,Manual QA,5,0.5,1600,300,Львов,до 50 человек,Аутсорсинговая,m,27,Техникум / Колледж,,False,выше среднего,"Desktop Applications,Веб-разработка",20/12/2016 12:17:39,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,Python,,6,0.25,2500,900,Львов,до 50 человек,Продуктовая,m,26,Высшее,Другой вуз,False,средний,"Системное программирование,Корпоративные системы",20/12/2016 12:17:40,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.75 Safari/537.36"
,Software Engineer,PHP,,2,0.5,1000,300,Харьков,до 50 человек,Продуктовая,m,28,Высшее,ХАИ,False,средний,"Веб-разработка,eCommerce",20/12/2016 12:17:41,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/53.0.2785.143 Chrome/53.0.2785.143 Safari/537.36"
,Support,,,1,1,550,250,Ивано-Франковск,свыше 1000 человек,Аутсорсинговая,m,30,Высшее,Другой вуз,False,выше среднего,Веб-разработка,20/12/2016 12:17:42,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,C#/.NET,,3,3,1425,417,Львов,свыше 1000 человек,Аутсорсинговая,f,25,Высшее,ЛНУ им. Франко,False,выше среднего,Веб-разработка,20/12/2016 12:17:43,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36"
,Junior QA engineer,,Manual QA,1,1,500,200,Харьков,до 50 человек,Аутсорсинговая,m,24,Незаконченное высшее,Другой вуз,False,средний,Веб-разработка,20/12/2016 12:17:44,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0
,Project manager,,,10 и более лет,10 и более лет,2800,200,Львов,до 200 человек,Аутстаффинговая,f,35,Высшее,Львовская Политехника,False,выше среднего,Другое,20/12/2016 12:17:47,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Senior Software Engineer,C#/.NET,,5,0.5,3400,1300,Харьков,до 200 человек,Аутсорсинговая,m,24,Высшее,НТУ «ХПИ»,False,выше среднего,"Desktop Applications,Веб-разработка",20/12/2016 12:17:48,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Data Scientist / Data Analyst,,,1,1,2000,1200,Днепр,до 1000 человек,Другая,m,32,Два высших,ДНУ им. Гончара,False,выше среднего,"Desktop Applications,Другое",20/12/2016 12:17:48,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36"
,Software Engineer,C#/.NET,,3,3,1500,300,Харьков,свыше 1000 человек,Аутсорсинговая,m,37,Высшее,ХНУРЭ,False,ниже среднего,"Веб-разработка,eCommerce",20/12/2016 12:17:49,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Designer,,,10 и более лет,2,1200,0,Киев,до 200 человек,Аутстаффинговая,m,40,Незаконченное высшее,НТУУ «КПИ»,False,ниже среднего,"Desktop Applications,Веб-разработка",20/12/2016 12:17:51,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Technical Lead,PHP,,5,2,2100,500,Харьков,до 200 человек,Аутсорсинговая,m,31,Высшее,Другой вуз,False,средний,Веб-разработка,20/12/2016 12:17:52,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.106 Safari/537.36"
,Junior QA engineer,,Manual QA,1,1,800,320,Киев,до 50 человек,Аутстаффинговая,m,33,Высшее,Другой вуз,False,выше среднего,"iOS,Веб-разработка",20/12/2016 12:17:52,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0
,Junior Software Engineer,Swift,,0.5,0.25,300,0,Львов,до 50 человек,Другая,m,21,Высшее,ЛНУ им. Франко,True,средний,iOS,20/12/2016 12:17:53,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:50.0) Gecko/20100101 Firefox/50.0
,QA engineer,,Manual QA,4,2,1000,0,Днепр,до 1000 человек,Аутсорсинговая,f,26,Высшее,НметАУ,False,выше среднего,Финансы и банки,20/12/2016 12:17:54,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,JavaScript,,2,0.5,1500,1000,Винница,свыше 1000 человек,Другая,m,26,Высшее,Другой вуз,False,ниже среднего,Веб-разработка,20/12/2016 12:17:55,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,PHP,,2,1,1000,500,Львов,до 10 человек,Аутстаффинговая,m,28,Высшее,ЛНУ им. Франко,False,ниже среднего,Веб-разработка,20/12/2016 12:17:56,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.113 Safari/537.36"
,Junior QA engineer,,General QA,1.5,1,500,300,Ужгород,до 50 человек,Стартап,m,23,Высшее,Другой вуз,False,выше среднего,"Android,Веб-разработка",20/12/2016 12:17:58,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Project manager,,,1,0.5,1200,0,Киев,до 50 человек,Аутсорсинговая,f,25,Высшее,НАУ,False,продвинутый,"Android,iOS",20/12/2016 12:17:59,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Junior QA engineer,,Manual QA,1,1,200,0,Харьков,до 1000 человек,Другая,f,30,Высшее,ХНУ им. Каразина,False,ниже среднего,Gamedev,20/12/2016 12:17:59,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,PHP,,5,3,1350,311,Киев,до 10 человек,Продуктовая,m,30,Высшее,Другой вуз,False,ниже среднего,Веб-разработка,20/12/2016 12:17:59,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0
,Software Engineer,JavaScript,,2,1,1800,600,Львов,до 50 человек,Аутсорсинговая,m,22,Техникум / Колледж,,False,средний,Веб-разработка,20/12/2016 12:18:03,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
,HR,,,5,5,1150,-400,Днепр,до 50 человек,Продуктовая,m,33,Высшее,Другой вуз,False,средний,Веб-разработка,20/12/2016 12:18:03,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,QA engineer,,General QA,5,5,2000,100,Харьков,до 1000 человек,Аутсорсинговая,m,34,Незаконченное высшее,НТУ «ХПИ»,False,средний,Веб-разработка,20/12/2016 12:18:05,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0
,Project manager,,,5,2,2200,0,Харьков,до 1000 человек,Аутсорсинговая,m,29,Высшее,ХАИ,False,выше среднего,"Desktop Applications,Веб-разработка",20/12/2016 12:18:08,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0.2 Safari/602.3.12"
,Junior Software Engineer,JavaScript,,0.5,0.5,400,400,Киев,до 50 человек,Аутсорсинговая,m,21,Незаконченное высшее,НаУКМА,True,выше среднего,Веб-разработка,20/12/2016 12:18:10,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14"
,QA engineer,,Manual QA,1.5,1,450,150,Львов,до 50 человек,Аутсорсинговая,f,25,Высшее,Львовская Политехника,False,выше среднего,"Android,iOS",20/12/2016 12:18:11,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Senior Software Engineer,Python,,10 и более лет,4,3700,0,Харьков,до 50 человек,Продуктовая,m,35,Кандидат,ХНУ им. Каразина,False,продвинутый,Веб-разработка,20/12/2016 12:18:15,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.75 Safari/537.36"
,Junior QA engineer,,General QA,2,0.25,700,500,Херсон,до 200 человек,Аутсорсинговая,m,27,Высшее,Другой вуз,False,выше среднего,"Веб-разработка,eCommerce",20/12/2016 12:18:15,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Business analyst,,,5,0.5,1300,0,Киев,до 200 человек,Аутсорсинговая,m,30,Высшее,КНУ им. Шевченко,False,выше среднего,"Телекоммуникации,Финансы и банки",20/12/2016 12:18:16,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
,Software Engineer,C++,,5,3,2700,500,Львов,до 1000 человек,Аутсорсинговая,m,26,Высшее,Львовская Политехника,False,выше среднего,"Системное программирование,Корпоративные системы",20/12/2016 12:18:16,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Junior Software Engineer,PHP,,1,0.25,600,419,Ровно,до 10 человек,Аутсорсинговая,m,31,Высшее,Другой вуз,False,элементарный,Веб-разработка,20/12/2016 12:18:18,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Senior Software Engineer,SQL,,10 и более лет,0.5,3000,0,Киев,до 200 человек,Аутсорсинговая,m,47,Высшее,Другой вуз,False,ниже среднего,Корпоративные системы,20/12/2016 12:18:18,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0
,Software Engineer,JavaScript,,2,1,570,200,Харьков,до 1000 человек,Продуктовая,f,30,Два высших,Другой вуз,False,средний,"Веб-разработка,eCommerce",20/12/2016 12:18:19,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2950.4 Safari/537.36"
,Senior Software Engineer,PHP,,5,2,1600,250,Удаленно,до 10 человек,Аутсорсинговая,m,26,Незаконченное высшее,Другой вуз,False,выше среднего,"Веб-разработка,Корпоративные системы",20/12/2016 12:18:20,"Mozilla/5.0 (Linux; Android 5.1; m2 note Build/LMY47D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.85 Mobile Safari/537.36"
,Designer,,,2,1,500,150,Львов,до 10 человек,Аутсорсинговая,m,26,Высшее,Другой вуз,False,средний,"Desktop Applications,Веб-разработка",20/12/2016 12:18:21,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Senior Software Engineer,C#/.NET,,5,1,5200,200,Киев,свыше 1000 человек,Аутсорсинговая,m,24,Высшее,КНУ им. Шевченко,False,продвинутый,Веб-разработка,20/12/2016 12:18:22,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Project manager,,,3,меньше 3 месяцев,1800,300,Киев,до 50 человек,Аутсорсинговая,m,25,Высшее,НТУУ «КПИ»,False,продвинутый,"Android,Веб-разработка",20/12/2016 12:18:22,"Mozilla/5.0 (Linux; Android 6.0.1; SM-G935F Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36"
,Software Engineer,C#/.NET,,3,1,1300,600,Харьков,до 1000 человек,Аутстаффинговая,m,24,Высшее,ХНУРЭ,False,средний,"Веб-разработка,Финансы и банки",20/12/2016 12:18:25,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36"
,QA engineer,,Manual QA,3,0.25,1600,0,Харьков,до 200 человек,Аутсорсинговая,m,25,Высшее,НТУ «ХПИ»,False,средний,"Веб-разработка,Другое",20/12/2016 12:18:28,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36"
,Software Engineer,C#/.NET,,3,0.25,1500,0,Львов,до 10 человек,Стартап,m,28,Высшее,ЛНУ им. Франко,False,ниже среднего,Gamedev,20/12/2016 12:18:30,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Junior Software Engineer,Swift,,1,меньше 3 месяцев,300,100,Николаев,до 200 человек,Продуктовая,m,20,Незаконченное высшее,ЧГУ им. Петра Могилы,True,ниже среднего,iOS,20/12/2016 12:18:30,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36 OPR/41.0.2353.69"
,QA engineer,,Manual QA,1.5,1.5,500,130,Львов,до 200 человек,Продуктовая,m,32,Высшее,КНУ им. Шевченко,False,средний,"Android,Веб-разработка",20/12/2016 12:18:32,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36"
,Junior QA engineer,,General QA,1,1,770,440,Черкассы,до 10 человек,Продуктовая,m,30,Высшее,НТУУ «КПИ»,False,ниже среднего,"Веб-разработка,Телекоммуникации",20/12/2016 12:18:32,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/53.0.2785.143 Chrome/53.0.2785.143 Safari/537.36"
,Senior Software Engineer,JavaScript,,5,меньше 3 месяцев,4500,2700,Киев,до 50 человек,Продуктовая,m,20,Незаконченное высшее,ЛНУ им. Франко,False,продвинутый,"Веб-разработка,Корпоративные системы",20/12/2016 12:18:33,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36"
,Software Engineer,JavaScript,,3,0.5,900,-100,Одесса,до 10 человек,Продуктовая,m,30,Высшее,ОНАС,False,ниже среднего,Веб-разработка,20/12/2016 12:18:41,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 YaBrowser/16.10.0.2774 Safari/537.36"
,HTML coder,,,0.5,0.5,500,100,Николаев,до 50 человек,Другая,m,21,Высшее,Другой вуз,True,элементарный,Веб-разработка,20/12/2016 12:18:41,"Mozilla/5.0 (Windows Phone 10.0; Android 6.0.1; Microsoft; Lumia 550) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Mobile Safari/537.36 Edge/14.14393"
,Designer,,,3,1.5,300,180,Львов,до 50 человек,Продуктовая,f,28,Незаконченное высшее,НТУУ «КПИ»,False,средний,Веб-разработка,20/12/2016 12:18:42,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,ERP / CRM,,,4,меньше 3 месяцев,500,-200,Киев,до 50 человек,Другая,f,25,Высшее,КНЭУ,False,выше среднего,Другое,20/12/2016 12:18:42,"Mozilla/5.0 (Linux; Android 6.0.1; D6603 Build/23.5.A.1.291) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36"
,Senior Project Manager / Program Manager,,,10 и более лет,4,4250,450,Киев,свыше 1000 человек,Аутсорсинговая,f,31,Высшее,НТУУ «КПИ»,False,продвинутый,"Веб-разработка,Корпоративные системы",20/12/2016 12:18:46,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Technical Lead,Java,,10 и более лет,10 и более лет,3900,0,Одесса,до 1000 человек,Аутсорсинговая,m,34,Кандидат,ОНПУ,False,выше среднего,"Desktop Applications,Корпоративные системы",20/12/2016 12:18:46,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0
,Senior Software Engineer,PHP,,6,4,1500,300,Ужгород,до 1000 человек,Аутсорсинговая,m,29,Высшее,Другой вуз,False,средний,Веб-разработка,20/12/2016 12:18:46,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,PHP,,5,0.5,2500,500,Киев,до 1000 человек,Продуктовая,m,31,Высшее,Другой вуз,False,средний,Веб-разработка,20/12/2016 12:18:46,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,PHP,,4,1,1400,200,Другой,до 200 человек,Аутстаффинговая,m,33,Высшее,Другой вуз,False,выше среднего,"Веб-разработка,Другое",20/12/2016 12:18:49,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.75 Safari/537.36"
,HR,,,3,3,260,40,Харьков,до 50 человек,Продуктовая,f,25,Высшее,Другой вуз,False,ниже среднего,Веб-разработка,20/12/2016 12:18:50,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:49.0) Gecko/20100101 Firefox/49.0
,Research Engineer,,,2,2,380,0,Винница,до 1000 человек,Аутсорсинговая,m,28,Высшее,ХНУ [г. Хмельницкий],False,ниже среднего,eCommerce,20/12/2016 12:18:52,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Senior Project Manager / Program Manager,,,6,0.25,5500,1000,Днепр,свыше 1000 человек,Продуктовая,f,33,Высшее,Другой вуз,False,продвинутый,"Android,Gamedev",20/12/2016 12:18:53,"Mozilla/5.0 (Linux; Android 7.1.1; Nexus 6P Build/NMF26F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36"
,Software Engineer,PHP,,3,меньше 3 месяцев,1800,600,Одесса,до 200 человек,Продуктовая,m,23,Высшее,ОНПУ,True,ниже среднего,"Веб-разработка,Мультимедиа",20/12/2016 12:18:54,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,QA engineer,,Manual QA,5,2,2400,100,Киев,до 50 человек,Продуктовая,f,35,Высшее,Другой вуз,False,выше среднего,Веб-разработка,20/12/2016 12:18:54,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36"
,Software Engineer,PHP,,4,4,2300,450,Винница,до 200 человек,Другая,m,30,Высшее,ВНТУ,False,ниже среднего,Веб-разработка,20/12/2016 12:18:56,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14"
,Senior QA engineer,,Manual QA,5,2,2000,500,Киев,до 200 человек,Продуктовая,m,30,Высшее,КНЭУ,False,средний,Веб-разработка,20/12/2016 12:18:56,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0
,Technical Lead,Java,,5,1,2800,300,Харьков,до 50 человек,Аутстаффинговая,m,25,Высшее,ХНУ им. Каразина,False,ниже среднего,Корпоративные системы,20/12/2016 12:18:58,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36"
,Software Engineer,Java,,4,1,2100,100,Киев,до 1000 человек,Аутстаффинговая,m,25,Высшее,НТУУ «КПИ»,False,выше среднего,Android,20/12/2016 12:19:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/601.5.17 (KHTML, like Gecko) Version/9.1 Safari/601.5.17"
,Software Engineer,C#/.NET,,8,4,2280,0,Киев,свыше 1000 человек,Аутсорсинговая,m,30,Высшее,Другой вуз,False,выше среднего,Desktop Applications,20/12/2016 12:19:04,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36"
,HR,,,3,1.5,1500,500,Днепр,до 10 человек,Продуктовая,f,25,Высшее,Другой вуз,False,средний,Другое,20/12/2016 12:19:04,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36"
,Senior Software Engineer,JavaScript,,10 и более лет,8,2850,100,Удаленно,до 1000 человек,Аутстаффинговая,m,34,Высшее,КНУ им. Шевченко,False,выше среднего,"Android,Веб-разработка",20/12/2016 12:19:07,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Junior Software Engineer,C++,,1.5,1.5,800,0,Киев,до 200 человек,Продуктовая,m,24,Высшее,НТУУ «КПИ»,False,выше среднего,Gamedev,20/12/2016 12:19:08,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0
,Junior Software Engineer,C#/.NET,,1,0.25,600,0,Киев,до 10 человек,Аутсорсинговая,m,31,Высшее,КНЭУ,False,выше среднего,Финансы и банки,20/12/2016 12:19:08,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,QA engineer,,General QA,4,3,1700,150,Львов,до 10 человек,Продуктовая,f,26,Два высших,ДонНТУ,False,выше среднего,"Android,iOS",20/12/2016 12:19:11,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36"
