"Город","Зарплата.в.месяц","Изменение.зарплаты","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Уровень.английского","Размер.компании"
"312","Донецк",1200,200,"Team lead",4.5,3,"","",25,"мужской","Два высших","выше среднего","до 50 человек"
"313","Киев",3100,300,"Software Engineer",7,5,"Java","",30,"мужской","Высшее","выше среднего","до 50 человек"
"314","Киев",1225,50,"Системный администратор",6,6,"","",29,"мужской","Высшее","выше среднего","до 1000 человек"
"315","Киев",4000,200,"Technical Lead",10,9,"Java","",38,"мужской","Высшее","продвинутый","свыше 1000 человек"
"316","Донецк",1500,1000,"Junior Software Engineer",1.5,1.5,"C#/.NET","",25,"мужской","Высшее","продвинутый","до 50 человек"
"317","Днепр.",1700,250,"QA engineer",3.5,2,"","Manual QA",27,"мужской","Высшее","выше среднего","до 1000 человек"
"318","Одесса",600,0,"Junior QA engineer",0.5,0.5,"","General QA",23,"мужской","Высшее","средний","до 200 человек"
"319","Киев",2750,750,"Software Engineer",5.5,0.5,"JavaScript","",22,"мужской","Незаконченное высшее","средний","свыше 1000 человек"
"320","Киев",1750,375,"Senior Software Engineer",6.5,4.5,"C++","",30,"мужской","Высшее","элементарный","до 50 человек"
"321","Днепр.",1600,500,"Software Engineer",1.5,1.5,"PHP","",22,"мужской","Незаконченное высшее","ниже среднего","до 200 человек"
"322","Киев",2400,300,"Бизнес-аналитик",5,3,"","",26,"мужской","Высшее","выше среднего","до 1000 человек"
"323","Днепр.",2200,200,"Бизнес-аналитик",8.5,0.5,"","",30,"женский","Высшее","продвинутый","до 200 человек"
"324","Харьков",1700,500,"QA Tech Lead",3,3,"","General QA",31,"мужской","Высшее","средний","до 50 человек"
"325","Харьков",2300,-999,"Software Engineer",3.5,0,"Flex/Flash/AIR","",23,"мужской","Высшее","выше среднего","до 10 человек"
"326","Днепр.",500,200,"Junior QA engineer",1.25,1,"","General QA",24,"мужской","Высшее","средний","до 50 человек"
"327","Полтава",1200,500,"Project manager",2,2,"","",30,"мужской","Незаконченное высшее","средний","до 50 человек"
"328","Севастополь",1000,600,"QA engineer",1,0,"","General QA",23,"мужской","Высшее","средний","до 10 человек"
"329","Днепр.",1400,0,"Software Engineer",3.5,0.75,"JavaScript","",28,"мужской","Высшее","средний","до 50 человек"
"330","Винница",1400,250,"Software Engineer",3,3,"PHP","",26,"мужской","Высшее","средний","до 50 человек"
"331","Одесса",3000,0,"Team lead",6.5,6.5,"","",27,"мужской","Высшее","выше среднего","до 1000 человек"
"332","Киев",1000,0,"Бизнес-аналитик",5,0,"","",28,"мужской","Высшее","ниже среднего","свыше 1000 человек"
"333","Ровно",1200,0,"Software Engineer",5,5,"PHP","",27,"мужской","Высшее","ниже среднего","до 10 человек"
"334","Запорожье",440,65,"Junior Software Engineer",0.75,0.75,"C#/.NET","",21,"мужской","Два высших","ниже среднего","до 10 человек"
"335","Киев",3200,200,"Senior Software Engineer",10,3,"Java","",30,"мужской","Высшее","выше среднего","свыше 1000 человек"
"336","Киев",2750,200,"Senior Software Engineer",6,1.5,"C#/.NET","",25,"мужской","Высшее","продвинутый","свыше 1000 человек"
"337","Винница",1500,120,"Senior Software Engineer",4.5,4.5,"PHP","",27,"мужской","Высшее","средний","до 50 человек"
"338","Киев",700,200,"Junior QA engineer",0.5,0.5,"","Automation QA",21,"мужской","Незаконченное высшее","ниже среднего","свыше 1000 человек"
"339","Одесса",500,1,"Junior QA engineer",0,0,"","Manual QA",22,"мужской","Незаконченное высшее","средний","до 50 человек"
"340","Львов",2400,0,"Senior Software Engineer",6,2,"C#/.NET","",29,"мужской","Высшее","выше среднего","свыше 1000 человек"
"341","Киев",3000,500,"Team lead",5,2.5,"","",25,"мужской","Высшее","средний","до 200 человек"
"342","Донецк",2500,500,"Team lead",6,3.5,"","",28,"мужской","Высшее","средний","до 50 человек"
"343","Одесса",1500,0,"Senior Software Engineer",5,6,"C#/.NET","",38,"мужской","Высшее","элементарный","до 10 человек"
"344","Львов",2100,400,"Software Engineer",5.5,4.5,"Java","",26,"мужской","Высшее","средний","до 200 человек"
"345","Киев",2680,212,"Software Engineer",6,4,"Java","",27,"мужской","Высшее","продвинутый","до 10 человек"
"346","Киев",1200,150,"Software Engineer",4,1,"C#/.NET","",25,"мужской","Высшее","средний","до 200 человек"
"347","Луганск",680,200,"Junior Software Engineer",0.75,0.75,"Java","",22,"мужской","Незаконченное высшее","средний","до 50 человек"
"348","Киев",1500,200,"Software Engineer",4.5,0,"C++","",27,"мужской","Высшее","элементарный","до 50 человек"
"349","Львов",2800,500,"Software Engineer",2.5,1.75,"Java","",24,"мужской","Высшее","средний","до 10 человек"
"350","Киев",3200,1000,"QA Tech Lead",7,0,"","General QA",27,"мужской","Высшее","продвинутый","до 1000 человек"
"351","Львов",800,200,"HR",1.5,1.75,"","",24,"женский","Высшее","средний","свыше 1000 человек"
"352","Днепр.",1700,100,"QA engineer",5.5,1.5,"","Manual QA",30,"мужской","Высшее","выше среднего","до 200 человек"
"353","Тернополь",700,300,"Software Engineer",1.25,1.25,"PHP","",22,"мужской","Высшее","выше среднего","до 10 человек"
"354","Черкассы",300,200,"Junior QA engineer",0,0,"","General QA",23,"мужской","Высшее","средний","до 10 человек"
"355","Львов",1710,340,"Senior Software Engineer",4,3.5,"Java","",27,"мужской","Два высших","выше среднего","свыше 1000 человек"
"356","Одесса",1650,300,"Системный администратор",9,2.5,"","",29,"мужской","Высшее","выше среднего","до 1000 человек"
"357","Киев",2500,1000,"Software Engineer",1.75,1.75,"Java","",26,"мужской","Высшее","средний","до 50 человек"
"358","Киев",3300,0,"Team lead",10,6,"","",34,"мужской","Два высших","выше среднего","свыше 1000 человек"
"359","Киев",1000,0,"Junior QA engineer",0.5,0.5,"","General QA",24,"мужской","Высшее","средний","до 50 человек"
"360","Днепр.",2100,0,"Software Engineer",10,2,"C#/.NET","",34,"мужской","Высшее","средний","свыше 1000 человек"
"361","Львов",2000,300,"Senior QA engineer",6,3,"","Manual QA",28,"мужской","Высшее","выше среднего","до 1000 человек"
"362","Харьков",2500,200,"Software Engineer",6,1,"PHP","",25,"мужской","Высшее","средний","до 1000 человек"
"363","Киев",750,250,"QA engineer",0.75,0.75,"","Manual QA",26,"мужской","Высшее","ниже среднего","до 50 человек"
"364","Львов",2800,0,"Дизайнер",9,0.75,"","",29,"мужской","Высшее","средний","до 50 человек"
"365","Донецк",1500,250,"Senior Software Engineer",3.5,2.5,"Ruby/Rails","",26,"мужской","Высшее","ниже среднего","до 50 человек"
"366","Киев",3000,0,"Senior Software Engineer",6,1.75,"Java","",28,"мужской","Высшее","средний","свыше 1000 человек"
"367","Донецк",1200,200,"Software Engineer",9.5,6.5,"C#/.NET","",30,"мужской","Высшее","ниже среднего","до 200 человек"
"368","Запорожье",400,0,"Junior Software Engineer",2.5,0.25,"PHP","",20,"мужской","Незаконченное высшее","средний","до 50 человек"
"369","Киев",2000,400,"Senior Software Engineer",6,2.5,"PHP","",32,"мужской","Высшее","средний","до 50 человек"
"370","Харьков",2000,300,"QA Tech Lead",6,1,"","Manual QA",28,"женский","Высшее","средний","до 50 человек"
"371","Днепр.",1500,200,"Senior QA engineer",4.5,1.75,"","Manual QA",27,"женский","Высшее","выше среднего","до 200 человек"
"372","Киев",1200,900,"Junior Software Engineer",1,1,"Java","Automation QA",22,"мужской","Незаконченное высшее","средний","до 200 человек"
"373","Луганск",1100,100,"Software Engineer",3,0.75,"Flex/Flash/AIR","",32,"мужской","Высшее","ниже среднего","до 50 человек"
"374","Киев",3500,1500,"Software Engineer",6,0,"C++","",26,"мужской","Незаконченное высшее","ниже среднего","до 50 человек"
"375","Харьков",300,0,"Junior Software Engineer",0.25,0.25,"PHP","",20,"мужской","Незаконченное высшее","элементарный","до 50 человек"
"376","Одесса",600,200,"Software Engineer",0.75,0.75,"C++","",22,"мужской","Высшее","элементарный","до 10 человек"
"377","Харьков",1600,0,"Software Engineer",3,0.5,"Objective-C","",26,"мужской","Высшее","средний","до 10 человек"
"378","Львов",600,200,"Junior Software Engineer",1,1,"Java","",24,"мужской","Высшее","продвинутый","свыше 1000 человек"
"379","Киев",1350,0,"Junior Software Engineer",0.5,0.5,"PHP","",26,"женский","Высшее","продвинутый","до 200 человек"
"380","Киев",1800,100,"QA engineer",3,1.25,"","General QA",28,"мужской","Высшее","средний","до 200 человек"
"381","Киев",4500,1000,"Senior Project Manager / Program Manager",7,4,"","",30,"мужской","Высшее","продвинутый","до 200 человек"
"382","Харьков",2000,1000,"Software Engineer",1.5,0,"JavaScript","",22,"мужской","Незаконченное высшее","продвинутый","до 50 человек"
"383","Киев",1300,400,"Software Engineer",3,1,"Python","",24,"мужской","Высшее","средний","до 50 человек"
"384","Харьков",3150,375,"Senior Software Engineer",6,3.5,"C#/.NET","",28,"мужской","Высшее","выше среднего","до 50 человек"
"385","Киев",1100,0,"Software Engineer",1.75,0.5,"C#/.NET","",27,"мужской","Высшее","выше среднего","до 200 человек"
"386","Харьков",300,0,"Junior QA engineer",0.5,0.5,"","Manual QA",21,"мужской","Незаконченное высшее","выше среднего","до 200 человек"
"387","Киев",1250,400,"QA engineer",2.5,1.75,"","Manual QA",26,"мужской","Высшее","средний","свыше 1000 человек"
"388","Киев",2300,600,"Software Engineer",2.5,1.5,"Objective-C","",23,"мужской","Незаконченное высшее","выше среднего","до 200 человек"
"389","Днепр.",3500,0,"Senior Software Engineer",10,1,"Java","",36,"мужской","Высшее","продвинутый","до 50 человек"
"390","Львов",2100,300,"Software Engineer",5,0.75,"Java","",27,"мужской","Высшее","средний","до 1000 человек"
"391","Киев",600,300,"Дизайнер",2,0.5,"","",22,"мужской","Незаконченное высшее","средний","до 10 человек"
"392","Киев",1800,200,"QA engineer",2.5,2.5,"","General QA",23,"мужской","Высшее","средний","свыше 1000 человек"
"393","Харьков",6000,2000,"Software Engineer",4.5,0.5,"Java (Android)","",26,"мужской","Высшее","средний","до 50 человек"
"394","Киев",2000,200,"Software Engineer",6,1.5,"PHP","",29,"мужской","Высшее","ниже среднего","до 200 человек"
"395","Харьков",2000,500,"Software Engineer",3,0.5,"Ruby/Rails","",22,"мужской","Высшее","выше среднего","до 200 человек"
"396","Харьков",4500,500,"Senior Software Engineer",10,3,"Java","",29,"мужской","Высшее","выше среднего","до 1000 человек"
"397","Одесса",1700,500,"Junior Software Engineer",4,1.25,"Java","",29,"мужской","Высшее","средний","до 200 человек"
"398","Донецк",400,-500,"Software Engineer",0.25,0.25,"Objective-C","",24,"мужской","Высшее","ниже среднего","до 50 человек"
"399","Житомир",2600,700,"Software Engineer",3.5,2.5,"Python","",22,"мужской","Незаконченное высшее","средний","до 10 человек"
"400","Киев",2400,0,"Software Engineer",10,7,"C#/.NET","",34,"мужской","Высшее","средний","до 50 человек"
"401","Киев",2400,400,"Team lead",5,2,"","",24,"мужской","Высшее","продвинутый","свыше 1000 человек"
"402","Харьков",1500,500,"Software Engineer",4,1,"PHP","",24,"мужской","Высшее","выше среднего","до 200 человек"
"403","Одесса",2300,0,"Software Engineer",2.5,1,"Java (Android)","",32,"мужской","Два высших","выше среднего","до 200 человек"
"404","Днепр.",1100,300,"Junior Software Engineer",0.5,0.5,"C#/.NET","",25,"мужской","Высшее","ниже среднего","до 50 человек"
"405","Киев",4300,1200,"Technical Lead",10,1.5,"PHP","",38,"мужской","Незаконченное высшее","выше среднего","до 10 человек"
"406","Киев",1800,0,"Software Engineer",4,0.75,"PHP","",26,"мужской","Незаконченное высшее","ниже среднего","до 50 человек"
"407","Днепр.",1800,0,"Technical Lead",5,2,"PHP","",28,"мужской","Среднее","элементарный","до 10 человек"
"408","Львов",1750,450,"Software Engineer",2.5,1.75,"C#/.NET","",23,"мужской","Высшее","средний","до 200 человек"
"409","Киев",1600,1000,"Senior QA engineer",2,0,"","Manual QA",24,"женский","Высшее","ниже среднего","до 50 человек"
"410","Киев",3500,1200,"Senior Software Engineer",5,0.5,"PHP","",25,"мужской","Высшее","выше среднего","до 50 человек"
"411","Львов",750,0,"QA engineer",3,3,"","Manual QA",27,"мужской","Высшее","средний","до 50 человек"
"412","Днепр.",4000,0,"Technical Lead",5,2,"Ruby/Rails","",28,"мужской","Высшее","выше среднего","до 50 человек"
"413","Киев",3300,1300,"Senior Software Engineer",5.5,0.5,"C#/.NET","",24,"мужской","Высшее","ниже среднего","до 200 человек"
"414","Киев",2500,1500,"Software Engineer",2,0,"C#/.NET","",20,"мужской","Незаконченное высшее","ниже среднего","до 10 человек"
"415","Киев",3200,1200,"Senior Software Engineer",3.5,1.5,"Java","",23,"мужской","Высшее","средний","свыше 1000 человек"
"416","Киев",2400,600,"Senior Project Manager / Program Manager",5.5,2,"","",25,"мужской","Высшее","продвинутый","свыше 1000 человек"
"417","Кировоград",500,125,"Software Engineer",3,1,"PHP","",22,"мужской","Высшее","элементарный","до 10 человек"
"418","Харьков",800,800,"Junior Software Engineer",1,1,"Java","",20,"мужской","Незаконченное высшее","средний","до 200 человек"
"419","Харьков",6000,800,"Senior Project Manager / Program Manager",8,6,"","",30,"мужской","Высшее","выше среднего","до 10 человек"
"420","Днепр.",2500,200,"Technical Lead",7,1.75,"PHP","",27,"мужской","Высшее","средний","до 1000 человек"
"421","Киев",3100,100,"Project manager",8,8,"","",28,"мужской","Высшее","продвинутый","до 50 человек"
"422","Киев",1500,500,"Верстальщик",6,1.25,"","",30,"мужской","Незаконченное высшее","элементарный","до 50 человек"
"423","Полтава",3000,1000,"Senior Project Manager / Program Manager",4,4,"","",33,"мужской","Два высших","выше среднего","до 50 человек"
"424","Киев",2700,0,"Team lead",8,3,"","",32,"мужской","Высшее","средний","до 200 человек"
"425","Днепр.",1650,625,"Software Engineer",2,0.75,"C#/.NET","",23,"мужской","Высшее","ниже среднего","до 1000 человек"
"426","Донецк",3500,0,"Senior Software Engineer",6,2,"Ruby/Rails","",27,"мужской","Высшее","выше среднего","до 50 человек"
"427","Киев",2200,0,"Senior QA engineer",2.5,1,"","General QA",29,"мужской","Два высших","выше среднего","свыше 1000 человек"
"428","Киев",2200,400,"Software Engineer",3,0.5,"C#/.NET","",22,"мужской","Среднее","ниже среднего","свыше 1000 человек"
"429","Львов",1500,0,"Software Engineer",3.5,0,"Java","",24,"мужской","Высшее","средний","свыше 1000 человек"
"430","Киев",4700,300,"Senior Software Engineer",9,4.5,"Java","",30,"мужской","Высшее","средний","до 50 человек"
"431","Киев",2000,150,"Software Engineer",0,7,"PHP","",27,"мужской","Незаконченное высшее","средний","до 50 человек"
"432","Харьков",850,100,"Junior Software Engineer",0.75,0.5,"PHP","",23,"мужской","Высшее","средний","до 50 человек"
"433","Львов",950,465,"Software Engineer",1.75,1.75,"Objective-C","",22,"мужской","Высшее","выше среднего","до 10 человек"
"434","Киев",2650,150,"Software Engineer",4,0.75,"Java","",27,"женский","Высшее","средний","до 1000 человек"
"435","Одесса",1650,150,"QA engineer",1.5,1.5,"","Automation QA",28,"мужской","Высшее","ниже среднего","до 1000 человек"
"436","Киев",850,0,"Технический писатель",8.5,5.5,"","",25,"мужской","Высшее","средний","до 10 человек"
"437","Киев",2000,1400,"Project manager",2,1,"","",23,"мужской","Высшее","средний","до 50 человек"
"438","Харьков",1900,0,"Software Engineer",8,1.25,"PHP","",29,"мужской","Высшее","продвинутый","до 1000 человек"
"439","Киев",2500,400,"Senior Software Engineer",8.5,2,"C++","",31,"мужской","Незаконченное высшее","выше среднего","свыше 1000 человек"
"440","Днепр.",2300,600,"Senior Software Engineer",7,1,"Ruby/Rails","",27,"мужской","Высшее","выше среднего","до 200 человек"
"441","Киев",2900,1500,"Senior Software Engineer",2.5,0,"JavaScript","",23,"мужской","Незаконченное высшее","средний","до 200 человек"
"442","Киев",1000,0,"QA engineer",2.5,2.5,"","General QA",29,"мужской","Высшее","выше среднего","до 50 человек"
"443","Киев",3700,1200,"Senior Software Engineer",7.5,0.5,"Java","",32,"мужской","Высшее","выше среднего","свыше 1000 человек"
"444","Киев",2450,400,"Team lead",4,2.5,"","",24,"мужской","Среднее","ниже среднего","до 1000 человек"
"445","Киев",3500,700,"QA engineer",2.5,0,"","Automation QA",23,"мужской","Высшее","выше среднего","до 50 человек"
"446","Киев",2000,1,"Software Engineer",5,2,"JavaScript","",30,"мужской","Незаконченное высшее","ниже среднего","до 50 человек"
"447","Донецк",2666,0,"Senior Software Engineer",7,4,"Java","",32,"мужской","Высшее","выше среднего","до 10 человек"
"448","Киев",1200,800,"QA engineer",1.75,0.5,"","Manual QA",24,"мужской","Высшее","ниже среднего","до 1000 человек"
"449","Киев",1500,250,"Software Engineer",2,0.5,"C#/.NET","",24,"мужской","Высшее","средний","до 200 человек"
"450","Львов",1200,800,"Дизайнер",3,1.5,"","",20,"мужской","Незаконченное высшее","средний","до 200 человек"
"451","Киев",2350,800,"QA engineer",4.5,0.75,"","Automation QA",26,"женский","Высшее","выше среднего","до 1000 человек"
"452","Донецк",1500,400,"Software Engineer",1,0.25,"Java (Android)","",24,"мужской","Высшее","выше среднего","до 10 человек"
"453","Львов",2400,400,"Director of Engineering / Program Director",10,10,"","",36,"мужской","Высшее","выше среднего","до 50 человек"
"454","Киев",3200,400,"Senior Software Engineer",8,4,"Java","",29,"мужской","Высшее","выше среднего","до 10 человек"
"455","Киев",650,200,"QA engineer",1,1,"","Manual QA",26,"мужской","Высшее","ниже среднего","до 10 человек"
"456","Киев",3300,0,"Senior Software Engineer",7,2,"C#/.NET","",31,"мужской","Высшее","выше среднего","до 10 человек"
"457","Днепр.",3200,200,"Software Engineer",6,6,"Java","",25,"мужской","Высшее","ниже среднего","до 50 человек"
"458","Днепр.",500,0,"Junior Software Engineer",1,1,"Java","",23,"женский","Высшее","элементарный","до 10 человек"
"459","Киев",1900,200,"Senior QA engineer",6,3,"","Manual QA",29,"мужской","Высшее","выше среднего","свыше 1000 человек"
"460","Киев",2600,80,"QA Tech Lead",6.5,6.5,"","General QA",28,"мужской","Высшее","выше среднего","до 50 человек"
"461","Киев",2900,200,"Senior Software Engineer",5,2,"Java","",27,"мужской","Высшее","продвинутый","свыше 1000 человек"
"462","Киев",3400,300,"Senior Software Engineer",7,2.5,"SQL","",34,"мужской","Высшее","выше среднего","свыше 1000 человек"
"463","Харьков",1200,0,"Software Engineer",9,7,"PHP","",33,"мужской","Высшее","ниже среднего","до 10 человек"
"464","Киев",1700,400,"Software Engineer",2.5,0.75,"C#/.NET","",25,"мужской","Высшее","выше среднего","свыше 1000 человек"
"465","Киев",2000,300,"Senior QA engineer",4,2,"","Manual QA",28,"женский","Высшее","выше среднего","до 50 человек"
"466","Киев",1000,0,"Junior Software Engineer",2,0.75,"C#/.NET","",23,"мужской","Высшее","выше среднего","свыше 1000 человек"
"467","Львов",2800,700,"Senior Software Engineer",7,5.5,"JavaScript","",29,"мужской","Высшее","средний","до 50 человек"
"468","Киев",800,600,"Team lead",1,0.5,"","",22,"мужской","Незаконченное высшее","выше среднего","до 50 человек"
"469","Киев",4200,200,"Software Engineer",5,1.5,"C","",25,"мужской","Высшее","продвинутый","до 200 человек"
"470","Киев",1520,620,"Junior Software Engineer",1.25,0,"C++","",25,"мужской","Высшее","выше среднего","свыше 1000 человек"
"471","Николаев",1500,300,"Technical Lead",6,5,"PHP","",27,"мужской","Высшее","средний","до 50 человек"
"472","Днепр.",1700,300,"Software Engineer",5,5,"C++","",25,"мужской","Высшее","средний","до 200 человек"
"473","Киев",1700,800,"Software Engineer",2,1.5,"Java","",22,"мужской","Высшее","выше среднего","свыше 1000 человек"
"474","Киев",2700,300,"Бизнес-аналитик",6.5,0,"","",29,"женский","Высшее","выше среднего","до 200 человек"
"475","Одесса",2200,800,"Junior Software Engineer",2.5,0.5,"PHP","",25,"мужской","Незаконченное высшее","средний","до 50 человек"
"476","Львов",1425,700,"Software Engineer",3,0.5,"C","",26,"мужской","Высшее","продвинутый","до 200 человек"
"477","Киев",3000,200,"QA Tech Lead",4,3,"","Automation QA",27,"мужской","Высшее","выше среднего","свыше 1000 человек"
"478","Львов",3600,600,"Senior Project Manager / Program Manager",7,7,"","",30,"мужской","Высшее","выше среднего","свыше 1000 человек"
"479","Киев",3000,1500,"Системный администратор",8,0.25,"","",24,"мужской","Незаконченное высшее","выше среднего","до 1000 человек"
"480","Киев",3400,400,"Senior Software Engineer",8,4,"Python","",29,"мужской","Высшее","выше среднего","до 50 человек"
"481","Харьков",2000,200,"Software Engineer",4.5,0.25,"C++","",29,"мужской","Высшее","средний","до 1000 человек"
"482","Харьков",3000,700,"Senior Software Engineer",8,8,"C#/.NET","",28,"мужской","Высшее","средний","до 200 человек"
"483","Харьков",2400,600,"Senior Software Engineer",6,6,"C#/.NET","",26,"мужской","Высшее","средний","до 10 человек"
"484","Симферополь",2000,650,"QA Tech Lead",9,0,"","General QA",29,"мужской","Высшее","средний","до 50 человек"
"485","Киев",2700,0,"Software Engineer",7,1,"PHP","",30,"мужской","Высшее","элементарный","до 10 человек"
"486","Киев",3000,0,"Senior Software Engineer",6,1,"Java","",26,"мужской","Высшее","средний","свыше 1000 человек"
"487","Винница",800,300,"Software Engineer",2.5,1.25,"Flex/Flash/AIR","",23,"мужской","Высшее","ниже среднего","до 1000 человек"
"488","Харьков",1900,200,"Software Engineer",2.5,2.5,"C","",31,"мужской","Кандидат","продвинутый","до 50 человек"
"489","Киев",2050,400,"Системный администратор",7,4.5,"","",27,"мужской","Высшее","выше среднего","до 10 человек"
"490","Киев",3000,1000,"Senior Software Engineer",10,0.5,"Python","",31,"мужской","Высшее","средний","до 50 человек"
"491","Харьков",2100,800,"Senior Software Engineer",2.5,2.5,"C#/.NET","",29,"мужской","Высшее","средний","до 1000 человек"
"492","Киев",2000,1000,"Software Engineer",2,1.75,"C#/.NET","",22,"мужской","Незаконченное высшее","продвинутый","до 50 человек"
"493","Донецк",500,150,"Системный администратор",2.5,1.5,"","",24,"мужской","Высшее","средний","до 200 человек"
"494","Киев",3300,100,"Technical Lead",10,9,"C#/.NET","",35,"мужской","Высшее","ниже среднего","до 200 человек"
"495","Киев",600,0,"QA engineer",1,0.25,"","Manual QA",24,"женский","Высшее","средний","до 10 человек"
"496","Киев",3700,500,"Software Engineer",5,0.5,"Python","",27,"мужской","Высшее","средний","до 1000 человек"
"497","Киев",2000,250,"Senior Software Engineer",5,0.5,"PHP","",26,"мужской","Высшее","элементарный","до 50 человек"
"498","Киев",1830,600,"Software Engineer",2.5,2.5,"C#/.NET","",24,"мужской","Высшее","элементарный","до 10 человек"
"499","Киев",1800,300,"Software Engineer",3,0.75,"C#/.NET","",25,"мужской","Высшее","ниже среднего","свыше 1000 человек"
"500","Киев",1100,300,"Software Engineer",1.5,1.5,"C++","",25,"мужской","Высшее","выше среднего","свыше 1000 человек"
"501","Киев",2200,1000,"Team lead",3,0,"","",26,"мужской","Высшее","средний","до 200 человек"
"502","Львов",3700,1100,"Senior Project Manager / Program Manager",10,0.5,"","",32,"мужской","Высшее","выше среднего","свыше 1000 человек"
"503","Киев",2900,800,"Senior Software Engineer",6.5,2.5,"C#/.NET","",29,"мужской","Высшее","выше среднего","до 200 человек"
"504","Киев",4000,0,"Team lead",6,1,"","",27,"мужской","Высшее","выше среднего","свыше 1000 человек"
"505","Кировоград",500,200,"Software Engineer",1.25,1,"PHP","",19,"мужской","Незаконченное высшее","средний","до 10 человек"
"506","Киев",2500,1000,"Project manager",3.5,0.25,"","",25,"мужской","Высшее","выше среднего","до 50 человек"
"507","Киев",3600,700,"Software Engineer",6,4.5,"Ruby/Rails","",25,"мужской","Высшее","выше среднего","до 50 человек"
"508","Львов",600,100,"Junior QA engineer",0.75,0.75,"","Manual QA",28,"мужской","Высшее","выше среднего","до 50 человек"
"509","Харьков",500,0,"HR",3,3,"","",24,"мужской","Высшее","ниже среднего","до 200 человек"
"510","Киев",3500,1000,"Senior Software Engineer",3,0.5,"Java (Android)","",28,"мужской","Высшее","средний","свыше 1000 человек"
"511","Львов",600,300,"Junior QA engineer",0.75,0.75,"","Manual QA",23,"мужской","Высшее","средний","до 50 человек"
"512","Севастополь",1800,1000,"Software Engineer",3,0.5,"PHP","",24,"мужской","Высшее","продвинутый","до 50 человек"
"513","Киев",600,0,"HR",1,1.25,"","",23,"женский","Высшее","выше среднего","до 1000 человек"
"514","Киев",900,100,"Системный администратор",7,2,"","",27,"мужской","Незаконченное высшее","продвинутый","до 10 человек"
"515","Киев",1500,0,"Junior Software Engineer",0.75,0.75,"C++","",22,"мужской","Незаконченное высшее","средний","до 200 человек"
"516","Киев",7000,500,"Technical Lead",10,5.5,"C#/.NET","",33,"мужской","Высшее","выше среднего","до 10 человек"
"517","Львов",3325,500,"Technical Lead",9,5.5,"PHP","",28,"мужской","Высшее","средний","до 1000 человек"
"518","Николаев",2100,200,"Project manager",6,3.5,"","",26,"мужской","Незаконченное высшее","продвинутый","до 200 человек"
"519","Киев",2600,800,"Project manager",3,3,"","",25,"мужской","Два высших","продвинутый","до 1000 человек"
"520","Киев",4600,700,"Senior Project Manager / Program Manager",5,1.75,"","",29,"мужской","Высшее","выше среднего","свыше 1000 человек"
"521","Харьков",3000,600,"Software Engineer",2.5,0.5,"C#/.NET","",22,"мужской","Незаконченное высшее","средний","до 50 человек"
"522","Харьков",325,-300,"HR",0.5,0,"","",28,"мужской","Высшее","выше среднего","до 50 человек"
"523","Киев",1200,600,"Software Engineer",1,1,"Java (Android)","",21,"мужской","Высшее","выше среднего","до 10 человек"
"524","Киев",5000,1000,"Director of Engineering / Program Director",9.5,1,"","",29,"мужской","Высшее","продвинутый","до 50 человек"
"525","Харьков",2000,1200,"Software Engineer",2,0.75,"Objective-C","",21,"мужской","Высшее","средний","до 1000 человек"
"526","Киев",1600,175,"HR",5,3,"","",30,"женский","Высшее","выше среднего","свыше 1000 человек"
"527","Киев",1000,0,"Бизнес-аналитик",2,1.25,"","",24,"мужской","Высшее","продвинутый","свыше 1000 человек"
"528","Харьков",1000,200,"Software Engineer",2.5,2.5,"Java (Android)","",27,"женский","Высшее","средний","до 1000 человек"
"529","Луганск",1000,0,"Senior Software Engineer",3,3,"C#/.NET","",21,"мужской","Высшее","выше среднего","до 10 человек"
"530","Киев",3800,1000,"Senior Software Engineer",6.5,0.5,"Java","",27,"мужской","Высшее","выше среднего","до 200 человек"
"531","Киев",3500,0,"Senior Software Engineer",6,0.75,"Java","",27,"мужской","Высшее","средний","свыше 1000 человек"
"532","Одесса",2000,1000,"Junior QA engineer",2,0.75,"","Automation QA",25,"мужской","Высшее","средний","до 200 человек"
"533","Киев",2500,1000,"Software Engineer",3,0.75,"Java (Android)","",20,"мужской","Незаконченное высшее","ниже среднего","свыше 1000 человек"
"534","Харьков",3200,400,"Senior Software Engineer",5.5,0.5,"Java","",25,"мужской","Высшее","выше среднего","до 200 человек"
"535","Киев",3760,500,"Technical Lead",9,3,"C#/.NET","",28,"мужской","Высшее","выше среднего","до 50 человек"
"536","Киев",1000,500,"Junior QA engineer",1.25,1,"","Manual QA",23,"женский","Высшее","продвинутый","свыше 1000 человек"
"537","Киев",3300,300,"QA Tech Lead",10,1.25,"","General QA",32,"мужской","Высшее","продвинутый","свыше 1000 человек"
"538","Киев",2700,200,"Senior Software Engineer",6.5,6.5,"SQL","",28,"мужской","Высшее","продвинутый","до 50 человек"
"539","Киев",750,750,"Junior Software Engineer",0.5,0.5,"Java","",22,"мужской","Незаконченное высшее","средний","до 10 человек"
"540","Сумы",600,199,"Software Engineer",2,0.5,"Python","",20,"мужской","Незаконченное высшее","ниже среднего","до 10 человек"
"541","Киев",400,0,"Дизайнер",8,2,"","",26,"мужской","Высшее","средний","до 10 человек"
"542","Киев",2200,400,"Senior QA engineer",2,0.5,"","Automation QA",24,"мужской","Два высших","выше среднего","до 200 человек"
