"X","Должность","Язык.программирования","Специализация","Общий.опыт.работы","Опыт.работы.на.текущем.месте","Зарплата.в.месяц","Изменение.зарплаты","Город","Размер.компании","Тип.компании","Пол","Возраст","Образование","Еще.студент","Уровень.английского","Предметная.область","Дата.заполнения","User.Agent","exp","current_job_exp","loc","salary","Валюта","cls"
"521",NA,"Software Engineer","C#/.NET","","3.5","1",2000,800,"Киев","до 1000 человек","Продуктовая","мужской",23,"Высшее","False","выше среднего","Desktop Applications","20/12/2013 14:19:12","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36",3.5,1,"Киев",2000,NA,"DEV"
"523",NA,"Senior QA engineer","","General QA","6","1",1700,200,"Днепр.","до 200 человек","Аутсорсинговая","мужской",25,"Высшее","False","выше среднего","Веб-разработка","20/12/2013 14:19:45","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 YaBrowser/13.10.1500.9323 Safari/537.36",6,1,"Днепр.",1700,NA,"QA"
"524",NA,"HR","","","8.5","2.5",1500,450,"Харьков","до 200 человек","Аутсорсинговая","женский",30,"Высшее","False","средний","Веб-разработка","20/12/2013 14:19:46","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",8.5,2.5,"Харьков",1500,NA,""
"525",NA,"QA engineer","","Manual QA","0.75","0.75",900,400,"Харьков","до 10 человек","Аутстаффинговая","мужской",25,"Высшее","False","средний","Android,Веб-разработка","20/12/2013 14:19:48","Mozilla/5.0 (Windows NT 5.1; rv:26.0) Gecko/20100101 Firefox/26.0",0.75,0.75,"Харьков",900,NA,"QA"
"526",NA,"Software Engineer","PHP","","8","1.5",1700,200,"Днепр.","до 50 человек","Аутсорсинговая","мужской",37,"Незаконченное высшее","False","элементарный","Веб-разработка","20/12/2013 14:19:48","Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16",8,1.5,"Днепр.",1700,NA,"DEV"
"527",NA,"Software Engineer","PHP","","7","0.5",1000,200,"Донецк","до 50 человек","Продуктовая","мужской",22,"Незаконченное высшее","False","ниже среднего","Веб-разработка,eCommerce","20/12/2013 14:20:04","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",7,0.5,"other",1000,NA,"DEV"
"528",NA,"Бизнес-аналитик","","","2","0.75",1500,0,"Киев","до 200 человек","Продуктовая","женский",24,"Высшее","False","продвинутый","Android,Веб-разработка","20/12/2013 14:20:15","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0",2,0.75,"Киев",1500,NA,""
"529",NA,"Senior Software Engineer","C#/.NET","","4","0.75",4000,1400,"Киев","до 200 человек","Аутсорсинговая","мужской",24,"Высшее","False","продвинутый","Корпоративные системы","20/12/2013 14:20:19","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",4,0.75,"Киев",4000,NA,"DEV"
"530",NA,"Senior Software Engineer","C#/.NET","","4","1.25",3000,0,"Киев","свыше 1000 человек","Аутстаффинговая","мужской",29,"Высшее","False","выше среднего","Финансы и банки","20/12/2013 14:20:23","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",4,1.25,"Киев",3000,NA,"DEV"
"531",NA,"Senior Software Engineer","JavaScript","","9","2",3000,1400,"Киев","до 1000 человек","Аутстаффинговая","мужской",33,"Высшее","False","средний","Android,iOS","20/12/2013 14:20:28","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",9,2,"Киев",3000,NA,"DEV"
"532",NA,"Project manager","","","5","меньше 3 месяцев",2200,-300,"Киев","до 50 человек","Продуктовая","мужской",33,"Высшее","False","средний","Desktop Applications,Веб-разработка","20/12/2013 14:20:57","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",5,0,"Киев",2200,NA,"PM"
"533",NA,"Верстальщик","","","2.5","0.5",1200,300,"Одесса","до 10 человек","Аутсорсинговая","мужской",23,"Высшее","False","выше среднего","Веб-разработка","20/12/2013 14:21:24","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",2.5,0.5,"Одесса",1200,NA,""
"534",NA,"Software Engineer","Java","","3","3",1900,500,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",24,"Высшее","False","средний","Веб-разработка","20/12/2013 14:21:36","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:24.0) Gecko/20100101 Firefox/24.0",3,3,"Киев",1900,NA,"DEV"
"535",NA,"Senior QA engineer","","General QA","5","2",1800,350,"Харьков","свыше 1000 человек","Аутсорсинговая","мужской",25,"Высшее","False","выше среднего","Android,iOS","20/12/2013 14:21:39","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36",5,2,"Харьков",1800,NA,"QA"
"536",NA,"Technical Lead","PHP","","6","меньше 3 месяцев",2800,1400,"Киев","до 10 человек","Аутстаффинговая","мужской",24,"Высшее","False","продвинутый","eCommerce","20/12/2013 14:21:41","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36",6,0,"Киев",2800,NA,"SDEV"
"537",NA,"QA engineer","","Manual QA","1.5","1.25",500,0,"Симферополь","до 200 человек","Аутсорсинговая","мужской",23,"Высшее","False","средний","Gamedev","20/12/2013 14:21:44","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",1.5,1.25,"other",500,NA,"QA"
"538",NA,"Дизайнер","","","9","1.5",3000,100,"Киев","до 50 человек","Аутсорсинговая","мужской",27,"Высшее","False","средний","Android,iOS","20/12/2013 14:21:46","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9) AppleWebKit/537.71 (KHTML, like Gecko) Version/7.0 Safari/537.71",9,1.5,"Киев",3000,NA,""
"539",NA,"Senior QA engineer","","General QA","8","4",3000,100,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",29,"Высшее","False","выше среднего","Финансы и банки","20/12/2013 14:22:37","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36",8,4,"Киев",3000,NA,"QA"
"540",NA,"Senior Project Manager / Program Manager","","","3","3",3700,1400,"Киев","до 1000 человек","Аутсорсинговая","мужской",23,"Незаконченное высшее","False","продвинутый","Desktop Applications,Веб-разработка","20/12/2013 14:22:41","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",3,3,"Киев",3700,NA,"SPM"
"541",NA,"Software Engineer","Java","","3","0.75",2800,200,"Киев","до 200 человек","Аутсорсинговая","мужской",24,"Высшее","False","средний","Финансы и банки,Корпоративные системы","20/12/2013 14:22:59","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",3,0.75,"Киев",2800,NA,"DEV"
"542",NA,"Software Engineer","C#/.NET","","3","0.25",2000,800,"Киев","до 200 человек","Аутсорсинговая","мужской",28,"Высшее","False","средний","Веб-разработка","20/12/2013 14:23:10","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",3,0.25,"Киев",2000,NA,"DEV"
"543",NA,"Software Engineer","Python","","3","3",1500,0,"Киев","до 50 человек","Аутсорсинговая","мужской",27,"Высшее","False","средний","Веб-разработка","20/12/2013 14:23:31","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:25.0) Gecko/20100101 Firefox/25.0",3,3,"Киев",1500,NA,"DEV"
"544",NA,"Software Engineer","C#/.NET","","2.5","0.25",2500,1000,"Киев","до 200 человек","Продуктовая","мужской",21,"Высшее","False","ниже среднего","Desktop Applications","20/12/2013 14:23:48","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",2.5,0.25,"Киев",2500,NA,"DEV"
"545",NA,"QA engineer","","Manual QA","1.5","1.5",1000,500,"Харьков","до 50 человек","Аутсорсинговая","женский",25,"Высшее","False","выше среднего","Desktop Applications,Веб-разработка","20/12/2013 14:23:50","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",1.5,1.5,"Харьков",1000,NA,"QA"
"546",NA,"Бизнес-аналитик","","","1","1",2000,0,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",27,"Высшее","False","продвинутый","Веб-разработка","20/12/2013 14:24:00","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",1,1,"Киев",2000,NA,""
"547",NA,"Technical Lead","Other","","10 и более лет","10 и более лет",2000,0,"Запорожье","до 10 человек","Продуктовая","мужской",33,"Высшее","False","выше среднего","Desktop Applications,Embedded","20/12/2013 14:24:22","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.114 Safari/537.36",10,10,"other",2000,NA,"SDEV"
"548",NA,"Software Engineer","C#/.NET","","2","0.75",1200,0,"Винница","свыше 1000 человек","Аутстаффинговая","мужской",26,"Два высших","False","ниже среднего","Веб-разработка","20/12/2013 14:24:51","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0",2,0.75,"other",1200,NA,"DEV"
"549",NA,"QA engineer","","Automation QA","2.5","2.5",1650,0,"Одесса","до 1000 человек","Аутсорсинговая","мужской",28,"Высшее","False","ниже среднего","Desktop Applications,Веб-разработка","20/12/2013 14:25:08","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0",2.5,2.5,"Одесса",1650,NA,"QA"
"550",NA,"Junior QA engineer","","Manual QA","0.5","0.25",600,0,"Киев","до 10 человек","Другая","женский",23,"Высшее","False","средний","Веб-разработка","20/12/2013 14:25:24","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",0.5,0.25,"Киев",600,NA,"QA"
"551",NA,"Senior Software Engineer","C#/.NET","","10 и более лет","4.5",4275,1000,"Харьков","до 10 человек","Другая","мужской",30,"Высшее","False","продвинутый","Веб-разработка","20/12/2013 14:25:58","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",10,4.5,"Харьков",4275,NA,"DEV"
"552",NA,"Software Engineer","PHP","","2.5","0.5",800,400,"Винница","до 10 человек","Продуктовая","мужской",23,"Высшее","False","ниже среднего","eCommerce,Корпоративные системы","20/12/2013 14:26:02","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:26.0) Gecko/20100101 Firefox/26.0",2.5,0.5,"other",800,NA,"DEV"
"553",NA,"Системный администратор","","","8","3.5",1950,300,"Одесса","до 1000 человек","Аутсорсинговая","мужской",30,"Высшее","False","выше среднего","Корпоративные системы","20/12/2013 14:26:11","Opera/9.80 (Windows NT 6.1; Win64; x64; DepositFiles/FileManager 0.9.9.206 YB/5.0.3) Presto/2.12.388 Version/12.14",8,3.5,"Одесса",1950,NA,"ADM"
"554",NA,"Senior QA engineer","","Manual QA","5","3",1500,100,"Львов","до 200 человек","Аутсорсинговая","мужской",30,"Высшее","False","продвинутый","","20/12/2013 14:26:13","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36",5,3,"Львов",1500,NA,"QA"
"555",NA,"Senior QA engineer","","General QA","5.5","1.75",2375,100,"Киев","до 1000 человек","Аутстаффинговая","мужской",27,"Высшее","False","средний","Веб-разработка,Корпоративные системы","20/12/2013 14:26:41","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36",5.5,1.75,"Киев",2375,NA,"QA"
"556",NA,"HR","","","3.5","3.5",1380,630,"Киев","до 1000 человек","Аутсорсинговая","женский",25,"Высшее","False","выше среднего","","20/12/2013 14:26:55","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",3.5,3.5,"Киев",1380,NA,""
"557",NA,"Junior Software Engineer","Other","","2","2",350,50,"Другой","до 10 человек","Другая","мужской",25,"Высшее","False","ниже среднего","Корпоративные системы","20/12/2013 14:27:07","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.68 Safari/537.36",2,2,"other",350,NA,"DEV"
"558",NA,"Project manager","","","4","6",4000,600,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",28,"Кандидат","False","продвинутый","Веб-разработка,eCommerce","20/12/2013 14:27:49","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",4,6,"Киев",4000,NA,"PM"
"559",NA,"Junior Software Engineer","Objective-C","","1.25","1.25",1000,300,"Киев","до 50 человек","Аутсорсинговая","мужской",23,"Высшее","False","выше среднего","iOS,Desktop Applications","20/12/2013 14:27:57","Mozilla/5.0 (Android; Mobile; rv:26.0) Gecko/26.0 Firefox/26.0",1.25,1.25,"Киев",1000,NA,"DEV"
"560",NA,"QA engineer","","General QA","меньше 3 месяцев","меньше 3 месяцев",1000,400,"Киев","до 200 человек","Продуктовая","мужской",26,"Высшее","False","средний","Gamedev","20/12/2013 14:28:08","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",0,0,"Киев",1000,NA,"QA"
"561",NA,"Software Engineer","PHP","","10 и более лет","0.25",1900,1000,"Киев","до 1000 человек","Аутсорсинговая","мужской",35,"Незаконченное высшее","False","средний","Веб-разработка,Корпоративные системы","20/12/2013 14:28:19","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0",10,0.25,"Киев",1900,NA,"DEV"
"562",NA,"Technical Lead","C#/.NET","","10 и более лет","3.5",5000,400,"Киев","до 200 человек","Продуктовая","мужской",38,"Высшее","False","выше среднего","Веб-разработка,Корпоративные системы","20/12/2013 14:28:28","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",10,3.5,"Киев",5000,NA,"SDEV"
"563",NA,"Junior Software Engineer","JavaScript","","1.25","1",600,300,"Луцк","до 10 человек","Другая","мужской",34,"Высшее","False","ниже среднего","Веб-разработка","20/12/2013 14:29:04","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",1.25,1,"other",600,NA,"DEV"
"564",NA,"Senior QA engineer","","General QA","6","5",1100,0,"Николаев","свыше 1000 человек","Аутсорсинговая","мужской",30,"Высшее","False","продвинутый","Телекоммуникации","20/12/2013 14:29:08","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",6,5,"other",1100,NA,"QA"
"565",NA,"Project manager","","","9","4",3500,700,"Киев","до 10 человек","Продуктовая","мужской",33,"Высшее","False","выше среднего","Веб-разработка,Финансы и банки","20/12/2013 14:29:12","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",9,4,"Киев",3500,NA,"PM"
"566",NA,"Software Engineer","C++","","3","0.75",1500,600,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",23,"Высшее","True","средний","Мультимедиа","20/12/2013 14:29:49","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",3,0.75,"Киев",1500,NA,"DEV"
"567",NA,"Senior Software Engineer","Other","","10 и более лет","1",4000,0,"Севастополь","до 10 человек","Другая","мужской",49,"Высшее","False","элементарный","Embedded,Системное программирование","20/12/2013 14:30:10","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Maxthon/4.2.0.4000 Chrome/30.0.1551.0 Safari/537.36",10,1,"other",4000,NA,"DEV"
"568",NA,"Senior Software Engineer","C#/.NET","","8.5","1",3000,0,"Киев","до 1000 человек","Аутсорсинговая","мужской",30,"Высшее","False","выше среднего","Веб-разработка,Финансы и банки","20/12/2013 14:30:11","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",8.5,1,"Киев",3000,NA,"DEV"
"569",NA,"Senior Software Engineer","Flex/Flash/AIR","","6","2",3400,300,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",30,"Высшее","False","средний","Веб-разработка,Gamedev","20/12/2013 14:30:17","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:26.0) Gecko/20100101 Firefox/26.0",6,2,"Киев",3400,NA,"DEV"
"570",NA,"Project manager","","","5","3",2500,500,"Киев","до 200 человек","Продуктовая","мужской",26,"Высшее","False","выше среднего","eCommerce","20/12/2013 14:30:39","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",5,3,"Киев",2500,NA,"PM"
"571",NA,"Software Engineer","Java","","3","2.5",2000,500,"Львов","до 50 человек","Аутсорсинговая","мужской",27,"Высшее","False","средний","Корпоративные системы","20/12/2013 14:31:16","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36",3,2.5,"Львов",2000,NA,"DEV"
"572",NA,"Senior QA engineer","","Manual QA","3.5","меньше 3 месяцев",2600,700,"Киев","свыше 1000 человек","Аутстаффинговая","мужской",25,"Высшее","False","выше среднего","Android,iOS","20/12/2013 14:31:49","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",3.5,0,"Киев",2600,NA,"QA"
"573",NA,"Project manager","","","5","1.5",2500,0,"Киев","до 50 человек","Продуктовая","мужской",32,"Высшее","False","ниже среднего","iOS,Desktop Applications","20/12/2013 14:32:21","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",5,1.5,"Киев",2500,NA,"PM"
"574",NA,"Software Engineer","JavaScript","","4.5","3",2000,200,"Харьков","до 50 человек","Аутстаффинговая","мужской",26,"Высшее","False","средний","Веб-разработка","20/12/2013 14:32:24","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/31.0.1650.63 Chrome/31.0.1650.63 Safari/537.36",4.5,3,"Харьков",2000,NA,"DEV"
"575",NA,"Senior Software Engineer","Python","","9","5",3600,300,"Киев","до 50 человек","Стартап","мужской",30,"Высшее","False","выше среднего","Веб-разработка","20/12/2013 14:32:25","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.73.11 (KHTML, like Gecko) Version/7.0.1 Safari/537.73.11",9,5,"Киев",3600,NA,"DEV"
"576",NA,"Senior Software Engineer","C++","","10 и более лет","меньше 3 месяцев",3300,300,"Киев","до 200 человек","Продуктовая","мужской",31,"Высшее","False","выше среднего","Финансы и банки,Корпоративные системы","20/12/2013 14:32:34","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",10,0,"Киев",3300,NA,"DEV"
"577",NA,"Бизнес-аналитик","","","3","1.5",2800,300,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",31,"Два высших","False","продвинутый","Финансы и банки","20/12/2013 14:32:35","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",3,1.5,"Киев",2800,NA,""
"578",NA,"Project manager","","","10 и более лет","1",3000,0,"Киев","до 200 человек","Аутсорсинговая","мужской",32,"Высшее","False","выше среднего","Телекоммуникации,Финансы и банки","20/12/2013 14:32:43","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:24.0) Gecko/20100101 Firefox/24.0",10,1,"Киев",3000,NA,"PM"
"579",NA,"Software Engineer","Java","","3","меньше 3 месяцев",1900,700,"Харьков","до 50 человек","Аутсорсинговая","мужской",23,"Высшее","False","средний","Android,Веб-разработка","20/12/2013 14:32:52","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",3,0,"Харьков",1900,NA,"DEV"
"580",NA,"QA engineer","","General QA","1.75","1.25",1465,400,"Харьков","свыше 1000 человек","Аутстаффинговая","мужской",26,"Незаконченное высшее","False","средний","Веб-разработка","20/12/2013 14:32:55","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",1.75,1.25,"Харьков",1465,NA,"QA"
"581",NA,"Software Engineer","C#/.NET","","2.5","1.5",2050,400,"Днепр.","до 1000 человек","Продуктовая","мужской",23,"Высшее","False","ниже среднего","Веб-разработка","20/12/2013 14:33:44","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",2.5,1.5,"Днепр.",2050,NA,"DEV"
"582",NA,"Project manager","","","8","1.5",2700,500,"Николаев","до 10 человек","Продуктовая","мужской",31,"Среднее","False","продвинутый","Веб-разработка","20/12/2013 14:34:01","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0",8,1.5,"other",2700,NA,"PM"
"583",NA,"Senior Software Engineer","PHP","","7","6.5",3500,500,"Киев","до 10 человек","Продуктовая","мужской",26,"Высшее","False","средний","eCommerce","20/12/2013 14:34:30","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",7,6.5,"Киев",3500,NA,"DEV"
"584",NA,"Senior Software Engineer","PHP","","5","1",3400,0,"Другой","до 10 человек","Стартап","мужской",26,"Высшее","False","продвинутый","eCommerce","20/12/2013 14:34:50","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",5,1,"other",3400,NA,"DEV"
"585",NA,"Бизнес-аналитик","","","7","1.5",1500,0,"Киев","до 200 человек","Другая","мужской",31,"Высшее","False","ниже среднего","Телекоммуникации,Корпоративные системы","20/12/2013 14:34:55","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",7,1.5,"Киев",1500,NA,""
"586",NA,"Project manager","","","6.5","3.5",3500,500,"Киев","до 200 человек","Аутсорсинговая","мужской",28,"Высшее","False","продвинутый","Веб-разработка,Финансы и банки","20/12/2013 14:35:28","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",6.5,3.5,"Киев",3500,NA,"PM"
"587",NA,"Senior QA engineer","","General QA","5","2.5",1800,200,"Днепр.","до 1000 человек","Аутсорсинговая","женский",28,"Высшее","False","выше среднего","Веб-разработка","20/12/2013 14:36:12","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/31.0.1650.63 Chrome/31.0.1650.63 Safari/537.36",5,2.5,"Днепр.",1800,NA,"QA"
"588",NA,"Technical Lead","Python","","1.25","1.25",1200,600,"Другой","до 50 человек","Аутсорсинговая","мужской",21,"Незаконченное высшее","True","выше среднего","Веб-разработка","20/12/2013 14:36:15","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",1.25,1.25,"other",1200,NA,"SDEV"
"589",NA,"Technical Lead","Python","","8","4.5",3500,500,"Днепр.","до 10 человек","Аутстаффинговая","мужской",30,"Два высших","False","выше среднего","Android,Веб-разработка","20/12/2013 14:36:25","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:26.0) Gecko/20100101 Firefox/26.0",8,4.5,"Днепр.",3500,NA,"SDEV"
"590",NA,"QA Tech Lead","","General QA","5","меньше 3 месяцев",3000,200,"Киев","до 1000 человек","Аутсорсинговая","женский",31,"Кандидат","False","выше среднего","Финансы и банки","20/12/2013 14:37:14","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",5,0,"Киев",3000,NA,"QA"
"591",NA,"Technical Lead","Ruby/Rails","","7","1",3500,700,"Киев","свыше 1000 человек","Аутстаффинговая","мужской",28,"Высшее","False","продвинутый","Веб-разработка,Мультимедиа","20/12/2013 14:37:54","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",7,1,"Киев",3500,NA,"SDEV"
"592",NA,"Software Engineer","C#/.NET","","2","меньше 3 месяцев",1600,500,"Киев","до 1000 человек","Аутстаффинговая","мужской",24,"Незаконченное высшее","False","средний","Desktop Applications,Веб-разработка","20/12/2013 14:38:10","Mozilla/5.0 (compatible; MSIE 10.0; Windows Phone 8.0; Trident/6.0; IEMobile/10.0; ARM; Touch; NOKIA; Lumia 925)",2,0,"Киев",1600,NA,"DEV"
"593",NA,"Senior Software Engineer","C#/.NET","","10 и более лет","1",3325,0,"Киев","свыше 1000 человек","Аутстаффинговая","мужской",35,"Высшее","False","выше среднего","Desktop Applications,Веб-разработка","20/12/2013 14:38:15","Opera/9.80 (Windows NT 5.1) Presto/2.12.388 Version/12.16",10,1,"Киев",3325,NA,"DEV"
"594",NA,"Software Engineer","C#/.NET","","2.5","1",1200,600,"Львов","до 200 человек","Аутсорсинговая","мужской",25,"Высшее","False","элементарный","Desktop Applications","20/12/2013 14:39:02","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",2.5,1,"Львов",1200,NA,"DEV"
"595",NA,"Senior Software Engineer","Flex/Flash/AIR","","7","0.75",3000,300,"Киев","до 1000 человек","Аутсорсинговая","мужской",30,"Высшее","False","выше среднего","Финансы и банки,Корпоративные системы","20/12/2013 14:39:17","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0",7,0.75,"Киев",3000,NA,"DEV"
