"N","Должность","Язык.программирования","Специализация","Общий.опыт.работы","Опыт.работы.на.текущем.месте","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Город","Размер.компании","Тип.компании","Пол","Возраст","Образование","Университет","Еще.студент","Уровень.английского","Предметная.область","Дата.заполнения","User.Agent","exp","current_job_exp","loc","salary","Валюта","cls"
"176",NA,"Software Engineer","Java","","2","1.5",1100,0,"Харьков","свыше 1000 человек","Аутсорсинговая","мужской",30,"Высшее","Другой вуз","False","выше среднего","Финансы и банки","20/12/2016 10:32:10","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",2,1.5,"Харьков",1100,NA,"DEV"
"177",NA,"QA engineer","","Manual QA","2","2",400,0,"Харьков","до 200 человек","Продуктовая","мужской",33,"Высшее","НТУ «ХПИ»","False","средний","Gamedev","20/12/2016 10:32:23","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",2,2,"Харьков",400,NA,"QA"
"178",NA,"Project manager","","","2","2",700,200,"Винница","до 10 человек","Продуктовая","мужской",21,"Незаконченное высшее","ВНТУ","False","ниже среднего","Веб-разработка","20/12/2016 10:32:23","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0.2 Safari/602.3.12",2,2,"other",700,NA,"PM"
"179",NA,"Senior Software Engineer","C++","","10 и более лет","1.5",1800,100,"Другой","до 1000 человек","Аутсорсинговая","мужской",45,"Высшее","НТУУ «КПИ»","False","выше среднего","Desktop Applications,Системное программирование","20/12/2016 10:32:25","Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko",10,1.5,"other",1800,NA,"DEV"
"180",NA,"Software Engineer","Java","","5","1",2800,150,"Харьков","свыше 1000 человек","Аутсорсинговая","мужской",27,"Высшее","ХНУРЭ","False","выше среднего","Веб-разработка,Корпоративные системы","20/12/2016 10:32:31","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",5,1,"Харьков",2800,NA,"DEV"
"181",NA,"Senior Software Engineer","Ruby/Rails","","6","0.5",3800,1900,"Удаленно","до 50 человек","Стартап","мужской",28,"Высшее","ХНУ [г. Хмельницкий]","False","продвинутый","Веб-разработка","20/12/2016 10:32:33","Mozilla/5.0 (X11; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0",6,0.5,"other",3800,NA,"DEV"
"182",NA,"Junior Software Engineer","C#/.NET","","1.5","1.5",760,260,"Львов","до 1000 человек","Аутсорсинговая","мужской",22,"Незаконченное высшее","Львовская Политехника","True","выше среднего","Веб-разработка,Телекоммуникации","20/12/2016 10:32:43","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1.5,1.5,"Львов",760,NA,"DEV"
"183",NA,"Senior Software Engineer","C#/.NET","","7","2",3800,0,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",29,"Два высших","Другой вуз","False","средний","Веб-разработка,Корпоративные системы","20/12/2016 10:32:44","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",7,2,"Киев",3800,NA,"DEV"
"184",NA,"Project manager","","","7","4",4400,400,"Киев","до 50 человек","Продуктовая","мужской",28,"Высшее","НТУУ «КПИ»","False","выше среднего","Desktop Applications","20/12/2016 10:33:21","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",7,4,"Киев",4400,NA,"PM"
"185",NA,"Senior Software Engineer","PHP","","5","2",2300,500,"Луцк","до 50 человек","Аутстаффинговая","мужской",27,"Высшее","Другой вуз","False","ниже среднего","Веб-разработка","20/12/2016 10:33:21","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",5,2,"other",2300,NA,"DEV"
"186",NA,"Senior Software Engineer","C#/.NET","","10 и более лет","5",3900,300,"Харьков","до 200 человек","Аутстаффинговая","мужской",29,"Высшее","ХНУРЭ","False","выше среднего","Веб-разработка,Корпоративные системы","20/12/2016 10:33:26","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",10,5,"Харьков",3900,NA,"DEV"
"187",NA,"Senior QA engineer","","General QA","4","3",2600,900,"Киев","до 50 человек","Продуктовая","мужской",27,"Высшее","НТУУ «КПИ»","False","выше среднего","Веб-разработка","20/12/2016 10:33:32","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",4,3,"Киев",2600,NA,"QA"
"188",NA,"Junior QA engineer","","Manual QA","1","1",265,65,"Киев","до 10 человек","Аутсорсинговая","мужской",30,"Высшее","Львовская Политехника","False","ниже среднего","Веб-разработка","20/12/2016 10:33:36","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0",1,1,"Киев",265,NA,"QA"
"189",NA,"Product Manager","","","3","меньше 3 месяцев",1200,0,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",29,"Высшее","КНЭУ","False","выше среднего","eCommerce,Корпоративные системы","20/12/2016 10:33:56","Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Mobile/14B100 [FBAN/FBIOS;FBAV/60.0.0.37.141;FBBV/34183777;FBRV/0;FBDV/iPhone6,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/10.1.1;FBSS/2;FBCR/Kyivstar;FBID/phone;FBLC/en_US;FBOP/5]",3,0,"Львов",1200,NA,""
"190",NA,"Junior Software Engineer","PHP","","0.5","0.5",110,0,"Луцк","до 10 человек","Аутсорсинговая","мужской",20,"Незаконченное высшее","Другой вуз","True","выше среднего","Веб-разработка","20/12/2016 10:34:00","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",0.5,0.5,"other",110,NA,"DEV"
"191",NA,"HTML coder","","","1","меньше 3 месяцев",220,40,"Киев","до 10 человек","Другая","мужской",27,"Высшее","Другой вуз","False","средний","Веб-разработка","20/12/2016 10:34:20","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0",1,0,"Киев",220,NA,""
"192",NA,"QA engineer","","Manual QA","2","2",400,0,"Харьков","до 200 человек","Продуктовая","мужской",32,"Кандидат","Другой вуз","False","ниже среднего","Gamedev","20/12/2016 10:34:49","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",2,2,"Харьков",400,NA,"QA"
"193",NA,"Software Engineer","Java","","3","0.25",2650,1100,"Харьков","до 200 человек","Аутсорсинговая","мужской",22,"Высшее","ХНУРЭ","False","выше среднего","Другое","20/12/2016 10:34:51","Mozilla/5.0 (Linux; Android 6.0.1; SM-G930F Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",3,0.25,"Харьков",2650,NA,"DEV"
"194",NA,"Software Engineer","Python","","3","2",5350,2500,"Удаленно","до 200 человек","Стартап","мужской",21,"Высшее","НТУУ «КПИ»","False","выше среднего","Телекоммуникации,Другое","20/12/2016 10:34:53","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",3,2,"other",5350,"h","DEV"
"195",NA,"Designer","","","4","0.5",1000,0,"Запорожье","до 200 человек","Аутсорсинговая","мужской",39,"Техникум / Колледж","","False","ниже среднего","Android,iOS","20/12/2016 10:35:16","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36",4,0.5,"other",1000,NA,""
"196",NA,"Software Engineer","PHP","","4","меньше 3 месяцев",1900,500,"Киев","до 200 человек","Продуктовая","мужской",24,"Высшее","НАУ","False","ниже среднего","Веб-разработка","20/12/2016 10:35:20","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",4,0,"Киев",1900,NA,"DEV"
"197",NA,"Software Engineer","C#/.NET","","5","меньше 3 месяцев",3500,1400,"Харьков","до 1000 человек","Аутстаффинговая","мужской",25,"Высшее","ХНУРЭ","False","выше среднего","Другое","20/12/2016 10:35:30","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",5,0,"Харьков",3500,NA,"DEV"
"198",NA,"HTML coder","","","1.5","0.5",200,0,"Львов","до 10 человек","Продуктовая","мужской",25,"Высшее","НАУ","False","элементарный","Веб-разработка","20/12/2016 10:35:43","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1.5,0.5,"Львов",200,NA,""
"199",NA,"Support","","","4","4",540,0,"Харьков","до 200 человек","Аутсорсинговая","женский",32,"Два высших","Другой вуз","False","средний","Другое","20/12/2016 10:35:44","Mozilla/5.0 (Linux; Android 4.1.2; GT-N8000 Build/JZO54K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Safari/537.36",4,4,"Харьков",540,NA,""
"200",NA,"Software Engineer","Other","","4","1.5",1500,300,"Киев","до 200 человек","Аутсорсинговая","мужской",25,"Высшее","НаУКМА","False","продвинутый","Desktop Applications,Другое","20/12/2016 10:36:05","Mozilla/5.0 (Linux; Android 5.1.1; Redmi 3 Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.85 Mobile Safari/537.36",4,1.5,"Киев",1500,NA,"DEV"
"201",NA,"Software Engineer","Java","","5","0.25",2700,1500,"Харьков","до 50 человек","Продуктовая","мужской",31,"Высшее","Другой вуз","False","выше среднего","Android","20/12/2016 10:36:13","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",5,0.25,"Харьков",2700,NA,"DEV"
"202",NA,"Senior Software Engineer","PHP","","7","7",2400,0,"Тернополь","до 50 человек","Аутстаффинговая","мужской",29,"Высшее","Другой вуз","False","средний","Веб-разработка,eCommerce","20/12/2016 10:36:26","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0",7,7,"other",2400,NA,"DEV"
"203",NA,"Senior Software Engineer","Python","","9","0.25",3200,400,"Киев","до 200 человек","Аутстаффинговая","мужской",28,"Высшее","НТУУ «КПИ»","False","продвинутый","Веб-разработка,Корпоративные системы","20/12/2016 10:36:27","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36",9,0.25,"Киев",3200,NA,"DEV"
"204",NA,"Junior Software Engineer","C#/.NET","","0.25","0.25",650,0,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",22,"Высшее","НАУ","False","средний","Веб-разработка","20/12/2016 10:36:29","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36",0.25,0.25,"Киев",650,NA,"DEV"
"205",NA,"Junior Software Engineer","Java","","1","1",1000,600,"Киев","до 10 человек","Аутсорсинговая","мужской",23,"Высшее","НТУУ «КПИ»","False","средний","Веб-разработка","20/12/2016 10:36:33","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.100 Safari/537.36",1,1,"Киев",1000,NA,"DEV"
"206",NA,"QA engineer","","General QA","1.5","1.5",650,250,"Винница","до 1000 человек","Продуктовая","женский",26,"Высшее","ЛНУ им. Франко","False","средний","Gamedev","20/12/2016 10:36:59","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0",1.5,1.5,"other",650,NA,"QA"
"207",NA,"QA engineer","","Automation QA","2","1",900,700,"Харьков","до 200 человек","Аутсорсинговая","мужской",33,"Высшее","НТУ «ХПИ»","False","средний","Телекоммуникации","20/12/2016 10:37:09","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",2,1,"Харьков",900,NA,"QA"
"208",NA,"Junior Software Engineer","JavaScript","","1","1",750,450,"Ивано-Франковск","свыше 1000 человек","Аутсорсинговая","мужской",33,"Высшее","Львовская Политехника","False","средний","Веб-разработка,Корпоративные системы","20/12/2016 10:37:25","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1,1,"other",750,NA,"DEV"
"209",NA,"Senior Software Engineer","JavaScript","","3","2",3100,500,"Киев","до 200 человек","Продуктовая","мужской",22,"Незаконченное высшее","Другой вуз","False","выше среднего","Веб-разработка,Gamedev","20/12/2016 10:37:32","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36",3,2,"Киев",3100,NA,"DEV"
"210",NA,"Business analyst","","","5","5",2400,200,"Львов","до 1000 человек","Аутсорсинговая","мужской",28,"Высшее","ЛНУ им. Франко","False","выше среднего","iOS,Веб-разработка","20/12/2016 10:37:32","Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0 Mobile/14C92 Safari/602.1",5,5,"Львов",2400,NA,""
"211",NA,"Sysadmin","","","6","2",600,0,"Львов","свыше 1000 человек","Продуктовая","мужской",26,"Высшее","ВНУ им. Даля","False","выше среднего","Корпоративные системы","20/12/2016 10:37:33","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",6,2,"Львов",600,NA,""
"212",NA,"Software Engineer","JavaScript","","2","1.5",1995,1000,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",24,"Высшее","Другой вуз","False","выше среднего","eCommerce","20/12/2016 10:37:33","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",2,1.5,"Львов",1995,NA,"DEV"
"213",NA,"HTML coder","","","меньше 3 месяцев","меньше 3 месяцев",320,0,"Харьков","до 10 человек","Продуктовая","мужской",24,"Высшее","НТУ «ХПИ»","False","ниже среднего","Веб-разработка","20/12/2016 10:37:39","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",0,0,"Харьков",320,NA,""
"214",NA,"Senior Software Engineer","Java","","3","0.5",2000,200,"Киев","до 10 человек","Продуктовая","мужской",28,"Высшее","КНУ им. Шевченко","False","средний","Android,Мультимедиа","20/12/2016 10:37:42","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.75 Safari/537.36",3,0.5,"Киев",2000,NA,"DEV"
"215",NA,"Business analyst","","","5","0.5",3000,500,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",26,"Высшее","НАУ","False","выше среднего","Корпоративные системы,Другое","20/12/2016 10:37:52","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",5,0.5,"Киев",3000,NA,""
"216",NA,"Software Engineer","C++","","2","0.25",2000,0,"Харьков","до 50 человек","Аутстаффинговая","мужской",28,"Высшее","КНУСА","False","средний","Мультимедиа","20/12/2016 10:38:07","Mozilla/5.0 (Linux; Android 6.0.1; SM-G928F Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",2,0.25,"Харьков",2000,NA,"DEV"
"217",NA,"HTML coder","","","3","2",2000,250,"Киев","до 10 человек","Другая","мужской",24,"Высшее","ВНУ им. Даля","False","ниже среднего","Веб-разработка,eCommerce","20/12/2016 10:38:33","Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0 Mobile/14C92 Safari/602.1",3,2,"Киев",2000,NA,""
"218",NA,"Software Engineer","Java","","1","0.25",1200,500,"Николаев","до 10 человек","Продуктовая","мужской",35,"Высшее","КНЭУ","False","выше среднего","Веб-разработка,Телекоммуникации","20/12/2016 10:38:35","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1,0.25,"other",1200,NA,"DEV"
"219",NA,"Software Engineer","PHP","","2","1",850,250,"Киев","до 1000 человек","Продуктовая","мужской",27,"Высшее","КНУСА","False","средний","Веб-разработка","20/12/2016 10:38:36","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",2,1,"Киев",850,NA,"DEV"
"220",NA,"Software Engineer","JavaScript","","2","0.5",2000,1300,"Киев","до 200 человек","Продуктовая","мужской",32,"Высшее","Другой вуз","False","средний","Веб-разработка","20/12/2016 10:38:40","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",2,0.5,"Киев",2000,NA,"DEV"
"221",NA,"Senior Software Engineer","JavaScript","","2","2",1280,320,"Полтава","до 50 человек","Аутсорсинговая","мужской",27,"Незаконченное высшее","Другой вуз","False","ниже среднего","Веб-разработка","20/12/2016 10:38:56","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",2,2,"other",1280,NA,"DEV"
"222",NA,"Junior Software Engineer","JavaScript","","1","1",200,0,"Днепр","до 10 человек","Другая","мужской",30,"Высшее","Другой вуз","False","ниже среднего","Веб-разработка","20/12/2016 10:39:04","Mozilla/5.0 (Linux; Android 6.0.1; SM-A510F Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.90 YaBrowser/16.11.0.649.00 Mobile Safari/537.36",1,1,"other",200,NA,"DEV"
"223",NA,"Software Engineer","Python","","1.5","меньше 3 месяцев",1000,800,"Киев","до 50 человек","Аутсорсинговая","мужской",21,"Незаконченное высшее","Другой вуз","False","средний","Веб-разработка,Другое","20/12/2016 10:39:10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1.5,0,"Киев",1000,NA,"DEV"
"224",NA,"DevOps","","","7","меньше 3 месяцев",2250,1000,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",27,"Высшее","НТУУ «КПИ»","False","средний","Мультимедиа","20/12/2016 10:39:11","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",7,0,"Киев",2250,NA,"ADM"
"225",NA,"Software Engineer","JavaScript","","3","1",1700,200,"Киев","до 50 человек","Продуктовая","мужской",28,"Высшее","ДНУ им. Гончара","False","ниже среднего","Веб-разработка","20/12/2016 10:39:20","Mozilla/5.0 (X11; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0",3,1,"Киев",1700,NA,"DEV"
"226",NA,"Senior Software Engineer","Scala","","6","0.5",12000,4000,"Харьков","до 200 человек","Продуктовая","мужской",33,"Высшее","НТУ «ХПИ»","False","продвинутый","eCommerce","20/12/2016 10:39:21","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/601.5.17 (KHTML, like Gecko) Version/9.1 Safari/601.5.17",6,0.5,"Харьков",12000,NA,"DEV"
"227",NA,"Senior Software Engineer","PHP","","6","2",2700,0,"Киев","до 200 человек","Продуктовая","мужской",26,"Высшее","ХНУРЭ","False","средний","Веб-разработка,Корпоративные системы","20/12/2016 10:39:36","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/53.0.2785.143 Chrome/53.0.2785.143 Safari/537.36",6,2,"Киев",2700,NA,"DEV"
"228",NA,"Junior Software Engineer","Python","","меньше 3 месяцев","меньше 3 месяцев",300,0,"Запорожье","до 50 человек","Аутсорсинговая","мужской",26,"Высшее","ЗНТУ","False","выше среднего","Веб-разработка,Gamedev","20/12/2016 10:39:50","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",0,0,"other",300,NA,"DEV"
"229",NA,"Team lead","","","5","1.5",4800,1800,"Киев","до 200 человек","Аутсорсинговая","мужской",25,"Высшее","КНЭУ","False","продвинутый","Веб-разработка","20/12/2016 10:39:55","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",5,1.5,"Киев",4800,NA,"PM"
"230",NA,"Senior QA engineer","","Automation QA","4","2",2200,600,"Киев","до 1000 человек","Продуктовая","мужской",26,"Высшее","КНУСА","False","выше среднего","Gamedev","20/12/2016 10:40:09","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.75 Safari/537.36",4,2,"Киев",2200,NA,"QA"
"231",NA,"Software Engineer","PHP","","6","1.5",1200,0,"Удаленно","до 10 человек","Другая","мужской",29,"Высшее","Другой вуз","False","ниже среднего","Веб-разработка,Корпоративные системы","20/12/2016 10:40:13","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:50.0) Gecko/20100101 Firefox/50.0",6,1.5,"other",1200,NA,"DEV"
"232",NA,"DevOps","","","2","2",900,400,"Днепр","до 200 человек","Продуктовая","мужской",28,"Два высших","ВНУ им. Даля","False","ниже среднего","Телекоммуникации,Другое","20/12/2016 10:40:15","Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0",2,2,"other",900,NA,"ADM"
"233",NA,"Junior QA engineer","","General QA","1","0.25",450,150,"Киев","до 10 человек","Стартап","мужской",26,"Высшее","НТУУ «КПИ»","False","средний","Веб-разработка","20/12/2016 10:40:32","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0",1,0.25,"Киев",450,NA,"QA"
"234",NA,"Product Manager","","","2","1",1500,500,"Киев","до 10 человек","Продуктовая","мужской",25,"Высшее","ВНУ им. Даля","False","средний","Embedded,Телекоммуникации","20/12/2016 10:40:32","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36",2,1,"Киев",1500,NA,""
"235",NA,"Software Engineer","Java","","2","2",1600,700,"Киев","до 1000 человек","Аутсорсинговая","мужской",22,"Высшее","Другой вуз","False","средний","Веб-разработка,Корпоративные системы","20/12/2016 10:40:45","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",2,2,"Киев",1600,NA,"DEV"
"236",NA,"Data Scientist / Data Analyst","","","1","1",200,40,"Киев","до 10 человек","Аутсорсинговая","мужской",20,"Незаконченное высшее","НТУУ «КПИ»","True","выше среднего","Другое","20/12/2016 10:40:46","Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_1 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A403 Safari/602.1",1,1,"Киев",200,NA,""
"237",NA,"Software Engineer","SQL","","7","6",1400,0,"Днепр","до 200 человек","Другая","женский",30,"Высшее","НГУ [Днепропетровск]","False","ниже среднего","Корпоративные системы","20/12/2016 10:40:48","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",7,6,"other",1400,NA,"DEV"
"238",NA,"Software Engineer","Python","","5","1.5",2750,600,"Днепр","до 50 человек","Стартап","мужской",27,"Высшее","ДНУ им. Гончара","False","средний","Другое","20/12/2016 10:40:50","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0",5,1.5,"other",2750,NA,"DEV"
"239",NA,"Junior Software Engineer","JavaScript","","1","0.5",500,400,"Киев","до 10 человек","Продуктовая","мужской",23,"Незаконченное высшее","НАУ","False","средний","Веб-разработка,Финансы и банки","20/12/2016 10:40:54","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1,0.5,"Киев",500,NA,"DEV"
"240",NA,"DBA","","","5","1.5",2500,1000,"Киев","до 200 человек","Продуктовая","мужской",30,"Высшее","ЧГУ им. Петра Могилы","False","средний","","20/12/2016 10:41:12","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.28 Safari/537.36",5,1.5,"Киев",2500,NA,""
"241",NA,"Designer","","","0.5","0.5",350,350,"Киев","до 10 человек","Аутсорсинговая","мужской",21,"Незаконченное высшее","НТУУ «КПИ»","True","продвинутый","Веб-разработка","20/12/2016 10:41:14","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0",0.5,0.5,"Киев",350,NA,""
"242",NA,"QA Tech Lead","","Manual QA","6","1.5",3200,3200,"Киев","до 1000 человек","Продуктовая","мужской",27,"Высшее","Другой вуз","False","средний","Веб-разработка,Gamedev","20/12/2016 10:41:18","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",6,1.5,"Киев",3200,NA,"QA"
"243",NA,"QA engineer","","General QA","2","1",1000,0,"Киев","свыше 1000 человек","Аутсорсинговая","женский",25,"Высшее","КНУ им. Шевченко","False","выше среднего","Embedded,Системное программирование","20/12/2016 10:41:44","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",2,1,"Киев",1000,NA,"QA"
"244",NA,"HTML coder","","","1","1",265,90,"Киев","до 10 человек","Другая","мужской",23,"Высшее","НТУУ «КПИ»","False","ниже среднего","Веб-разработка","20/12/2016 10:41:58","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1,1,"Киев",265,NA,""
