,Должность,Язык программирования,Специализация,Общий опыт работы,Опыт работы на текущем месте,Зарплата в месяц,Изменение зарплаты,Город,Размер компании,Тип компании,Пол,Возраст,Образование,Еще студент,Уровень английского,Предметная область,Дата заполнения,User-Agent
,Software Engineer,Java,,2,2,1500,500,Харьков,до 200 человек,Аутсорсинговая,m,23,Незаконченное высшее,True,средний,"Веб-разработка,eCommerce",20/12/2013 21:34:30,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Junior Software Engineer,Java,,1.25,1.25,900,400,Киев,до 1000 человек,Аутсорсинговая,m,22,Высшее,False,ниже среднего,"Финансы и банки,Корпоративные системы",20/12/2013 21:35:54,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.3 Safari/537.36"
,Senior QA engineer,,General QA,5,3,2000,0,Киев,до 200 человек,Продуктовая,f,27,Два высших,False,продвинутый,"Android,Веб-разработка",20/12/2013 21:36:08,Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0
,Software Engineer,PHP,,1,1,600,0,Запорожье,до 10 человек,Другая,m,26,Высшее,False,ниже среднего,Веб-разработка,20/12/2013 21:36:15,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:26.0) Gecko/20100101 Firefox/26.0
,Software Engineer,C++,,2,1.75,1500,300,Харьков,до 50 человек,Аутсорсинговая,m,22,Высшее,False,средний,Desktop Applications,20/12/2013 21:36:37,Mozilla/5.0 (Windows NT 6.1; rv:25.0) Gecko/20100101 Firefox/25.0
,Software Engineer,Scala,,2.5,0.5,2300,1100,Киев,до 1000 человек,Аутсорсинговая,m,22,Незаконченное высшее,True,выше среднего,Финансы и банки,20/12/2013 21:37:58,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,Java,,6,0.75,2700,200,Киев,свыше 1000 человек,Аутсорсинговая,m,28,Высшее,False,средний,Финансы и банки,20/12/2013 21:38:51,Mozilla/5.0 (X11; Linux i686; rv:25.0) Gecko/20100101 Firefox/25.0
,Software Engineer,Java,,4,меньше 3 месяцев,2800,1000,Харьков,до 200 человек,Аутсорсинговая,m,24,Высшее,False,средний,"Веб-разработка,Другое",20/12/2013 21:41:41,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:26.0) Gecko/20100101 Firefox/26.0
,Software Engineer,C#/.NET,,1.75,1.75,1500,900,Киев,свыше 1000 человек,Аутсорсинговая,m,23,Высшее,False,средний,Финансы и банки,20/12/2013 21:43:39,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Technical Lead,Java,,6,0.5,4000,1000,Днепропетровск,свыше 1000 человек,Аутсорсинговая,m,26,Высшее,False,выше среднего,"Веб-разработка,Финансы и банки",20/12/2013 21:45:19,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36"
,Software Engineer,Python,,2,2,1300,600,Львов,до 10 человек,Продуктовая,m,26,Высшее,False,ниже среднего,"Финансы и банки,Корпоративные системы",20/12/2013 21:45:30,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.39 Safari/537.36"
,Senior Project Manager / Program Manager,,,10 и более лет,1.5,3900,500,Львов,свыше 1000 человек,Аутсорсинговая,m,34,Высшее,False,продвинутый,Веб-разработка,20/12/2013 21:49:57,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0
,Senior Software Engineer,PHP,,8,2.5,2730,300,Днепропетровск,до 200 человек,Аутстаффинговая,m,29,Кандидат,False,выше среднего,Веб-разработка,20/12/2013 21:51:59,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,Java,,1.75,1,2000,800,Киев,до 10 человек,Аутсорсинговая,m,21,Высшее,False,выше среднего,Android,20/12/2013 21:55:44,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,QA Tech Lead,,General QA,меньше 3 месяцев,6,3000,0,Киев,до 200 человек,Аутсорсинговая,m,29,Высшее,False,выше среднего,"eCommerce,Корпоративные системы",20/12/2013 21:58:25,Mozilla/5.0 (Windows NT 6.0; rv:25.0) Gecko/20100101 Firefox/25.0
,Системный администратор,,,10 и более лет,5.5,2660,400,Киев,свыше 1000 человек,Аутстаффинговая,m,37,Высшее,False,выше среднего,"Телекоммуникации,Корпоративные системы",20/12/2013 21:59:07,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Team lead,,,7,2,4000,0,Киев,до 1000 человек,Другая,m,30,Высшее,False,выше среднего,Телекоммуникации,20/12/2013 22:00:47,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.73.11 (KHTML, like Gecko) Version/6.1.1 Safari/537.73.11"
,Software Engineer,C#/.NET,,7,2,1000,100,Донецк,до 10 человек,Продуктовая,m,28,Высшее,False,элементарный,"Android,Windows Phone",20/12/2013 22:02:07,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,C#/.NET,,5,2,1200,300,Донецк,до 50 человек,Аутсорсинговая,m,27,Высшее,False,средний,"Веб-разработка,Корпоративные системы",20/12/2013 22:02:36,Opera/9.80 (Windows NT 6.2; WOW64) Presto/2.12.388 Version/12.16
,Senior Software Engineer,Other,,6,0.5,2500,500,Киев,свыше 1000 человек,Аутстаффинговая,m,35,Высшее,False,средний,Корпоративные системы,20/12/2013 22:03:25,Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko
,Junior Software Engineer,PHP,,меньше 3 месяцев,0.5,550,0,Ивано-Франковск,до 200 человек,Аутсорсинговая,m,23,Высшее,False,ниже среднего,Веб-разработка,20/12/2013 22:04:04,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Technical Lead,C#/.NET,,10 и более лет,2,3400,100,Львов,до 1000 человек,Аутстаффинговая,m,30,Высшее,False,выше среднего,Веб-разработка,20/12/2013 22:09:37,Mozilla/5.0 (Windows NT 5.1; rv:26.0) Gecko/20100101 Firefox/26.0
,Senior QA engineer,,General QA,7,1.25,2450,0,Киев,до 200 человек,Аутсорсинговая,m,28,Два высших,False,средний,"Веб-разработка,Финансы и банки",20/12/2013 22:11:13,Mozilla/5.0 (Windows NT 6.1; rv:25.0) Gecko/20100101 Firefox/25.0
,Senior Project Manager / Program Manager,,,10 и более лет,4,3100,500,Харьков,свыше 1000 человек,Аутсорсинговая,m,32,Высшее,False,продвинутый,"Desktop Applications,Другое",20/12/2013 22:11:19,Mozilla/5.0 (Windows NT 6.1; rv:25.0) Gecko/20100101 Firefox/25.0
,Junior Software Engineer,JavaScript,,меньше 3 месяцев,0.25,500,0,Киев,до 10 человек,Другая,m,22,Незаконченное высшее,True,ниже среднего,Gamedev,20/12/2013 22:12:07,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Senior Software Engineer,C#/.NET,,10 и более лет,1.75,2650,400,Харьков,до 200 человек,Аутсорсинговая,m,30,Высшее,False,выше среднего,Веб-разработка,20/12/2013 22:13:41,Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0
,Junior QA engineer,,Manual QA,0.5,0.5,300,0,Харьков,до 50 человек,Аутсорсинговая,m,20,Незаконченное высшее,True,выше среднего,"Android,Веб-разработка",20/12/2013 22:14:03,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Junior QA engineer,,Manual QA,1.5,1.5,500,100,Харьков,до 200 человек,Продуктовая,f,26,Незаконченное высшее,False,ниже среднего,"Веб-разработка,Корпоративные системы",20/12/2013 22:19:39,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36"
,Системный администратор,,,10 и более лет,6.5,2100,0,Харьков,до 1000 человек,Аутсорсинговая,m,37,Высшее,False,выше среднего,,20/12/2013 22:20:24,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0
,Software Engineer,PHP,,2,1,600,200,Другой,до 10 человек,Стартап,m,23,Высшее,False,ниже среднего,Веб-разработка,20/12/2013 22:20:32,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Senior Software Engineer,C#/.NET,,10 и более лет,1.5,2500,300,Киев,свыше 1000 человек,Аутсорсинговая,m,33,Высшее,False,выше среднего,"Веб-разработка,Финансы и банки",20/12/2013 22:26:02,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,Java,,4,1.5,2300,700,Днепропетровск,свыше 1000 человек,Аутсорсинговая,m,39,Высшее,False,выше среднего,"Веб-разработка,Финансы и банки",20/12/2013 22:28:29,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,QA engineer,,Manual QA,меньше 3 месяцев,1,600,600,Киев,свыше 1000 человек,Аутсорсинговая,f,25,Незаконченное высшее,False,продвинутый,Embedded,20/12/2013 22:29:31,Mozilla/5.0 (Windows NT 5.1; rv:25.0) Gecko/20100101 Firefox/25.0
,Director of Engineering / Program Director,,,10 и более лет,3,7500,500,Киев,до 50 человек,Аутсорсинговая,m,32,Высшее,False,продвинутый,"Embedded,Системное программирование",20/12/2013 22:31:16,Mozilla/5.0 (Windows NT 6.1; rv:26.0) Gecko/20100101 Firefox/26.0
,Software Engineer,C++,,1,1,1000,200,Днепропетровск,до 200 человек,Продуктовая,m,21,Высшее,True,средний,"iOS,Gamedev",20/12/2013 22:34:29,Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16
,Software Engineer,PHP,,2.5,1.75,1300,300,Харьков,до 50 человек,Продуктовая,m,25,Высшее,False,ниже среднего,Веб-разработка,20/12/2013 22:35:22,"Mozilla/5.0 (iPod; CPU iPhone OS 7_0_4 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) CriOS/31.0.1650.18 Mobile/11B554a Safari/8536.25"
,Software Engineer,Java,,5,2.5,1500,500,Севастополь,до 200 человек,Аутсорсинговая,m,30,Высшее,False,выше среднего,"Веб-разработка,eCommerce",20/12/2013 22:37:21,Mozilla/5.0 (Windows NT 6.1; rv:17.0) Gecko/20100101 Firefox/17.0
,Senior Software Engineer,JavaScript,,7,2,3400,100,Киев,свыше 1000 человек,Аутсорсинговая,m,27,Высшее,False,выше среднего,eCommerce,20/12/2013 22:37:28,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0
,Software Engineer,PHP,,1.5,0.5,2000,1200,Запорожье,до 1000 человек,Продуктовая,m,26,Высшее,False,средний,Веб-разработка,20/12/2013 22:39:12,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36"
,Junior QA engineer,,Manual QA,1,1,630,130,Харьков,до 1000 человек,Аутсорсинговая,m,32,Высшее,False,средний,,20/12/2013 22:39:15,"Mozilla/5.0 (Linux; U; Android 4.2.2; en-us; Lenovo-A516/S111) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.2.2 Mobile Safari/534.30"
,Software Engineer,PHP,,2,1.5,500,100,Чернигов,до 50 человек,Аутсорсинговая,m,27,Высшее,False,средний,Веб-разработка,20/12/2013 22:39:23,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Системный администратор,,,2.5,0.5,2650,1300,Киев,до 200 человек,Продуктовая,m,25,Высшее,False,средний,"Системное программирование,Мультимедиа",20/12/2013 22:39:54,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/31.0.1650.63 Chrome/31.0.1650.63 Safari/537.36"
,Senior Software Engineer,Java,,10 и более лет,6,2500,900,Харьков,до 10 человек,Стартап,m,33,Высшее,False,продвинутый,"Веб-разработка,Корпоративные системы",20/12/2013 22:42:18,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Maxthon/4.2.0.4000 Chrome/30.0.1551.0 Safari/537.36"
,Technical Lead,Python,,10 и более лет,1.5,3500,0,Харьков,до 10 человек,Продуктовая,m,39,Высшее,False,выше среднего,Другое,20/12/2013 22:42:23,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.73.11 (KHTML, like Gecko) Version/7.0.1 Safari/537.73.11"
,Software Engineer,C#/.NET,,1.75,1.75,1800,200,Львов,до 200 человек,Аутстаффинговая,m,29,Высшее,False,средний,Desktop Applications,20/12/2013 22:43:17,"Mozilla/5.0 (Linux; U; Android 4.2.2; en-us; Nook HD+ Build/JDQ39E) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 UCBrowser/9.4.1.362 U3/0.8.0 Mobile Safari/533.1"
,Software Engineer,C#/.NET,,5,0.75,1400,-100,Львов,до 50 человек,Аутсорсинговая,m,31,Высшее,False,ниже среднего,Веб-разработка,20/12/2013 22:46:45,Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16
,Senior Software Engineer,PHP,,7,0.75,3000,1200,Одесса,до 200 человек,Аутсорсинговая,m,26,Высшее,False,средний,"Веб-разработка,Телекоммуникации",20/12/2013 22:47:55,Mozilla/5.0 (X11; Linux i686; rv:28.0) Gecko/20100101 Firefox/28.0
,Scrum Master,,,10 и более лет,2,3000,350,Киев,свыше 1000 человек,Аутсорсинговая,m,36,Высшее,False,выше среднего,Финансы и банки,20/12/2013 22:51:14,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_4 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) CriOS/31.0.1650.18 Mobile/11B554a Safari/8536.25"
,Software Engineer,Objective-C,,2.5,2.5,1500,0,Киев,до 1000 человек,Другая,f,25,Высшее,False,средний,Desktop Applications,20/12/2013 22:51:32,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9) AppleWebKit/537.71 (KHTML, like Gecko) Version/7.0 Safari/537.71"
,Junior Software Engineer,Ruby/Rails,,0.5,0.25,300,0,Львов,до 200 человек,Аутсорсинговая,m,22,Высшее,False,ниже среднего,Веб-разработка,20/12/2013 22:52:48,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.114 Safari/537.36"
,Team lead,,,10 и более лет,1,3600,6000,Киев,свыше 1000 человек,Аутсорсинговая,m,30,Высшее,False,продвинутый,"Embedded,Системное программирование",20/12/2013 22:53:39,"Mozilla/5.0 (iPad; CPU OS 7_0_4 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Mobile/11B554a"
,Senior Software Engineer,PHP,,5,2,600,100,Харьков,до 200 человек,Аутсорсинговая,m,27,Высшее,False,средний,"Веб-разработка,eCommerce",20/12/2013 22:55:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Senior Software Engineer,C#/.NET,,10 и более лет,меньше 3 месяцев,3000,-1000,Винница,до 10 человек,Другая,m,32,Высшее,False,выше среднего,"Веб-разработка,Корпоративные системы",20/12/2013 22:56:36,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,Java,,3,2.5,2000,500,Киев,свыше 1000 человек,Аутсорсинговая,m,28,Высшее,False,средний,Корпоративные системы,20/12/2013 22:57:12,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Project manager,,,3,1,400,50,Харьков,до 50 человек,Аутсорсинговая,m,25,Высшее,False,средний,"Веб-разработка,eCommerce",20/12/2013 22:58:01,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Верстальщик,,,3.5,2,450,70,Харьков,до 50 человек,Аутстаффинговая,m,30,Высшее,False,выше среднего,"Веб-разработка,Gamedev",20/12/2013 22:59:13,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Junior Software Engineer,C#/.NET,,0.25,0.25,400,100,Харьков,до 50 человек,Аутсорсинговая,m,19,Незаконченное высшее,True,ниже среднего,Windows Phone,20/12/2013 22:59:37,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,Objective-C,,2,2,1000,500,Другой,до 10 человек,Аутсорсинговая,m,22,Незаконченное высшее,True,средний,iOS,20/12/2013 23:00:11,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,JavaScript,,3,1,450,0,Харьков,до 1000 человек,Аутстаффинговая,m,27,Высшее,False,ниже среднего,"Android,iOS",20/12/2013 23:00:18,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Senior Software Engineer,PHP,,4.5,1.5,550,100,Харьков,до 200 человек,Аутсорсинговая,m,28,Кандидат,False,средний,"Телекоммуникации,Финансы и банки",20/12/2013 23:01:45,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,Java,,3,1,2500,800,Киев,свыше 1000 человек,Аутсорсинговая,m,25,Два высших,False,выше среднего,"Android,iOS",20/12/2013 23:03:46,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Senior Software Engineer,Scala,,10 и более лет,0.25,6400,800,Черновцы,до 200 человек,Другая,m,34,Высшее,False,выше среднего,"Системное программирование,Другое",20/12/2013 23:04:03,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,PHP,,5,2,600,60,Харьков,до 200 человек,Аутсорсинговая,m,26,Высшее,False,выше среднего,"Телекоммуникации,Финансы и банки",20/12/2013 23:05:18,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Junior QA engineer,,Manual QA,меньше 3 месяцев,1,125,0,Киев,до 10 человек,Аутсорсинговая,f,21,Незаконченное высшее,True,средний,Веб-разработка,20/12/2013 23:07:56,Mozilla/5.0 (Windows NT 6.1; rv:26.0) Gecko/20100101 Firefox/26.0
,Senior Software Engineer,C++,,6.5,0.75,3750,3350,Киев,до 50 человек,Продуктовая,m,27,Незаконченное высшее,False,ниже среднего,"Системное программирование,Телекоммуникации",20/12/2013 23:09:02,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.16
,Junior QA engineer,,Manual QA,меньше 3 месяцев,меньше 3 месяцев,500,100,Киев,до 200 человек,Аутсорсинговая,m,24,Высшее,False,выше среднего,Desktop Applications,20/12/2013 23:10:41,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Гейм-дизайнер,,,2,0.75,500,0,Николаев,до 1000 человек,Аутсорсинговая,m,25,Высшее,False,выше среднего,Gamedev,20/12/2013 23:11:38,Mozilla/5.0 (Windows NT 5.1; rv:26.0) Gecko/20100101 Firefox/26.0
,Technical Lead,SQL,,10 и более лет,3.5,3200,1000,Днепропетровск,свыше 1000 человек,Аутсорсинговая,m,33,Высшее,False,выше среднего,"Телекоммуникации,Корпоративные системы",20/12/2013 23:11:58,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_0_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9A405 Safari/7534.48.3"
,Senior Software Engineer,C#/.NET,,10 и более лет,7,5000,500,Харьков,до 50 человек,Продуктовая,m,30,Высшее,False,продвинутый,"Веб-разработка,Другое",20/12/2013 23:12:02,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:26.0) Gecko/20100101 Firefox/26.0
,Project manager,,,4,0.75,2500,1000,Киев,до 50 человек,Продуктовая,m,25,Высшее,False,выше среднего,Desktop Applications,20/12/2013 23:12:28,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.73.11 (KHTML, like Gecko) Version/7.0.1 Safari/537.73.11"
,Senior Software Engineer,C++,,10 и более лет,меньше 3 месяцев,2200,-800,Львов,свыше 1000 человек,Аутсорсинговая,m,38,Высшее,False,продвинутый,"Desktop Applications,Корпоративные системы",20/12/2013 23:12:59,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
,Senior Software Engineer,C++,,2.5,2.5,2400,800,Одесса,свыше 1000 человек,Аутсорсинговая,m,25,Высшее,False,выше среднего,"Embedded,Другое",20/12/2013 23:16:54,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36 OPR/18.0.1284.68"
,Junior QA engineer,,Automation QA,1,1,700,0,Харьков,до 1000 человек,Аутсорсинговая,m,29,Два высших,False,средний,Веб-разработка,20/12/2013 23:17:12,Opera/9.80 (Windows NT 6.1; Win64; x64) Presto/2.12.388 Version/12.16
,Junior Software Engineer,Java,,1,1,800,300,Одесса,до 50 человек,Другая,m,23,Высшее,False,ниже среднего,"Веб-разработка,Финансы и банки",20/12/2013 23:20:25,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Senior Software Engineer,C#/.NET,,10 и более лет,2,3300,300,Киев,свыше 1000 человек,Аутстаффинговая,m,33,Высшее,False,продвинутый,Финансы и банки,20/12/2013 23:21:07,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,QA Tech Lead,,General QA,4,0.75,4000,1000,Киев,до 1000 человек,Продуктовая,m,27,Высшее,False,продвинутый,"Android,iOS",20/12/2013 23:22:25,"Mozilla/5.0 (iPad; CPU OS 7_0_4 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) CriOS/31.0.1650.18 Mobile/11B554a Safari/8536.25"
,Software Engineer,Java,,2,2,1100,300,Киев,свыше 1000 человек,Аутсорсинговая,m,24,Высшее,False,средний,Desktop Applications,20/12/2013 23:23:56,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.73.11 (KHTML, like Gecko) Version/7.0.1 Safari/537.73.11"
,Senior Software Engineer,Python,,10 и более лет,меньше 3 месяцев,2900,900,Киев,свыше 1000 человек,Аутсорсинговая,m,30,Высшее,False,средний,"Веб-разработка,Телекоммуникации",20/12/2013 23:29:04,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,Java,,3,2.5,1000,300,Киев,до 1000 человек,Продуктовая,m,25,Два высших,False,средний,Android,20/12/2013 23:30:34,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,QA Tech Lead,,Automation QA,3,0.75,1800,800,Киев,свыше 1000 человек,Аутсорсинговая,m,24,Высшее,False,выше среднего,Финансы и банки,20/12/2013 23:30:39,Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0
,QA engineer,,General QA,2.5,0.25,1250,750,Днепропетровск,до 1000 человек,Продуктовая,m,43,Высшее,False,средний,Веб-разработка,20/12/2013 23:30:44,Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko
,Software Engineer,JavaScript,,2.5,0.5,1750,1300,Киев,свыше 1000 человек,Аутстаффинговая,m,22,Незаконченное высшее,True,средний,"Веб-разработка,Финансы и банки",20/12/2013 23:32:24,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.68 Safari/537.36"
,Junior Software Engineer,Java,,меньше 3 месяцев,меньше 3 месяцев,1045,0,Киев,свыше 1000 человек,Аутсорсинговая,m,34,Высшее,False,выше среднего,"Веб-разработка,Корпоративные системы",20/12/2013 23:34:16,Mozilla/5.0 (Windows NT 5.1; rv:26.0) Gecko/20100101 Firefox/26.0
,Software Engineer,C#/.NET,,2,2,1300,400,Киев,свыше 1000 человек,Аутсорсинговая,m,20,Высшее,False,выше среднего,Веб-разработка,20/12/2013 23:42:39,"Mozilla/5.0 (iPad; CPU OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25"
,Senior Software Engineer,Objective-C,,7,0.5,2700,0,Харьков,до 50 человек,Аутсорсинговая,f,29,Высшее,False,средний,iOS,20/12/2013 23:43:50,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:26.0) Gecko/20100101 Firefox/26.0
,Junior Software Engineer,JavaScript,,2,0.5,800,400,Киев,до 50 человек,Продуктовая,m,20,Незаконченное высшее,True,выше среднего,"Desktop Applications,Корпоративные системы",20/12/2013 23:44:16,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Project manager,,,5,2,5000,500,Одесса,до 200 человек,Аутстаффинговая,m,34,Два высших,False,выше среднего,,20/12/2013 23:44:42,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:26.0) Gecko/20100101 Firefox/26.0
,Software Engineer,Java,,2.5,0.5,2200,700,Киев,до 200 человек,Аутсорсинговая,m,24,Высшее,False,продвинутый,Финансы и банки,20/12/2013 23:45:44,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:26.0) Gecko/20100101 Firefox/26.0
