"Должность","Язык.программирования","Специализация","Общий.опыт.работы","Опыт.работы.на.текущем.месте","Зарплата.в.месяц","Изменение.зарплаты","Город","Размер.компании","Тип.компании","Пол","Возраст","Образование","Еще.студент","Уровень.английского","Предметная.область","Дата.заполнения","User.Agent","exp","current_job_exp","loc","salary","Валюта","cls"
"1829","System Architect","C#/.NET","","10 и более лет","4",1500,-1000,"Киев","до 10 человек","Продуктовая","мужской",47,"Высшее","False","выше среднего","Корпоративные системы","18/05/2015 23:12:26","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",10,4,"Киев",1500,NA,"SDEV"
"1830","Support","","","2","меньше 3 месяцев",900,500,"Киев","до 50 человек","Продуктовая","мужской",20,"Незаконченное высшее","True","продвинутый","iOS,Desktop Applications","18/05/2015 23:13:47","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",2,0,"Киев",900,NA,""
"1831","Software Engineer","C#/.NET","","4","4",2500,700,"Харьков","до 200 человек","Аутсорсинговая","мужской",26,"Высшее","False","выше среднего","Desktop Applications,Веб-разработка","18/05/2015 23:14:11","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",4,4,"Харьков",2500,NA,"DEV"
"1832","Senior Software Engineer","PHP","","9","0.5",1200,-500,"Киев","до 10 человек","Стартап","мужской",32,"Высшее","False","выше среднего","Android,Веб-разработка","18/05/2015 23:14:39","Mozilla/5.0 (Linux; Android 4.2.1; P780 Build/JOP40D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.111 Mobile Safari/537.36",9,0.5,"Киев",1200,NA,"DEV"
"1833","Senior Software Engineer","Objective-C","","9","1.5",4700,300,"Другой","до 10 человек","Продуктовая","мужской",30,"Высшее","False","выше среднего","Android,iOS","18/05/2015 23:15:06","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",9,1.5,"other",4700,NA,"DEV"
"1834","Junior Software Engineer","JavaScript","","3","1.5",450,100,"Хмельницкий","до 50 человек","Аутсорсинговая","мужской",26,"Высшее","False","средний","eCommerce","18/05/2015 23:17:24","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0",3,1.5,"other",450,NA,"DEV"
"1835","Software Engineer","Objective-C","","3","1",2100,500,"Киев","до 200 человек","Продуктовая","мужской",27,"Высшее","False","элементарный","iOS,Desktop Applications","18/05/2015 23:20:37","Mozilla/5.0 (iPhone; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F70 Safari/600.1.4",3,1,"Киев",2100,NA,"DEV"
"1836","Software Engineer","PHP","","2","0.5",1700,700,"Киев","до 1000 человек","Аутсорсинговая","мужской",21,"Высшее","True","средний","Веб-разработка","18/05/2015 23:21:33","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",2,0.5,"Киев",1700,NA,"DEV"
"1837","Team lead","","","10 и более лет","4",2700,500,"Киев","до 50 человек","Другая","мужской",30,"Высшее","False","выше среднего","Телекоммуникации,Корпоративные системы","18/05/2015 23:22:24","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",10,4,"Киев",2700,NA,"PM"
"1838","Software Engineer","C#/.NET","","5","1",2000,0,"Киев","до 200 человек","Аутсорсинговая","мужской",27,"Высшее","False","продвинутый","Веб-разработка,Финансы и банки","18/05/2015 23:22:39","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",5,1,"Киев",2000,NA,"DEV"
"1839","Junior QA engineer","","Automation QA","0.5","0.5",600,0,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",26,"Высшее","False","средний","Android,Веб-разработка","18/05/2015 23:22:39","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",0.5,0.5,"Киев",600,NA,"QA"
"1840","Technical Lead","C#/.NET","","8","4",2900,160,"Львов","до 200 человек","Аутстаффинговая","мужской",32,"Высшее","False","средний","Веб-разработка","18/05/2015 23:22:47","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",8,4,"Львов",2900,NA,"SDEV"
"1841","Product Manager","","","6","2",3000,1000,"Киев","до 50 человек","Продуктовая","мужской",31,"Высшее","False","продвинутый","Веб-разработка","18/05/2015 23:24:29","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0",6,2,"Киев",3000,NA,""
"1842","Support","","","0.5","меньше 3 месяцев",1000,400,"Киев","до 50 человек","Аутстаффинговая","мужской",25,"Высшее","False","продвинутый","Веб-разработка,Корпоративные системы","18/05/2015 23:24:58","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",0.5,0,"Киев",1000,NA,""
"1843","Senior Software Engineer","Python","","5","1.5",2600,500,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",26,"Высшее","False","средний","Веб-разработка,Корпоративные системы","18/05/2015 23:25:27","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",5,1.5,"Киев",2600,NA,"DEV"
"1844","Software Engineer","Java","","5","1",2400,200,"Харьков","свыше 1000 человек","Аутстаффинговая","мужской",31,"Высшее","False","продвинутый","Финансы и банки","18/05/2015 23:26:55","Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4",5,1,"Харьков",2400,NA,"DEV"
"1845","Junior Software Engineer","JavaScript","","0.5","0.25",300,0,"Львов","до 50 человек","Аутсорсинговая","мужской",20,"Незаконченное высшее","True","ниже среднего","Веб-разработка","18/05/2015 23:27:21","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",0.5,0.25,"Львов",300,NA,"DEV"
"1846","Senior QA engineer","","Manual QA","4","2",1650,400,"Харьков","до 1000 человек","Аутсорсинговая","мужской",32,"Высшее","False","средний","Телекоммуникации","18/05/2015 23:28:46","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2398.0 Safari/537.36",4,2,"Харьков",1650,NA,"QA"
"1847","Системный администратор","","","3","1",400,-200,"Киев","до 50 человек","Продуктовая","мужской",24,"Высшее","False","ниже среднего","Веб-разработка","18/05/2015 23:29:14","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",3,1,"Киев",400,NA,"ADM"
"1848","Technical Lead","Java","","8","2",4300,0,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",28,"Высшее","False","выше среднего","Веб-разработка,Финансы и банки","18/05/2015 23:29:54","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",8,2,"Киев",4300,NA,"SDEV"
"1849","System Architect","Scala","","10 и более лет","1.5",5000,0,"Киев","до 1000 человек","Аутстаффинговая","мужской",33,"Высшее","False","выше среднего","Веб-разработка,Другое","18/05/2015 23:30:09","Mozilla/5.0 (iPad; CPU OS 7_1_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D201 Safari/9537.53",10,1.5,"Киев",5000,NA,"SDEV"
"1850","Верстальщик","","","2","1",1600,600,"Киев","до 200 человек","Продуктовая","мужской",18,"Среднее","False","элементарный","Веб-разработка","18/05/2015 23:30:22","Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4",2,1,"Киев",1600,NA,""
"1851","Senior QA engineer","","Manual QA","7","меньше 3 месяцев",2000,500,"Киев","свыше 1000 человек","Аутсорсинговая","женский",32,"Высшее","False","выше среднего","Веб-разработка,Финансы и банки","18/05/2015 23:31:24","Mozilla/5.0 (Linux; Android 4.4.2; K019 Build/KVT49L) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.111 Safari/537.36",7,0,"Киев",2000,NA,"QA"
"1852","Software Engineer","JavaScript","","1","меньше 3 месяцев",1200,1200,"Киев","до 10 человек","Продуктовая","мужской",20,"Незаконченное высшее","True","средний","Веб-разработка","18/05/2015 23:31:44","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1,0,"Киев",1200,NA,"DEV"
"1853","Junior Software Engineer","Ruby/Rails","","2","0.5",1100,0,"Львов","до 50 человек","Продуктовая","мужской",23,"Незаконченное высшее","False","средний","Веб-разработка","18/05/2015 23:35:47","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",2,0.5,"Львов",1100,NA,"DEV"
"1854","Software Engineer","PHP","","7","1",2700,-300,"Другой","до 1000 человек","Продуктовая","мужской",30,"Высшее","False","средний","Gamedev","18/05/2015 23:37:34","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",7,1,"other",2700,NA,"DEV"
"1855","Senior Software Engineer","C++","","10 и более лет","2",3150,150,"Киев","свыше 1000 человек","Аутстаффинговая","мужской",32,"Высшее","False","продвинутый","Desktop Applications","18/05/2015 23:37:49","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",10,2,"Киев",3150,NA,"DEV"
"1856","Technical Lead","Flex/Flash/AIR","","6","5",2000,150,"Винница","до 1000 человек","Продуктовая","мужской",27,"Два высших","False","средний","Gamedev","18/05/2015 23:39:20","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",6,5,"other",2000,NA,"SDEV"
"1857","Software Engineer","C++","","2","2",1300,0,"Киев","свыше 1000 человек","Продуктовая","мужской",26,"Высшее","False","средний","Android","18/05/2015 23:44:21","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",2,2,"Киев",1300,NA,"DEV"
"1858","Team lead","","","6","2",3715,0,"Тернополь","до 10 человек","Другая","мужской",23,"Высшее","False","продвинутый","Android,Веб-разработка","18/05/2015 23:44:33","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",6,2,"other",3715,NA,"PM"
"1859","Senior Software Engineer","Ruby/Rails","","6","3",1500,200,"Днепр.","до 50 человек","Аутсорсинговая","мужской",30,"Высшее","False","продвинутый","Веб-разработка","18/05/2015 23:45:12","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",6,3,"Днепр.",1500,NA,"DEV"
"1860","Системный администратор","","","2","меньше 3 месяцев",250,-100,"Киев","до 50 человек","Аутстаффинговая","мужской",24,"Высшее","False","средний","Телекоммуникации,Корпоративные системы","18/05/2015 23:48:31","Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",2,0,"Киев",250,NA,"ADM"
"1861","Senior Software Engineer","PHP","","4","меньше 3 месяцев",2700,1200,"Киев","до 200 человек","Продуктовая","мужской",24,"Высшее","False","ниже среднего","Веб-разработка","18/05/2015 23:48:48","Mozilla/5.0 (Linux; Android 4.3; HTC One mini Build/JSS15Q) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.111 Mobile Safari/537.36",4,0,"Киев",2700,NA,"DEV"
"1862","Junior QA engineer","","Manual QA","1","меньше 3 месяцев",300,70,"Житомир","до 200 человек","Аутсорсинговая","мужской",23,"Высшее","False","ниже среднего","eCommerce","18/05/2015 23:48:53","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",1,0,"other",300,NA,"QA"
"1863","Software Engineer","Java","","1.5","0.5",900,400,"Харьков","до 50 человек","Аутсорсинговая","мужской",25,"Высшее","False","ниже среднего","Android","18/05/2015 23:50:46","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0",1.5,0.5,"Харьков",900,NA,"DEV"
"1864","Senior Software Engineer","C#/.NET","","8","1",3700,0,"Киев","до 200 человек","Продуктовая","мужской",29,"Высшее","False","выше среднего","Desktop Applications,Веб-разработка","18/05/2015 23:51:10","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",8,1,"Киев",3700,NA,"DEV"
"1865","Software Engineer","Objective-C","","2","1",4200,2700,"Киев","до 1000 человек","Продуктовая","мужской",30,"Высшее","False","выше среднего","iOS,Gamedev","18/05/2015 23:56:01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",2,1,"Киев",4200,NA,"DEV"
"1866","Senior QA engineer","","General QA","5","1.5",3000,0,"Киев","до 50 человек","Аутсорсинговая","мужской",27,"Высшее","False","продвинутый","Android,iOS","18/05/2015 23:56:57","Mozilla/5.0 (iPhone; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12F70 [FBAN/FBIOS;FBAV/30.0.0.34.13;FBBV/9917221;FBDV/iPhone7,2;FBMD/iPhone;FBSN/iPhone OS;FBSV/8.3;FBSS/2; FBCR/Carrier;FBID/phone;FBLC/en_US;FBOP/5]",5,1.5,"Киев",3000,NA,"QA"
"1867","Бизнес-аналитик","","","1","меньше 3 месяцев",2000,1200,"Другой","свыше 1000 человек","Аутсорсинговая","мужской",25,"Высшее","False","продвинутый","Финансы и банки","18/05/2015 23:58:49","Mozilla/5.0 (Linux; Android 5.0.2; LG-D801 Build/LRX22G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.111 Mobile Safari/537.36",1,0,"other",2000,NA,""
"1868","Senior Software Engineer","Objective-C","","4","меньше 3 месяцев",3500,500,"Киев","до 1000 человек","Аутсорсинговая","мужской",29,"Высшее","False","выше среднего","iOS","19/05/2015 00:02:04","Mozilla/5.0 (iPad; CPU OS 8_0_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12A405 Safari/600.1.4",4,0,"Киев",3500,NA,"DEV"
"1869","Software Engineer","PHP","","2","0.5",2300,1000,"Киев","до 200 человек","Аутсорсинговая","мужской",22,"Незаконченное высшее","False","выше среднего","Веб-разработка","19/05/2015 00:09:24","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36",2,0.5,"Киев",2300,NA,"DEV"
"1870","Senior Software Engineer","Scala","","10 и более лет","0.25",4800,1500,"Киев","до 1000 человек","Продуктовая","мужской",39,"Высшее","False","выше среднего","Gamedev,Другое","19/05/2015 00:09:35","Mozilla/5.0 (Windows NT 6.2; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0",10,0.25,"Киев",4800,NA,"DEV"
"1871","Senior Software Engineer","C++","","7","4",3000,1200,"Харьков","до 200 человек","Аутстаффинговая","мужской",26,"Высшее","False","выше среднего","Desktop Applications,Системное программирование","19/05/2015 00:10:00","Mozilla/5.0 (X11; Linux i686; rv:31.0) Gecko/20100101 Firefox/31.0",7,4,"Харьков",3000,NA,"DEV"
"1872","Project manager","","","6","1",3750,300,"Киев","свыше 1000 человек","Аутстаффинговая","женский",30,"Высшее","False","выше среднего","Android,Веб-разработка","19/05/2015 00:12:25","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0",6,1,"Киев",3750,NA,"PM"
"1873","Junior Software Engineer","C++","","1","1",455,30000,"Луцк","до 50 человек","Аутсорсинговая","мужской",19,"Техникум / Колледж","False","средний","Android,iOS","19/05/2015 00:14:51","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",1,1,"other",455,NA,"DEV"
"1874","Senior Software Engineer","C++","","3","3",1800,350,"Одесса","свыше 1000 человек","Аутсорсинговая","мужской",32,"Кандидат","False","выше среднего","Embedded,Телекоммуникации","19/05/2015 00:19:24","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",3,3,"Одесса",1800,NA,"DEV"
"1875","Бизнес-аналитик","","","5","2",2500,200,"Киев","до 1000 человек","Аутсорсинговая","мужской",31,"Два высших","False","выше среднего","Телекоммуникации","19/05/2015 00:20:24","Mozilla/5.0 (Linux; Android 5.1.1; Nexus 7 Build/LMY47V; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/42.0.2311.138 Safari/537.36",5,2,"Киев",2500,NA,""
"1876","Technical Lead","JavaScript","","6","2",3900,400,"Киев","свыше 1000 человек","Аутстаффинговая","мужской",27,"Высшее","False","выше среднего","Веб-разработка","19/05/2015 00:23:05","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",6,2,"Киев",3900,NA,"SDEV"
"1877","Junior Software Engineer","Java","","2","2",860,-240,"Киев","свыше 1000 человек","Продуктовая","мужской",21,"Высшее","True","средний","Веб-разработка,Телекоммуникации","19/05/2015 00:25:14","Mozilla/5.0 (Windows NT 6.1; rv:38.0) Gecko/20100101 Firefox/38.0",2,2,"Киев",860,NA,"DEV"
"1878","Software Engineer","C#/.NET","","2","2",1600,600,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",24,"Незаконченное высшее","False","средний","Корпоративные системы,Мультимедиа","19/05/2015 00:29:38","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",2,2,"Киев",1600,NA,"DEV"
"1879","Бизнес-аналитик","","","1.5","1.5",960,300,"Львов","до 1000 человек","Аутсорсинговая","мужской",25,"Высшее","False","продвинутый","Другое","19/05/2015 00:31:36","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0",1.5,1.5,"Львов",960,NA,""
"1880","Director of Engineering / Program Director","","","1","7",4000,0,"Киев","до 1000 человек","Продуктовая","мужской",29,"Высшее","False","продвинутый","Телекоммуникации","19/05/2015 00:31:56","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",1,7,"Киев",4000,NA,"SPM"
"1881","Junior Software Engineer","Objective-C","","1","1",900,800,"Харьков","до 50 человек","Аутсорсинговая","мужской",26,"Высшее","False","выше среднего","iOS","19/05/2015 00:34:04","Mozilla/5.0 (Linux; Android 4.2.2; ME173X Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.111 Safari/537.36",1,1,"Харьков",900,NA,"DEV"
"1882","Дизайнер","","","1.5","1.5",160,40,"Одесса","до 10 человек","Стартап","женский",21,"Незаконченное высшее","True","средний","Веб-разработка","19/05/2015 00:35:21","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1.5,1.5,"Одесса",160,NA,""
"1883","HR","","","4","0.5",1000,700,"Киев","до 1000 человек","Аутсорсинговая","мужской",25,"Высшее","False","выше среднего","Другое","19/05/2015 00:36:53","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",4,0.5,"Киев",1000,NA,""
"1884","Software Engineer","Other","","10 и более лет","0.5",2600,600,"Киев","свыше 1000 человек","Аутстаффинговая","мужской",35,"Высшее","False","ниже среднего","Финансы и банки,Другое","19/05/2015 00:40:04","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",10,0.5,"Киев",2600,NA,"DEV"
"1885","Senior Software Engineer","C#/.NET","","5","3",3300,100,"Киев","до 200 человек","Аутстаффинговая","мужской",29,"Высшее","False","продвинутый","Веб-разработка,Корпоративные системы","19/05/2015 00:41:04","Mozilla/5.0 (iPad; CPU OS 8_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B410 [FBAN/FBIOS;FBAV/30.0.0.34.13;FBBV/9917221;FBDV/iPad5,3;FBMD/iPad;FBSN/iPhone OS;FBSV/8.1;FBSS/2; FBCR/;FBID/tablet;FBLC/en_US;FBOP/1]",5,3,"Киев",3300,NA,"DEV"
"1886","Junior Software Engineer","Ruby/Rails","","1","меньше 3 месяцев",850,550,"Львов","до 50 человек","Аутсорсинговая","мужской",27,"Высшее","False","ниже среднего","","19/05/2015 00:43:22","Mozilla/5.0 (iPad; CPU OS 8_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12D508 Safari/600.1.4",1,0,"Львов",850,NA,"DEV"
"1887","Software Engineer","C#/.NET","","2","2",1250,400,"Киев","до 1000 человек","Продуктовая","мужской",23,"Незаконченное высшее","True","выше среднего","Веб-разработка,Финансы и банки","19/05/2015 00:44:43","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",2,2,"Киев",1250,NA,"DEV"
"1888","Technical Lead","Java","","10 и более лет","2",5000,0,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",33,"Высшее","False","выше среднего","Финансы и банки,Корпоративные системы","19/05/2015 00:47:48","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",10,2,"Киев",5000,NA,"SDEV"
"1889","Senior Software Engineer","PHP","","10 и более лет","1.5",2945,200,"Киев","свыше 1000 человек","Аутстаффинговая","мужской",30,"Высшее","False","выше среднего","Веб-разработка","19/05/2015 00:48:22","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",10,1.5,"Киев",2945,NA,"DEV"
"1890","Senior Software Engineer","Java","","5","5",1900,300,"Винница","до 200 человек","Аутсорсинговая","мужской",29,"Высшее","False","средний","Веб-разработка,Корпоративные системы","19/05/2015 01:02:49","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0",5,5,"other",1900,NA,"DEV"
"1891","Junior Software Engineer","JavaScript","","0.25","0.25",850,0,"Киев","до 50 человек","Аутсорсинговая","мужской",27,"Высшее","False","средний","eCommerce","19/05/2015 01:07:48","Mozilla/5.0 (Linux; U; Android 4.1.1; uk-ua; HTC One S Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30 [FB_IAB/FB4A;FBAV/33.0.0.45.19;]",0.25,0.25,"Киев",850,NA,"DEV"
"1892","Project manager","","","4","меньше 3 месяцев",1200,200,"Харьков","до 200 человек","Аутсорсинговая","мужской",26,"Высшее","False","выше среднего","Android,Веб-разработка","19/05/2015 01:10:42","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",4,0,"Харьков",1200,NA,"PM"
"1893","Senior Software Engineer","Java","","3","меньше 3 месяцев",4130,650,"Киев","свыше 1000 человек","Аутстаффинговая","мужской",30,"Высшее","False","выше среднего","Веб-разработка,Корпоративные системы","19/05/2015 01:12:28","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0",3,0,"Киев",4130,NA,"DEV"
"1894","Software Engineer","C#/.NET","","1.5","1.5",1449,400,"Киев","до 10 человек","Продуктовая","мужской",21,"Незаконченное высшее","True","выше среднего","Другое","19/05/2015 01:12:31","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",1.5,1.5,"Киев",1449,NA,"DEV"
"1895","Senior Software Engineer","JavaScript","","6","меньше 3 месяцев",4000,2000,"Киев","до 50 человек","Продуктовая","мужской",33,"Высшее","False","средний","Веб-разработка","19/05/2015 01:28:50","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",6,0,"Киев",4000,NA,"DEV"
"1896","Junior Software Engineer","PHP","","меньше 3 месяцев","меньше 3 месяцев",200,200,"Киев","до 50 человек","Аутсорсинговая","мужской",22,"Незаконченное высшее","True","ниже среднего","Веб-разработка,eCommerce","19/05/2015 01:28:56","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",0,0,"Киев",200,NA,"DEV"
"1897","Senior Software Engineer","C#/.NET","","9","0.5",2900,300,"Киев","до 50 человек","Продуктовая","мужской",29,"Высшее","False","выше среднего","Финансы и банки","19/05/2015 01:33:09","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",9,0.5,"Киев",2900,NA,"DEV"
"1898","Junior Software Engineer","Java","","1.5","1.5",1000,250,"Киев","до 50 человек","Стартап","мужской",23,"Незаконченное высшее","True","ниже среднего","Desktop Applications","19/05/2015 01:35:57","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",1.5,1.5,"Киев",1000,NA,"DEV"
"1899","Верстальщик","","","1","0.5",170,45,"Днепр.","до 10 человек","Продуктовая","мужской",23,"Высшее","False","ниже среднего","Веб-разработка,eCommerce","19/05/2015 01:36:24","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",1,0.5,"Днепр.",170,NA,""
"1900","Junior Software Engineer","Ruby/Rails","","1.5","0.5",400,100,"Ивано-Франковск","свыше 1000 человек","Аутсорсинговая","мужской",22,"Высшее","False","средний","Веб-разработка","19/05/2015 01:38:43","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0",1.5,0.5,"other",400,NA,"DEV"
